Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,0.54580,0.54990,0.54550,0.54970,0.717,,1
28/10/2021,0.54616,0.54780,0.54505,0.54579,-0.071,,1
27/10/2021,0.54575,0.54801,0.54536,0.54618,0.079,,1
26/10/2021,0.54432,0.54640,0.54300,0.54575,0.274,,1
25/10/2021,0.54309,0.54470,0.54230,0.54426,0.292,,1
22/10/2021,0.54110,0.54470,0.54059,0.54267,0.282,,1
21/10/2021,0.54371,0.54570,0.54080,0.54115,-0.471,,1
20/10/2021,0.54194,0.54460,0.54070,0.54371,0.323,,1
19/10/2021,0.53983,0.54280,0.53950,0.54195,0.39,,1
18/10/2021,0.53924,0.54060,0.53730,0.53985,0.122,,1
15/10/2021,0.54241,0.54300,0.53846,0.53919,-0.594,,1
14/10/2021,0.54014,0.54280,0.53960,0.54242,0.421,,1
13/10/2021,0.54015,0.54100,0.53870,0.54014,0.00184,,1
12/10/2021,0.54062,0.54230,0.53940,0.54013,-0.0999,,1
11/10/2021,0.53644,0.54100,0.53560,0.54067,0.778,,1
08/10/2021,0.53720,0.53790,0.53530,0.53649,-0.135,,1
07/10/2021,0.53578,0.53750,0.53540,0.53722,0.272,,1
06/10/2021,0.53483,0.53593,0.53260,0.53576,0.171,,1
05/10/2021,0.53571,0.53590,0.53290,0.53485,-0.164,,1
04/10/2021,0.53527,0.53700,0.53390,0.53573,-0.138,,1
01/10/2021,0.53669,0.53750,0.53480,0.53647,-0.0424,,1
30/09/2021,0.53462,0.53710,0.53386,0.53670,0.385,,1
29/09/2021,0.53494,0.53700,0.53410,0.53464,-0.0577,,1
28/09/2021,0.53138,0.53560,0.53060,0.53495,0.673,,1
27/09/2021,0.53079,0.53330,0.52940,0.53137,0.0799,,1
24/09/2021,0.53183,0.53271,0.52950,0.53095,-0.161,,1
23/09/2021,0.53114,0.53330,0.53000,0.53180,0.122,,1
22/09/2021,0.52940,0.53350,0.52900,0.53115,0.357,,1
21/09/2021,0.53130,0.53220,0.52896,0.52926,-0.396,,1
20/09/2021,0.52830,0.53180,0.52730,0.53137,0.504,,1
17/09/2021,0.52846,0.53060,0.52770,0.52871,0.0515,,1
16/09/2021,0.53009,0.53140,0.52730,0.52843,-0.316,,1
15/09/2021,0.52989,0.53080,0.52890,0.53011,0.0396,,1
14/09/2021,0.53230,0.53260,0.52850,0.52990,-0.452,,1
13/09/2021,0.53146,0.53302,0.53090,0.53231,0.104,,1
10/09/2021,0.53241,0.53400,0.53130,0.53175,-0.126,,1
09/09/2021,0.53470,0.53520,0.53210,0.53242,-0.426,,1
08/09/2021,0.53611,0.53690,0.53340,0.53470,-0.254,,1
07/09/2021,0.53737,0.53914,0.53550,0.53606,-0.24,,1
06/09/2021,0.53818,0.53833,0.53640,0.53736,-0.263,,1
03/09/2021,0.53465,0.54020,0.53430,0.53877,0.769,,1
02/09/2021,0.53487,0.53670,0.53400,0.53466,-0.0439,,1
01/09/2021,0.53211,0.53550,0.53190,0.53490,0.524,,1
31/08/2021,0.52984,0.53267,0.52950,0.53211,0.425,,1
30/08/2021,0.53108,0.53176,0.52940,0.52986,-0.28,,1
27/08/2021,0.52833,0.53196,0.52760,0.53134,0.57,,1
26/08/2021,0.52866,0.52930,0.52750,0.52833,-0.0586,,1
25/08/2021,0.52815,0.52960,0.52710,0.52864,0.0966,,1
24/08/2021,0.52527,0.52950,0.52490,0.52813,0.544,,1
23/08/2021,0.52286,0.52591,0.52265,0.52527,0.254,,1
20/08/2021,0.52429,0.52480,0.52200,0.52394,-0.0681,,1
19/08/2021,0.52613,0.52653,0.52260,0.52429,-0.35,,1
18/08/2021,0.52802,0.52890,0.52570,0.52614,-0.36,,1
17/08/2021,0.53025,0.53040,0.52750,0.52803,-0.417,,1
16/08/2021,0.53184,0.53321,0.52810,0.53025,-0.179,,1
13/08/2021,0.53154,0.53263,0.53095,0.53120,-0.0676,,1
12/08/2021,0.53140,0.53233,0.53005,0.53155,0.00188,,1
11/08/2021,0.53080,0.53280,0.53000,0.53154,0.142,,1
10/08/2021,0.52933,0.53130,0.52860,0.53079,0.272,,1
09/08/2021,0.53036,0.53089,0.52840,0.52935,-0.183,,1
06/08/2021,0.53154,0.53170,0.52960,0.53032,-0.227,,1
05/08/2021,0.53149,0.53280,0.53120,0.53153,0.00753,,1
04/08/2021,0.53148,0.53300,0.53010,0.53149,0,,1
03/08/2021,0.52987,0.53320,0.52970,0.53149,0.305,,1
02/08/2021,0.52742,0.53100,0.52666,0.52987,0.368,,1
30/07/2021,0.52966,0.53020,0.52710,0.52793,-0.324,,1
29/07/2021,0.53048,0.53080,0.52810,0.52965,-0.158,,1
28/07/2021,0.53061,0.53180,0.52830,0.53048,-0.0226,,1
27/07/2021,0.53407,0.53423,0.52850,0.53061,-0.647,,1
26/07/2021,0.53548,0.53621,0.53320,0.53406,-0.193,,1
23/07/2021,0.53588,0.53750,0.53484,0.53509,-0.144,,1
22/07/2021,0.53614,0.53771,0.53510,0.53587,-0.0532,,1
21/07/2021,0.53823,0.53850,0.53578,0.53615,-0.388,,1
20/07/2021,0.53677,0.53880,0.53520,0.53824,0.273,,1
19/07/2021,0.53701,0.53948,0.53488,0.53678,-0.203,,1
