Date,Open,High,Low,Close,Change%,Volume,Adjustment
24/06/2022,4080.3,4153.5,4067.7,4138.5,1.43,,1
23/06/2022,4018.5,4118.4,4014.0,4080.3,1.54,,1
22/06/2022,3983.0,4042.5,3983.0,4018.5,0.891,,1
21/06/2022,3905.8,3990.4,3896.5,3983.0,1.98,,1
20/06/2022,3905.0,3906.6,3905.0,3905.8,0.093,,1
17/06/2022,3898.5,3925.0,3889.0,3902.2,0.0936,,1
16/06/2022,3906.7,3943.7,3892.0,3898.5,-0.21,,1
15/06/2022,3961.0,3980.4,3890.0,3906.7,-1.51,,1
14/06/2022,3991.3,3991.3,3950.2,3966.6,-0.62,,1
13/06/2022,3944.4,4041.9,3936.1,3991.3,1.46,,1
10/06/2022,3849.8,3944.5,3849.8,3933.8,2.21,,1
09/06/2022,3798.6,3864.3,3795.5,3848.6,1.32,,1
08/06/2022,3789.8,3807.6,3764.0,3798.6,0.233,,1
07/06/2022,3793.2,3822.0,3766.0,3789.8,-0.088,,1
06/06/2022,3781.4,3814.6,3766.0,3793.2,0.552,,1
03/06/2022,3779.0,3789.0,3757.0,3772.3,-0.176,,1
02/06/2022,3802.0,3860.2,3769.8,3779.0,-4.97,,1
01/06/2022,3976.5,3976.5,3976.5,3976.5,0.000252,,1
31/05/2022,3931.9,3976.5,3799.6,3976.5,1.13,,1
30/05/2022,3933.5,3933.5,3931.9,3931.9,0.24,,1
27/05/2022,3925.5,3947.5,3892.1,3922.5,-0.0764,,1
26/05/2022,3941.2,3948.5,3919.1,3925.5,-0.399,,1
25/05/2022,3978.1,3996.5,3936.0,3941.2,-0.926,,1
24/05/2022,3963.3,3982.3,3963.3,3978.1,0.371,,1
23/05/2022,3972.0,3994.0,3925.1,3963.3,-0.402,,1
20/05/2022,4050.5,4058.3,3961.6,3979.3,-1.76,,1
19/05/2022,4069.0,4075.4,4038.1,4050.5,-0.454,,1
18/05/2022,4034.3,4074.2,4025.0,4069.0,0.859,,1
17/05/2022,4057.0,4057.0,4013.0,4034.3,-0.559,,1
16/05/2022,4110.5,4111.6,4048.5,4057.0,-1.27,,1
13/05/2022,4110.5,4121.0,4096.3,4109.2,-0.0321,,1
12/05/2022,4082.0,4126.0,4078.5,4110.5,0.698,,1
11/05/2022,4082.0,4104.5,4065.6,4082.0,0,,1
10/05/2022,4087.3,4103.5,4062.0,4082.0,-0.13,,1
09/05/2022,4057.8,4098.0,4049.0,4087.3,0.934,,1
06/05/2022,4091.3,4097.5,4032.0,4049.5,-1.02,,1
05/05/2022,4069.2,4105.5,4057.0,4091.3,0.545,,1
04/05/2022,4025.7,4078.9,4017.0,4069.2,1.08,,1
03/05/2022,4001.3,4030.0,3993.0,4025.7,0.609,,1
02/05/2022,3958.0,4013.7,3958.0,4001.3,1.05,,1
29/04/2022,3984.9,3984.9,3950.0,3959.7,-0.343,,1
28/04/2022,3962.3,3998.0,3950.0,3973.3,0.277,,1
27/04/2022,3943.3,3983.0,3942.9,3962.3,0.483,,1
26/04/2022,3936.5,3965.1,3935.8,3943.3,0.172,,1
25/04/2022,3856.0,3959.7,3854.3,3936.5,2.49,,1
22/04/2022,3774.0,3859.0,3767.0,3841.0,1.6,,1
21/04/2022,3758.6,3780.4,3753.3,3780.4,0.579,,1
20/04/2022,3749.0,3769.0,3731.0,3758.6,0.256,,1
19/04/2022,3732.0,3767.0,3731.0,3749.0,0.456,,1
18/04/2022,3723.0,3744.0,3716.7,3732.0,0.0713,,1
15/04/2022,3739.0,3743.0,3723.0,3729.3,-0.228,,1
14/04/2022,3722.7,3747.0,3722.0,3737.9,0.409,,1
13/04/2022,3750.2,3762.0,3719.1,3722.7,-0.735,,1
12/04/2022,3742.7,3768.0,3710.5,3750.2,0.202,,1
11/04/2022,3757.0,3764.5,3732.0,3742.7,-0.576,,1
08/04/2022,3769.5,3797.8,3758.2,3764.3,0.134,,1
07/04/2022,3747.7,3778.8,3739.0,3759.3,0.31,,1
06/04/2022,3733.0,3761.0,3729.7,3747.7,0.394,,1
05/04/2022,3704.5,3749.9,3693.0,3733.0,0.769,,1
04/04/2022,3749.1,3754.4,3691.3,3704.5,-1.33,,1
01/04/2022,3751.5,3798.0,3749.1,3754.4,-0.305,,1
31/03/2022,3751.1,3773.0,3746.0,3765.8,0.392,,1
30/03/2022,3775.0,3775.0,3738.0,3751.1,-0.283,,1
29/03/2022,3783.1,3783.1,3755.2,3761.8,-0.565,,1
28/03/2022,3794.7,3807.0,3775.0,3783.1,-0.241,,1
25/03/2022,3787.7,3800.0,3760.2,3792.3,0.121,,1
24/03/2022,3751.0,3811.0,3751.0,3787.7,0.451,,1
23/03/2022,3765.3,3784.5,3732.0,3770.7,0.142,,1
22/03/2022,3816.5,3818.8,3752.0,3765.3,-1.06,,1
21/03/2022,3818.8,3822.0,3800.0,3805.5,-0.375,,1
18/03/2022,3819.7,3838.0,3805.1,3819.8,0.00445,,1
17/03/2022,3834.3,3839.6,3805.2,3819.7,-0.382,,1
16/03/2022,3832.7,3837.6,3813.0,3834.3,0.0431,,1
15/03/2022,3797.1,3853.5,3790.6,3832.7,0.966,,1
14/03/2022,3820.0,3830.0,3772.4,3796.0,-0.576,,1
11/03/2022,3818.7,3846.9,3806.6,3818.0,-0.0175,,1
10/03/2022,3741.5,3829.3,3741.5,3818.7,2.06,,1
09/03/2022,3772.9,3776.5,3732.2,3741.5,-0.831,,1
08/03/2022,3810.5,3810.5,3770.5,3772.9,-0.988,,1
07/03/2022,3830.0,3830.0,3798.5,3810.5,0.874,,1
04/03/2022,3759.4,3860.2,3757.8,3777.5,-1.76,,1
03/03/2022,3847.7,3847.7,3747.0,3845.2,-0.083,,1
02/03/2022,3882.7,3931.7,3835.0,3848.4,-0.867,,1
01/03/2022,3927.7,3946.9,3880.6,3882.0,-1.16,,1
28/02/2022,3913.6,3939.0,3894.5,3927.7,0.357,,1
25/02/2022,3926.5,3926.5,3900.0,3913.7,-0.326,,1
24/02/2022,3912.8,3943.5,3912.0,3926.5,0.349,,1
23/02/2022,3929.7,3929.7,3905.5,3912.8,-0.428,,1
22/02/2022,3935.0,3940.0,3925.0,3929.7,-0.109,,1
21/02/2022,3932.0,3939.0,3931.8,3933.9,0.113,,1
18/02/2022,3944.5,3966.0,3919.3,3929.5,-0.38,,1
17/02/2022,3964.4,3970.2,3927.0,3944.5,-0.474,,1
16/02/2022,3950.3,3970.8,3949.0,3963.3,0.328,,1
15/02/2022,3944.4,3956.0,3920.0,3950.3,0.18,,1
14/02/2022,3932.6,3946.0,3914.0,3943.2,0.439,,1
11/02/2022,3918.8,3932.8,3898.0,3926.0,0.182,,1
10/02/2022,3937.7,3939.0,3904.0,3918.8,-0.414,,1
09/02/2022,3953.9,3953.9,3930.0,3935.1,-0.474,,1
08/02/2022,3965.2,3983.0,3939.0,3953.9,-0.286,,1
07/02/2022,3952.6,3974.4,3943.3,3965.2,0.22,,1
04/02/2022,3954.6,3974.5,3931.0,3956.5,0.0485,,1
03/02/2022,3933.7,3960.0,3925.6,3954.6,0.532,,1
02/02/2022,3923.8,3939.7,3915.0,3933.7,0.251,,1
01/02/2022,3947.8,3948.4,3915.1,3923.8,-0.486,,1
31/01/2022,3958.0,3970.0,3933.5,3943.0,-0.379,,1
28/01/2022,3963.0,3995.0,3952.2,3958.0,-0.126,,1
27/01/2022,3930.0,3971.5,3924.0,3963.0,0.84,,1
26/01/2022,3968.1,3984.5,3928.0,3930.0,-0.874,,1
25/01/2022,3975.8,4004.0,3956.5,3964.6,-0.248,,1
24/01/2022,3956.5,3980.6,3956.0,3974.5,0.456,,1
21/01/2022,3975.5,3988.0,3953.3,3956.5,-0.504,,1
20/01/2022,3994.1,3995.1,3966.5,3976.5,-0.44,,1
19/01/2022,4037.3,4037.5,3990.0,3994.1,-1.03,,1
18/01/2022,4007.0,4041.8,4006.5,4035.5,0.712,,1
17/01/2022,4007.0,4007.2,4007.0,4007.0,0.0115,,1
14/01/2022,3967.1,4016.9,3954.0,4006.5,1.01,,1
13/01/2022,3979.2,3988.5,3941.5,3966.5,-0.318,,1
12/01/2022,4001.0,4001.0,3962.0,3979.2,-0.395,,1
11/01/2022,4048.0,4050.8,3991.9,3994.9,-1.36,,1
10/01/2022,4014.7,4050.5,4014.7,4050.0,-0.0123,,1
07/01/2022,4032.7,4060.0,4024.0,4050.5,0.443,,1
06/01/2022,4028.7,4065.0,4025.0,4032.7,0.0494,,1
05/01/2022,4080.3,4081.3,4014.0,4030.7,-1.22,,1
04/01/2022,4070.0,4091.5,4054.5,4080.3,0.406,,1
03/01/2022,4065.3,4105.5,4050.0,4063.8,-0.0371,,1
31/12/2021,4070.0,4072.0,4056.0,4065.3,-0.115,,1
30/12/2021,4037.9,4070.0,3992.0,4070.0,0.796,,1
29/12/2021,4009.0,4038.9,4005.0,4037.9,0.716,,1
28/12/2021,3990.5,4009.5,3990.5,4009.2,0.309,,1
27/12/2021,3991.5,4000.0,3980.0,3996.8,0.127,,1
24/12/2021,3998.3,4002.4,3987.5,3991.8,-0.156,,1
23/12/2021,4000.0,4003.0,3991.0,3998.0,-0.0497,,1
22/12/2021,4001.9,4002.9,3990.0,4000.0,-0.00275,,1
21/12/2021,4006.5,4006.5,3989.0,4000.1,-0.154,,1
20/12/2021,3974.3,4047.6,3971.5,4006.3,0.804,,1
17/12/2021,4018.8,4033.5,3970.0,3974.3,-0.936,,1
16/12/2021,4000.3,4018.5,3987.1,4011.9,0.289,,1
15/12/2021,4006.0,4008.0,3975.0,4000.3,1.83,,1
14/12/2021,3890.8,3958.6,3886.5,3928.5,1.08,,1
13/12/2021,3886.7,3900.3,3878.0,3886.5,-0.287,,1
10/12/2021,3901.5,3908.5,3876.0,3897.7,-0.102,,1
09/12/2021,3894.0,3911.0,3890.7,3901.6,0.0163,,1
08/12/2021,3911.0,3913.4,3897.0,3901.0,-0.192,,1
07/12/2021,3932.5,3932.5,3892.1,3908.5,-0.61,,1
06/12/2021,3966.2,3969.0,3930.0,3932.5,-0.914,,1
03/12/2021,3937.0,3972.0,3924.0,3968.8,0.807,,1
02/12/2021,3966.6,3968.0,3925.1,3937.0,-0.731,,1
01/12/2021,3995.0,4009.0,3937.2,3966.0,-0.726,,1
30/11/2021,4035.0,4040.0,3990.8,3995.0,-0.991,,1
29/11/2021,4007.0,4039.5,3995.5,4035.0,0.699,,1
26/11/2021,3981.0,4024.5,3979.2,4007.0,0.653,,1
25/11/2021,3974.5,3981.0,3963.8,3981.0,0.0198,,1
24/11/2021,3950.0,3992.5,3947.0,3980.2,0.765,,1
23/11/2021,3925.8,3956.4,3909.0,3950.0,0.663,,1
22/11/2021,3914.0,3931.0,3898.4,3924.0,0.199,,1
19/11/2021,3935.0,3949.5,3913.4,3916.2,-0.235,,1
18/11/2021,3919.0,3958.5,3918.4,3925.4,0.178,,1
17/11/2021,3895.0,3936.0,3893.3,3918.4,0.602,,1
16/11/2021,3884.8,3912.0,3884.0,3895.0,0.263,,1
15/11/2021,3882.8,3888.0,3882.8,3884.8,0.0515,,1
12/11/2021,3879.0,3900.0,3875.3,3882.8,0.098,,1
11/11/2021,3877.5,3887.0,3877.5,3879.0,0.0387,,1
10/11/2021,3867.0,3889.0,3862.0,3877.5,0.272,,1
09/11/2021,3877.0,3890.8,3864.7,3867.0,-0.493,,1
08/11/2021,3872.5,3888.2,3857.0,3886.2,0.353,,1
05/11/2021,3872.0,3898.9,3863.7,3872.5,0.0129,,1
04/11/2021,3832.1,3885.0,3818.8,3872.0,1.09,,1
03/11/2021,3799.0,3851.7,3794.2,3830.1,0.819,,1
02/11/2021,3760.0,3799.0,3758.1,3799.0,1.04,,1
01/11/2021,3760.0,3770.0,3758.5,3760.0,0,,1
29/10/2021,3779.5,3798.3,3756.0,3760.0,-0.457,,1
28/10/2021,3760.0,3778.5,3749.0,3777.3,0.459,,1
27/10/2021,3771.5,3771.5,3751.6,3760.0,-0.232,,1
26/10/2021,3767.0,3779.0,3766.0,3768.7,0.0462,,1
