Date,Open,High,Low,Close,Change%,Volume,Adjustment
10/11/2021,1683.0,1699.5,1665.0,1665.0,-1.74,416877,1
09/11/2021,1724.0,1741.5,1681.0,1694.5,-2.25,304204,1
08/11/2021,1736.0,1756.5,1710.5,1733.5,-0.459,346354,1
05/11/2021,1775.0,1807.5,1710.0,1741.5,-2.82,569505,1
04/11/2021,1805.0,1889.5,1731.0,1792.0,2.28,567454,1
03/11/2021,1740.0,1770.0,1702.0,1752.0,3.15,335094,1
02/11/2021,1708.5,1718.0,1684.5,1698.5,-0.556,284357,1
01/11/2021,1700.0,1731.0,1686.0,1708.0,0,140059,1
29/10/2021,1698.5,1741.0,1675.0,1708.0,1.73,241299,1
28/10/2021,1733.5,1733.5,1675.0,1679.0,-2.75,203842,1
27/10/2021,1737.5,1738.5,1712.5,1726.5,-0.89,146978,1
26/10/2021,1726.5,1785.5,1725.0,1742.0,-0.201,283948,1
25/10/2021,1727.5,1764.0,1716.0,1745.5,1.04,247181,1
22/10/2021,1717.0,1788.5,1717.0,1727.5,-1.76,251032,1
21/10/2021,1665.0,1788.5,1665.0,1758.5,3.29,242435,1
20/10/2021,1712.0,1713.0,1666.0,1702.5,-0.584,314810,1
19/10/2021,1745.5,1777.0,1699.0,1712.5,-1.18,302637,1
18/10/2021,1804.5,1818.0,1733.0,1733.0,-4.68,254303,1
15/10/2021,1795.5,1822.0,1786.5,1818.0,1,305736,1
14/10/2021,1802.0,1830.0,1784.5,1800.0,1.41,233837,1
13/10/2021,1770.5,1803.0,1760.0,1775.0,0.368,274672,1
12/10/2021,1721.5,1794.0,1716.5,1768.5,0.569,156666,1
11/10/2021,1766.0,1766.5,1715.5,1758.5,-0.706,245882,1
08/10/2021,1700.5,1787.0,1695.5,1771.0,5.07,358902,1
07/10/2021,1685.0,1724.0,1658.5,1685.5,2.12,393676,1
06/10/2021,1732.0,1752.0,1645.5,1650.5,-5.71,1063737,1
05/10/2021,1802.5,1802.5,1733.0,1750.5,-1.85,712443,1
04/10/2021,1821.0,1841.0,1783.5,1783.5,-2.51,791416,1
01/10/2021,1890.0,1895.5,1817.0,1829.5,-4.49,1438845,1
30/09/2021,1920.5,1930.0,1891.5,1915.5,-0.156,276421,1
29/09/2021,1916.0,1938.5,1901.0,1918.5,0.288,127825,1
28/09/2021,1960.0,1962.0,1901.5,1913.0,-2.57,277310,1
27/09/2021,1940.0,1970.0,1925.0,1963.5,1.92,298086,1
24/09/2021,1940.0,1940.0,1905.0,1926.5,-0.0519,158233,1
23/09/2021,1910.5,1944.5,1890.5,1927.5,0.758,374271,1
22/09/2021,1865.5,1921.5,1864.0,1913.0,3.41,624055,1
21/09/2021,1826.0,1866.5,1815.5,1850.0,2.15,305708,1
20/09/2021,1892.0,1900.0,1811.0,1811.0,-4.68,457719,1
17/09/2021,1903.0,1956.5,1894.5,1900.0,0.185,740176,1
16/09/2021,1892.5,1922.0,1882.0,1896.5,0.45,404299,1
15/09/2021,1887.0,1900.0,1854.5,1888.0,-0.369,294054,1
14/09/2021,1935.5,1953.0,1892.0,1895.0,-2.45,245450,1
13/09/2021,1937.0,1952.0,1898.5,1942.5,1.49,224775,1
10/09/2021,1924.5,1941.0,1910.5,1914.0,-0.156,133232,1
09/09/2021,1887.0,1929.0,1855.0,1917.0,0.895,275803,1
08/09/2021,1966.0,1966.5,1897.0,1900.0,-3.75,279123,1
07/09/2021,2000.0,2029.0,1974.0,1974.0,-1.89,103732,1
06/09/2021,2015.0,2021.0,1992.0,2012.0,0.5,91077,1
03/09/2021,2017.0,2056.0,1996.0,2002.0,-1.18,177353,1
02/09/2021,1980.0,2041.0,1972.0,2026.0,2.22,204047,1
01/09/2021,2010.0,2054.0,1975.0,1982.0,-1.1,308435,1
31/08/2021,1929.0,2009.0,1929.0,2004.0,3.33,319320,1
27/08/2021,1943.5,1965.0,1906.5,1939.5,1.07,203259,1
26/08/2021,1928.5,1952.5,1905.0,1919.0,-1.31,131272,1
25/08/2021,1965.0,1989.0,1939.5,1944.5,-0.892,146909,1
24/08/2021,1903.0,1964.0,1899.5,1962.0,2.72,123900,1
23/08/2021,1960.5,1960.5,1898.0,1910.0,-0.261,180292,1
20/08/2021,1944.5,1974.0,1868.5,1915.0,-1.26,380709,1
19/08/2021,1944.5,1995.0,1917.0,1939.5,-2.17,313788,1
18/08/2021,2044.0,2045.0,1976.0,1982.5,-2.15,178954,1
17/08/2021,2000.0,2042.0,2000.0,2026.0,0.347,165337,1
16/08/2021,2072.0,2076.0,2005.0,2019.0,-2.75,266541,1
13/08/2021,2058.0,2119.0,2058.0,2076.0,-0.24,314286,1
12/08/2021,2050.0,2089.0,2048.0,2081.0,1.17,321530,1
11/08/2021,2022.0,2057.0,1991.5,2057.0,2.54,202427,1
10/08/2021,2020.0,2020.0,1966.5,2006.0,1.21,230104,1
09/08/2021,2030.0,2050.0,1961.5,1982.0,-2.84,271082,1
06/08/2021,1980.0,2063.0,1980.0,2040.0,1.09,444808,1
05/08/2021,1980.0,2018.0,1955.5,2018.0,1.66,273639,1
04/08/2021,1988.5,2007.0,1971.0,1985.0,-0.176,301836,1
