Date,Open,High,Low,Close,Change%,Volume,Adjustment
10/06/2022,301.00,301.00,296.00,296.00,-1.66,11333,1
09/06/2022,301.00,301.00,301.00,301.00,0,2189,1
08/06/2022,301.00,301.00,301.00,301.00,-0.496,14124,1
07/06/2022,302.50,302.50,302.50,302.50,0,27962,1
06/06/2022,302.50,302.50,302.50,302.50,0,5897,1
01/06/2022,302.50,302.50,302.50,302.50,0,6705,1
31/05/2022,302.50,302.50,302.50,302.50,0,62901,1
30/05/2022,302.50,302.50,302.50,302.50,0,3244,1
27/05/2022,302.50,302.50,302.50,302.50,0,2992,1
26/05/2022,302.50,302.50,302.50,302.50,0,4301,1
25/05/2022,302.50,302.50,302.50,302.50,0,5821,1
24/05/2022,302.50,302.50,302.50,302.50,0,24717,1
23/05/2022,305.00,305.00,302.50,302.50,0,11919,1
20/05/2022,302.50,302.50,302.50,302.50,0,8656,1
19/05/2022,302.50,302.50,302.50,302.50,0,1749,1
18/05/2022,302.50,302.50,302.50,302.50,0,9451,1
17/05/2022,302.50,302.50,302.50,302.50,0,23802,1
16/05/2022,302.50,302.50,302.50,302.50,0,698,1
13/05/2022,302.50,302.50,302.50,302.50,0,25312,1
12/05/2022,302.50,302.50,302.50,302.50,-0.82,510,1
11/05/2022,310.00,310.00,305.00,305.00,-1.61,8720,1
10/05/2022,311.50,311.50,310.00,310.00,-0.482,20216,1
09/05/2022,315.00,315.00,311.50,311.50,-1.11,15064,1
06/05/2022,315.00,315.00,315.00,315.00,0,7418,1
05/05/2022,317.50,317.50,315.00,315.00,-0.787,9429,1
04/05/2022,320.00,320.00,317.50,317.50,-0.781,11298,1
03/05/2022,320.00,320.00,320.00,320.00,-0.775,6229,1
29/04/2022,322.50,322.50,322.50,322.50,0,8796,1
28/04/2022,322.50,322.50,322.50,322.50,0,99817,1
27/04/2022,322.50,322.50,322.50,322.50,0,10027,1
26/04/2022,322.50,322.50,322.50,322.50,0,10040,1
25/04/2022,322.50,322.50,322.50,322.50,0,61939,1
22/04/2022,325.00,325.00,322.50,322.50,0,20678,1
21/04/2022,317.50,322.50,317.50,322.50,1.57,23523,1
20/04/2022,317.50,317.50,317.50,317.50,0,13628,1
19/04/2022,325.00,325.00,317.50,317.50,-2.31,83818,1
14/04/2022,325.00,325.00,325.00,325.00,0,4475,1
13/04/2022,325.00,325.00,325.00,325.00,0,4559,1
12/04/2022,325.00,325.00,322.50,325.00,0.775,5748,1
