Date,Open,High,Low,Close,Change%,Volume,Adjustment
24/06/2022,1169.0,1188.0,1142.5,1184.5,1.11,2374060,1
23/06/2022,1236.0,1236.0,1171.5,1171.5,-5.83,1617556,1
22/06/2022,1290.5,1302.5,1244.0,1244.0,-6.43,2419804,1
21/06/2022,1304.0,1341.0,1299.5,1329.5,2.98,1339356,1
20/06/2022,1266.5,1306.5,1249.0,1291.0,1.33,1296365,1
17/06/2022,1335.5,1350.5,1266.5,1274.0,-3.89,3287403,1
16/06/2022,1394.5,1397.5,1314.0,1325.5,-5.39,1116673,1
15/06/2022,1399.0,1431.0,1367.5,1401.0,0.574,1597514,1
14/06/2022,1410.5,1423.5,1383.5,1393.0,-0.0359,1455411,1
13/06/2022,1424.0,1426.0,1355.5,1393.5,-2.76,1461620,1
10/06/2022,1465.5,1480.5,1422.5,1433.0,-3.44,1919284,1
09/06/2022,1488.0,1508.0,1481.0,1484.0,-0.968,1607483,1
08/06/2022,1524.0,1524.0,1458.0,1498.5,-1.58,1384406,1
07/06/2022,1533.0,1560.0,1493.5,1522.5,-0.943,2128489,1
06/06/2022,1537.5,1550.0,1516.0,1537.0,2.81,1052701,1
01/06/2022,1492.0,1517.5,1463.5,1495.0,1.18,1575585,1
31/05/2022,1512.5,1551.5,1458.5,1477.5,-2.7,5719840,1
30/05/2022,1487.0,1527.0,1471.0,1518.5,3.3,1060400,1
27/05/2022,1466.5,1498.0,1456.5,1470.0,1.14,908394,1
26/05/2022,1426.0,1463.0,1417.0,1453.5,-0.309,813655,1
25/05/2022,1469.5,1474.0,1444.5,1458.0,0.413,1240888,1
24/05/2022,1447.0,1480.0,1424.0,1452.0,0.103,1424602,1
23/05/2022,1448.0,1450.5,1420.0,1450.5,1.97,1365812,1
20/05/2022,1452.5,1469.0,1416.0,1422.5,-0.175,1409347,1
19/05/2022,1391.5,1426.5,1364.0,1425.0,1.14,1122619,1
18/05/2022,1450.0,1457.0,1407.5,1409.0,-2.56,1266977,1
17/05/2022,1390.0,1454.5,1382.0,1446.0,4.59,1581060,1
16/05/2022,1343.5,1400.5,1340.5,1382.5,2.52,2479888,1
13/05/2022,1350.0,1353.5,1319.5,1348.5,0.634,1048745,1
12/05/2022,1350.0,1350.0,1292.0,1340.0,-4.46,1777345,1
11/05/2022,1382.0,1411.0,1351.0,1402.5,3.2,1449813,1
10/05/2022,1394.0,1407.5,1349.0,1359.0,-0.22,1746769,1
09/05/2022,1445.0,1447.5,1356.0,1362.0,-6.52,1541085,1
06/05/2022,1442.0,1462.0,1428.5,1457.0,0.726,1349671,1
05/05/2022,1568.5,1572.5,1428.5,1446.5,-4.77,1346268,1
04/05/2022,1527.0,1544.5,1496.0,1519.0,-0.23,1563713,1
03/05/2022,1540.5,1547.5,1479.5,1522.5,-1.84,1860299,1
