Date,Open,High,Low,Close,Change%,Volume,Adjustment
08/10/2021,99.900,101.20,99.500,100.80,0.8,325437,1
07/10/2021,101.00,102.00,98.700,100.00,0.705,503048,1
06/10/2021,100.00,101.00,98.900,99.300,-1.29,364040,1
05/10/2021,103.00,103.60,100.60,100.60,-1.95,641961,1
04/10/2021,102.60,104.00,102.00,102.60,-1.16,557049,1
01/10/2021,103.60,104.40,102.80,103.80,-0.575,262229,1
30/09/2021,105.20,105.40,104.00,104.40,0.192,1600218,1
29/09/2021,102.80,105.40,102.00,104.20,1.36,933306,1
28/09/2021,105.40,105.40,102.20,102.80,-2.1,881470,1
27/09/2021,104.20,107.80,104.20,105.00,-1.87,958871,1
24/09/2021,103.40,107.00,102.80,107.00,3.28,2121829,1
23/09/2021,102.20,105.20,102.20,103.60,-1.33,2157641,1
22/09/2021,104.80,106.20,104.40,105.00,0.382,1473251,1
21/09/2021,103.60,105.60,101.00,104.60,3.56,4669239,1
20/09/2021,105.00,105.00,101.00,101.00,-3.81,565286,1
17/09/2021,106.60,106.60,105.00,105.00,-0.568,333523,1
16/09/2021,107.00,107.00,105.20,105.60,-1.31,858306,1
15/09/2021,105.80,107.20,105.60,107.00,0,216094,1
14/09/2021,106.80,107.20,106.00,107.00,0,542692,1
13/09/2021,108.83,108.83,106.40,107.00,-0.558,240442,1
10/09/2021,109.20,109.20,107.40,107.60,-1.28,432448,1
09/09/2021,107.80,109.00,107.20,109.00,0.184,756649,1
08/09/2021,109.00,110.00,108.80,108.80,-1.09,913204,1
07/09/2021,110.00,110.80,109.40,110.00,0,2924219,1
06/09/2021,109.20,110.00,107.80,110.00,1.66,1085530,1
03/09/2021,109.20,109.20,107.00,108.20,0,848253,1
02/09/2021,107.20,109.40,107.20,108.20,0.185,977843,1
01/09/2021,110.00,110.00,107.60,108.00,0,821275,1
31/08/2021,107.40,109.40,106.20,108.00,0.372,729117,1
27/08/2021,109.00,109.00,107.40,107.60,-0.555,211890,1
26/08/2021,105.00,108.20,105.00,108.20,2.08,622832,1
25/08/2021,105.40,107.00,105.40,106.00,0.569,336756,1
24/08/2021,107.00,108.00,105.40,105.40,-2.77,384640,1
23/08/2021,108.20,108.40,107.80,108.40,1.12,230936,1
20/08/2021,108.40,108.60,106.80,107.20,-0.741,393172,1
19/08/2021,108.00,108.60,107.40,108.00,-0.369,270565,1
18/08/2021,108.00,108.60,107.00,108.40,0.37,461781,1
17/08/2021,108.00,108.00,106.60,108.00,0.186,630865,1
16/08/2021,106.80,108.60,106.80,107.80,0.56,701065,1
13/08/2021,107.60,108.20,106.40,107.20,-1.65,608251,1
12/08/2021,105.40,109.00,105.40,109.00,3.42,756498,1
11/08/2021,105.60,106.00,105.00,105.40,-0.566,343760,1
10/08/2021,105.40,106.00,104.60,106.00,0.189,290815,1
09/08/2021,105.20,106.20,104.80,105.80,0.954,588751,1
06/08/2021,106.60,107.00,104.80,104.80,-1.69,575941,1
05/08/2021,106.20,107.00,105.40,106.60,0,802220,1
04/08/2021,105.00,106.80,105.00,106.60,0.947,615494,1
03/08/2021,104.20,106.00,103.80,105.60,1.34,280384,1
02/08/2021,104.80,105.60,103.40,104.20,0.192,1220839,1
30/07/2021,103.00,104.00,103.00,104.00,0.193,1783773,1
29/07/2021,103.20,104.40,102.60,103.80,0,458744,1
28/07/2021,104.60,105.00,103.00,103.80,-0.192,609528,1
27/07/2021,101.80,104.40,100.20,104.00,1.96,583087,1
26/07/2021,102.80,103.00,99.700,102.00,2,523454,1
23/07/2021,98.600,100.80,97.600,100.00,1.32,1730364,1
22/07/2021,98.900,99.400,97.800,98.700,-0.504,466082,1
21/07/2021,100.20,101.40,98.300,99.200,1.12,548532,1
20/07/2021,100.00,101.40,97.300,98.100,-1.31,2427090,1
19/07/2021,100.20,100.20,99.000,99.400,-1.58,497564,1
16/07/2021,99.100,101.00,99.000,101.00,1,404518,1
15/07/2021,100.00,103.00,99.400,100.00,-1.19,617010,1
14/07/2021,99.000,102.00,99.000,101.20,0.596,1050319,1
13/07/2021,101.80,101.80,99.200,100.60,-1.95,540065,1
12/07/2021,101.80,103.00,101.60,102.60,0.391,1825266,1
09/07/2021,103.00,103.00,102.00,102.20,0.988,427981,1
08/07/2021,100.80,103.00,100.80,101.20,0,4444213,1
07/07/2021,100.00,102.40,100.00,101.20,-0.394,506022,1
06/07/2021,101.00,101.60,100.80,101.60,0.395,349960,1
05/07/2021,100.80,103.80,100.40,101.20,-0.978,697879,1
02/07/2021,103.00,104.80,101.60,102.20,0,382371,1
01/07/2021,98.200,103.20,98.200,102.20,3.02,817638,1
30/06/2021,100.40,101.00,98.500,99.200,-0.302,1715002,1
29/06/2021,98.400,100.40,98.400,99.500,-0.301,696455,1
28/06/2021,100.00,100.80,98.100,99.800,0.201,243336,1
25/06/2021,100.00,100.60,98.800,99.600,1.12,317865,1
24/06/2021,99.000,100.00,98.500,98.500,-0.905,4396343,1
23/06/2021,97.300,99.400,97.300,99.400,1.22,1664280,1
22/06/2021,97.600,98.400,97.500,98.200,0.204,595528,1
21/06/2021,97.600,98.000,96.500,98.000,0.307,717668,1
18/06/2021,98.700,99.400,97.300,97.700,-1.21,874076,1
17/06/2021,98.000,99.700,98.000,98.900,-0.101,343133,1
16/06/2021,99.000,99.900,98.800,99.000,-0.202,4421441,1
15/06/2021,99.000,100.40,98.700,99.200,0.202,266274,1
14/06/2021,98.600,99.500,98.500,99.000,0.406,470821,1
11/06/2021,98.500,98.900,97.100,98.600,0.407,574197,1
10/06/2021,99.400,99.400,97.400,98.200,-1.21,495160,1
09/06/2021,99.900,100.40,98.900,99.400,-0.201,4157665,1
08/06/2021,100.80,101.20,99.400,99.600,-1.19,826499,1
07/06/2021,105.00,105.00,100.60,100.80,-2.14,1112409,1
04/06/2021,102.00,103.00,101.80,103.00,0.783,3835908,1
03/06/2021,100.00,102.20,98.700,102.20,3.02,3710958,1
02/06/2021,100.00,100.00,98.100,99.200,0.813,518066,1
01/06/2021,98.800,100.00,98.400,98.400,-0.405,1017347,1
28/05/2021,99.000,100.00,97.300,98.800,-1.2,1071357,1
27/05/2021,98.000,100.00,97.600,100.00,1.94,1742717,1
26/05/2021,97.200,99.100,96.000,98.100,1.55,1060428,1
25/05/2021,96.000,97.800,96.000,96.600,0.625,1585272,1
24/05/2021,96.000,96.000,95.700,96.000,0,1375683,1
21/05/2021,96.000,96.300,95.500,96.000,0,1997434,1
20/05/2021,95.900,97.000,95.200,96.000,0.209,656403,1
19/05/2021,95.000,96.200,94.600,95.800,0.842,1024920,1
18/05/2021,94.900,95.100,93.600,95.000,0.105,618577,1
17/05/2021,93.000,95.100,92.100,94.900,1.61,1311329,1
14/05/2021,93.800,93.800,92.300,93.400,0.43,426396,1
13/05/2021,95.000,95.000,92.000,93.000,0,690367,1
12/05/2021,95.000,95.000,92.300,93.000,-1.06,818822,1
11/05/2021,96.600,96.600,93.600,94.000,-2.39,861826,1
10/05/2021,97.000,98.000,96.100,96.300,0,706021,1
07/05/2021,95.000,96.300,95.000,96.300,0.313,783500,1
06/05/2021,95.900,96.000,95.100,96.000,0.104,600525,1
05/05/2021,95.000,96.200,95.000,95.900,0.314,544593,1
04/05/2021,98.300,98.300,95.200,95.600,-0.417,609978,1
30/04/2021,95.700,96.200,95.000,96.000,0.524,1242310,1
29/04/2021,94.800,95.900,94.800,95.500,-0.209,852956,1
28/04/2021,95.000,96.000,94.100,95.700,1.48,2286418,1
27/04/2021,95.500,95.500,93.000,94.300,-1.26,1043160,1
26/04/2021,94.000,96.000,94.000,95.500,0,1265779,1
23/04/2021,95.400,96.000,95.300,95.500,0,885598,1
22/04/2021,95.800,95.800,95.000,95.500,0,728884,1
21/04/2021,95.600,96.000,95.000,95.500,0,1378849,1
20/04/2021,95.900,96.000,95.000,95.500,-0.521,3667105,1
19/04/2021,96.000,96.000,94.600,96.000,1.91,1786000,1
16/04/2021,94.100,95.200,93.400,94.200,0.749,455313,1
15/04/2021,95.800,95.800,92.100,93.500,0.754,935527,1
14/04/2021,93.900,94.000,92.800,92.800,0.216,2518949,1
13/04/2021,92.500,93.300,92.000,92.600,-0.857,1190168,1
12/04/2021,94.700,95.500,92.500,93.400,-1.16,659987,1
09/04/2021,94.400,95.800,94.400,94.500,-0.526,10358605,1
08/04/2021,95.000,95.000,94.400,95.000,0,988676,1
07/04/2021,95.500,95.500,94.200,95.000,0.105,555814,1
06/04/2021,95.300,95.300,93.400,94.900,0.423,1121006,1
01/04/2021,94.600,95.500,92.500,94.500,0.532,2887694,1
31/03/2021,94.800,94.900,92.300,94.000,1.51,870914,1
30/03/2021,94.000,94.000,91.700,92.600,-1.59,1251950,1
29/03/2021,91.000,94.400,90.900,94.100,3.41,1850267,1
26/03/2021,88.900,91.000,87.100,91.000,2.82,4820633,1
25/03/2021,87.000,88.800,87.000,88.500,0.797,3541551,1
24/03/2021,88.000,88.000,87.000,87.800,0,717706,1
23/03/2021,85.500,88.900,85.500,87.800,3.42,2563304,1
22/03/2021,84.500,85.000,83.500,84.900,0.355,580078,1
19/03/2021,84.200,86.700,84.200,84.600,-2.2,806521,1
18/03/2021,85.100,86.700,83.100,86.500,1.76,2733587,1
17/03/2021,82.900,85.200,82.900,85.000,0.354,4208049,1
16/03/2021,83.900,85.000,82.500,84.700,0.833,2071661,1
15/03/2021,82.200,84.700,82.000,84.000,2.44,2029385,1
12/03/2021,82.100,82.500,81.500,82.000,-0.122,2159720,1
11/03/2021,82.500,82.500,81.900,82.100,-0.485,956006,1
10/03/2021,82.500,83.000,81.800,82.500,0,2910354,1
09/03/2021,83.900,85.000,82.500,82.500,-1.67,1056280,1
08/03/2021,84.100,85.200,83.300,83.900,-1.29,863010,1
05/03/2021,84.000,85.000,83.200,85.000,1.19,1423452,1
04/03/2021,84.900,85.000,83.100,84.000,0,417865,1
03/03/2021,85.000,85.000,83.900,84.000,-1.18,2125613,1
02/03/2021,86.000,86.000,84.500,85.000,-0.468,937088,1
01/03/2021,85.700,87.100,84.500,85.400,-0.35,520328,1
26/02/2021,84.700,86.000,84.000,85.700,-0.349,556500,1
25/02/2021,86.100,87.600,84.300,86.000,2.38,1156626,1
24/02/2021,84.100,85.000,84.000,84.000,-0.592,952973,1
23/02/2021,86.000,86.000,83.500,84.500,0.595,3848955,1
22/02/2021,84.000,84.900,83.500,84.000,0,859771,1
19/02/2021,85.000,85.900,84.000,84.000,-0.592,294812,1
18/02/2021,86.000,86.000,84.500,84.500,-1.63,291398,1
17/02/2021,86.300,87.200,85.000,85.900,-1.26,265851,1
16/02/2021,87.200,87.500,86.600,87.000,-0.229,191205,1
15/02/2021,89.000,89.000,86.300,87.200,0,432576,1
12/02/2021,86.200,88.200,86.000,87.200,0.23,578511,1
11/02/2021,87.300,87.300,84.000,87.000,0.694,851709,1
10/02/2021,87.000,88.400,86.100,86.400,-0.69,253237,1
09/02/2021,87.000,87.400,86.500,87.000,0.694,626190,1
08/02/2021,86.000,87.800,86.000,86.400,-1.82,216165,1
05/02/2021,86.800,88.000,85.500,88.000,1.15,351756,1
04/02/2021,86.600,87.000,84.100,87.000,2.59,1461770,1
03/02/2021,85.800,85.800,84.400,84.800,-0.703,2051815,1
02/02/2021,87.600,87.600,85.300,85.400,-0.698,282514,1
01/02/2021,86.500,87.700,85.300,86.000,-0.693,367182,1
29/01/2021,87.800,87.800,85.600,86.600,-0.46,396005,1
28/01/2021,88.000,88.000,84.100,87.000,-1.14,1300727,1
27/01/2021,87.800,88.000,86.700,88.000,0,602240,1
26/01/2021,89.000,89.100,86.200,88.000,0,628652,1
25/01/2021,88.800,88.800,86.500,88.000,0.917,1194377,1
22/01/2021,87.800,88.800,86.600,87.200,0.461,1314940,1
21/01/2021,89.900,89.900,86.800,86.800,-1.36,1094228,1
20/01/2021,87.500,90.900,87.400,88.000,0.917,2084112,1
19/01/2021,86.800,87.700,86.000,87.200,0.693,2443530,1
18/01/2021,86.000,87.900,86.000,86.600,0.348,466047,1
15/01/2021,87.500,87.700,86.100,86.300,0,489600,1
14/01/2021,87.900,87.900,86.000,86.300,-1.26,289920,1
13/01/2021,86.100,89.000,86.100,87.400,4.05,422972,1
12/01/2021,88.800,89.000,84.000,84.000,-3.45,606862,1
11/01/2021,89.000,89.000,86.300,87.000,-0.798,502846,1
08/01/2021,88.900,88.900,86.900,87.700,0.229,595129,1
07/01/2021,88.000,89.900,87.000,87.500,0.344,1191013,1
06/01/2021,90.000,90.000,87.200,87.200,-2.13,561555,1
05/01/2021,88.000,89.800,87.100,89.100,1.14,1201183,1
04/01/2021,90.000,90.900,86.400,88.100,0.571,818784,1
31/12/2020,87.500,88.800,87.500,87.600,0.114,58480,1
30/12/2020,87.100,88.300,86.300,87.500,0.344,627398,1
29/12/2020,81.000,87.900,79.700,87.200,10.5,1025173,1
24/12/2020,80.000,80.900,78.900,78.900,-0.127,2082632,1
23/12/2020,78.000,79.000,76.900,79.000,1.28,596745,1
22/12/2020,77.000,78.000,76.000,78.000,-1.02,1013952,1
21/12/2020,78.700,80.400,76.600,78.800,0.639,628417,1
18/12/2020,78.900,79.000,77.200,78.300,1.03,638038,1
17/12/2020,78.000,79.000,76.200,77.500,0.259,546489,1
16/12/2020,77.100,77.900,75.900,77.300,0.651,1250298,1
15/12/2020,76.900,77.900,72.200,76.800,0.787,28618804,1
14/12/2020,76.100,76.500,74.700,76.200,0.263,780087,1
11/12/2020,76.000,77.000,75.300,76.000,0.396,726998,1
10/12/2020,77.700,77.700,75.700,75.700,-2.2,477555,1
09/12/2020,76.100,77.800,75.400,77.400,0.129,1032643,1
08/12/2020,73.300,77.300,73.300,77.300,2.25,507299,1
07/12/2020,75.300,77.200,74.000,75.600,0,403350,1
04/12/2020,73.200,75.900,73.200,75.600,0.8,1293353,1
03/12/2020,74.100,75.000,73.000,75.000,2.04,483716,1
02/12/2020,74.100,74.900,73.300,73.500,-0.136,1240804,1
01/12/2020,75.000,75.000,73.000,73.600,-1.87,1259163,1
30/11/2020,74.200,75.000,72.900,75.000,2.18,540103,1
27/11/2020,73.100,73.900,73.000,73.400,0.548,174963,1
26/11/2020,74.200,74.200,73.000,73.000,-0.68,3858916,1
25/11/2020,73.800,73.900,72.900,73.500,-0.541,323325,1
24/11/2020,74.800,74.900,73.200,73.900,-1.47,2313159,1
23/11/2020,73.000,75.000,72.900,75.000,0.134,411149,1
20/11/2020,73.600,75.000,72.800,74.900,1.63,5808170,1
19/11/2020,73.900,74.000,72.700,73.700,-0.405,868186,1
18/11/2020,72.800,74.000,72.100,74.000,0,655582,1
17/11/2020,73.200,74.900,72.100,74.000,0.955,361968,1
16/11/2020,73.000,73.300,72.100,73.300,0.274,1368586,1
13/11/2020,73.500,74.000,73.100,73.100,-0.814,306794,1
12/11/2020,75.000,75.000,72.900,73.700,-0.674,330137,1
11/11/2020,73.500,75.600,73.000,74.200,-0.935,259566,1
10/11/2020,75.700,75.800,73.200,74.900,-1.45,1059744,1
09/11/2020,74.000,76.000,73.900,76.000,1.6,944785,1
06/11/2020,74.800,75.900,73.800,74.800,-0.267,162221,1
05/11/2020,75.900,76.000,74.600,75.000,-0.662,139620,1
04/11/2020,74.200,76.800,74.200,75.500,0,723328,1
