Date,Open,High,Low,Close,Change%,Volume,Adjustment
28/01/2022,643.80,657.00,641.20,653.40,0.74,4722489,1
27/01/2022,631.80,650.20,631.80,648.60,0.434,2609112,1
26/01/2022,639.80,650.00,635.00,645.80,1.64,1875147,1
25/01/2022,663.80,664.00,635.40,635.40,-3.61,3470786,1
24/01/2022,680.00,684.20,655.00,659.20,-3.57,4685472,1
21/01/2022,682.20,690.00,678.60,683.60,-0.928,3791664,1
20/01/2022,695.80,695.80,682.40,690.00,0.203,2233919,1
19/01/2022,678.00,695.40,674.60,688.60,0.555,7299008,1
18/01/2022,690.80,692.80,672.80,684.80,-1.04,2191727,1
17/01/2022,690.60,699.20,685.20,692.00,0.64,2240241,1
14/01/2022,699.20,703.80,685.80,687.60,-2.61,2230089,1
13/01/2022,707.60,714.00,703.00,706.00,-0.647,1863943,1
12/01/2022,712.80,717.80,709.80,710.60,0.452,2070706,1
11/01/2022,697.80,709.00,695.40,707.40,1.75,2052559,1
10/01/2022,715.40,718.00,690.40,695.20,-2.69,2257353,1
07/01/2022,717.00,718.20,707.80,714.40,-0.363,1418914,1
06/01/2022,722.00,722.00,706.00,717.00,-2.53,2011672,1
05/01/2022,731.20,735.60,729.60,735.60,0.3,1204102,1
04/01/2022,746.00,748.20,733.20,733.40,-0.892,2376243,1
31/12/2021,724.60,740.80,724.60,740.00,0.653,1366416,1
30/12/2021,729.60,738.80,728.40,735.20,0.657,1469755,1
29/12/2021,729.40,736.40,728.40,730.40,0.828,1419485,1
24/12/2021,733.00,733.00,721.20,724.40,0.305,235633,1
23/12/2021,723.60,723.60,714.20,722.20,-0.111,918275,1
22/12/2021,710.60,723.00,710.60,723.00,2.12,5977288,1
21/12/2021,727.80,730.60,706.00,708.00,-1.67,4696983,1
20/12/2021,709.40,720.20,706.20,720.00,0.195,1419698,1
17/12/2021,711.80,718.60,708.80,718.60,0.785,4835521,1
16/12/2021,725.80,731.00,713.00,713.00,-0.168,4961282,1
15/12/2021,717.40,721.60,714.20,714.20,0.196,2614443,1
14/12/2021,733.40,735.20,712.80,712.80,-2.46,1958119,1
13/12/2021,731.80,735.80,727.80,730.80,-0.409,4812282,1
10/12/2021,732.20,740.80,728.60,733.80,-0.461,1523919,1
09/12/2021,740.20,743.20,731.20,737.20,0.409,1929527,1
08/12/2021,741.20,751.40,734.20,734.20,-1.02,2194380,1
07/12/2021,731.20,741.80,731.20,741.80,2.52,4829617,1
06/12/2021,720.20,726.80,715.60,723.60,1.15,1138789,1
03/12/2021,714.40,725.60,711.60,715.40,0.534,1763272,1
02/12/2021,726.00,729.60,711.40,711.60,-2.79,2558492,1
01/12/2021,732.80,741.80,730.40,732.00,-0.0819,3113944,1
30/11/2021,731.80,738.20,730.00,732.60,0.0273,6670953,1
29/11/2021,732.00,739.40,725.80,732.40,0.356,1991085,1
26/11/2021,713.40,734.40,713.40,729.80,-0.0822,1369266,1
25/11/2021,735.40,741.80,729.00,730.40,-0.599,1387053,1
24/11/2021,729.40,739.40,727.80,734.80,0.934,1646815,1
23/11/2021,730.60,731.20,718.00,728.00,-1.03,2136395,1
