Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,333.40,333.40,315.30,319.30,-2,993836,1
28/10/2021,333.50,333.50,322.40,325.80,-1.06,576533,1
27/10/2021,332.00,332.00,323.40,329.30,0.58,1283067,1
26/10/2021,325.50,329.80,319.10,327.40,-0.365,4178000,1
25/10/2021,338.20,338.20,325.20,328.60,-0.845,935675,1
22/10/2021,325.80,334.30,325.80,331.40,-0.0302,2243799,1
21/10/2021,330.00,335.10,323.80,331.50,-0.421,1069597,1
20/10/2021,325.70,334.40,325.70,332.90,1.12,491907,1
19/10/2021,332.40,337.50,328.10,329.20,-0.784,672546,1
18/10/2021,341.50,341.50,322.70,331.80,-2.84,1171779,1
15/10/2021,353.70,354.80,341.50,341.50,-3.23,753033,1
14/10/2021,352.70,359.00,351.90,352.90,0.455,3049223,1
13/10/2021,351.80,353.30,346.00,351.30,-1.04,1084051,1
12/10/2021,353.00,355.60,344.00,355.00,1.11,3784493,1
11/10/2021,344.30,353.40,344.30,351.10,-0.0569,1414651,1
08/10/2021,354.80,354.80,348.20,351.30,0.0285,538188,1
07/10/2021,351.40,352.50,344.70,351.20,1.33,2931797,1
06/10/2021,352.20,352.20,336.80,346.60,-2.37,2879953,1
05/10/2021,360.60,369.00,354.70,355.00,-3.48,967374,1
04/10/2021,370.80,381.00,367.20,367.80,0.0272,1125358,1
01/10/2021,368.00,372.00,362.60,367.70,-1.1,817893,1
30/09/2021,379.50,379.50,369.80,371.80,0.135,918290,1
29/09/2021,364.70,375.70,364.70,371.30,0.815,623282,1
28/09/2021,372.00,378.20,364.60,368.30,-2.64,1176585,1
27/09/2021,383.30,388.00,376.20,378.30,-0.5,721261,1
24/09/2021,378.60,383.20,374.60,380.20,0.37,720238,1
23/09/2021,380.00,380.10,372.60,378.80,1.8,787222,1
22/09/2021,361.50,374.90,356.10,372.10,0.813,1884073,1
21/09/2021,364.00,369.20,358.90,369.10,2.3,1160866,1
20/09/2021,369.80,369.80,349.00,360.80,-0.304,681219,1
17/09/2021,362.70,369.50,361.40,361.90,0.612,1567007,1
16/09/2021,356.00,364.70,355.90,359.70,0.983,1128819,1
15/09/2021,356.80,364.20,354.30,356.20,-1.11,783617,1
14/09/2021,353.10,367.10,352.90,360.20,1.35,1466256,1
13/09/2021,341.01,356.60,341.01,355.40,4.47,33293,1
10/09/2021,336.20,344.70,331.80,340.20,-0.0881,885774,1
09/09/2021,337.30,352.80,331.10,340.50,0.206,1923962,1
08/09/2021,341.00,345.50,336.60,339.80,-2.13,648262,1
07/09/2021,356.80,356.80,344.10,347.20,-0.772,740174,1
06/09/2021,357.30,357.30,347.60,349.90,-0.399,648656,1
03/09/2021,356.20,361.40,348.60,351.30,-1.65,1022703,1
02/09/2021,357.90,362.50,350.80,357.20,-2.24,752797,1
01/09/2021,354.30,370.70,354.30,365.40,0.633,1025727,1
31/08/2021,361.40,366.00,356.70,363.10,-1.73,2140363,1
27/08/2021,388.20,388.20,369.50,369.50,-0.885,889993,1
26/08/2021,377.10,380.00,368.80,372.80,0.0537,1173924,1
25/08/2021,374.00,379.10,369.90,372.60,0.269,1384390,1
24/08/2021,363.00,371.60,358.20,371.60,3.22,1098662,1
