Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,143.00,147.00,143.00,147.00,3.89,8920,1
28/10/2021,147.00,147.00,141.50,141.50,-3.74,109770,1
27/10/2021,147.00,147.00,147.00,147.00,-2.65,26749,1
26/10/2021,149.00,151.00,149.00,151.00,1.34,16436,1
25/10/2021,149.50,152.50,149.00,149.00,-2.61,3830,1
22/10/2021,151.00,153.00,151.00,153.00,-1.29,10002,1
21/10/2021,155.00,155.00,155.00,155.00,1.97,70273,1
20/10/2021,155.00,155.00,150.50,152.00,-2.56,46248,1
19/10/2021,151.50,156.00,151.50,156.00,-0.637,12778,1
18/10/2021,151.50,157.00,151.50,157.00,1.95,19591,1
15/10/2021,151.50,156.50,151.50,154.00,0.654,10666,1
14/10/2021,152.00,156.00,150.50,153.00,0.658,24822,1
13/10/2021,148.50,152.00,146.00,152.00,2.18,67899,1
12/10/2021,155.00,155.00,140.50,148.75,-6.3,556510,1
11/10/2021,155.00,158.75,155.00,158.75,2.42,13467,1
08/10/2021,157.00,157.00,155.00,155.00,0,52001,1
07/10/2021,156.50,159.50,155.00,155.00,-1.43,27536,1
06/10/2021,160.00,160.00,155.00,157.25,1.13,23156,1
05/10/2021,155.50,156.00,155.00,155.50,0.323,59319,1
04/10/2021,155.00,155.00,155.00,155.00,0,18882,1
01/10/2021,155.00,155.00,155.00,155.00,0,30489,1
30/09/2021,159.50,159.50,155.00,155.00,-2.82,22440,1
29/09/2021,152.00,159.50,152.00,159.50,4.25,45015,1
28/09/2021,152.00,153.00,147.50,153.00,3.38,36737,1
27/09/2021,155.00,155.00,148.00,148.00,-3.27,79132,1
24/09/2021,153.00,153.50,153.00,153.00,0,8317,1
23/09/2021,152.00,159.50,152.00,153.00,-1.92,6698,1
22/09/2021,159.50,159.50,156.00,156.00,1.3,15001,1
21/09/2021,156.00,156.50,152.00,154.00,0,40951,1
20/09/2021,160.50,160.50,154.00,154.00,0,60889,1
17/09/2021,160.50,160.50,154.00,154.00,-4.35,37799,1
16/09/2021,162.50,162.50,155.50,161.00,-0.617,103828,1
15/09/2021,167.00,167.00,162.00,162.00,-1.82,19181,1
14/09/2021,162.00,168.00,162.00,165.00,1.85,54042,1
13/09/2021,163.25,163.25,162.00,162.00,-0.766,,1
10/09/2021,164.00,164.00,163.25,163.25,-0.153,6406,1
09/09/2021,160.00,165.00,160.00,163.50,2.19,42270,1
08/09/2021,160.50,161.00,160.00,160.00,-1.84,100656,1
07/09/2021,161.00,163.00,161.00,163.00,0.617,33047,1
06/09/2021,162.00,164.00,162.00,162.00,0.31,39924,1
03/09/2021,162.00,165.50,161.50,161.50,0.623,27913,1
02/09/2021,163.00,165.00,160.50,160.50,-1.53,43665,1
01/09/2021,162.00,164.50,160.00,163.00,1.24,26961,1
31/08/2021,160.00,162.00,160.00,161.00,2.06,15971,1
27/08/2021,157.50,158.00,155.50,157.75,1.12,24773,1
26/08/2021,160.00,160.00,156.00,156.00,-2.65,71233,1
