Date,Open,High,Low,Close,Change%,Volume,Adjustment
13/05/2022,361.00,361.00,353.00,353.00,-0.141,1017925,1
12/05/2022,335.00,358.50,335.00,353.50,-1.53,945434,1
11/05/2022,365.00,365.00,354.00,359.00,0.985,2075203,1
10/05/2022,365.00,365.00,352.50,355.50,-0.281,865001,1
09/05/2022,365.00,365.00,353.50,356.50,-2.33,4027250,1
06/05/2022,364.00,372.50,360.50,365.00,-0.68,2229235,1
05/05/2022,368.00,371.50,363.00,367.50,0.41,1314661,1
04/05/2022,359.00,367.00,358.00,366.00,1.81,1777274,1
03/05/2022,357.50,359.50,347.50,359.50,2.28,1744262,1
29/04/2022,346.50,351.50,338.00,351.50,4.93,1789189,1
28/04/2022,320.00,339.00,320.00,335.00,0.299,617450,1
27/04/2022,330.00,334.00,322.50,334.00,2.61,794276,1
26/04/2022,300.00,326.00,300.00,325.50,4.33,1251192,1
25/04/2022,316.50,316.50,310.50,312.00,-2.35,720658,1
22/04/2022,325.00,327.00,319.50,319.50,-2.59,643556,1
21/04/2022,338.00,338.00,326.50,328.00,-1.8,417826,1
20/04/2022,346.00,346.00,333.00,334.00,-1.76,389564,1
19/04/2022,345.00,351.50,339.50,340.00,-1.59,387564,1
14/04/2022,344.00,347.50,334.50,345.50,-0.432,976516,1
13/04/2022,347.50,349.50,344.00,347.00,-0.144,731522,1
12/04/2022,352.00,352.00,341.50,347.50,0.579,1370699,1
11/04/2022,325.00,345.50,325.00,345.50,1.77,989604,1
08/04/2022,358.00,358.00,335.00,339.50,1.19,322472,1
07/04/2022,328.50,337.50,328.50,335.50,1.67,492116,1
06/04/2022,315.00,337.50,315.00,330.00,0.457,1141849,1
05/04/2022,330.50,333.50,327.50,328.50,-0.605,912323,1
04/04/2022,330.00,334.00,323.50,330.50,2.16,401003,1
01/04/2022,316.50,327.00,316.50,323.50,-0.614,384808,1
31/03/2022,322.50,332.00,320.00,325.50,0.93,943708,1
30/03/2022,321.00,322.50,314.00,322.50,0.467,346648,1
29/03/2022,334.00,334.00,318.00,321.00,-1.53,411884,1
28/03/2022,336.50,336.50,323.00,326.00,-0.912,882140,1
25/03/2022,325.00,331.00,325.00,329.00,0.612,510674,1
24/03/2022,300.00,327.50,300.00,327.00,0.926,483773,1
23/03/2022,315.00,324.50,315.00,324.00,0.31,663088,1
22/03/2022,329.00,330.50,321.50,323.00,-1.22,1418940,1
21/03/2022,330.00,330.00,324.00,327.00,1.4,346732,1
18/03/2022,330.00,330.00,322.50,322.50,-0.922,1057010,1
17/03/2022,340.00,340.00,323.00,325.50,0.463,513921,1
16/03/2022,325.00,342.00,324.00,324.00,-4,1216242,1
15/03/2022,330.00,337.50,330.00,337.50,0.297,721582,1
14/03/2022,334.00,346.00,323.50,336.50,4.67,836261,1
11/03/2022,312.00,322.50,305.50,321.50,4.05,829062,1
10/03/2022,328.50,328.50,303.00,309.00,-0.162,1388806,1
09/03/2022,315.00,324.00,305.00,309.50,-3.28,2228782,1
08/03/2022,340.00,340.00,320.00,320.00,-3.03,609302,1
07/03/2022,336.00,336.00,322.50,330.00,0.304,1335129,1
04/03/2022,342.00,342.00,326.50,329.00,-2.23,2511244,1
03/03/2022,325.00,351.50,325.00,336.50,3.06,2651932,1
02/03/2022,315.50,328.50,311.00,326.50,4.48,1373848,1
01/03/2022,309.50,315.00,304.00,312.50,0.969,1967072,1
28/02/2022,277.00,314.00,276.00,309.50,13.4,3278511,1
25/02/2022,268.50,274.50,265.50,273.00,3.02,549181,1
24/02/2022,252.50,267.00,252.50,265.00,1.92,512811,1
23/02/2022,254.00,261.00,254.00,260.00,0.775,886186,1
22/02/2022,255.50,262.00,255.50,258.00,-1.15,957081,1
21/02/2022,260.00,265.00,259.50,261.00,0.772,663771,1
18/02/2022,260.00,261.50,258.00,259.00,-0.576,1101423,1
17/02/2022,260.00,260.50,254.50,260.50,1.17,403490,1
16/02/2022,260.00,260.00,255.50,257.50,0.586,3245713,1
15/02/2022,255.00,258.00,255.00,256.00,0,1140250,1
14/02/2022,264.50,264.50,255.50,256.00,-3.4,1670677,1
11/02/2022,265.00,268.00,263.50,265.00,-1.85,502571,1
10/02/2022,267.00,272.00,265.50,270.00,0.746,408472,1
09/02/2022,272.00,277.00,268.00,268.00,-2.9,1553348,1
08/02/2022,273.00,279.00,272.50,276.00,0.914,359673,1
07/02/2022,265.00,274.50,265.00,273.50,0.551,298112,1
04/02/2022,268.00,274.50,267.50,272.00,0.741,247707,1
03/02/2022,265.00,272.00,265.00,270.00,0.746,467043,1
02/02/2022,267.50,275.00,266.00,268.00,-0.741,599057,1
01/02/2022,274.50,275.00,268.00,270.00,-0.552,680211,1
31/01/2022,270.00,273.00,269.00,271.50,0.556,502967,1
28/01/2022,272.50,275.50,270.00,270.00,-2,701283,1
27/01/2022,272.50,280.00,272.50,275.50,-0.899,321216,1
26/01/2022,279.00,286.00,277.00,278.00,-0.537,220169,1
25/01/2022,286.50,286.50,275.00,279.50,-0.887,230242,1
24/01/2022,285.00,289.00,282.00,282.00,-2.93,1456301,1
21/01/2022,285.00,290.50,284.00,290.50,1.22,1294380,1
20/01/2022,281.50,287.50,280.00,287.00,2.32,1103868,1
19/01/2022,275.00,280.50,275.00,280.50,0.358,1539537,1
18/01/2022,277.00,281.00,277.00,279.50,-0.534,2099413,1
17/01/2022,277.00,286.00,277.00,281.00,-0.707,194227,1
14/01/2022,290.00,290.00,282.00,283.00,0.177,306124,1
13/01/2022,275.50,285.50,275.50,282.50,-0.703,2282728,1
12/01/2022,282.00,286.50,278.50,284.50,1.79,317585,1
11/01/2022,281.00,285.00,279.00,279.50,-1.06,290387,1
10/01/2022,295.00,295.00,282.50,282.50,-2.59,138502,1
07/01/2022,293.00,293.50,286.00,290.00,-1.02,1030505,1
06/01/2022,287.00,298.00,287.00,293.00,1.21,1245046,1
05/01/2022,305.00,305.00,289.50,289.50,-2.53,3130285,1
04/01/2022,310.50,310.50,294.50,297.00,0.338,674402,1
