Date,Open,High,Low,Close,Change%,Volume,Adjustment
22/06/2022,79.040,83.580,78.280,83.540,4.58,54119896,1
21/06/2022,80.320,80.600,79.040,79.880,-0.942,18744724,1
20/06/2022,77.900,81.200,77.460,80.640,4.13,48073064,1
17/06/2022,76.780,78.220,75.580,77.440,1.02,162379168,1
16/06/2022,78.900,79.500,76.000,76.660,-2.89,42699744,1
15/06/2022,77.600,79.620,77.460,78.940,3.73,92212624,1
14/06/2022,78.740,79.380,75.600,76.100,-2.41,38549512,1
13/06/2022,80.000,80.460,77.120,77.980,-3.32,18571316,1
10/06/2022,81.280,81.660,79.480,80.660,-1.56,41050864,1
09/06/2022,82.780,83.440,81.640,81.940,-1.61,22527068,1
08/06/2022,85.100,86.000,82.860,83.280,-1.89,21197012,1
07/06/2022,82.520,85.200,82.320,84.880,2.04,66666816,1
06/06/2022,82.120,85.140,80.920,83.180,3.28,22007608,1
01/06/2022,79.480,80.900,79.120,80.540,1.72,38626200,1
31/05/2022,77.400,80.200,76.960,79.180,2.25,47688944,1
30/05/2022,77.360,77.900,75.600,77.440,0.259,17753120,1
27/05/2022,79.000,79.000,73.760,77.240,-2.4,41511408,1
26/05/2022,85.060,85.540,79.120,79.140,-7.24,54087444,1
25/05/2022,85.540,86.980,84.180,85.320,2.6,30466860,1
24/05/2022,84.000,85.880,77.400,83.160,-7.19,80338400,1
23/05/2022,88.430,89.600,87.470,89.600,1.61,51484420,1
20/05/2022,87.000,89.200,86.960,88.180,1.78,39172472,1
19/05/2022,87.160,88.180,86.220,86.640,-1.39,27293448,1
18/05/2022,84.760,88.020,84.740,87.860,3.93,64417944,1
17/05/2022,80.880,84.900,80.560,84.540,5.91,58020752,1
16/05/2022,77.700,80.900,77.700,79.820,3.61,24372280,1
13/05/2022,77.220,77.500,75.960,77.040,0.996,14931515,1
12/05/2022,76.000,78.360,75.980,76.280,-2.48,21830712,1
11/05/2022,74.320,78.220,74.320,78.220,4.63,25103398,1
10/05/2022,74.000,76.580,73.680,74.760,3.92,22702842,1
09/05/2022,76.700,77.200,71.940,71.940,-5.96,26972920,1
06/05/2022,78.480,79.380,75.400,76.500,-4.52,47218992,1
05/05/2022,79.960,80.960,78.860,80.120,1.29,20246244,1
04/05/2022,79.480,79.620,78.280,79.100,-0.478,25955288,1
03/05/2022,79.200,80.360,77.820,79.480,0.0252,22647012,1
29/04/2022,80.740,80.740,79.460,79.460,-1.17,16664391,1
28/04/2022,79.520,80.660,78.880,80.400,1.31,11245712,1
27/04/2022,79.060,80.080,78.040,79.360,0.583,18395028,1
26/04/2022,80.000,80.420,78.400,78.900,-1.08,32597608,1
25/04/2022,78.140,80.420,77.720,79.760,0.733,29972392,1
22/04/2022,79.480,80.580,79.120,79.180,-1.44,11031167,1
21/04/2022,79.200,81.080,78.920,80.340,1.41,25712064,1
20/04/2022,78.400,79.780,77.900,79.220,1.05,25004692,1
19/04/2022,78.400,78.500,77.100,78.400,-0.28,20406108,1
14/04/2022,79.320,79.380,77.760,78.620,-1.16,23877628,1
13/04/2022,79.540,80.640,79.220,79.540,-0.201,10575775,1
12/04/2022,81.080,81.080,78.580,79.700,-1.24,23015012,1
11/04/2022,80.800,81.740,80.060,80.700,-0.395,14886214,1
08/04/2022,81.120,81.680,80.240,81.020,0.621,9729510,1
07/04/2022,80.700,81.820,80.400,80.520,-0.0745,18662264,1
06/04/2022,79.540,80.580,79.400,80.580,1.1,36323224,1
05/04/2022,78.740,79.700,77.780,79.700,1.09,50321144,1
04/04/2022,78.540,79.380,77.900,78.840,0.613,19161974,1
01/04/2022,79.940,80.160,77.860,78.360,-2.15,24021444,1
31/03/2022,82.000,82.780,79.940,80.080,-2.51,17358550,1
30/03/2022,82.660,82.660,81.360,82.140,0.318,22252516,1
29/03/2022,83.480,83.720,80.840,81.880,-1.06,36678652,1
28/03/2022,83.960,84.360,82.160,82.760,-2.06,33966628,1
25/03/2022,82.440,84.780,82.040,84.500,2.9,20822944,1
24/03/2022,82.240,82.840,80.940,82.120,-0.0973,15908279,1
23/03/2022,80.200,82.240,79.940,82.200,2.21,42478184,1
22/03/2022,80.420,80.820,79.840,80.420,0.0249,16635866,1
21/03/2022,78.620,80.500,78.620,80.400,1.64,18357066,1
18/03/2022,78.760,79.100,77.500,79.100,0.867,50154728,1
17/03/2022,78.100,78.600,76.940,78.420,0.59,12097500,1
16/03/2022,79.000,79.000,77.420,77.960,-0.587,29634328,1
15/03/2022,77.240,78.800,75.960,78.420,1.92,22128936,1
14/03/2022,77.040,77.040,75.080,76.940,1.1,15691768,1
11/03/2022,76.500,78.000,75.940,76.100,-0.601,25270740,1
10/03/2022,76.900,78.400,75.100,76.560,0.341,27104900,1
09/03/2022,75.780,76.560,74.280,76.300,2.47,48842672,1
08/03/2022,70.820,75.860,70.760,74.460,2.87,49397468,1
07/03/2022,69.560,73.120,67.660,72.380,-0.577,34079988,1
04/03/2022,72.300,74.620,72.300,72.800,0.331,33294028,1
03/03/2022,73.500,75.140,72.260,72.560,-1.04,25637512,1
02/03/2022,74.120,75.260,72.560,73.320,-1.45,20776594,1
01/03/2022,78.820,79.420,74.360,74.400,-3.73,27354548,1
28/02/2022,77.000,77.780,76.220,77.280,-0.129,29671586,1
25/02/2022,72.840,78.120,72.840,77.380,7.23,62129392,1
24/02/2022,75.600,76.320,71.560,72.160,-4.75,28256128,1
23/02/2022,75.920,77.140,75.440,75.760,-0.0264,20876980,1
22/02/2022,75.720,76.360,75.060,75.780,-0.889,14733953,1
21/02/2022,78.000,78.200,75.760,76.460,-1.85,37203600,1
18/02/2022,77.480,79.300,77.360,77.900,0.49,19305588,1
17/02/2022,76.880,77.520,76.120,77.520,0.649,11891027,1
16/02/2022,77.560,77.740,75.900,77.020,-0.619,30476284,1
15/02/2022,77.400,78.200,76.820,77.500,-0.283,16877996,1
14/02/2022,78.180,78.660,77.200,77.720,-1.74,25632412,1
11/02/2022,78.020,79.280,77.960,79.100,0.0759,16512726,1
10/02/2022,79.040,79.520,78.780,79.040,0.177,15477131,1
09/02/2022,78.620,80.000,78.340,78.900,0.818,24365406,1
08/02/2022,77.740,78.540,77.240,78.260,0.799,15408786,1
07/02/2022,77.000,78.140,76.700,77.640,1.52,12500705,1
04/02/2022,77.940,78.320,76.160,76.480,-1.52,12939682,1
03/02/2022,76.600,78.580,75.960,77.660,1.3,21868060,1
02/02/2022,74.400,77.240,74.380,76.660,3.18,21382422,1
01/02/2022,72.860,74.300,72.500,74.300,2.74,27503988,1
31/01/2022,73.220,74.540,72.320,72.320,0.361,32993876,1
28/01/2022,73.220,73.220,71.380,72.060,-1.42,20293468,1
27/01/2022,71.400,73.800,71.400,73.100,1.36,14446715,1
26/01/2022,70.780,72.120,70.460,72.120,3.06,22917112,1
25/01/2022,70.280,70.280,68.820,69.980,1.36,33146738,1
24/01/2022,70.920,71.220,67.840,69.040,-2.79,32967966,1
21/01/2022,71.660,71.840,70.320,71.020,-1.82,36573568,1
20/01/2022,72.640,72.960,71.580,72.340,-0.303,69371560,1
19/01/2022,74.000,74.000,72.300,72.560,-1.92,16177590,1
18/01/2022,73.920,74.160,73.520,73.980,-0.162,21440044,1
17/01/2022,74.920,75.240,73.700,74.100,-0.777,32863508,1
14/01/2022,73.120,75.040,72.920,74.680,1.47,20954954,1
13/01/2022,73.320,73.920,72.520,73.600,0.85,16389397,1
12/01/2022,74.760,74.760,72.420,72.980,-1.96,18249140,1
11/01/2022,74.060,74.860,74.000,74.440,0.595,14968696,1
10/01/2022,73.280,74.800,73.240,74.000,0.543,19046970,1
07/01/2022,72.700,73.920,72.420,73.600,1.21,11987063,1
06/01/2022,72.820,74.080,72.220,72.720,-1.09,25184888,1
05/01/2022,73.720,73.920,72.780,73.520,-0.406,20322696,1
04/01/2022,72.480,74.400,71.860,73.820,3.24,20647780,1
31/12/2021,71.760,71.760,71.260,71.500,0.14,3921752,1
30/12/2021,70.980,72.000,70.800,71.400,0.563,10405396,1
29/12/2021,69.340,71.060,69.260,71.000,2.93,17723884,1
24/12/2021,68.200,69.260,68.200,68.980,0.174,1967841,1
23/12/2021,68.660,69.040,68.580,68.860,0.408,6901463,1
22/12/2021,68.200,68.600,68.100,68.580,0.117,10090256,1
21/12/2021,67.740,68.940,67.320,68.500,2.39,19509344,1
20/12/2021,65.520,67.080,65.020,66.900,0.602,15783895,1
17/12/2021,67.800,67.920,66.500,66.500,-1.95,31529278,1
16/12/2021,67.700,68.480,66.940,67.820,1.74,17847168,1
15/12/2021,67.000,67.880,66.480,66.660,-0.951,20216556,1
14/12/2021,67.320,67.440,66.580,67.300,0.448,39399516,1
13/12/2021,67.620,67.700,66.660,67.000,-1.12,12619493,1
10/12/2021,67.500,68.460,67.420,67.760,-0.177,23608788,1
09/12/2021,67.940,68.480,67.140,67.880,0.444,20692428,1
08/12/2021,68.620,69.120,66.880,67.580,-0.148,23437456,1
07/12/2021,67.640,67.920,67.140,67.680,0.684,23805856,1
06/12/2021,66.540,67.500,65.980,67.220,1.94,28114064,1
03/12/2021,65.000,66.320,65.000,65.940,1.45,14620874,1
02/12/2021,65.840,65.920,64.900,65.000,-0.763,14410505,1
01/12/2021,64.600,66.700,64.600,65.500,1.11,17840808,1
30/11/2021,64.940,65.440,63.380,64.780,-0.766,55214836,1
29/11/2021,65.400,66.600,65.120,65.280,0.555,33857044,1
26/11/2021,66.280,66.840,64.880,64.920,-4.13,30117304,1
25/11/2021,67.000,67.760,66.780,67.720,1.14,9770672,1
24/11/2021,67.200,67.600,66.560,66.960,-0.0597,20957846,1
23/11/2021,67.120,67.900,66.580,67.000,-0.179,21571316,1
22/11/2021,67.640,67.900,65.280,67.120,-0.563,17906216,1
19/11/2021,68.500,69.780,67.500,67.500,-1.06,24463646,1
18/11/2021,67.620,68.520,67.260,68.220,0.947,17205716,1
17/11/2021,66.500,67.780,65.240,67.580,0.148,44684992,1
16/11/2021,66.860,67.600,65.340,67.480,2.15,24868092,1
15/11/2021,65.720,66.340,65.100,66.060,0.212,15949064,1
12/11/2021,65.360,66.220,65.040,65.920,0.457,11405570,1
11/11/2021,63.520,65.780,63.520,65.620,2.85,21664044,1
10/11/2021,63.840,64.400,63.260,63.800,0.0627,16269415,1
09/11/2021,63.760,64.980,63.620,63.760,-0.375,15630306,1
08/11/2021,63.540,64.180,63.280,64.000,0.787,10389013,1
05/11/2021,63.960,64.260,63.120,63.500,0.538,10432304,1
04/11/2021,62.320,64.040,62.140,63.160,1.87,17169334,1
03/11/2021,61.340,63.000,61.340,62.000,0.747,14692638,1
02/11/2021,60.900,61.840,60.680,61.540,0.885,11995260,1
01/11/2021,60.680,61.280,59.960,61.000,1.13,12019743,1
29/10/2021,60.480,62.440,60.040,60.320,-0.0994,24066784,1
28/10/2021,59.640,60.580,59.440,60.380,-0.0331,11069991,1
27/10/2021,59.500,60.600,59.400,60.400,1.92,13611955,1
26/10/2021,59.240,59.680,58.160,59.260,0.0338,46235440,1
25/10/2021,58.000,59.800,58.000,59.240,0.783,14438520,1
22/10/2021,59.600,59.620,58.540,58.780,-1.14,23015176,1
21/10/2021,59.980,61.080,59.420,59.460,-1.26,65571496,1
20/10/2021,58.900,61.100,58.780,60.220,2.94,38281276,1
19/10/2021,58.300,58.680,57.800,58.500,0.206,12274289,1
18/10/2021,58.300,58.880,58.040,58.380,-0.171,20520052,1
15/10/2021,59.920,60.040,58.200,58.480,-2.04,20034428,1
14/10/2021,58.880,60.240,58.660,59.700,2.4,15587804,1
13/10/2021,60.400,60.540,58.100,58.300,-4.55,62404132,1
12/10/2021,60.040,61.500,59.900,61.080,0.593,31325658,1
11/10/2021,59.980,61.000,59.880,60.720,1.2,19675924,1
08/10/2021,59.000,60.640,59.000,60.000,1.94,38044428,1
07/10/2021,58.720,59.680,58.400,58.860,2.22,32520940,1
06/10/2021,58.200,58.200,56.700,57.580,-2.01,29482518,1
05/10/2021,58.580,59.220,58.340,58.760,0.72,24047820,1
04/10/2021,57.800,58.560,57.560,58.340,1.07,19638544,1
01/10/2021,56.300,57.720,55.940,57.720,1.83,18797664,1
30/09/2021,56.540,57.160,56.360,56.680,0.639,28071172,1
29/09/2021,55.760,56.560,54.960,56.320,2.14,38792352,1
28/09/2021,55.800,56.480,55.120,55.140,-0.827,20925972,1
27/09/2021,54.480,56.200,54.320,55.600,2.92,27048728,1
24/09/2021,55.000,55.120,53.920,54.020,-1.24,14887489,1
23/09/2021,54.200,55.320,54.160,54.700,1.79,60418432,1
22/09/2021,54.900,55.180,53.740,53.740,-0.408,26915326,1
