Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,12.000,12.000,12.000,12.000,0,132350,1
28/10/2021,11.750,12.000,11.750,12.000,2.13,405310,1
27/10/2021,12.500,12.500,11.750,11.750,-6,657497,1
26/10/2021,13.500,13.500,12.250,12.500,-7.41,1009482,1
25/10/2021,13.500,13.500,13.500,13.500,-2.53,159189,1
22/10/2021,14.000,14.000,13.500,13.850,2.59,923493,1
21/10/2021,13.500,13.500,13.500,13.500,0,91075,1
20/10/2021,14.000,14.750,13.500,13.500,-2.88,1142211,1
19/10/2021,13.500,13.900,13.500,13.900,-0.714,430774,1
18/10/2021,13.500,14.000,13.500,14.000,0.358,574808,1
15/10/2021,13.250,13.950,13.250,13.950,5.28,260033,1
14/10/2021,13.000,13.250,12.750,13.250,1.92,338586,1
13/10/2021,13.500,13.500,13.000,13.000,-3.7,294448,1
12/10/2021,13.250,13.500,13.250,13.500,1.89,284518,1
11/10/2021,13.500,13.500,13.000,13.250,-3.99,624523,1
08/10/2021,14.000,14.500,13.500,13.800,1.28,2001796,1
07/10/2021,13.625,13.625,13.625,13.625,0,369543,1
06/10/2021,13.500,13.625,13.500,13.625,0.926,410318,1
05/10/2021,14.000,14.000,13.500,13.500,-2.17,407570,1
04/10/2021,14.375,14.375,13.800,13.800,-4,135268,1
01/10/2021,14.250,14.500,13.500,14.375,4.17,477674,1
30/09/2021,14.250,14.250,13.800,13.800,0,454330,1
29/09/2021,14.250,14.250,13.800,13.800,-3.16,361288,1
28/09/2021,13.750,14.250,13.750,14.250,3.64,180717,1
27/09/2021,14.500,14.500,13.500,13.750,-5.17,543721,1
24/09/2021,14.500,14.500,14.500,14.500,-2.03,208720,1
23/09/2021,14.250,14.800,14.250,14.800,3.86,538583,1
22/09/2021,15.000,15.000,14.250,14.250,-5,198004,1
21/09/2021,14.250,15.000,14.250,15.000,3.45,321752,1
20/09/2021,14.500,14.500,14.250,14.500,-3.33,403205,1
17/09/2021,15.250,15.250,14.750,15.000,-1.64,504479,1
16/09/2021,15.500,15.500,15.250,15.250,-3.48,384139,1
15/09/2021,16.250,16.250,15.500,15.800,-2.77,406021,1
14/09/2021,17.500,18.000,14.750,16.250,-1.52,3115494,1
13/09/2021,15.890,16.500,15.890,16.500,2.33,26611,1
10/09/2021,16.125,16.125,16.125,16.125,-2.27,148348,1
09/09/2021,17.000,17.000,15.750,16.500,-7.82,1372662,1
08/09/2021,17.500,18.625,17.000,17.900,2.29,1504408,1
07/09/2021,16.500,17.500,16.500,17.500,6.06,464251,1
06/09/2021,17.250,17.250,16.500,16.500,-4.35,959528,1
03/09/2021,17.500,17.500,17.250,17.250,-1.43,480269,1
02/09/2021,18.000,18.000,17.000,17.500,-2.78,552024,1
01/09/2021,19.000,19.250,17.950,18.000,-5.26,1037148,1
31/08/2021,17.500,19.500,17.500,19.000,8.57,2340115,1
27/08/2021,16.500,17.750,15.875,17.500,6.06,620098,1
26/08/2021,16.500,16.500,16.500,16.500,-2.94,337788,1
25/08/2021,16.000,17.000,16.000,17.000,6.25,547075,1
24/08/2021,14.750,16.500,14.750,16.000,7.38,1554306,1
23/08/2021,14.625,14.900,13.750,14.900,1.36,871277,1
20/08/2021,15.250,15.250,14.000,14.700,-3.61,1245308,1
19/08/2021,15.500,15.500,14.750,15.250,-7.58,822611,1
18/08/2021,17.250,17.625,15.250,16.500,3.13,3541201,1
17/08/2021,16.250,16.250,15.000,16.000,-1.54,1941799,1
16/08/2021,16.125,17.625,16.125,16.250,1.25,2247111,1
13/08/2021,15.250,16.500,15.250,16.050,15.1,3098568,1
12/08/2021,13.000,15.250,13.000,13.950,7.31,2814237,1
11/08/2021,12.625,13.000,12.500,13.000,2.97,1143606,1
10/08/2021,12.750,12.750,12.375,12.625,-4.72,637931,1
09/08/2021,13.500,13.500,12.250,13.250,-5.02,1976107,1
06/08/2021,13.750,13.950,13.200,13.950,1.09,984918,1
05/08/2021,14.250,14.625,13.600,13.800,-3.16,3363141,1
04/08/2021,13.500,16.875,13.500,14.250,23.9,14582512,1
03/08/2021,12.250,12.325,11.250,11.500,-6.12,1211395,1
02/08/2021,10.500,12.325,10.500,12.250,16.7,2008611,1
30/07/2021,10.500,10.500,10.500,10.500,0,353344,1
29/07/2021,10.500,10.500,10.250,10.500,0,593999,1
28/07/2021,10.500,10.500,10.500,10.500,0,587456,1
27/07/2021,10.500,10.500,10.500,10.500,0,68421,1
26/07/2021,10.500,10.500,10.500,10.500,0,554154,1
23/07/2021,9.5500,10.625,9.5500,10.500,9.95,1853018,1
22/07/2021,10.000,10.000,9.5500,9.5500,-4.5,1312257,1
21/07/2021,10.500,10.500,9.7500,10.000,-4.76,1091181,1
20/07/2021,10.050,11.000,10.000,10.500,4.48,1698083,1
19/07/2021,11.000,11.000,9.8500,10.050,-8.64,1567725,1
16/07/2021,11.250,11.750,11.000,11.000,-2.22,987735,1
