Date,Open,High,Low,Close,Change%,Volume,Adjustment
04/10/2021,638.00,639.00,629.00,629.00,-1.72,93147,1
01/10/2021,641.00,645.00,634.00,640.00,-0.156,71480,1
30/09/2021,646.00,649.00,641.00,641.00,-0.466,347991,1
29/09/2021,650.00,659.00,637.00,644.00,-0.923,29347,1
28/09/2021,644.00,650.00,637.00,650.00,0.775,58389,1
27/09/2021,660.00,660.00,640.00,645.00,-1.23,48178,1
24/09/2021,664.00,676.00,647.00,653.00,-1.36,142043,1
23/09/2021,667.00,677.00,657.00,662.00,-0.451,39356,1
22/09/2021,661.00,674.00,660.00,665.00,-0.598,34141,1
21/09/2021,666.00,670.00,662.00,669.00,1.36,58493,1
20/09/2021,661.00,664.00,652.00,660.00,-0.151,44677,1
17/09/2021,670.00,670.00,659.00,661.00,-0.151,31383,1
16/09/2021,656.00,672.00,654.00,662.00,1.07,83425,1
15/09/2021,672.00,672.00,653.00,655.00,-1.21,62189,1
14/09/2021,676.00,676.00,660.00,663.00,-1.49,68924,1
13/09/2021,678.00,678.00,673.00,673.00,-1.03,1305,1
10/09/2021,683.00,694.00,663.00,680.00,-1.59,93591,1
09/09/2021,690.00,691.00,677.00,691.00,0.436,42569,1
08/09/2021,688.00,693.00,687.00,688.00,-1.29,26903,1
07/09/2021,691.00,697.00,687.00,697.00,1.01,35953,1
06/09/2021,696.00,701.00,687.00,690.00,-1.29,52210,1
03/09/2021,670.00,699.00,670.00,699.00,4.48,55509,1
02/09/2021,664.00,676.00,658.00,669.00,-1.33,93831,1
01/09/2021,647.00,680.00,645.00,678.00,5.28,312188,1
31/08/2021,644.00,647.00,644.00,644.00,-0.155,49223,1
27/08/2021,645.00,645.00,641.00,645.00,0.311,75152,1
26/08/2021,644.00,646.00,634.00,643.00,-0.31,58689,1
25/08/2021,645.00,648.00,631.00,645.00,0,46760,1
24/08/2021,644.00,645.00,638.00,645.00,0,37703,1
23/08/2021,647.00,647.00,645.00,645.00,-0.155,10813,1
20/08/2021,644.00,646.00,642.00,646.00,1.41,35013,1
19/08/2021,645.00,648.00,636.00,637.00,-1.7,155133,1
18/08/2021,648.00,648.00,642.00,648.00,0,35789,1
17/08/2021,648.00,649.00,643.00,648.00,0.465,109349,1
16/08/2021,648.00,648.00,642.00,645.00,-0.463,72468,1
13/08/2021,648.00,650.00,644.00,648.00,0.31,39685,1
12/08/2021,647.00,648.00,646.00,646.00,-0.309,10624,1
11/08/2021,644.00,648.00,638.00,648.00,0.465,34376,1
10/08/2021,647.00,648.00,640.00,645.00,-0.463,45812,1
