Date,Open,High,Low,Close,Change%,Volume,Adjustment
02/12/2021,155.50,155.50,147.00,147.00,-6.07,298397,1
01/12/2021,163.50,164.00,154.50,156.50,-3.99,120906,1
30/11/2021,163.00,163.50,163.00,163.00,-0.61,65477,1
29/11/2021,169.00,172.00,164.00,164.00,-0.304,161152,1
26/11/2021,165.50,169.00,155.00,164.50,-4.91,265503,1
25/11/2021,166.00,175.00,166.00,173.00,8.81,178958,1
24/11/2021,160.00,160.00,158.00,159.00,0,81144,1
23/11/2021,162.00,162.00,158.50,159.00,-2.45,89363,1
22/11/2021,161.50,164.00,160.50,163.00,-1.21,59545,1
19/11/2021,165.00,165.00,165.00,165.00,0.304,4442,1
18/11/2021,165.00,165.00,163.00,164.50,-0.303,11327,1
17/11/2021,162.00,165.00,162.00,165.00,0,11958,1
16/11/2021,161.50,165.00,161.50,165.00,5.77,40970,1
15/11/2021,156.50,156.50,156.00,156.00,-3.11,42585,1
12/11/2021,161.50,162.00,161.00,161.00,-1.38,52229,1
11/11/2021,163.38,163.38,163.25,163.25,2.67,7868,1
10/11/2021,157.50,159.00,157.50,159.00,0.315,17546,1
09/11/2021,165.50,165.50,157.50,158.50,-1.55,61114,1
08/11/2021,166.00,166.00,161.00,161.00,-1.68,31476,1
05/11/2021,161.50,165.50,161.50,163.75,3.97,52591,1
04/11/2021,166.00,166.00,157.50,157.50,-5.12,12827,1
03/11/2021,166.00,166.00,166.00,166.00,0,15911,1
02/11/2021,166.00,166.00,166.00,166.00,2.47,31687,1
01/11/2021,161.00,162.50,156.50,162.00,0.31,46075,1
29/10/2021,161.50,161.50,161.50,161.50,0.311,47259,1
28/10/2021,160.00,161.00,160.00,161.00,3.21,21892,1
27/10/2021,162.00,162.00,156.00,156.00,-3.41,64077,1
26/10/2021,163.50,163.50,161.50,161.50,-5,47323,1
25/10/2021,167.00,170.00,163.00,170.00,0.592,62489,1
22/10/2021,165.50,169.00,165.00,169.00,-0.295,29929,1
21/10/2021,173.00,173.00,168.00,169.50,-2.02,109918,1
20/10/2021,179.00,182.00,173.00,173.00,-4.95,56322,1
19/10/2021,180.00,182.00,180.00,182.00,2.25,42176,1
18/10/2021,180.00,182.00,178.00,178.00,-1.11,1352569,1
15/10/2021,176.50,180.00,175.00,180.00,3.15,65428,1
14/10/2021,177.00,177.00,174.50,174.50,0.576,32572,1
13/10/2021,175.00,179.00,173.50,173.50,-1.98,178435,1
12/10/2021,170.00,177.00,170.00,177.00,3.66,120094,1
11/10/2021,162.50,175.00,162.50,170.75,6.72,272984,1
08/10/2021,160.50,160.50,159.50,160.00,-0.621,51783,1
07/10/2021,157.50,161.00,157.50,161.00,5.92,59322,1
06/10/2021,164.50,164.50,152.00,152.00,-9.25,161649,1
05/10/2021,164.00,167.50,164.00,167.50,2.13,26617,1
04/10/2021,161.50,168.00,161.50,164.00,2.82,180601,1
01/10/2021,162.00,162.00,155.00,159.50,-2.89,150766,1
30/09/2021,165.02,165.02,164.25,164.25,-0.152,47242,1
29/09/2021,165.00,165.00,163.00,164.50,-2.95,92419,1
28/09/2021,176.50,176.50,165.00,169.50,-3.69,180364,1
27/09/2021,180.00,180.00,176.00,176.00,-2.22,83601,1
24/09/2021,180.00,185.00,180.00,180.00,0.84,264616,1
23/09/2021,174.50,180.00,174.50,178.50,6.57,96716,1
22/09/2021,161.50,173.50,161.50,167.50,6.01,134761,1
21/09/2021,165.50,166.00,158.00,158.00,-4.82,111078,1
20/09/2021,168.50,168.50,157.00,166.00,-3.49,319676,1
17/09/2021,179.00,179.00,172.00,172.00,-3.91,65378,1
16/09/2021,179.00,184.00,174.50,179.00,0,84367,1
15/09/2021,181.00,183.50,172.00,179.00,-2.19,283723,1
14/09/2021,165.50,183.00,165.00,183.00,8.61,336649,1
13/09/2021,157.73,168.50,157.73,168.50,6.65,237377,1
10/09/2021,155.50,158.00,155.50,158.00,2.93,49827,1
09/09/2021,160.00,160.00,152.00,153.50,-0.968,249553,1
08/09/2021,157.00,157.00,155.00,155.00,-0.641,150027,1
07/09/2021,155.00,169.50,155.00,156.00,-0.319,538608,1
06/09/2021,139.50,162.50,139.50,156.50,15.9,1119063,1
03/09/2021,139.50,139.50,133.00,135.00,-2.53,59435,1
02/09/2021,135.50,138.50,135.50,138.50,2.59,28217,1
01/09/2021,134.00,135.00,134.00,135.00,2.27,38252,1
31/08/2021,136.00,136.00,131.00,132.00,-1.12,40306,1
27/08/2021,136.00,136.00,131.00,133.50,-3.26,143552,1
26/08/2021,136.00,138.00,136.00,138.00,0.73,39599,1
25/08/2021,137.50,137.50,137.00,137.00,0.735,51694,1
24/08/2021,138.00,138.00,136.00,136.00,-0.73,49186,1
23/08/2021,138.50,140.00,137.00,137.00,-1.08,18088,1
20/08/2021,137.50,140.00,137.50,138.50,-2.46,47287,1
19/08/2021,139.50,142.00,139.50,142.00,0.353,27552,1
18/08/2021,141.50,141.50,141.50,141.50,0.891,19331,1
17/08/2021,142.05,142.05,140.25,140.25,-1.23,38343,1
16/08/2021,140.00,142.00,140.00,142.00,2.9,88659,1
13/08/2021,142.00,142.00,137.50,138.00,-1.95,46573,1
12/08/2021,142.00,142.00,140.75,140.75,-0.705,23784,1
11/08/2021,139.15,141.75,139.15,141.75,0.532,4587,1
10/08/2021,140.00,142.00,140.00,141.00,-2.08,46280,1
09/08/2021,145.00,145.00,143.00,144.00,1.77,50504,1
06/08/2021,144.68,144.68,141.50,141.50,-0.176,14007,1
05/08/2021,140.00,141.75,140.00,141.75,4.23,21567,1
04/08/2021,140.00,140.00,136.00,136.00,-3.2,33850,1
03/08/2021,139.00,140.50,139.00,140.50,2.93,84857,1
02/08/2021,137.50,137.50,136.50,136.50,-0.365,44002,1
30/07/2021,138.50,138.50,137.00,137.00,0,58080,1
29/07/2021,134.77,137.00,134.77,137.00,0.366,66094,1
28/07/2021,133.50,136.50,133.50,136.50,0.552,40486,1
27/07/2021,133.55,135.75,133.55,135.75,-0.367,18180,1
26/07/2021,136.00,137.50,135.00,136.25,-0.729,50591,1
23/07/2021,139.00,139.00,137.25,137.25,-1.08,88840,1
22/07/2021,139.50,139.50,138.75,138.75,3.16,61920,1
21/07/2021,135.00,140.00,134.50,134.50,2.67,350499,1
20/07/2021,130.00,132.50,128.00,131.00,1.55,111689,1
19/07/2021,129.50,129.50,127.00,129.00,-2.09,131136,1
16/07/2021,135.50,135.50,131.75,131.75,-3.13,60369,1
15/07/2021,137.00,138.50,135.50,136.00,-1.27,56782,1
14/07/2021,145.00,145.00,137.00,137.75,-2.3,87474,1
13/07/2021,141.50,142.00,140.00,141.00,-0.704,32317,1
12/07/2021,140.00,142.00,138.50,142.00,3.65,11715,1
09/07/2021,137.50,138.00,137.00,137.00,0.366,13832,1
08/07/2021,136.00,136.50,136.00,136.50,-3.19,31558,1
07/07/2021,135.00,141.00,135.00,141.00,6.82,62155,1
06/07/2021,135.00,135.00,132.00,132.00,-0.189,3113,1
05/07/2021,131.00,133.50,130.00,132.25,0.954,41114,1
02/07/2021,125.58,131.00,125.58,131.00,1.16,38678,1
01/07/2021,128.22,129.50,128.22,129.50,-0.956,13058,1
30/06/2021,127.56,130.75,127.56,130.75,-0.57,4922,1
29/06/2021,129.50,131.50,129.50,131.50,-0.19,29519,1
28/06/2021,131.50,133.50,130.00,131.75,2.13,94940,1
25/06/2021,122.00,129.00,122.00,129.00,3.82,79327,1
24/06/2021,122.00,124.25,121.50,124.25,0,20608,1
23/06/2021,126.23,126.23,124.25,124.25,-0.201,14774,1
22/06/2021,123.18,124.50,123.18,124.50,-0.4,14662,1
21/06/2021,123.00,125.00,121.00,125.00,0.402,52048,1
18/06/2021,127.00,127.00,123.00,124.50,-2.16,34613,1
17/06/2021,129.50,131.00,127.25,127.25,1.8,34599,1
16/06/2021,130.50,130.50,125.00,125.00,-6.54,87271,1
15/06/2021,130.11,133.75,130.11,133.75,0,45788,1
14/06/2021,130.50,133.75,130.00,133.75,-1.29,106813,1
11/06/2021,133.00,135.50,133.00,135.50,1.12,50001,1
10/06/2021,138.00,138.00,133.00,134.00,0,19792,1
09/06/2021,138.00,138.00,133.00,134.00,-2.19,41645,1
08/06/2021,135.00,138.50,135.00,137.00,1.86,194350,1
07/06/2021,137.50,137.50,132.00,134.50,-1.1,188257,1
04/06/2021,139.00,139.00,136.00,136.00,-1.45,189352,1
03/06/2021,139.38,139.38,138.00,138.00,0.364,6718,1
02/06/2021,138.01,138.01,137.50,137.50,-0.722,3818,1
01/06/2021,139.60,139.60,138.50,138.50,0,38109,1
28/05/2021,143.00,143.00,138.50,138.50,-2.46,34245,1
27/05/2021,145.00,145.00,139.50,142.00,-2.57,147357,1
26/05/2021,147.00,147.00,145.00,145.75,-0.512,50566,1
25/05/2021,149.00,150.00,146.50,146.50,-0.509,34624,1
24/05/2021,149.00,150.00,147.00,147.25,1.55,52614,1
21/05/2021,150.00,150.00,145.00,145.00,-4.29,282087,1
20/05/2021,151.50,154.50,151.00,151.50,-1.78,77054,1
19/05/2021,156.00,157.00,154.25,154.25,-0.162,95864,1
18/05/2021,147.00,159.00,147.00,154.50,2.32,137129,1
17/05/2021,144.00,155.00,144.00,151.00,7.86,468090,1
14/05/2021,143.00,143.00,140.00,140.00,0,28079,1
13/05/2021,143.00,143.00,140.00,140.00,-1.93,23277,1
12/05/2021,142.00,142.75,142.00,142.75,0.351,48506,1
11/05/2021,140.00,142.25,138.50,142.25,-1.56,113084,1
10/05/2021,142.00,145.00,138.50,144.50,3.21,199762,1
07/05/2021,137.00,141.00,136.00,140.00,2.19,106443,1
06/05/2021,133.00,137.00,133.00,137.00,4.18,104755,1
05/05/2021,131.50,133.00,128.50,131.50,3.14,190034,1
04/05/2021,129.00,129.00,125.50,127.50,0,99483,1
30/04/2021,130.00,130.00,125.50,127.50,-2.3,103881,1
29/04/2021,132.50,132.50,124.00,130.50,-3.69,297205,1
28/04/2021,137.50,137.50,134.00,135.50,-3.73,116443,1
27/04/2021,135.50,141.50,135.50,140.75,3.87,211174,1
26/04/2021,134.00,136.00,131.00,135.50,1.88,295877,1
23/04/2021,131.50,134.00,131.50,133.00,3.7,197898,1
22/04/2021,128.00,131.50,128.00,128.25,-3.93,56598,1
21/04/2021,127.50,134.00,127.50,133.50,2.3,90102,1
20/04/2021,132.00,133.00,127.00,130.50,1.36,115008,1
19/04/2021,120.00,130.00,120.00,128.75,10,579370,1
16/04/2021,117.50,120.00,117.00,117.00,1.08,53402,1
15/04/2021,110.50,116.00,110.50,115.75,2.43,50137,1
14/04/2021,115.00,115.00,113.00,113.00,0,37339,1
13/04/2021,115.00,115.00,113.00,113.00,0,19093,1
12/04/2021,115.00,115.00,113.00,113.00,-1.31,14624,1
09/04/2021,109.50,115.00,109.50,114.50,2.69,41736,1
08/04/2021,109.00,112.50,109.00,111.50,0,37146,1
07/04/2021,113.00,113.00,111.50,111.50,0,44384,1
06/04/2021,110.00,112.50,110.00,111.50,1.59,66494,1
01/04/2021,110.50,110.50,109.50,109.75,-0.454,122519,1
31/03/2021,110.00,110.25,110.00,110.25,-0.676,54545,1
30/03/2021,110.50,111.00,110.00,111.00,0.68,29282,1
29/03/2021,112.00,112.00,109.50,110.25,-1.12,150121,1
26/03/2021,113.00,113.00,110.50,111.50,0.45,102575,1
25/03/2021,111.00,112.00,111.00,111.00,1.14,231128,1
24/03/2021,107.00,111.00,99.800,109.75,4.03,782367,1
23/03/2021,104.00,106.00,104.00,105.50,0.716,57682,1
22/03/2021,103.03,104.75,103.03,104.75,0.721,38175,1
19/03/2021,103.38,104.00,103.38,104.00,0,10671,1
18/03/2021,105.13,105.13,104.00,104.00,0,24733,1
17/03/2021,102.50,104.00,102.50,104.00,0.483,6599,1
16/03/2021,106.00,106.00,103.50,103.50,-0.481,13776,1
15/03/2021,106.50,106.50,104.00,104.00,0.483,19523,1
12/03/2021,104.50,105.00,103.50,103.50,-1.9,62494,1
11/03/2021,104.50,105.50,100.50,105.50,2.93,72393,1
10/03/2021,101.00,103.50,101.00,102.50,1.49,74156,1
09/03/2021,100.00,101.00,100.00,101.00,0,7718,1
08/03/2021,102.00,102.00,101.00,101.00,0,57134,1
05/03/2021,100.00,101.00,100.00,101.00,2.54,64830,1
04/03/2021,100.00,100.00,98.500,98.500,-0.101,82193,1
03/03/2021,100.00,100.00,98.600,98.600,0.102,18541,1
02/03/2021,100.00,100.00,98.500,98.500,0,4730,1
01/03/2021,96.200,98.500,96.200,98.500,0.716,23902,1
26/02/2021,97.800,98.000,97.800,97.800,0.308,28546,1
25/02/2021,96.880,97.500,96.880,97.500,0.515,24200,1
24/02/2021,96.000,97.000,96.000,97.000,0,40092,1
