Date,Open,High,Low,Close,Change%,Volume,Adjustment
13/05/2022,10641,10641,10579,10579,-0.193,276,1
12/05/2022,10645,10645,10600,10600,1.37,1303,1
11/05/2022,10424,10457,10424,10457,-0.438,1293,1
10/05/2022,10500,10503,10500,10503,0.406,736,1
09/05/2022,10439,10460,10364,10460,0.693,779,1
06/05/2022,10395,10395,10388,10388,-0.0673,,1
05/05/2022,10430,10430,10395,10395,1.21,1085,1
04/05/2022,10290,10290,10271,10271,-0.19,,1
03/05/2022,10252,10290,10238,10290,0.161,1250,1
29/04/2022,10288,10288,10274,10274,-1.03,1136,1
28/04/2022,10361,10380,10361,10380,0.188,,1
27/04/2022,10283,10361,10283,10361,0.754,,1
26/04/2022,10178,10285,10178,10283,0.745,3328,1
25/04/2022,10154,10207,10154,10207,1.91,6041,1
22/04/2022,9866.0,10016,9866.0,10016,1.52,,1
21/04/2022,9880.7,9880.7,9866.0,9866.0,-0.318,713,1
20/04/2022,9898.0,9898.0,9897.5,9897.5,-0.453,79,1
19/04/2022,9941.0,9942.5,9941.0,9942.5,0.00503,600,1
14/04/2022,9950.0,9950.0,9942.0,9942.0,-0.645,201,1
13/04/2022,9989.5,10007,9989.5,10007,0.17,,1
12/04/2022,9936.5,9989.5,9936.5,9989.5,0.533,,1
11/04/2022,9935.0,9945.0,9935.0,9936.5,-0.326,1749,1
08/04/2022,9977.0,9977.0,9969.0,9969.0,0,2100,1
07/04/2022,9944.0,9969.0,9944.0,9969.0,0.251,,1
06/04/2022,9919.0,9944.0,9919.0,9944.0,0.252,,1
05/04/2022,9904.4,9919.0,9904.4,9919.0,-0.596,11,1
04/04/2022,9961.0,9985.0,9961.0,9978.5,-0.0601,188,1
01/04/2022,9977.0,9984.5,9977.0,9984.5,-0.329,257,1
31/03/2022,10043,10047,10015,10018,0.351,222,1
30/03/2022,9980.0,9982.5,9980.0,9982.5,0.156,65,1
29/03/2022,9967.0,9967.0,9967.0,9967.0,-0.35,111,1
28/03/2022,9911.5,10002,9911.5,10002,0.827,234,1
25/03/2022,9999.4,9999.4,9920.0,9920.0,-0.83,250,1
24/03/2022,9979.0,10003,9979.0,10003,0.0951,877,1
23/03/2022,9988.0,9993.5,9988.0,9993.5,0.493,395,1
22/03/2022,10050,10050,9944.5,9944.5,-1.01,158,1
21/03/2022,10110,10134,10046,10046,-0.682,1632,1
18/03/2022,10128,10128,10115,10115,-0.128,,1
17/03/2022,10098,10128,10098,10128,-0.418,810,1
16/03/2022,10161,10175,10161,10171,-0.761,272,1
15/03/2022,10247,10249,10247,10249,0.0879,19,1
14/03/2022,10259,10259,10240,10240,-0.52,98,1
11/03/2022,10288,10293,10285,10293,0.38,48,1
10/03/2022,10232,10254,10232,10254,0.0878,64,1
09/03/2022,10256,10256,10245,10245,-1.01,18,1
08/03/2022,10343,10350,10343,10350,-0.183,146,1
07/03/2022,10375,10375,10369,10369,0.305,336,1
04/03/2022,10242,10337,10242,10337,1.57,511,1
03/03/2022,10173,10177,10173,10177,0.0442,,1
02/03/2022,10255,10255,10173,10173,-0.737,435,1
01/03/2022,10208,10248,10208,10248,1.41,588,1
28/02/2022,10110,10110,10106,10106,0.547,317,1
25/02/2022,10118,10118,10051,10051,-0.667,,1
24/02/2022,10136,10136,10118,10118,1.73,930,1
23/02/2022,9947.0,9947.0,9946.0,9946.0,0.0755,158,1
22/02/2022,9943.0,9943.0,9938.5,9938.5,-0.0453,,1
21/02/2022,9918.0,9943.0,9918.0,9943.0,-0.0101,259,1
18/02/2022,9904.0,9944.0,9904.0,9944.0,0.404,,1
17/02/2022,9902.5,9904.0,9902.5,9904.0,0.0151,,1
16/02/2022,9935.5,9935.5,9902.5,9902.5,-0.332,,1
15/02/2022,9939.0,9939.0,9935.5,9935.5,-0.0352,,1
14/02/2022,9998.0,9998.0,9939.0,9939.0,0.648,11,1
11/02/2022,9918.0,9918.0,9875.0,9875.0,0.0152,4,1
10/02/2022,9980.0,9980.0,9873.5,9873.5,-1.16,95,1
09/02/2022,9978.0,9989.5,9978.0,9989.5,0.0501,1,1
