Date,Open,High,Low,Close,Change%,Volume,Adjustment
13/10/2021,237.00,250.50,233.00,247.00,6.01,742856,1
12/10/2021,228.50,236.00,227.50,233.00,1.3,328487,1
11/10/2021,230.00,230.00,224.00,230.00,0.877,553370,1
08/10/2021,227.00,234.00,227.00,228.00,-2.15,339461,1
07/10/2021,230.00,234.50,226.50,233.00,1.97,969744,1
06/10/2021,242.50,243.00,227.00,228.50,-7.3,901856,1
05/10/2021,245.00,246.50,241.00,246.50,1.86,460002,1
04/10/2021,237.00,243.50,232.00,242.00,1.04,584401,1
01/10/2021,239.50,241.50,235.00,239.50,-0.622,455012,1
30/09/2021,244.50,246.50,241.00,241.00,-0.823,337994,1
29/09/2021,241.50,248.00,241.50,243.00,0.206,361913,1
28/09/2021,254.50,254.50,238.50,242.50,-2.81,823733,1
27/09/2021,256.00,259.00,247.00,249.50,-3.48,494683,1
24/09/2021,270.00,270.00,256.50,258.50,-2.08,269966,1
23/09/2021,256.00,268.00,255.00,264.00,4.14,1069626,1
22/09/2021,262.00,262.00,244.00,253.50,-2.5,950960,1
21/09/2021,259.00,260.50,257.00,260.00,0.971,395300,1
20/09/2021,263.00,263.00,256.50,257.50,-3.01,548035,1
17/09/2021,268.00,269.50,264.50,265.50,-0.375,197837,1
16/09/2021,262.50,266.50,262.50,266.50,1.14,159059,1
15/09/2021,268.50,272.00,261.50,263.50,-3.3,263908,1
14/09/2021,264.00,274.00,260.50,272.50,3.81,583704,1
13/09/2021,274.00,274.00,257.00,262.50,-5.41,77289,1
10/09/2021,274.50,279.00,272.50,277.50,2.59,911312,1
09/09/2021,272.00,273.50,268.00,270.50,-1.81,552701,1
08/09/2021,275.50,276.50,273.00,275.50,-0.181,466334,1
07/09/2021,279.00,279.00,274.50,276.00,-0.719,359830,1
06/09/2021,285.00,285.00,274.00,278.00,-1.59,391881,1
03/09/2021,283.00,286.00,278.00,282.50,-0.877,399754,1
02/09/2021,294.50,295.00,283.00,285.00,-2.23,387831,1
01/09/2021,285.00,292.00,282.50,291.50,2.82,641406,1
31/08/2021,283.00,287.50,280.00,283.50,1.25,1814217,1
27/08/2021,280.00,281.00,277.00,280.00,0.901,523554,1
26/08/2021,274.50,281.50,274.50,277.50,0.909,579195,1
25/08/2021,281.00,281.50,275.00,275.00,-2.31,458821,1
24/08/2021,282.00,283.00,278.00,281.50,-0.705,841068,1
23/08/2021,271.00,283.50,268.00,283.50,4.42,1385759,1
20/08/2021,262.00,271.50,262.00,271.50,2.45,1270187,1
19/08/2021,272.00,272.00,264.00,265.00,-1.12,357040,1
18/08/2021,266.00,272.00,262.00,268.00,2.68,465419,1
