Date,Open,High,Low,Close,Change%,Volume,Adjustment
27/05/2022,256.00,261.30,256.00,257.80,0.194,6236585,1
26/05/2022,245.20,257.30,245.20,257.30,3.37,9218089,1
25/05/2022,240.00,249.20,240.00,248.90,2.43,7646437,1
24/05/2022,242.70,249.60,240.60,243.00,-2.13,6820552,1
23/05/2022,237.60,248.30,237.50,248.30,5.17,7507786,1
20/05/2022,232.60,236.40,231.90,236.10,2.61,5128559,1
19/05/2022,235.60,237.00,227.90,230.10,-3.8,8823915,1
18/05/2022,242.20,243.50,239.20,239.20,-1.12,4836406,1
17/05/2022,243.60,245.00,241.10,241.90,0.0827,5114794,1
16/05/2022,238.10,243.60,237.50,241.70,0.792,3469595,1
13/05/2022,234.40,239.80,233.60,239.80,3.27,4016003,1
12/05/2022,233.20,233.80,226.00,232.20,-0.896,4789736,1
11/05/2022,230.20,236.00,228.70,234.30,2.09,7972310,1
10/05/2022,230.40,234.20,227.90,229.50,1.41,5568931,1
09/05/2022,231.60,232.80,226.30,226.30,-2.08,6171682,1
06/05/2022,233.00,234.30,229.40,231.10,-1.58,3889323,1
05/05/2022,240.80,242.10,234.80,234.80,-0.845,7573511,1
04/05/2022,239.40,239.90,234.80,236.80,-1.25,3679728,1
03/05/2022,232.70,243.80,232.70,239.80,2.04,6775934,1
29/04/2022,238.00,238.00,234.60,235.00,0.858,3496283,1
28/04/2022,235.60,235.60,232.00,233.00,0.172,4369604,1
27/04/2022,231.90,235.60,225.90,232.60,0.345,6041559,1
26/04/2022,241.00,242.20,231.80,231.80,-2.19,7069800,1
25/04/2022,233.30,238.00,231.90,237.00,-0.504,6390711,1
22/04/2022,234.30,240.70,234.30,238.20,0.253,6025893,1
21/04/2022,245.00,245.00,237.00,237.60,-1.57,5321714,1
20/04/2022,239.70,243.10,238.30,241.40,1.56,5547413,1
19/04/2022,237.90,239.80,235.60,237.70,-0.126,4031292,1
14/04/2022,237.60,240.20,237.30,238.00,0.592,3507369,1
13/04/2022,243.50,243.50,234.70,236.60,-0.505,3829566,1
12/04/2022,236.60,239.70,234.50,237.80,-0.419,7508307,1
11/04/2022,240.70,243.10,238.00,238.80,-0.583,2376981,1
08/04/2022,242.00,243.60,238.90,240.20,1.31,16568857,1
07/04/2022,239.90,243.20,236.70,237.10,-2.51,4605137,1
06/04/2022,245.60,245.90,241.20,243.20,-0.164,6163877,1
05/04/2022,238.40,245.50,238.40,243.60,2.05,7211946,1
04/04/2022,237.70,240.30,236.60,238.70,1.06,2902265,1
01/04/2022,230.20,237.40,230.20,236.20,0.94,5571172,1
31/03/2022,237.70,238.10,234.00,234.00,-0.637,8464844,1
30/03/2022,234.90,236.70,232.30,235.50,-0.339,5325260,1
29/03/2022,231.20,237.00,230.00,236.30,4.65,6616715,1
28/03/2022,220.10,226.70,220.10,225.80,0.894,2975387,1
25/03/2022,223.10,226.40,222.60,223.80,0.449,3370315,1
24/03/2022,223.00,223.50,220.70,222.80,0.632,2101469,1
23/03/2022,221.30,225.50,220.40,221.40,-1.38,2925871,1
22/03/2022,220.20,226.70,220.20,224.50,0.718,4266417,1
21/03/2022,221.50,227.00,221.50,222.90,-1.46,3603781,1
18/03/2022,218.40,228.60,218.40,226.20,1.3,20247244,1
17/03/2022,219.20,223.40,218.50,223.30,2.1,5905388,1
16/03/2022,210.30,219.50,210.30,218.70,7,9295888,1
15/03/2022,208.90,209.00,203.50,204.40,-1.73,13984913,1
14/03/2022,204.90,209.00,202.70,208.00,4.05,5868360,1
11/03/2022,195.95,205.20,195.95,199.90,2.86,9251483,1
10/03/2022,198.95,199.95,194.35,194.35,-1.89,41356616,1
09/03/2022,189.95,198.95,189.45,198.10,6.91,4733537,1
08/03/2022,184.70,190.95,184.55,185.30,-0.67,6054459,1
07/03/2022,179.40,188.80,177.30,186.55,1.97,7622837,1
04/03/2022,186.85,189.05,181.70,182.95,-3.38,8396910,1
03/03/2022,199.65,204.30,188.25,189.35,-5.37,5175945,1
02/03/2022,191.45,206.10,190.60,200.10,3.81,7396695,1
01/03/2022,192.90,202.60,190.45,192.75,-0.13,8489190,1
28/02/2022,187.85,193.45,187.35,193.00,0.862,5971445,1
25/02/2022,184.00,192.25,180.80,191.35,6.99,10575689,1
24/02/2022,185.50,187.10,178.85,178.85,-5.52,6989695,1
23/02/2022,189.60,193.35,189.00,189.30,0.291,5696625,1
22/02/2022,185.80,192.50,184.65,188.75,-0.606,3570722,1
21/02/2022,196.95,196.95,188.15,189.90,-0.965,8329067,1
18/02/2022,192.20,196.15,191.55,191.75,0.366,3266456,1
17/02/2022,199.90,199.90,191.05,191.05,-2.85,3462719,1
16/02/2022,194.70,199.85,194.70,196.65,-1.03,9450537,1
15/02/2022,195.00,200.00,195.00,198.70,1.38,5179198,1
14/02/2022,195.45,198.05,193.95,196.00,-2,3706853,1
11/02/2022,197.05,201.70,196.00,200.00,0.0751,5562943,1
10/02/2022,206.20,206.20,199.00,199.85,-1.06,3817904,1
09/02/2022,197.05,203.30,197.05,202.00,2.36,4169951,1
