Date,Open,High,Low,Close,Change%,Volume,Adjustment
24/06/2022,394.50,400.20,383.30,394.90,-0.879,7065689,1
23/06/2022,409.80,418.00,398.40,398.40,-3.37,6095090,1
22/06/2022,406.00,424.40,401.80,412.30,-0.818,9030987,1
21/06/2022,442.00,448.40,411.60,415.70,-6.31,14142660,1
20/06/2022,427.00,446.20,418.50,443.70,1.53,21759584,1
17/06/2022,413.20,441.00,409.70,437.00,6.56,10586253,1
16/06/2022,423.20,424.30,409.00,410.10,-3.51,5533083,1
15/06/2022,414.90,431.10,411.40,425.00,3.63,6081403,1
14/06/2022,428.20,437.00,408.20,410.10,-3.1,6470647,1
13/06/2022,445.00,445.00,420.30,423.20,-6.41,6876612,1
10/06/2022,462.10,463.30,448.90,452.20,-3.23,5726544,1
09/06/2022,476.90,480.50,465.60,467.30,-2.34,4322625,1
08/06/2022,492.70,496.90,462.30,478.50,-1.95,8040645,1
07/06/2022,490.00,495.70,480.10,488.00,-1.79,5767373,1
06/06/2022,513.00,514.60,492.00,496.90,-2.07,5543084,1
01/06/2022,522.40,524.00,505.40,507.40,-1.97,6120700,1
31/05/2022,532.60,532.60,511.40,517.60,-3.29,4508179,1
30/05/2022,539.60,545.40,532.80,535.20,0.602,6031824,1
27/05/2022,522.20,532.80,521.60,532.00,1.41,2874378,1
26/05/2022,511.00,526.20,511.00,524.60,3.19,3852623,1
25/05/2022,507.80,517.00,493.40,508.40,2.4,6520519,1
24/05/2022,521.60,525.20,496.50,496.50,-5.72,4764282,1
23/05/2022,526.80,529.30,519.00,526.60,1.78,3943882,1
20/05/2022,508.60,529.80,504.00,517.40,3.15,6230736,1
19/05/2022,480.00,519.60,477.00,501.60,0.12,11990967,1
18/05/2022,506.40,517.40,498.10,501.00,-0.437,10739040,1
17/05/2022,503.60,515.80,498.40,503.20,0.721,8548908,1
16/05/2022,498.70,499.60,479.50,499.60,0.18,6320404,1
13/05/2022,497.50,500.40,489.30,498.70,1.73,3828004,1
