Date,Open,High,Low,Close,Change%,Volume,Adjustment
13/10/2021,1812.0,1860.0,1780.0,1852.0,2.66,110302,1
12/10/2021,1872.0,1872.0,1788.0,1804.0,-1.2,279045,1
11/10/2021,1852.0,1852.0,1800.0,1826.0,1.11,106025,1
08/10/2021,1900.0,1900.0,1798.0,1806.0,-0.441,99412,1
07/10/2021,1828.0,1854.0,1812.0,1814.0,-0.874,291090,1
06/10/2021,1788.0,1852.0,1780.0,1830.0,1.67,180275,1
05/10/2021,1804.0,1814.0,1780.0,1800.0,-0.111,134215,1
04/10/2021,1858.0,1890.0,1754.0,1802.0,-0.552,165673,1
01/10/2021,1778.0,1820.0,1778.0,1812.0,-0.984,722006,1
30/09/2021,1790.0,1834.0,1782.0,1830.0,2.23,905826,1
29/09/2021,1802.0,1820.0,1784.0,1790.0,-0.556,280131,1
28/09/2021,1900.0,1900.0,1764.0,1800.0,-2.6,319916,1
27/09/2021,1836.0,1880.0,1788.0,1848.0,3.24,1446907,1
24/09/2021,1810.0,1814.0,1776.0,1790.0,-0.556,400391,1
23/09/2021,1800.0,1832.0,1796.0,1800.0,-1.1,250497,1
22/09/2021,1846.0,1864.0,1814.0,1820.0,-1.09,167680,1
21/09/2021,1806.0,1850.0,1774.0,1840.0,1.55,340423,1
20/09/2021,1866.0,1866.0,1780.0,1812.0,-2.37,431559,1
17/09/2021,1870.0,1898.0,1844.0,1856.0,-0.108,242198,1
16/09/2021,1902.0,1902.0,1858.0,1858.0,-0.854,416536,1
15/09/2021,1928.0,1928.0,1860.0,1874.0,-2.6,99755,1
14/09/2021,1900.0,1988.0,1900.0,1924.0,-2.04,239932,1
13/09/2021,2095.0,2095.0,1892.0,1964.0,-5.12,30097,1
10/09/2021,2075.0,2095.0,2050.0,2070.0,-0.481,92757,1
09/09/2021,2100.0,2125.0,2060.0,2080.0,-0.716,373057,1
08/09/2021,2095.0,2130.0,2040.0,2095.0,0.48,138770,1
07/09/2021,2330.0,2330.0,2005.0,2085.0,-10.7,384969,1
06/09/2021,2350.0,2350.0,2295.0,2335.0,0,70180,1
03/09/2021,2315.0,2335.0,2295.0,2335.0,1.52,128121,1
02/09/2021,2320.0,2335.0,2280.0,2300.0,-0.648,80862,1
01/09/2021,2300.0,2325.0,2295.0,2315.0,0.652,182548,1
31/08/2021,2275.0,2300.0,2270.0,2300.0,0.437,113966,1
27/08/2021,2260.0,2295.0,2260.0,2290.0,0.659,48671,1
26/08/2021,2265.0,2295.0,2265.0,2275.0,-0.219,61405,1
25/08/2021,2305.0,2315.0,2275.0,2280.0,-0.654,75552,1
24/08/2021,2165.0,2345.0,2165.0,2295.0,0.218,134008,1
23/08/2021,2260.0,2290.0,2235.0,2290.0,2.46,65005,1
20/08/2021,2220.0,2235.0,2215.0,2235.0,0.903,70977,1
19/08/2021,2225.0,2235.0,2205.0,2215.0,-0.673,124334,1
18/08/2021,2235.0,2250.0,2225.0,2230.0,0.225,68398,1
17/08/2021,2200.0,2230.0,2185.0,2225.0,1.14,65340,1
16/08/2021,2210.0,2215.0,2190.0,2200.0,0.228,79364,1
13/08/2021,2190.0,2210.0,2180.0,2195.0,0.228,158789,1
12/08/2021,2175.0,2195.0,2165.0,2190.0,0.459,47971,1
11/08/2021,2165.0,2190.0,2155.0,2180.0,0.693,37122,1
10/08/2021,2155.0,2175.0,2145.0,2165.0,0.464,136913,1
09/08/2021,2165.0,2165.0,2120.0,2155.0,1.17,69219,1
06/08/2021,2105.0,2135.0,2100.0,2130.0,1.19,93309,1
05/08/2021,2080.0,2115.0,2080.0,2105.0,1.2,65471,1
04/08/2021,2130.0,2130.0,2080.0,2080.0,-1.89,80264,1
