Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/09/2021,1335.0,1335.0,1250.0,1300.0,0.971,14294,1
28/09/2021,1350.0,1350.0,1270.0,1287.5,-2.09,13317,1
27/09/2021,1350.0,1360.0,1300.0,1315.0,-0.379,3165,1
24/09/2021,1345.0,1395.0,1320.0,1320.0,-3.12,34437,1
23/09/2021,1375.0,1375.0,1360.0,1362.5,-0.183,4170,1
22/09/2021,1395.0,1395.0,1355.0,1365.0,0.738,8318,1
21/09/2021,1370.0,1370.0,1355.0,1355.0,1.5,8467,1
20/09/2021,1375.0,1375.0,1330.0,1335.0,-3.61,12639,1
17/09/2021,1395.0,1395.0,1385.0,1385.0,0.362,8802,1
16/09/2021,1380.0,1380.0,1380.0,1380.0,-2.3,7623,1
15/09/2021,1375.0,1412.5,1375.0,1412.5,0.893,8588,1
14/09/2021,1380.0,1400.0,1380.0,1400.0,-2.78,9312,1
13/09/2021,1430.0,1440.0,1430.0,1440.0,0.699,,1
10/09/2021,1420.0,1430.0,1420.0,1430.0,1.06,184493,1
09/09/2021,1400.0,1415.0,1400.0,1415.0,-1.74,11968,1
08/09/2021,1375.0,1450.0,1375.0,1440.0,0.699,10199,1
07/09/2021,1400.0,1430.0,1400.0,1430.0,2.14,20542,1
06/09/2021,1415.0,1415.0,1400.0,1400.0,-0.709,80959,1
03/09/2021,1415.0,1415.0,1410.0,1410.0,-0.353,6288,1
02/09/2021,1455.0,1455.0,1415.0,1415.0,-2.75,3224,1
01/09/2021,1420.0,1455.0,1420.0,1455.0,4.11,14872,1
31/08/2021,1404.0,1404.0,1397.5,1397.5,-1.58,4641,1
27/08/2021,1405.0,1420.0,1380.0,1420.0,-2.07,4243,1
26/08/2021,1450.0,1450.0,1450.0,1450.0,0,9049,1
25/08/2021,1455.0,1455.0,1450.0,1450.0,0,10265,1
24/08/2021,1445.0,1450.0,1445.0,1450.0,0.346,9894,1
23/08/2021,1420.0,1445.0,1415.0,1445.0,2.12,14263,1
20/08/2021,1420.0,1420.0,1405.0,1415.0,0.355,6154,1
19/08/2021,1365.0,1410.0,1365.0,1410.0,3.3,4174,1
18/08/2021,1375.0,1400.0,1365.0,1365.0,1.11,19597,1
17/08/2021,1360.0,1360.0,1350.0,1350.0,-0.735,10180,1
16/08/2021,1380.0,1380.0,1360.0,1360.0,1.87,9499,1
13/08/2021,1295.0,1385.0,1295.0,1335.0,0.755,6346,1
12/08/2021,1310.0,1325.0,1300.0,1325.0,0.76,8746,1
11/08/2021,1315.0,1315.0,1315.0,1315.0,-1.87,5984,1
10/08/2021,1340.0,1340.0,1340.0,1340.0,-0.741,6911,1
09/08/2021,1345.0,1350.0,1345.0,1350.0,0.372,10613,1
06/08/2021,1335.0,1345.0,1335.0,1345.0,0,6254,1
05/08/2021,1370.0,1370.0,1345.0,1345.0,1.32,21551,1
04/08/2021,1335.0,1340.0,1315.0,1327.5,-2.39,11559,1
03/08/2021,1335.0,1390.0,1335.0,1360.0,1.68,6394,1
02/08/2021,1330.0,1370.0,1330.0,1337.5,-1.65,15796,1
30/07/2021,1395.0,1400.0,1360.0,1360.0,-2.16,10087,1
29/07/2021,1425.0,1425.0,1355.0,1390.0,0,5261,1
28/07/2021,1400.0,1410.0,1390.0,1390.0,-0.714,12465,1
27/07/2021,1435.0,1435.0,1400.0,1400.0,-5.72,8020,1
26/07/2021,1485.0,1485.0,1485.0,1485.0,2.59,11501,1
23/07/2021,1445.0,1447.5,1445.0,1447.5,-1.03,6853,1
22/07/2021,1460.0,1500.0,1460.0,1462.5,0.515,7467,1
21/07/2021,1455.0,1460.0,1455.0,1455.0,0,4933,1
20/07/2021,1450.0,1480.0,1445.0,1455.0,1.75,12984,1
19/07/2021,1435.0,1450.0,1430.0,1430.0,2.14,6052,1
16/07/2021,1375.0,1450.0,1375.0,1400.0,-1.06,7351,1
15/07/2021,1400.0,1455.0,1400.0,1415.0,0.712,5576,1
14/07/2021,1435.0,1435.0,1375.0,1405.0,-3.77,11035,1
13/07/2021,1470.0,1480.0,1450.0,1460.0,-0.68,26993,1
12/07/2021,1495.0,1545.0,1470.0,1470.0,-1.34,9359,1
09/07/2021,1545.0,1550.0,1490.0,1490.0,-0.334,3409,1
08/07/2021,1505.0,1510.0,1485.0,1495.0,-3.55,9500,1
07/07/2021,1535.0,1550.0,1535.0,1550.0,1.97,5786,1
06/07/2021,1435.0,1535.0,1430.0,1520.0,3.05,12818,1
05/07/2021,1415.0,1475.0,1415.0,1475.0,2.43,7780,1
02/07/2021,1420.0,1450.0,1420.0,1440.0,1.77,11319,1
01/07/2021,1395.0,1415.0,1380.0,1415.0,3.28,19841,1
30/06/2021,1370.0,1370.0,1370.0,1370.0,-1.62,12038,1
29/06/2021,1392.0,1392.5,1392.0,1392.5,-0.536,35005,1
28/06/2021,1395.0,1400.0,1375.0,1400.0,1.45,14200,1
25/06/2021,1405.0,1410.0,1380.0,1380.0,-3.83,12300,1
24/06/2021,1415.0,1460.0,1415.0,1435.0,0.35,11546,1
23/06/2021,1465.0,1465.0,1420.0,1430.0,0.704,5250,1
22/06/2021,1410.0,1420.0,1410.0,1420.0,0,2773,1
21/06/2021,1405.0,1450.0,1400.0,1420.0,1.43,70102,1
18/06/2021,1415.0,1415.0,1375.0,1400.0,-2.1,59520,1
17/06/2021,1455.0,1465.0,1410.0,1430.0,-1.38,10295,1
16/06/2021,1480.0,1490.0,1450.0,1450.0,-1.69,6132,1
15/06/2021,1505.0,1505.0,1470.0,1475.0,0,4911,1
14/06/2021,1465.0,1540.0,1465.0,1475.0,0.683,18978,1
11/06/2021,1470.0,1480.0,1455.0,1465.0,0.342,15716,1
10/06/2021,1460.0,1480.0,1460.0,1460.0,-1.35,232763,1
09/06/2021,1490.0,1510.0,1440.0,1480.0,-1.33,5799,1
08/06/2021,1410.0,1500.0,1410.0,1500.0,7.14,10822,1
07/06/2021,1390.0,1420.0,1390.0,1400.0,0.719,13474,1
04/06/2021,1370.0,1420.0,1365.0,1390.0,2.96,20719,1
