Date,Open,High,Low,Close,Change%,Volume,Adjustment
10/06/2022,1162.0,1216.0,1162.0,1210.0,1.68,136527,1
09/06/2022,1150.0,1190.0,1142.0,1190.0,1.19,114778,1
08/06/2022,1122.0,1178.0,1120.0,1176.0,2.08,154085,1
07/06/2022,1130.0,1152.0,1110.0,1152.0,1.41,137394,1
06/06/2022,1108.0,1142.0,1092.0,1136.0,5.38,151074,1
01/06/2022,1034.0,1084.0,1016.0,1078.0,5.89,132777,1
31/05/2022,990.00,1044.0,990.00,1018.0,-1.74,262726,1
30/05/2022,1010.0,1048.0,996.00,1036.0,2.57,47217,1
27/05/2022,990.00,1048.0,990.00,1010.0,-2.32,41443,1
26/05/2022,984.00,1042.0,984.00,1034.0,2.38,30473,1
25/05/2022,1038.0,1038.0,1002.0,1010.0,-1.94,45585,1
24/05/2022,1040.0,1056.0,1012.0,1030.0,-0.962,71117,1
23/05/2022,1039.0,1051.0,1011.0,1040.0,2.16,51543,1
20/05/2022,1000.0,1024.0,990.00,1018.0,2.62,45012,1
19/05/2022,1040.0,1040.0,986.00,992.00,-2.17,76443,1
18/05/2022,1028.0,1054.0,1014.0,1014.0,-2.69,59111,1
17/05/2022,1050.0,1052.0,1020.0,1042.0,1.17,354988,1
16/05/2022,990.00,1044.0,987.00,1030.0,3,64517,1
13/05/2022,955.00,1002.0,955.00,1000.0,4.28,73137,1
12/05/2022,980.00,980.00,947.00,959.00,-1.64,136680,1
11/05/2022,982.00,1010.0,951.00,975.00,2.63,140655,1
10/05/2022,953.00,974.00,945.00,950.00,-0.835,99448,1
09/05/2022,1002.0,1002.0,948.00,958.00,-4.58,244990,1
06/05/2022,994.00,1016.0,958.00,1004.0,2.03,173179,1
05/05/2022,986.00,1040.0,952.00,984.00,-1.2,191226,1
04/05/2022,1000.0,1020.0,981.00,996.00,-1.58,96931,1
03/05/2022,957.00,1040.0,940.00,1012.0,5.75,223742,1
29/04/2022,978.00,978.00,914.00,957.00,-0.52,74298,1
28/04/2022,950.00,1000.0,932.00,962.00,0.208,179340,1
27/04/2022,940.00,987.00,858.00,960.00,3.78,141544,1
26/04/2022,869.00,998.00,868.00,925.00,7.56,248518,1
25/04/2022,885.00,885.00,837.00,860.00,-0.348,79419,1
22/04/2022,836.00,875.00,836.00,863.00,0.936,115447,1
21/04/2022,888.00,888.00,855.00,855.00,-1.16,105292,1
20/04/2022,888.00,888.00,847.00,865.00,0,68433,1
19/04/2022,851.00,884.00,850.00,865.00,0.581,50720,1
14/04/2022,887.00,887.00,813.00,860.00,-2.82,71064,1
13/04/2022,851.00,887.00,850.00,885.00,4.73,96271,1
12/04/2022,803.00,856.00,803.00,845.00,0.595,70237,1
11/04/2022,883.00,883.00,831.00,840.00,-1.75,80686,1
08/04/2022,821.00,872.00,808.00,855.00,5.69,80032,1
07/04/2022,800.00,854.00,786.00,809.00,-0.123,122124,1
06/04/2022,819.00,880.00,808.00,810.00,-5.92,74076,1
05/04/2022,852.00,912.00,852.00,861.00,2.26,110511,1
04/04/2022,889.00,889.00,822.00,842.00,-1.86,101410,1
01/04/2022,835.00,893.00,821.00,858.00,4.13,85118,1
31/03/2022,852.00,852.00,804.50,824.00,0.304,49647,1
30/03/2022,803.00,855.00,801.00,821.50,-1.38,79715,1
29/03/2022,773.00,846.50,758.50,833.00,5.38,207955,1
28/03/2022,812.00,834.50,748.00,790.50,-1,227837,1
25/03/2022,715.00,831.00,715.00,798.50,7.4,117613,1
24/03/2022,700.50,762.50,698.00,743.50,4.64,63231,1
23/03/2022,670.00,719.50,670.00,710.50,3.27,106749,1
22/03/2022,734.50,734.50,683.50,688.00,-2.41,124289,1
21/03/2022,735.50,735.50,625.00,705.00,0,259587,1
18/03/2022,753.50,753.50,705.00,705.00,-2.62,2311338,1
17/03/2022,637.00,739.00,608.50,724.00,16.8,424680,1
16/03/2022,640.00,640.00,605.00,620.00,0,190433,1
15/03/2022,640.00,640.00,601.00,620.00,-0.641,205015,1
14/03/2022,621.00,658.00,611.50,624.00,-2.19,104192,1
11/03/2022,640.00,646.00,603.50,638.00,2.9,188421,1
10/03/2022,597.00,640.50,597.00,620.00,0.813,282487,1
09/03/2022,573.50,660.00,571.00,615.00,11.1,316261,1
08/03/2022,509.50,557.50,509.50,553.50,2.5,100868,1
07/03/2022,550.00,590.00,465.20,540.00,-3.31,216834,1
04/03/2022,517.50,585.00,450.60,558.50,2.48,211552,1
03/03/2022,600.00,620.00,516.00,545.00,-11.6,144639,1
02/03/2022,626.00,659.00,600.50,616.50,-5.44,114594,1
01/03/2022,670.00,676.50,650.00,652.00,-1.95,406192,1
28/02/2022,660.00,665.00,622.00,665.00,-1.34,76018,1
25/02/2022,650.00,674.00,585.00,674.00,1.05,245475,1
24/02/2022,667.00,667.00,667.00,667.00,0,,1
23/02/2022,667.00,667.00,667.00,667.00,0,,1
22/02/2022,667.00,667.00,667.00,667.00,0,,1
21/02/2022,667.00,667.00,667.00,667.00,0,,1
18/02/2022,667.00,667.00,667.00,667.00,0,,1
17/02/2022,667.00,667.00,667.00,667.00,0,,1
16/02/2022,667.00,667.00,667.00,667.00,0,,1
15/02/2022,667.00,667.00,667.00,667.00,0,,1
14/02/2022,667.00,667.00,667.00,667.00,0,,1
11/02/2022,667.00,667.00,667.00,667.00,0,,1
10/02/2022,667.00,667.00,667.00,667.00,0,,1
09/02/2022,667.00,667.00,667.00,667.00,0,,1
08/02/2022,667.00,667.00,667.00,667.00,0,,1
07/02/2022,667.00,667.00,667.00,667.00,0,,1
04/02/2022,667.00,667.00,667.00,667.00,0,,1
03/02/2022,667.00,667.00,667.00,667.00,0,,1
02/02/2022,667.00,667.00,667.00,667.00,0,,1
01/02/2022,667.00,667.00,667.00,667.00,0,,1
31/01/2022,667.00,667.00,667.00,667.00,0,,1
28/01/2022,667.00,667.00,667.00,667.00,0,,1
27/01/2022,667.00,667.00,667.00,667.00,0,,1
26/01/2022,667.00,667.00,667.00,667.00,0,,1
25/01/2022,667.00,667.00,667.00,667.00,0,,1
24/01/2022,667.00,667.00,667.00,667.00,0,,1
21/01/2022,667.00,667.00,667.00,667.00,0,,1
20/01/2022,667.00,667.00,667.00,667.00,0,,1
19/01/2022,667.00,667.00,667.00,667.00,0,,1
18/01/2022,667.00,667.00,667.00,667.00,0,,1
17/01/2022,667.00,667.00,667.00,667.00,0,,1
14/01/2022,667.00,667.00,667.00,667.00,0,,1
13/01/2022,667.00,667.00,667.00,667.00,0,,1
12/01/2022,667.00,667.00,667.00,667.00,0,,1
11/01/2022,667.00,667.00,667.00,667.00,0,,1
10/01/2022,667.00,667.00,667.00,667.00,0,,1
07/01/2022,667.00,667.00,667.00,667.00,0,,1
06/01/2022,667.00,667.00,667.00,667.00,0,,1
05/01/2022,667.00,667.00,667.00,667.00,0,,1
04/01/2022,667.00,667.00,667.00,667.00,0,,1
31/12/2021,695.00,702.50,655.50,667.00,-1.55,16527,1
30/12/2021,680.00,700.00,659.50,677.50,0.222,58760,1
29/12/2021,646.50,690.50,646.50,676.00,0.371,49950,1
24/12/2021,630.50,687.00,630.50,673.50,0.149,22437,1
23/12/2021,670.50,682.00,665.00,672.50,-0.0743,47083,1
22/12/2021,611.00,673.00,611.00,673.00,4.83,81497,1
21/12/2021,640.00,660.00,624.50,642.00,1.9,60439,1
20/12/2021,626.00,640.00,615.00,630.00,-1.95,99698,1
17/12/2021,612.50,651.50,612.50,642.50,4.47,118272,1
16/12/2021,630.50,630.50,603.00,615.00,0,83263,1
15/12/2021,612.50,637.50,610.00,615.00,-0.162,79552,1
14/12/2021,600.00,624.00,600.00,616.00,0.984,104804,1
13/12/2021,585.00,613.50,585.00,610.00,0,142529,1
10/12/2021,600.00,619.00,592.50,610.00,1.67,106316,1
09/12/2021,690.00,690.00,531.00,600.00,-14.9,698145,1
08/12/2021,767.50,767.50,672.00,705.00,-3.75,87943,1
07/12/2021,712.50,741.50,712.50,732.50,3.61,43517,1
06/12/2021,672.50,718.50,672.50,707.00,1.8,57578,1
03/12/2021,720.00,720.00,694.00,694.50,0.072,53616,1
02/12/2021,662.50,697.00,662.50,694.00,0.653,61734,1
01/12/2021,656.00,700.50,656.00,689.50,3.84,83324,1
30/11/2021,690.00,690.00,656.50,664.00,-2.64,135363,1
29/11/2021,687.00,703.00,679.00,682.00,-1.37,79760,1
26/11/2021,742.00,742.00,680.00,691.50,-6.11,100428,1
25/11/2021,725.50,748.00,712.50,736.50,-0.0678,49165,1
24/11/2021,731.50,744.50,720.00,737.00,1.52,303063,1
23/11/2021,722.00,736.50,720.00,726.00,-0.343,621495,1
22/11/2021,705.50,738.50,705.50,728.50,0.622,51576,1
19/11/2021,728.00,747.00,717.00,724.00,-3.14,67317,1
18/11/2021,748.00,757.00,732.00,747.50,-0.2,52702,1
