Date,Open,High,Low,Close,Change%,Volume,Adjustment
07/10/2021,495.00,495.00,486.00,489.50,-0.911,133418,1
06/10/2021,494.00,495.00,485.00,494.00,-1.59,105277,1
05/10/2021,495.00,502.00,488.00,502.00,1.21,115513,1
04/10/2021,513.00,514.00,492.00,496.00,-6.24,75569,1
01/10/2021,538.00,542.00,521.00,529.00,-2.4,60835,1
30/09/2021,546.00,546.00,532.00,542.00,-1.09,65845,1
29/09/2021,546.00,551.00,541.00,548.00,1.86,33498,1
28/09/2021,537.00,549.00,536.00,538.00,-0.37,33459,1
27/09/2021,542.00,542.00,527.00,540.00,0.372,80918,1
24/09/2021,551.00,551.00,532.00,538.00,-1.65,64079,1
23/09/2021,548.00,558.00,542.00,547.00,2.82,118400,1
22/09/2021,561.00,561.00,532.00,532.00,-6.17,34656,1
21/09/2021,564.00,568.00,560.00,567.00,0.532,27956,1
20/09/2021,566.00,573.00,564.00,564.00,1.44,80931,1
17/09/2021,551.00,559.00,550.00,556.00,2.58,217382,1
16/09/2021,553.00,554.00,541.00,542.00,-1.99,63679,1
15/09/2021,564.00,564.00,553.00,553.00,-3.32,30496,1
14/09/2021,577.00,577.00,564.00,572.00,-0.175,38093,1
13/09/2021,590.00,590.00,571.00,573.00,1.24,65823,1
10/09/2021,565.00,570.00,562.00,566.00,0.355,86827,1
09/09/2021,566.00,569.00,561.00,564.00,1.44,130724,1
08/09/2021,569.00,573.00,544.00,556.00,-3.81,133277,1
07/09/2021,612.00,613.00,569.00,578.00,-3.18,265995,1
06/09/2021,618.00,618.00,595.00,597.00,-2.45,150811,1
03/09/2021,597.00,612.00,597.00,612.00,3.2,125890,1
02/09/2021,590.00,593.00,587.00,593.00,1.89,56239,1
01/09/2021,578.00,587.00,570.00,582.00,6.01,186617,1
31/08/2021,550.00,550.00,546.00,549.00,1.29,97928,1
27/08/2021,534.00,542.00,534.00,542.00,0.743,13728,1
26/08/2021,545.00,547.00,538.00,538.00,-3.93,34458,1
25/08/2021,560.00,560.00,552.00,560.00,0,29194,1
24/08/2021,551.00,560.00,551.00,560.00,1.08,156651,1
23/08/2021,552.00,555.00,547.00,554.00,0.362,124531,1
20/08/2021,550.00,557.00,538.00,552.00,-3.83,291879,1
19/08/2021,589.00,589.00,574.00,574.00,-2.55,92033,1
18/08/2021,595.00,595.00,584.00,589.00,2.08,51485,1
17/08/2021,569.00,578.00,564.00,577.00,0.698,340973,1
16/08/2021,587.00,587.00,569.00,573.00,-2.55,57705,1
13/08/2021,594.00,596.00,585.00,588.00,-1.18,131097,1
12/08/2021,595.00,596.00,583.00,595.00,-1.49,104555,1
11/08/2021,613.00,617.00,604.00,604.00,-1.31,294363,1
10/08/2021,615.00,620.00,612.00,612.00,0.328,287158,1
09/08/2021,613.00,614.00,596.00,610.00,1.16,371879,1
06/08/2021,613.00,614.00,595.00,603.00,0.5,1049000,1
05/08/2021,600.00,600.00,595.00,600.00,-0.498,261482,1
04/08/2021,611.00,612.00,602.00,603.00,-1.63,345418,1
03/08/2021,608.00,623.00,605.00,613.00,0.822,818587,1
02/08/2021,610.00,619.00,596.00,608.00,2.18,383722,1
30/07/2021,595.00,615.00,583.00,595.00,0.507,391252,1
29/07/2021,625.00,633.00,580.00,592.00,2.42,405864,1
28/07/2021,550.00,595.00,550.00,578.00,7.64,292971,1
27/07/2021,557.00,557.00,533.00,537.00,-4.96,156947,1
26/07/2021,585.00,588.00,561.00,565.00,-2.59,374090,1
23/07/2021,610.00,610.00,580.00,580.00,-7.05,482337,1
22/07/2021,610.00,626.00,604.00,624.00,5.05,869053,1
21/07/2021,587.00,614.00,580.00,594.00,3.3,460935,1
20/07/2021,589.00,593.00,575.00,575.00,0.174,239646,1
19/07/2021,571.00,585.00,564.00,574.00,0.879,188556,1
