Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,430.00,430.00,420.00,420.00,0.962,26020,1
28/10/2021,427.00,427.00,412.00,416.00,-2.35,39112,1
27/10/2021,442.00,445.00,426.00,426.00,-2.85,31763,1
26/10/2021,425.00,438.50,423.00,438.50,0.114,47683,1
25/10/2021,441.00,446.00,438.00,438.00,-1.02,25040,1
22/10/2021,455.00,460.00,440.00,442.50,-2.32,20881,1
21/10/2021,479.00,479.00,452.00,453.00,-5.62,55852,1
20/10/2021,467.00,480.00,462.00,480.00,2.56,59381,1
19/10/2021,467.00,468.00,460.00,468.00,1.3,14587,1
18/10/2021,460.00,464.00,454.00,462.00,5,57294,1
15/10/2021,424.00,455.00,424.00,440.00,4.76,84635,1
14/10/2021,414.00,420.00,413.00,420.00,2.94,122455,1
13/10/2021,414.00,415.00,396.00,408.00,-0.73,70443,1
12/10/2021,404.00,411.00,404.00,411.00,-0.484,39909,1
11/10/2021,423.00,423.00,411.00,413.00,-3.05,27331,1
08/10/2021,431.00,434.00,420.00,426.00,1.43,337920,1
07/10/2021,421.00,434.00,420.00,420.00,-2.1,77403,1
06/10/2021,404.00,429.00,398.00,429.00,4.63,122104,1
05/10/2021,420.00,420.00,392.00,410.00,-2.15,156269,1
04/10/2021,420.00,429.00,410.00,419.00,-2.1,90653,1
01/10/2021,422.00,437.00,421.00,428.00,-2.28,83295,1
30/09/2021,434.00,439.00,420.00,438.00,-2.23,96913,1
29/09/2021,455.00,455.00,432.00,448.00,-0.444,39085,1
28/09/2021,462.00,462.00,435.00,450.00,-1.53,22553,1
27/09/2021,462.00,464.00,446.00,457.00,-3.18,143524,1
24/09/2021,468.00,472.00,468.00,472.00,-1.67,44473,1
23/09/2021,479.00,480.00,479.00,480.00,1.69,37757,1
22/09/2021,478.00,478.00,461.00,472.00,1.51,30124,1
21/09/2021,489.00,489.00,455.00,465.00,-2.72,143029,1
20/09/2021,512.00,512.00,470.00,478.00,-7.72,324914,1
17/09/2021,524.00,524.00,518.00,518.00,0.388,18314,1
16/09/2021,540.00,540.00,514.00,516.00,-6.86,59019,1
15/09/2021,544.00,554.00,538.00,554.00,0.544,27817,1
14/09/2021,558.00,558.00,551.00,551.00,-0.899,49480,1
13/09/2021,566.00,566.00,556.00,556.00,-0.714,5364,1
10/09/2021,554.00,560.00,550.00,560.00,-1.41,50535,1
09/09/2021,560.00,568.00,536.00,568.00,3.65,40529,1
08/09/2021,570.00,570.00,548.00,548.00,-1.62,35659,1
07/09/2021,560.00,572.00,554.00,557.00,0.906,28574,1
06/09/2021,552.00,552.00,552.00,552.00,1.47,7957,1
03/09/2021,546.00,556.00,542.00,544.00,-0.366,41807,1
02/09/2021,538.00,560.00,536.00,546.00,-2.15,19659,1
01/09/2021,550.00,560.00,550.00,558.00,3.72,75742,1
31/08/2021,554.00,554.00,538.00,538.00,-0.921,21716,1
27/08/2021,556.00,556.00,543.00,543.00,-2.34,8851,1
26/08/2021,558.00,558.00,556.00,556.00,0.361,81670,1
25/08/2021,550.00,560.00,550.00,554.00,0.727,20708,1
24/08/2021,542.00,550.00,542.00,550.00,2.61,54717,1
23/08/2021,536.00,536.00,522.00,536.00,-1.11,65512,1
20/08/2021,544.00,568.00,540.00,542.00,-1.81,35910,1
19/08/2021,542.00,568.00,542.00,552.00,-0.181,18798,1
18/08/2021,564.00,564.00,548.00,553.00,-1.25,189085,1
17/08/2021,564.00,564.00,560.00,560.00,-0.709,11194,1
16/08/2021,564.00,564.00,564.00,564.00,1.08,33862,1
13/08/2021,564.00,564.00,558.00,558.00,-0.357,24465,1
12/08/2021,558.00,564.00,550.00,560.00,-0.885,104298,1
11/08/2021,572.00,578.00,565.00,565.00,1.25,53375,1
10/08/2021,560.00,570.00,556.00,558.00,-1.76,53159,1
09/08/2021,558.00,578.00,548.00,568.00,3.27,134079,1
06/08/2021,534.00,562.00,532.00,550.00,5.16,144158,1
05/08/2021,516.00,530.00,516.00,523.00,-1.32,26300,1
04/08/2021,530.00,530.00,516.00,530.00,0,25244,1
03/08/2021,530.00,530.00,516.00,530.00,1.73,33698,1
02/08/2021,522.00,530.00,510.00,521.00,-0.762,78744,1
30/07/2021,500.00,530.00,499.00,525.00,5,139496,1
29/07/2021,491.00,500.00,486.00,500.00,2.25,125840,1
28/07/2021,485.00,491.00,466.00,489.00,2.3,172368,1
27/07/2021,470.00,480.00,470.00,478.00,-1.44,100498,1
26/07/2021,471.00,485.00,470.00,485.00,0.622,36876,1
23/07/2021,474.00,495.00,471.00,482.00,4.33,192656,1
22/07/2021,429.00,470.00,429.00,462.00,11.3,201316,1
21/07/2021,415.00,415.00,415.00,415.00,-3.49,17867,1
20/07/2021,415.00,430.00,415.00,430.00,5.91,42575,1
19/07/2021,424.00,424.00,406.00,406.00,-4.25,51179,1
16/07/2021,428.00,428.00,424.00,424.00,-1.28,24188,1
15/07/2021,435.00,435.00,429.50,429.50,-1.38,22755,1
14/07/2021,444.40,444.40,435.50,435.50,-0.571,29116,1
13/07/2021,440.00,440.00,433.00,438.00,-0.455,192253,1
12/07/2021,440.00,443.00,434.00,440.00,2.09,95139,1
09/07/2021,426.00,431.00,426.00,431.00,-0.231,16262,1
08/07/2021,439.00,440.00,430.00,432.00,1.41,45763,1
07/07/2021,426.00,426.00,426.00,426.00,0,13316,1
06/07/2021,440.00,440.00,426.00,426.00,-3.18,40968,1
05/07/2021,439.00,440.00,436.00,440.00,3.29,9253,1
02/07/2021,431.00,431.00,426.00,426.00,0,21578,1
01/07/2021,432.00,432.00,426.00,426.00,-3.18,21409,1
30/06/2021,440.00,440.00,440.00,440.00,3.29,5377,1
29/06/2021,432.00,440.00,426.00,426.00,-0.93,11795,1
28/06/2021,433.00,433.00,430.00,430.00,-2.27,30208,1
25/06/2021,437.00,445.00,430.00,440.00,-0.901,41324,1
24/06/2021,445.00,445.00,428.00,444.00,1.25,44531,1
23/06/2021,430.00,440.00,430.00,438.50,3.06,142050,1
22/06/2021,406.00,430.00,406.00,425.50,4.8,41271,1
21/06/2021,411.00,411.00,400.00,406.00,-2.29,62702,1
18/06/2021,417.20,417.20,415.50,415.50,1.34,19983,1
17/06/2021,430.00,430.00,410.00,410.00,-5.53,70382,1
16/06/2021,441.00,449.00,432.00,434.00,-1.36,69185,1
15/06/2021,446.00,454.00,440.00,440.00,0,69098,1
14/06/2021,445.00,450.00,440.00,440.00,1.03,97718,1
11/06/2021,425.00,446.00,425.00,435.50,3.69,152309,1
10/06/2021,411.00,420.00,410.00,420.00,3.7,83672,1
09/06/2021,413.00,420.00,405.00,405.00,1.25,49030,1
08/06/2021,400.00,400.00,400.00,400.00,-1.23,40134,1
07/06/2021,400.00,420.00,396.00,405.00,4.38,206275,1
04/06/2021,375.00,399.00,375.00,388.00,4.86,132988,1
03/06/2021,370.00,373.00,361.00,370.00,4.23,20209,1
02/06/2021,384.00,384.00,354.00,355.00,-7.79,58581,1
01/06/2021,383.00,390.00,375.00,385.00,1.85,287391,1
28/05/2021,378.00,378.00,378.00,378.00,-0.132,25933,1
27/05/2021,374.10,378.50,374.10,378.50,-1.43,10896,1
26/05/2021,383.00,384.00,383.00,384.00,1.45,26604,1
25/05/2021,377.00,378.50,377.00,378.50,1.47,25313,1
24/05/2021,373.00,374.00,373.00,373.00,0,32511,1
21/05/2021,374.00,374.00,373.00,373.00,0,19618,1
20/05/2021,374.00,384.00,373.00,373.00,-1.06,24402,1
19/05/2021,380.00,382.00,374.00,377.00,-1.82,46722,1
18/05/2021,366.00,388.00,366.00,384.00,7.11,146301,1
17/05/2021,354.50,358.50,354.50,358.50,0.844,11667,1
14/05/2021,359.00,359.00,355.50,355.50,0,7392,1
13/05/2021,366.00,366.00,351.00,355.50,-0.975,36844,1
12/05/2021,365.00,366.00,359.00,359.00,-1.64,12727,1
11/05/2021,365.00,365.00,365.00,365.00,0,13843,1
10/05/2021,365.00,365.00,365.00,365.00,1.67,9843,1
07/05/2021,364.00,364.00,359.00,359.00,-1.64,41966,1
06/05/2021,355.00,365.00,355.00,365.00,2.82,55808,1
05/05/2021,355.00,355.00,355.00,355.00,2.45,4134,1
04/05/2021,353.00,355.00,346.50,346.50,0.435,92272,1
30/04/2021,336.00,345.00,336.00,345.00,0,10749,1
29/04/2021,352.00,352.00,345.00,345.00,0,13316,1
28/04/2021,344.00,345.00,344.00,345.00,0.583,18576,1
27/04/2021,336.00,343.00,336.00,343.00,-2.83,30896,1
26/04/2021,350.00,353.00,341.00,353.00,2.32,36134,1
23/04/2021,336.00,345.00,336.00,345.00,1.47,16874,1
22/04/2021,340.00,345.00,340.00,340.00,-1.45,552750,1
21/04/2021,330.00,349.00,330.00,345.00,1.47,52543,1
20/04/2021,330.00,345.00,330.00,340.00,9.68,499720,1
19/04/2021,316.00,323.00,310.00,310.00,-1.9,8626,1
16/04/2021,318.00,329.00,316.00,316.00,0.317,22614,1
15/04/2021,319.00,319.00,315.00,315.00,-1.25,36116,1
14/04/2021,319.00,319.00,315.00,319.00,0,24905,1
13/04/2021,312.00,319.00,312.00,319.00,0,48386,1
12/04/2021,318.00,319.00,312.00,319.00,1.59,17830,1
09/04/2021,314.00,321.00,312.00,314.00,-2.18,41573,1
08/04/2021,314.00,321.00,314.00,321.00,2.23,19182,1
07/04/2021,314.00,314.00,314.00,314.00,-0.633,16675,1
06/04/2021,316.00,316.00,316.00,316.00,0,14269,1
01/04/2021,320.00,322.00,316.00,316.00,-1.56,32271,1
31/03/2021,322.00,322.00,321.00,321.00,-5.59,19008,1
30/03/2021,340.00,340.00,340.00,340.00,3.66,13382,1
29/03/2021,338.00,338.00,322.00,328.00,-3.53,183234,1
26/03/2021,340.00,340.00,340.00,340.00,2.41,11072,1
25/03/2021,320.00,332.00,320.00,332.00,0.606,26004,1
24/03/2021,330.00,332.00,326.00,330.00,3.77,52960,1
23/03/2021,318.00,328.00,318.00,318.00,-3.05,6211,1
22/03/2021,320.00,328.00,320.00,328.00,2.82,51145,1
19/03/2021,312.00,322.00,312.00,319.00,0.949,28800,1
18/03/2021,326.00,328.00,310.00,316.00,-3.66,67774,1
17/03/2021,328.00,328.00,328.00,328.00,3.14,7094,1
16/03/2021,320.00,320.00,318.00,318.00,-1.85,10017,1
15/03/2021,326.00,326.00,324.00,324.00,0,23299,1
12/03/2021,326.00,326.00,324.00,324.00,0,22994,1
11/03/2021,328.00,328.00,318.00,324.00,0.621,12664,1
10/03/2021,312.00,328.00,312.00,322.00,-0.617,25043,1
09/03/2021,310.00,326.00,310.00,324.00,4.52,55996,1
08/03/2021,318.00,318.00,310.00,310.00,-5.49,58302,1
05/03/2021,312.00,328.00,312.00,328.00,0,18892,1
04/03/2021,322.00,328.00,322.00,328.00,2.5,6919,1
03/03/2021,318.00,326.00,318.00,320.00,-2.44,27870,1
02/03/2021,328.00,328.00,312.00,328.00,3.14,25913,1
01/03/2021,322.00,322.00,312.00,318.00,-1.24,28037,1
26/02/2021,310.00,324.00,310.00,322.00,0.94,84728,1
25/02/2021,326.00,328.00,312.00,319.00,-2.74,155009,1
24/02/2021,320.00,328.00,312.00,328.00,5.81,120031,1
