Date,Open,High,Low,Close,Change%,Volume,Adjustment
06/06/2022,1165.0,1166.0,1162.0,1162.0,-0.258,6124025,1
01/06/2022,1164.0,1168.0,1163.0,1165.0,0.172,2852207,1
31/05/2022,1163.0,1165.0,1163.0,1163.0,0,2085175,1
30/05/2022,1165.0,1166.0,1161.0,1163.0,-0.172,5162950,1
27/05/2022,1163.0,1168.0,1163.0,1165.0,-0.0858,2667092,1
26/05/2022,1161.0,1166.0,1161.0,1166.0,0.431,8624245,1
25/05/2022,1161.0,1165.0,1161.0,1161.0,-0.0861,2879053,1
24/05/2022,1161.0,1164.0,1161.0,1162.0,0.0861,7510770,1
23/05/2022,1163.5,1165.5,1158.5,1161.0,-0.258,5744194,1
20/05/2022,1164.0,1167.0,1157.0,1164.0,0.345,9089237,1
19/05/2022,1170.0,1175.0,1158.0,1160.0,10.2,34670096,1
18/05/2022,1036.0,1067.0,1035.0,1053.0,1.45,7849048,1
17/05/2022,1049.0,1055.0,1031.0,1038.0,-0.86,8950814,1
16/05/2022,1063.0,1065.0,1045.0,1047.0,-2.06,3829948,1
13/05/2022,1085.0,1091.0,1068.0,1069.0,-0.651,3791131,1
12/05/2022,1081.0,1100.0,1074.0,1076.0,-2.62,3019257,1
11/05/2022,990.00,1125.0,980.00,1105.0,13.4,11246892,1
10/05/2022,959.50,974.50,956.00,974.00,1.67,2956425,1
09/05/2022,992.50,997.00,958.00,958.00,-3.23,2052173,1
06/05/2022,965.00,1002.0,957.00,990.00,2.17,3395878,1
05/05/2022,964.00,975.50,960.00,969.00,1.25,3370594,1
04/05/2022,959.50,966.50,956.50,957.00,-0.571,1572627,1
03/05/2022,979.00,985.50,960.00,962.50,-2.09,1721505,1
29/04/2022,998.50,1017.0,980.00,983.00,-0.707,1763441,1
28/04/2022,998.00,1009.0,980.00,990.00,0.661,1005416,1
27/04/2022,989.50,989.50,970.00,983.50,0.357,1124027,1
26/04/2022,978.00,986.50,965.00,980.00,0.358,1889846,1
25/04/2022,985.00,989.50,957.00,976.50,-0.408,1642109,1
22/04/2022,921.00,985.50,910.00,980.50,14.9,3021191,1
21/04/2022,849.00,863.00,840.50,853.50,0.53,689141,1
20/04/2022,866.50,866.50,835.00,849.00,-0.352,1167416,1
19/04/2022,875.00,875.00,836.50,852.00,-0.351,910971,1
14/04/2022,868.00,871.50,850.00,855.00,-0.524,368098,1
13/04/2022,865.00,868.00,856.00,859.50,-0.0581,1265187,1
12/04/2022,874.00,882.00,859.00,860.00,-1.15,971998,1
11/04/2022,890.00,890.00,859.50,870.00,0,470775,1
08/04/2022,874.50,884.50,866.50,870.00,-1.19,528283,1
07/04/2022,900.00,900.00,871.00,880.50,-0.565,577536,1
06/04/2022,894.00,895.50,872.00,885.50,1.26,667105,1
05/04/2022,878.00,890.50,860.00,874.50,1.1,1879857,1
04/04/2022,872.00,872.00,843.00,865.00,1.76,1400576,1
01/04/2022,847.00,857.00,842.50,850.00,0.83,1382557,1
31/03/2022,859.00,870.50,843.00,843.00,-1.58,1945583,1
30/03/2022,861.50,863.50,849.50,856.50,0.0584,1870136,1
29/03/2022,859.50,881.00,852.00,856.00,0.588,2751394,1
28/03/2022,882.50,894.50,849.00,851.00,-2.96,1548243,1
25/03/2022,804.00,939.00,800.50,877.00,8.74,4645727,1
24/03/2022,713.00,849.50,705.50,806.50,14.6,11489197,1
23/03/2022,694.50,707.50,686.00,703.50,1.74,3188346,1
22/03/2022,691.00,701.00,667.50,691.50,2.22,1940462,1
21/03/2022,684.00,684.00,660.50,676.50,0.595,1917811,1
18/03/2022,683.00,684.50,660.00,672.50,-1.03,2185678,1
17/03/2022,672.50,689.50,667.50,679.50,1.04,761351,1
16/03/2022,663.50,672.50,657.00,672.50,4.02,1207197,1
15/03/2022,652.00,664.50,646.00,646.50,-3.22,572200,1
14/03/2022,649.00,675.50,643.50,668.00,5.36,494062,1
11/03/2022,629.00,651.50,629.00,634.00,0.555,531745,1
10/03/2022,648.50,656.00,630.50,630.50,-2.55,607255,1
09/03/2022,618.50,651.50,618.00,647.00,5.46,1842869,1
08/03/2022,635.50,635.50,602.00,613.50,-0.325,684722,1
07/03/2022,593.00,623.50,579.00,615.50,1.15,1211810,1
04/03/2022,639.00,643.00,607.50,608.50,-3.87,1285168,1
03/03/2022,673.00,679.00,633.00,633.00,-6.64,901330,1
02/03/2022,683.00,689.00,659.00,678.00,1.04,985178,1
01/03/2022,660.00,675.00,649.50,671.00,-0.371,968823,1
28/02/2022,670.50,675.50,659.00,673.50,0.298,1678030,1
25/02/2022,690.00,701.00,669.50,671.50,-3.38,774520,1
24/02/2022,698.00,705.50,689.00,695.00,-3.67,982427,1
23/02/2022,736.00,736.00,716.00,721.50,-0.893,655085,1
22/02/2022,709.00,729.00,704.00,728.00,1.11,419194,1
21/02/2022,756.50,756.50,712.50,720.00,-3.03,575092,1
18/02/2022,747.50,747.50,734.00,742.50,0.678,541094,1
17/02/2022,765.00,765.00,728.50,737.50,-1.99,608232,1
16/02/2022,744.50,759.50,744.50,752.50,-0.529,342585,1
15/02/2022,742.00,764.00,742.00,756.50,0.799,540468,1
14/02/2022,757.50,757.50,743.50,750.50,-1.9,473525,1
11/02/2022,763.50,773.50,760.50,765.00,-1.8,158701,1
10/02/2022,797.50,797.50,772.50,779.00,-0.32,411982,1
09/02/2022,780.00,794.00,779.50,781.50,0.644,606026,1
08/02/2022,751.00,778.50,751.00,776.50,3.88,959439,1
07/02/2022,745.50,764.00,741.50,747.50,-0.333,627681,1
04/02/2022,788.50,788.50,747.50,750.00,-1.64,891429,1
03/02/2022,778.50,778.50,762.50,762.50,-1.68,1082436,1
02/02/2022,780.00,781.00,773.50,775.50,0.78,501614,1
01/02/2022,784.50,784.50,765.00,769.50,0.852,515748,1
31/01/2022,759.50,769.00,757.00,763.00,0.926,761890,1
28/01/2022,757.00,758.50,746.50,756.00,-0.264,809030,1
27/01/2022,753.00,759.50,749.00,758.00,0.331,446192,1
26/01/2022,740.00,765.50,740.00,755.50,1.89,754117,1
25/01/2022,773.50,775.00,741.50,741.50,-4.51,1843583,1
24/01/2022,795.00,797.00,756.00,776.50,-2.33,1236318,1
21/01/2022,780.00,798.00,780.00,795.00,-0.501,676440,1
20/01/2022,789.50,810.00,783.00,799.00,2.7,844445,1
19/01/2022,770.00,781.50,766.50,778.00,0.387,1828949,1
18/01/2022,775.00,775.00,746.50,775.00,0.454,1780268,1
17/01/2022,782.00,791.50,764.00,771.50,-0.772,1393127,1
14/01/2022,800.00,813.50,771.00,777.50,-4.48,995493,1
13/01/2022,820.00,835.00,814.00,814.00,-0.792,367691,1
12/01/2022,817.50,826.50,808.50,820.50,0.923,1240295,1
11/01/2022,827.00,830.00,813.00,813.00,-0.914,1383484,1
10/01/2022,851.00,852.00,819.50,820.50,-3.47,477023,1
07/01/2022,857.00,859.50,844.50,850.00,-1.11,429383,1
06/01/2022,870.00,874.00,858.50,859.50,-2.11,531279,1
05/01/2022,890.00,892.50,874.50,878.00,-0.959,295882,1
04/01/2022,887.50,900.50,878.50,886.50,1.37,741642,1
31/12/2021,900.00,900.00,873.00,874.50,-1.13,233511,1
30/12/2021,875.00,887.50,875.00,884.50,-0.0565,487256,1
29/12/2021,888.00,894.50,882.50,885.00,1.37,485210,1
24/12/2021,894.00,894.00,870.00,873.00,-0.626,60520,1
23/12/2021,891.00,891.00,878.50,878.50,0.343,375155,1
22/12/2021,864.50,875.50,861.00,875.50,1.27,591442,1
21/12/2021,870.00,872.50,856.50,864.50,0.64,340646,1
20/12/2021,836.50,860.50,836.50,859.00,0.409,420486,1
17/12/2021,849.00,865.00,847.00,855.50,0.529,918773,1
16/12/2021,842.00,854.00,838.00,851.00,1.79,769645,1
15/12/2021,848.50,853.00,831.50,836.00,-1.47,791484,1
14/12/2021,873.50,873.50,848.50,848.50,-0.176,805564,1
13/12/2021,871.00,884.00,845.00,850.00,-3.95,588598,1
10/12/2021,926.50,926.50,882.50,885.00,-2.59,1038861,1
09/12/2021,925.00,925.00,905.50,908.50,-1.94,557027,1
08/12/2021,964.50,964.50,926.50,926.50,-2.83,700278,1
07/12/2021,924.00,954.50,924.00,953.50,2.25,629263,1
06/12/2021,910.00,936.50,910.00,932.50,1.75,488546,1
03/12/2021,897.00,933.00,897.00,916.50,-0.489,467461,1
02/12/2021,897.00,922.50,897.00,921.00,1.66,515934,1
01/12/2021,905.00,910.00,896.50,906.00,0.779,644983,1
30/11/2021,888.50,905.00,888.50,899.00,-0.388,1305900,1
29/11/2021,917.50,917.50,897.50,902.50,0.278,688483,1
26/11/2021,896.50,916.00,889.50,900.00,-2.17,1360101,1
25/11/2021,945.00,945.00,914.50,920.00,-0.755,287690,1
24/11/2021,917.00,932.50,916.00,927.00,1.09,295589,1
23/11/2021,917.50,920.50,909.00,917.00,-0.326,677737,1
22/11/2021,931.50,932.50,917.50,920.00,-0.755,436819,1
19/11/2021,931.50,938.00,909.50,927.00,0,738724,1
18/11/2021,923.50,942.00,918.00,927.00,0.162,1107231,1
17/11/2021,929.50,933.50,912.50,925.50,0.872,1140216,1
16/11/2021,877.00,927.50,862.00,917.50,7.12,1690304,1
15/11/2021,873.50,873.50,850.50,856.50,-0.233,685530,1
12/11/2021,853.50,859.00,847.50,858.50,0.527,544355,1
11/11/2021,836.50,855.00,833.50,854.00,2.4,608675,1
10/11/2021,838.00,838.00,824.50,834.00,0.18,440543,1
09/11/2021,860.00,860.00,832.50,832.50,-0.775,397932,1
08/11/2021,872.00,872.00,832.00,839.00,-1.35,445636,1
05/11/2021,865.50,867.50,842.00,850.50,0.651,495975,1
04/11/2021,852.50,853.00,831.50,845.00,1.62,817223,1
03/11/2021,851.50,851.50,829.50,831.50,-0.538,605077,1
02/11/2021,843.50,854.00,819.00,836.00,-2.79,1481724,1
01/11/2021,865.00,868.00,846.50,860.00,0.585,716348,1
29/10/2021,857.50,865.00,855.00,855.00,-0.754,512076,1
28/10/2021,851.00,862.00,849.50,861.50,0.76,331460,1
27/10/2021,841.50,871.50,833.50,855.00,2.83,787577,1
26/10/2021,822.50,837.00,821.00,831.50,0.849,269333,1
25/10/2021,854.00,854.00,816.00,824.50,-0.722,278799,1
22/10/2021,825.00,837.00,822.50,830.50,0.423,352528,1
21/10/2021,851.50,851.50,824.00,827.00,-0.541,365883,1
20/10/2021,820.00,833.50,820.00,831.50,-0.0601,397871,1
19/10/2021,814.50,835.00,814.50,832.00,1.16,303473,1
18/10/2021,818.00,824.00,811.00,822.50,0.305,361618,1
15/10/2021,840.00,840.00,817.00,820.00,-1.74,503200,1
14/10/2021,814.00,836.00,803.00,834.50,3.22,482147,1
13/10/2021,793.00,814.00,793.00,808.50,0.622,501972,1
12/10/2021,787.00,809.50,787.00,803.50,-0.618,612377,1
11/10/2021,793.00,811.50,793.00,808.50,-0.492,655933,1
08/10/2021,834.50,834.50,807.00,812.50,-0.307,635138,1
07/10/2021,845.00,845.00,802.00,815.00,-1.87,844827,1
06/10/2021,830.00,835.50,790.00,830.50,-3.21,2365321,1
05/10/2021,892.00,892.00,852.00,858.00,-1.38,1256776,1
04/10/2021,896.00,896.00,870.00,870.00,-2.9,785484,1
01/10/2021,887.00,904.50,887.00,896.00,-0.94,444975,1
30/09/2021,929.00,929.00,902.00,904.50,-0.713,1182948,1
29/09/2021,909.00,927.00,908.00,911.00,-0.763,427055,1
28/09/2021,929.50,929.50,911.50,918.00,-0.272,459991,1
27/09/2021,942.00,942.00,914.50,920.50,-0.109,499614,1
24/09/2021,960.00,961.50,918.50,921.50,-3.31,419546,1
23/09/2021,993.00,993.50,951.50,953.00,-3.2,651260,1
22/09/2021,936.00,984.50,936.00,984.50,3.04,536740,1
21/09/2021,987.00,987.00,953.00,955.50,-0.83,352462,1
20/09/2021,961.00,979.50,960.00,963.50,-0.67,440186,1
17/09/2021,981.50,986.50,969.00,970.00,-0.564,912772,1
16/09/2021,950.00,977.00,950.00,975.50,1.77,516292,1
15/09/2021,992.50,992.50,957.00,958.50,-1.08,383221,1
14/09/2021,1000.0,1000.0,968.50,969.00,-0.819,391539,1
13/09/2021,1007.0,1012.0,977.00,977.00,-3.08,30641,1
10/09/2021,1012.0,1024.0,1008.0,1008.0,-0.198,885464,1
09/09/2021,998.50,1013.0,985.00,1010.0,0.698,626095,1
08/09/2021,1004.0,1006.0,992.50,1003.0,-0.791,522184,1
07/09/2021,987.50,1021.0,985.50,1011.0,2.22,811428,1
06/09/2021,997.00,1001.0,987.00,989.00,-0.802,520404,1
03/09/2021,996.50,1017.0,989.50,997.00,0.707,1106800,1
02/09/2021,965.00,1007.0,963.00,990.00,3.34,1385828,1
01/09/2021,958.50,966.00,942.00,958.00,2.24,832849,1
31/08/2021,928.00,944.00,925.00,937.00,0.915,840945,1
27/08/2021,920.50,934.50,916.50,928.50,1.25,367076,1
26/08/2021,915.00,920.00,905.50,917.00,-0.434,352726,1
25/08/2021,930.00,930.00,917.00,921.00,0.436,389115,1
24/08/2021,940.00,940.00,910.50,917.00,-0.758,345246,1
23/08/2021,938.00,940.50,915.00,924.00,-0.965,402908,1
20/08/2021,925.00,938.50,925.00,933.00,-0.48,369946,1
19/08/2021,938.50,946.00,933.00,937.50,-1.37,462700,1
18/08/2021,959.00,959.50,949.00,950.50,-0.367,352325,1
17/08/2021,953.50,954.00,934.00,954.00,1.27,677544,1
16/08/2021,943.00,949.00,936.00,942.00,-0.685,298327,1
13/08/2021,950.00,959.50,947.00,948.50,-0.524,214393,1
12/08/2021,950.00,964.50,950.00,953.50,-0.832,246765,1
11/08/2021,953.00,961.50,943.00,961.50,2.29,395492,1
10/08/2021,940.50,946.00,939.00,940.00,-0.212,979077,1
09/08/2021,968.00,968.00,934.00,942.00,-0.633,833262,1
06/08/2021,956.00,963.00,948.00,948.00,-1.35,279726,1
05/08/2021,939.00,962.00,939.00,961.00,1.21,488934,1
04/08/2021,956.00,956.00,942.00,949.50,0.796,595415,1
03/08/2021,939.00,956.00,939.00,942.00,-0.475,351932,1
02/08/2021,936.00,948.00,936.00,946.50,1.23,466443,1
30/07/2021,960.00,960.00,926.50,935.00,-0.901,764308,1
29/07/2021,925.00,949.00,925.00,943.50,0.533,625551,1
28/07/2021,966.50,966.50,938.00,938.50,-0.53,321050,1
27/07/2021,956.00,957.50,943.50,943.50,-1.46,1075643,1
26/07/2021,967.00,967.00,952.50,957.50,-0.519,372806,1
23/07/2021,942.50,967.50,942.50,962.50,0.997,348635,1
22/07/2021,947.00,963.00,947.00,953.00,-0.366,369004,1
21/07/2021,942.00,962.00,941.50,956.50,1.97,631184,1
20/07/2021,963.00,963.00,932.00,938.00,-0.53,747369,1
19/07/2021,963.00,963.50,937.00,943.00,-2.33,821287,1
16/07/2021,949.00,967.00,934.50,965.50,3.15,675655,1
15/07/2021,960.00,973.00,933.50,936.00,-3.16,797385,1
14/07/2021,960.00,975.00,960.00,966.50,-1.02,380875,1
13/07/2021,973.00,979.50,967.00,976.50,0.67,1128050,1
12/07/2021,956.50,974.50,956.50,970.00,0.155,441957,1
09/07/2021,974.00,975.50,962.00,968.50,0.519,512028,1
08/07/2021,973.00,973.00,958.00,963.50,-0.568,528772,1
07/07/2021,980.50,980.50,951.00,969.00,1.2,1115586,1
06/07/2021,960.00,962.00,950.50,957.50,-0.156,333736,1
05/07/2021,974.50,974.50,953.00,959.00,-0.827,420496,1
02/07/2021,965.00,969.50,952.00,967.00,1.15,563167,1
01/07/2021,936.00,957.00,936.00,956.00,0.0523,647594,1
30/06/2021,967.00,977.50,951.00,955.50,-1.7,984207,1
29/06/2021,955.00,976.00,955.00,972.00,0.673,927370,1
28/06/2021,971.00,972.00,961.00,965.50,-0.464,412055,1
25/06/2021,960.00,974.00,940.00,970.00,1.57,875141,1
24/06/2021,975.50,975.50,955.00,955.00,-1.6,494254,1
23/06/2021,967.50,979.50,956.50,970.50,0.31,640096,1
22/06/2021,963.50,972.50,952.00,967.50,0.939,652347,1
21/06/2021,967.00,971.50,947.00,958.50,-1.84,1047310,1
18/06/2021,972.00,976.50,963.50,976.50,0.774,3496448,1
17/06/2021,967.00,981.50,966.50,969.00,-1.17,1380436,1
16/06/2021,963.50,987.50,963.00,980.50,1.55,1268341,1
15/06/2021,961.00,971.00,957.50,965.50,0.994,1289566,1
14/06/2021,950.00,962.00,945.00,956.00,1.22,1382700,1
11/06/2021,943.00,949.00,935.50,944.50,0.747,2322754,1
10/06/2021,939.50,943.00,929.50,937.50,-0.213,466188,1
09/06/2021,945.00,946.00,938.00,939.50,-0.949,319276,1
08/06/2021,947.50,953.00,938.00,948.50,0.637,434405,1
07/06/2021,961.00,961.00,941.00,942.50,-0.106,935391,1
04/06/2021,950.00,956.50,943.00,943.50,-0.422,848595,1
03/06/2021,960.00,960.00,942.50,947.50,0.265,573115,1
02/06/2021,950.00,950.00,939.50,945.00,0.425,465124,1
01/06/2021,928.00,946.00,928.00,941.00,0.696,1455270,1
28/05/2021,926.50,943.50,918.50,934.50,1.08,1592164,1
27/05/2021,925.00,933.50,919.50,924.50,-0.805,1657219,1
26/05/2021,943.50,950.00,930.50,932.00,-0.798,857854,1
25/05/2021,952.00,960.00,934.00,939.50,-1.05,785158,1
24/05/2021,955.50,971.00,949.50,949.50,-0.367,726704,1
21/05/2021,942.00,965.50,923.50,953.00,-0.209,2107518,1
20/05/2021,934.00,967.00,926.00,955.00,3.13,1719930,1
19/05/2021,949.00,955.00,909.00,926.00,-2.37,2922286,1
18/05/2021,1028.0,1042.0,944.50,948.50,-8.53,2644708,1
17/05/2021,1032.0,1055.0,1032.0,1037.0,-0.67,766703,1
14/05/2021,1039.0,1054.0,1038.0,1044.0,1.75,826861,1
13/05/2021,1020.0,1031.0,1018.0,1026.0,-0.195,446116,1
12/05/2021,1032.0,1048.0,1021.0,1028.0,-1.53,1272876,1
11/05/2021,1052.0,1052.0,1031.0,1044.0,-1.14,713262,1
10/05/2021,1062.0,1078.0,1054.0,1056.0,-2.22,590455,1
07/05/2021,1081.0,1090.0,1073.0,1080.0,-0.369,633026,1
06/05/2021,1096.0,1096.0,1077.0,1084.0,-0.55,869833,1
05/05/2021,1061.0,1098.0,1061.0,1090.0,0.276,1210798,1
04/05/2021,1120.0,1120.0,1086.0,1087.0,-0.64,692826,1
30/04/2021,1094.0,1103.0,1086.0,1094.0,0,790408,1
29/04/2021,1071.0,1096.0,1071.0,1094.0,0,806695,1
28/04/2021,1082.0,1099.0,1075.0,1094.0,0.367,1108103,1
27/04/2021,1120.0,1120.0,1090.0,1090.0,-2.68,1214901,1
26/04/2021,1146.0,1146.0,1107.0,1120.0,-1.23,1183240,1
23/04/2021,1155.0,1155.0,1124.0,1134.0,-1.39,998313,1
22/04/2021,1157.0,1159.0,1122.0,1150.0,1.77,1115385,1
21/04/2021,1138.0,1145.0,1122.0,1130.0,-1.22,1225271,1
20/04/2021,1158.0,1162.0,1139.0,1144.0,-1.38,837864,1
19/04/2021,1185.0,1186.0,1157.0,1160.0,-2.11,1229934,1
16/04/2021,1195.0,1195.0,1183.0,1185.0,-0.42,750751,1
15/04/2021,1184.0,1201.0,1180.0,1190.0,-0.168,593756,1
14/04/2021,1187.0,1204.0,1187.0,1192.0,-0.168,355715,1
13/04/2021,1170.0,1194.0,1170.0,1194.0,0.759,484738,1
12/04/2021,1192.0,1193.0,1182.0,1185.0,-0.504,462500,1
09/04/2021,1215.0,1215.0,1177.0,1191.0,0.084,644851,1
08/04/2021,1144.0,1192.0,1144.0,1190.0,1.45,472913,1
07/04/2021,1196.0,1196.0,1161.0,1173.0,0.428,829404,1
06/04/2021,1200.0,1208.0,1168.0,1168.0,-3.63,1384470,1
01/04/2021,1217.0,1218.0,1200.0,1212.0,0.916,473369,1
31/03/2021,1201.0,1209.0,1198.0,1201.0,0.0833,1125292,1
30/03/2021,1205.0,1205.0,1189.0,1200.0,-0.249,2062473,1
29/03/2021,1167.0,1212.0,1167.0,1203.0,0.754,496167,1
26/03/2021,1196.0,1205.0,1183.0,1194.0,0.759,831257,1
25/03/2021,1168.0,1185.0,1164.0,1185.0,1.28,673788,1
24/03/2021,1167.0,1174.0,1163.0,1170.0,-0.51,432646,1
23/03/2021,1171.0,1188.0,1165.0,1176.0,-0.085,633652,1
22/03/2021,1184.0,1185.0,1163.0,1177.0,0.085,618916,1
19/03/2021,1169.0,1180.0,1162.0,1176.0,0.513,1712680,1
18/03/2021,1170.0,1177.0,1160.0,1170.0,0.171,892273,1
17/03/2021,1164.0,1172.0,1156.0,1168.0,0.172,912851,1
16/03/2021,1161.0,1168.0,1139.0,1166.0,2.19,947838,1
15/03/2021,1151.0,1151.0,1128.0,1141.0,1.15,598103,1
12/03/2021,1102.0,1128.0,1102.0,1128.0,0.535,537507,1
11/03/2021,1115.0,1132.0,1104.0,1122.0,1.72,730890,1
10/03/2021,1091.0,1105.0,1068.0,1103.0,1.1,495281,1
09/03/2021,1092.0,1102.0,1083.0,1091.0,0.832,584573,1
08/03/2021,1081.0,1083.0,1062.0,1082.0,0.558,410284,1
05/03/2021,1069.0,1084.0,1064.0,1076.0,-0.186,902655,1
04/03/2021,1085.0,1085.0,1058.0,1078.0,1.13,439172,1
03/03/2021,1074.0,1087.0,1062.0,1066.0,-0.0937,510284,1
02/03/2021,1044.0,1071.0,1044.0,1067.0,0.755,626642,1
01/03/2021,1063.0,1071.0,1051.0,1059.0,1.73,935016,1
26/02/2021,1040.0,1059.0,1040.0,1041.0,-1.33,1347162,1
25/02/2021,1019.0,1063.0,1019.0,1055.0,1.05,1138882,1
24/02/2021,1000.0,1045.0,1000.0,1044.0,2.35,873275,1
23/02/2021,1041.0,1041.0,1010.0,1020.0,0.196,487602,1
22/02/2021,1040.0,1040.0,1002.0,1018.0,-1.83,881510,1
19/02/2021,1044.0,1056.0,1033.0,1037.0,-1.33,448152,1
18/02/2021,1034.0,1054.0,1034.0,1051.0,1.06,522760,1
17/02/2021,1085.0,1088.0,1035.0,1040.0,-2.16,524628,1
16/02/2021,1082.0,1090.0,1060.0,1063.0,-1.21,391704,1
15/02/2021,1070.0,1093.0,1070.0,1076.0,-0.0929,329349,1
12/02/2021,1049.0,1079.0,1048.0,1077.0,1.89,570627,1
11/02/2021,1050.0,1062.0,1031.0,1057.0,1.83,732505,1
10/02/2021,1047.0,1053.0,1023.0,1038.0,0,834983,1
09/02/2021,1043.0,1054.0,1036.0,1038.0,-0.954,945494,1
08/02/2021,1050.0,1055.0,1041.0,1048.0,0.383,653907,1
05/02/2021,1077.0,1077.0,1039.0,1044.0,-2.34,973110,1
04/02/2021,1063.0,1102.0,1063.0,1069.0,-1.2,1466886,1
03/02/2021,1089.0,1097.0,1073.0,1082.0,-0.185,1336283,1
02/02/2021,1089.0,1089.0,1064.0,1084.0,1.4,2631276,1
01/02/2021,1035.0,1074.0,1035.0,1069.0,2.39,588064,1
29/01/2021,1056.0,1072.0,1042.0,1044.0,-2.06,500926,1
28/01/2021,1087.0,1092.0,1057.0,1066.0,-2.91,2750680,1
27/01/2021,1079.0,1109.0,1077.0,1098.0,1.67,909480,1
26/01/2021,1080.0,1102.0,1078.0,1080.0,-1.28,449315,1
25/01/2021,1105.0,1105.0,1079.0,1094.0,1.3,542898,1
22/01/2021,1065.0,1080.0,1061.0,1080.0,-0.185,492739,1
21/01/2021,1092.0,1106.0,1077.0,1082.0,-1.37,622722,1
20/01/2021,1078.0,1110.0,1078.0,1097.0,2.05,716144,1
19/01/2021,1066.0,1078.0,1057.0,1075.0,1.13,347060,1
18/01/2021,1070.0,1084.0,1059.0,1063.0,-1.02,244895,1
15/01/2021,1068.0,1078.0,1064.0,1074.0,-0.371,506090,1
14/01/2021,1078.0,1088.0,1063.0,1078.0,-0.37,702986,1
13/01/2021,1106.0,1106.0,1078.0,1082.0,-0.916,770990,1
12/01/2021,1100.0,1106.0,1085.0,1092.0,1.02,558840,1
11/01/2021,1121.0,1121.0,1081.0,1081.0,-1.37,555410,1
08/01/2021,1102.0,1108.0,1080.0,1096.0,1.58,525721,1
07/01/2021,1080.0,1085.0,1059.0,1079.0,0.466,598076,1
06/01/2021,1080.0,1080.0,1074.0,1074.0,0.468,561093,1
05/01/2021,1076.0,1087.0,1068.0,1069.0,-0.743,559854,1
04/01/2021,1038.0,1092.0,1034.0,1077.0,5.07,949210,1
31/12/2020,1044.0,1045.0,1022.0,1025.0,-2.75,361272,1
30/12/2020,1059.0,1090.0,1054.0,1054.0,-2.86,330429,1
29/12/2020,1083.0,1106.0,1076.0,1085.0,2.26,563803,1
24/12/2020,1073.0,1080.0,1039.0,1061.0,-0.934,132512,1
23/12/2020,1074.0,1082.0,1058.0,1071.0,0.281,443311,1
22/12/2020,1060.0,1078.0,1048.0,1068.0,0.376,1970263,1
21/12/2020,1072.0,1090.0,1044.0,1064.0,-1.94,761881,1
18/12/2020,1102.0,1124.0,1085.0,1085.0,-1.45,6453516,1
17/12/2020,1119.0,1133.0,1101.0,1101.0,-0.989,375829,1
16/12/2020,1109.0,1119.0,1106.0,1112.0,0.816,593225,1
15/12/2020,1090.0,1109.0,1085.0,1103.0,1.19,599541,1
14/12/2020,1079.0,1096.0,1070.0,1090.0,1.21,345779,1
11/12/2020,1082.0,1082.0,1069.0,1077.0,0.373,404375,1
10/12/2020,1093.0,1095.0,1071.0,1073.0,-2.01,978300,1
09/12/2020,1097.0,1109.0,1090.0,1095.0,-0.182,481562,1
08/12/2020,1071.0,1105.0,1064.0,1097.0,1.67,758569,1
07/12/2020,1075.0,1083.0,1066.0,1079.0,0.935,614696,1
04/12/2020,1060.0,1090.0,1060.0,1069.0,0.281,660834,1
03/12/2020,1044.0,1076.0,1040.0,1066.0,1.33,848265,1
02/12/2020,1053.0,1064.0,1043.0,1052.0,-0.473,814335,1
01/12/2020,1045.0,1075.0,1045.0,1057.0,1.15,812151,1
30/11/2020,1045.0,1076.0,1044.0,1045.0,-0.76,1194082,1
27/11/2020,1072.0,1072.0,1025.0,1053.0,-1.31,1891591,1
26/11/2020,1047.0,1067.0,1032.0,1067.0,2.2,738834,1
25/11/2020,1049.0,1082.0,1034.0,1044.0,-0.287,879464,1
24/11/2020,1134.0,1136.0,1047.0,1047.0,-7.18,1555263,1
23/11/2020,1180.0,1180.0,1128.0,1128.0,-3.42,1183165,1
