Date,Open,High,Low,Close,Change%,Volume,Adjustment
02/12/2021,884.40,895.80,881.20,883.80,-1.1,913771,1
01/12/2021,871.60,897.00,871.40,893.60,3.23,1198952,1
30/11/2021,889.20,894.40,865.60,865.60,-3.33,2818864,1
29/11/2021,902.80,911.60,891.80,895.40,0.201,908682,1
26/11/2021,889.40,900.60,880.80,893.60,-2.27,830082,1
25/11/2021,920.20,924.40,907.40,914.40,0.461,477748,1
24/11/2021,904.80,920.00,902.80,910.20,0.797,1185269,1
23/11/2021,917.40,917.40,888.00,903.00,-1.66,1241237,1
22/11/2021,920.80,929.20,916.20,918.20,-0.152,1364798,1
19/11/2021,926.60,932.00,911.20,919.60,-0.562,1499134,1
18/11/2021,909.60,924.80,909.60,924.80,1.4,946140,1
17/11/2021,919.00,923.60,912.00,912.00,-0.999,1977262,1
16/11/2021,932.20,933.40,914.40,921.20,-1.03,1217129,1
15/11/2021,935.60,937.60,924.40,930.80,-0.598,450023,1
12/11/2021,927.00,943.00,926.80,936.40,0.515,4241869,1
11/11/2021,920.60,935.60,919.60,931.60,1.19,1099423,1
10/11/2021,919.60,924.40,915.20,920.60,0.0652,2667133,1
09/11/2021,930.00,941.00,919.20,920.00,-1.33,1122663,1
08/11/2021,942.60,947.40,932.40,932.40,-1.29,1217874,1
05/11/2021,963.00,973.80,944.60,944.60,-1.81,1038777,1
04/11/2021,946.00,965.80,935.60,962.00,2.34,1371526,1
03/11/2021,933.20,940.20,928.60,940.00,0.427,1270013,1
02/11/2021,922.80,940.40,922.60,936.00,1.39,2537708,1
01/11/2021,945.00,950.00,916.40,923.20,0.37,2307521,1
29/10/2021,917.80,922.80,904.60,919.80,-0.195,1550820,1
28/10/2021,922.40,922.80,914.60,921.60,-0.195,1284887,1
27/10/2021,909.80,926.20,909.20,923.40,0.83,1384704,1
26/10/2021,896.20,917.60,896.20,915.80,1.87,762115,1
25/10/2021,896.60,900.60,892.00,899.00,0.649,1149760,1
22/10/2021,889.20,896.60,882.60,893.20,1.16,1553638,1
21/10/2021,865.00,886.60,865.00,883.00,0.478,860222,1
20/10/2021,885.80,890.20,877.40,878.80,-1.21,2331391,1
19/10/2021,899.60,903.20,886.20,889.60,-0.759,1206484,1
18/10/2021,895.40,898.20,889.80,896.40,-0.0446,1016935,1
15/10/2021,891.20,902.20,878.80,896.80,2.33,2246929,1
14/10/2021,859.00,876.40,857.60,876.40,1.04,1929324,1
13/10/2021,834.00,875.00,825.80,867.40,4.1,2498097,1
12/10/2021,827.60,837.60,825.60,833.20,-0.335,1751397,1
11/10/2021,846.60,846.60,825.20,836.00,-1.28,1619084,1
08/10/2021,856.60,856.60,844.80,846.80,-1.28,1360515,1
07/10/2021,854.00,861.80,843.60,857.80,1.3,1275767,1
06/10/2021,860.20,863.00,844.00,846.80,-2.19,2454797,1
05/10/2021,881.60,886.00,865.40,865.80,-1.19,1953324,1
04/10/2021,885.60,891.60,874.40,876.20,-1.31,1455028,1
01/10/2021,878.20,891.00,874.20,887.80,-0.893,1784935,1
30/09/2021,908.60,910.40,891.60,895.80,-0.467,2439524,1
29/09/2021,907.20,919.60,898.60,900.00,-0.0666,1819122,1
28/09/2021,938.20,938.80,894.80,900.60,-4.15,2584570,1
27/09/2021,962.40,964.80,932.20,939.60,-1.9,2114235,1
24/09/2021,971.00,971.00,953.00,957.80,-1.82,1368923,1
23/09/2021,979.40,985.40,975.40,975.60,0.041,1235371,1
22/09/2021,964.60,975.20,962.40,975.20,1.6,1027528,1
21/09/2021,952.40,959.80,949.80,959.80,1.2,944520,1
20/09/2021,952.20,956.00,944.00,948.40,-1.29,1013603,1
17/09/2021,966.00,973.80,957.40,960.80,-0.27,2100691,1
16/09/2021,956.40,968.00,946.80,963.40,1.11,1388509,1
15/09/2021,961.80,965.20,951.00,952.80,-0.936,2953253,1
14/09/2021,961.20,969.20,958.40,961.80,0.125,938025,1
13/09/2021,966.09,967.80,958.60,960.60,-0.249,1462260,1
10/09/2021,952.80,967.40,949.80,963.00,1.48,1095546,1
09/09/2021,943.40,952.00,940.40,949.00,0.381,1737674,1
08/09/2021,932.80,950.00,932.80,945.40,-0.148,966009,1
07/09/2021,939.80,961.00,939.20,946.80,-1.52,1166036,1
06/09/2021,958.40,965.00,957.60,961.40,0.271,509996,1
03/09/2021,961.00,964.80,954.00,958.80,-0.208,1133290,1
02/09/2021,955.40,967.80,952.40,960.80,0.334,1370288,1
01/09/2021,957.60,960.60,944.60,957.60,1.27,1646125,1
31/08/2021,952.40,956.40,943.40,945.60,-0.672,1446248,1
27/08/2021,950.40,959.00,945.60,952.00,0.486,1025770,1
26/08/2021,938.00,950.00,932.60,947.40,1,1118951,1
25/08/2021,937.00,945.40,931.00,938.00,0.514,1286715,1
24/08/2021,955.20,955.20,930.00,933.20,-1.1,1145739,1
23/08/2021,955.60,958.40,941.40,943.60,-0.422,799750,1
20/08/2021,940.00,949.80,936.60,947.60,0.723,1664942,1
19/08/2021,945.80,947.00,937.40,940.80,-1.63,1242496,1
18/08/2021,955.00,959.80,950.60,956.40,0.42,1081634,1
17/08/2021,948.60,964.00,946.20,952.40,0.042,1472838,1
16/08/2021,942.60,953.80,942.60,952.00,0.401,1234399,1
13/08/2021,949.00,956.20,947.80,948.20,0.148,901207,1
12/08/2021,943.20,952.60,939.80,946.80,0.403,963476,1
11/08/2021,938.20,943.00,937.00,943.00,0.533,1127846,1
10/08/2021,941.60,945.60,937.20,938.00,-0.213,813628,1
09/08/2021,940.60,941.20,927.60,940.00,-0.212,1942207,1
06/08/2021,939.60,945.60,939.60,942.00,-0.0212,1319267,1
05/08/2021,927.80,946.60,921.00,942.20,1.4,2050572,1
04/08/2021,915.40,929.80,915.40,929.20,1.51,1437342,1
03/08/2021,904.60,916.40,898.40,915.40,1.06,1434304,1
02/08/2021,902.00,908.40,894.00,905.80,0.959,1657910,1
30/07/2021,892.40,901.80,881.20,897.20,0.313,3686735,1
29/07/2021,899.80,902.60,892.80,894.40,-0.245,2370375,1
28/07/2021,907.00,912.00,895.80,896.60,-0.972,3476943,1
27/07/2021,906.80,915.60,898.80,905.40,-0.374,1600523,1
26/07/2021,904.00,911.20,897.20,908.80,0.442,1147426,1
23/07/2021,907.40,911.20,894.60,904.80,0.133,2544603,1
22/07/2021,888.20,910.60,888.20,903.60,2.75,2625025,1
21/07/2021,853.20,881.40,853.20,879.40,2.93,1227480,1
20/07/2021,852.00,857.20,844.60,854.40,0.636,1285145,1
19/07/2021,864.60,865.40,846.60,849.00,-2.44,1212768,1
16/07/2021,885.20,892.00,867.60,870.20,-1.18,2167627,1
15/07/2021,877.60,892.80,877.60,880.60,0.0682,2681710,1
14/07/2021,879.00,887.00,878.60,880.00,-0.362,1307689,1
