Date,Open,High,Low,Close,Change%,Volume,Adjustment
09/05/2022,382.00,390.00,320.00,355.00,-8.74,83691,1
06/05/2022,390.00,390.00,382.00,389.00,-0.384,84561,1
05/05/2022,392.00,400.00,386.00,390.50,-0.636,22945,1
04/05/2022,411.00,411.00,390.00,393.00,-6.43,61394,1
03/05/2022,425.85,425.85,420.00,420.00,0.119,199835,1
29/04/2022,425.88,425.88,419.50,419.50,-1.99,1815,1
28/04/2022,430.00,430.00,424.00,428.00,0.943,35654,1
27/04/2022,425.00,430.00,423.00,424.00,3.16,17344,1
26/04/2022,420.00,420.00,411.00,411.00,0.244,26863,1
25/04/2022,410.00,416.00,410.00,410.00,-4.21,23303,1
22/04/2022,428.00,428.00,428.00,428.00,0,45222,1
21/04/2022,428.00,428.00,428.00,428.00,0,22646,1
20/04/2022,428.00,428.00,428.00,428.00,1.06,6636,1
19/04/2022,430.00,430.00,423.50,423.50,0.118,26948,1
14/04/2022,408.00,430.00,404.00,423.00,5.22,22120,1
13/04/2022,391.00,402.00,390.00,402.00,-0.741,22145,1
12/04/2022,408.00,408.00,400.00,405.00,2.27,48425,1
11/04/2022,398.00,398.00,396.00,396.00,1.02,63577,1
08/04/2022,394.00,394.00,392.00,392.00,1.03,38108,1
07/04/2022,392.00,399.00,382.00,388.00,0,15987,1
06/04/2022,394.00,394.00,388.00,388.00,-0.894,21057,1
05/04/2022,389.00,391.50,388.00,391.50,0.385,12502,1
04/04/2022,395.00,395.00,390.00,390.00,1.04,13362,1
01/04/2022,384.00,390.00,384.00,386.00,-1.03,137886,1
31/03/2022,394.00,394.00,388.00,390.00,-1.02,17293,1
30/03/2022,400.00,400.00,390.00,394.00,-0.505,58415,1
29/03/2022,386.60,396.00,386.60,396.00,2.86,8012,1
28/03/2022,398.00,398.00,385.00,385.00,-0.259,2633,1
25/03/2022,398.00,398.00,386.00,386.00,1.05,278,1
24/03/2022,378.00,382.00,378.00,382.00,-1.55,7774,1
23/03/2022,400.00,400.00,388.00,388.00,1.31,1811,1
22/03/2022,384.00,384.00,380.00,383.00,-1.29,29302,1
21/03/2022,391.00,391.00,388.00,388.00,0.258,18827,1
18/03/2022,378.10,387.00,378.10,387.00,2.93,14896,1
17/03/2022,376.00,376.00,376.00,376.00,0,10681,1
16/03/2022,394.00,394.00,376.00,376.00,-2.59,16381,1
15/03/2022,384.00,386.00,382.00,386.00,0,7153,1
14/03/2022,370.00,386.00,370.00,386.00,4.32,23705,1
11/03/2022,358.00,374.00,358.00,370.00,4.52,13111,1
10/03/2022,350.00,356.00,350.00,354.00,0.855,5195,1
09/03/2022,357.30,357.30,351.00,351.00,0,366,1
08/03/2022,344.00,351.00,344.00,351.00,0,6539,1
07/03/2022,354.00,360.00,344.00,351.00,-2.77,147269,1
04/03/2022,380.00,380.00,350.00,361.00,-6.96,632779,1
03/03/2022,390.00,392.00,388.00,388.00,0.518,4198,1
02/03/2022,390.00,390.00,384.00,386.00,1.85,18008,1
01/03/2022,368.00,384.00,368.00,379.00,5.28,323726,1
28/02/2022,362.00,364.00,356.00,360.00,-4.51,32626,1
25/02/2022,358.00,380.00,350.00,377.00,9.28,29220,1
24/02/2022,354.00,356.00,334.00,345.00,-7.01,38319,1
23/02/2022,378.00,378.00,364.00,371.00,-0.536,27785,1
22/02/2022,372.00,373.00,358.00,373.00,-1.06,43860,1
21/02/2022,380.00,394.00,377.00,377.00,4.14,69383,1
18/02/2022,354.00,362.00,354.00,362.00,-0.549,3047,1
17/02/2022,354.00,368.00,354.00,364.00,2.82,9231,1
16/02/2022,372.00,378.00,354.00,354.00,-0.84,220975,1
15/02/2022,368.00,368.00,352.00,357.00,-0.833,6498,1
14/02/2022,360.00,360.00,358.00,360.00,-1.64,11508,1
11/02/2022,362.00,366.00,362.00,366.00,-1.61,24050,1
10/02/2022,360.00,380.00,360.00,372.00,0.27,18295,1
09/02/2022,376.00,376.00,371.00,371.00,4.51,63787,1
08/02/2022,363.86,363.86,355.00,355.00,-1.39,3106,1
07/02/2022,352.00,360.00,352.00,360.00,0,23638,1
04/02/2022,367.10,367.10,360.00,360.00,0.84,9313,1
03/02/2022,364.00,364.00,357.00,357.00,-2.46,26371,1
02/02/2022,360.00,366.00,352.00,366.00,2.23,26404,1
01/02/2022,366.00,366.00,358.00,358.00,0.562,23380,1
31/01/2022,358.00,370.00,352.00,356.00,-1.11,22709,1
28/01/2022,350.00,372.00,350.00,360.00,4.35,45515,1
27/01/2022,370.00,370.00,344.00,345.00,-4.7,19619,1
26/01/2022,322.00,372.00,322.00,362.00,16.8,77024,1
25/01/2022,310.00,310.00,310.00,310.00,-0.322,7856,1
24/01/2022,334.00,334.00,304.00,311.00,-5.47,20052,1
21/01/2022,350.00,356.00,324.00,329.00,-6.8,28842,1
20/01/2022,354.00,354.00,352.00,353.00,-1.4,18540,1
19/01/2022,368.00,368.00,350.00,358.00,-1.1,37023,1
18/01/2022,370.00,376.00,356.00,362.00,-0.549,276521,1
17/01/2022,340.00,370.00,340.00,364.00,11,65785,1
14/01/2022,322.00,328.00,322.00,328.00,0.613,343623,1
13/01/2022,326.00,326.00,326.00,326.00,0.617,29430,1
12/01/2022,340.00,340.00,324.00,324.00,-2.41,205610,1
11/01/2022,332.00,332.00,332.00,332.00,-0.896,2354,1
10/01/2022,324.00,335.00,320.00,335.00,3.4,43067,1
07/01/2022,336.00,336.00,324.00,324.00,-1.52,6768,1
06/01/2022,324.00,334.00,324.00,329.00,0.612,34891,1
05/01/2022,330.00,330.00,327.00,327.00,-0.305,3403,1
04/01/2022,318.00,330.00,318.00,328.00,1.23,37100,1
31/12/2021,330.00,330.00,324.00,324.00,-1.82,1243,1
30/12/2021,326.00,330.00,320.00,330.00,2.48,18514,1
