Date,Open,High,Low,Close,Change%,Volume,Adjustment
13/05/2022,354.50,356.00,354.00,356.00,0.565,2787055,1
12/05/2022,351.50,354.50,351.50,354.00,0.568,3378784,1
11/05/2022,353.00,354.00,351.00,352.00,0,27252078,1
10/05/2022,355.00,355.00,352.00,352.00,-0.845,39126308,1
09/05/2022,355.00,355.00,355.00,355.00,46.1,95862904,1
06/05/2022,241.50,243.00,239.00,243.00,-0.816,1009112,1
05/05/2022,226.50,245.00,226.50,245.00,12.9,2332257,1
04/05/2022,228.00,228.00,217.00,217.00,-4.41,336662,1
03/05/2022,238.50,238.50,227.00,227.00,-3.4,238824,1
29/04/2022,241.50,241.50,235.00,235.00,-2.08,321347,1
28/04/2022,246.00,246.00,240.00,240.00,-2.04,647658,1
27/04/2022,251.00,251.00,245.00,245.00,-2.78,404596,1
26/04/2022,245.00,252.00,245.00,252.00,3.49,632144,1
25/04/2022,260.00,260.00,241.50,243.50,-5.98,255417,1
22/04/2022,266.50,267.50,259.00,259.00,-1.52,453540,1
21/04/2022,242.50,269.00,242.50,263.00,9.58,1699384,1
20/04/2022,242.50,247.50,237.50,240.00,0,1733140,1
19/04/2022,276.50,276.50,237.50,240.00,-5.14,4111083,1
14/04/2022,249.00,254.00,249.00,253.00,1.61,839268,1
13/04/2022,253.50,253.50,241.50,249.00,-2.35,391497,1
12/04/2022,231.00,255.00,231.00,255.00,10.9,1075492,1
11/04/2022,217.50,230.00,217.50,230.00,4.55,1761580,1
08/04/2022,214.50,220.00,208.50,220.00,2.33,4610572,1
07/04/2022,216.50,219.50,215.00,215.00,-1.38,781465,1
06/04/2022,214.00,218.00,214.00,218.00,1.87,1270625,1
05/04/2022,217.50,217.50,214.00,214.00,-1.83,932728,1
04/04/2022,215.50,218.00,215.50,218.00,0,63725,1
01/04/2022,215.50,218.00,215.50,218.00,0,150909,1
31/03/2022,217.50,218.50,215.50,218.00,0.23,293262,1
30/03/2022,217.50,217.50,217.50,217.50,-1.14,169476,1
29/03/2022,223.00,226.50,217.50,220.00,-0.901,134247,1
28/03/2022,226.00,226.50,222.00,222.00,-1.33,164662,1
25/03/2022,229.00,229.00,225.00,225.00,-1.32,418835,1
