Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,69.600,69.600,68.000,68.700,-1.01,235615,1
30/11/2021,69.800,69.800,69.000,69.400,-0.999,126241,1
29/11/2021,69.600,70.100,69.400,70.100,0.286,66226,1
26/11/2021,70.400,70.400,69.800,69.900,-1.13,4048056,1
25/11/2021,70.000,70.700,70.000,70.700,2.17,95315,1
24/11/2021,71.400,71.400,69.200,69.200,-2.26,201401,1
23/11/2021,71.600,71.600,70.600,70.800,-1.26,101217,1
22/11/2021,73.000,73.000,71.400,71.700,0.42,61550,1
19/11/2021,72.000,72.000,71.400,71.400,-0.418,118946,1
18/11/2021,72.200,72.200,70.800,71.700,-0.693,227535,1
17/11/2021,72.400,72.400,71.800,72.200,0.557,162920,1
16/11/2021,72.000,72.400,71.800,71.800,0.279,293382,1
15/11/2021,72.200,72.200,71.600,71.600,-0.968,143696,1
12/11/2021,72.000,72.300,72.000,72.300,0.139,197481,1
11/11/2021,72.400,72.400,71.600,72.200,0.278,221130,1
10/11/2021,72.000,72.400,71.400,72.000,0.84,1506042,1
09/11/2021,71.800,73.200,71.400,71.400,0.99,580496,1
08/11/2021,72.000,72.000,70.700,70.700,-0.98,97127,1
05/11/2021,71.200,71.400,70.800,71.400,0.281,196540,1
04/11/2021,71.000,71.200,70.600,71.200,0.282,127870,1
03/11/2021,71.000,71.600,70.600,71.000,0,154324,1
02/11/2021,71.600,71.600,70.600,71.000,-0.281,126598,1
01/11/2021,71.600,71.600,71.200,71.200,-0.559,66521,1
29/10/2021,72.200,72.200,71.400,71.600,-1.92,57392,1
28/10/2021,71.800,73.000,71.400,73.000,-0.545,906495,1
27/10/2021,72.000,73.400,71.000,73.400,2.8,352005,1
26/10/2021,70.400,71.800,69.200,71.400,1.13,316364,1
25/10/2021,71.400,72.800,70.000,70.600,-0.703,179426,1
22/10/2021,71.200,71.200,70.000,71.100,0.994,145840,1
21/10/2021,71.600,71.600,70.000,70.400,-1.54,100916,1
20/10/2021,71.600,71.600,71.400,71.500,0.704,34192,1
19/10/2021,72.000,72.800,71.000,71.000,-1.11,753767,1
18/10/2021,71.200,72.000,71.200,71.800,-0.278,123202,1
15/10/2021,69.800,72.000,69.600,72.000,2.56,567166,1
14/10/2021,69.600,70.200,69.600,70.200,0.286,284700,1
13/10/2021,69.800,70.000,69.000,70.000,0,54218,1
12/10/2021,69.600,70.000,69.000,70.000,1.45,890062,1
11/10/2021,69.000,69.000,68.600,69.000,1.47,197205,1
08/10/2021,68.600,68.800,67.400,68.000,-0.293,167747,1
07/10/2021,69.400,69.400,67.600,68.200,0.294,286905,1
06/10/2021,70.200,70.200,68.000,68.000,-2.58,94692,1
05/10/2021,70.200,70.600,69.800,69.800,0.867,106344,1
04/10/2021,70.400,70.600,69.200,69.200,-0.288,1035240,1
01/10/2021,70.200,70.200,68.000,69.400,-1.28,186906,1
30/09/2021,69.200,71.000,69.200,70.300,2.18,243321,1
29/09/2021,70.200,70.200,68.800,68.800,-0.865,187939,1
28/09/2021,69.000,70.000,68.600,69.400,1.17,141088,1
27/09/2021,71.400,71.400,68.000,68.600,-2,217497,1
24/09/2021,69.600,71.200,68.000,70.000,0,660696,1
23/09/2021,72.200,72.200,69.000,70.000,-2.51,435293,1
22/09/2021,72.000,73.200,71.000,71.800,-0.278,129156,1
21/09/2021,72.600,72.600,71.600,72.000,-0.552,143055,1
20/09/2021,73.600,74.800,71.800,72.400,-2.16,208243,1
17/09/2021,73.800,74.800,73.400,74.000,0.271,76513,1
16/09/2021,72.000,74.800,72.000,73.800,2.22,835349,1
15/09/2021,72.400,73.000,72.200,72.200,-0.276,79477,1
14/09/2021,74.000,74.000,72.400,72.400,0,61127,1
13/09/2021,73.031,73.600,72.400,72.400,0,130010,1
10/09/2021,73.200,73.200,72.400,72.400,1.97,121539,1
09/09/2021,72.600,72.600,71.000,71.000,-2.47,165616,1
08/09/2021,73.400,73.800,71.800,72.800,-0.274,322235,1
07/09/2021,74.600,74.800,72.000,73.000,-2.14,168854,1
