Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,1643.0,1648.0,1624.0,1634.0,-0.729,682031,1
28/10/2021,1654.0,1660.0,1643.0,1646.0,-0.544,378449,1
27/10/2021,1635.0,1671.0,1635.0,1655.0,0,669108,1
26/10/2021,1640.0,1683.0,1640.0,1655.0,-1.43,673543,1
25/10/2021,1698.0,1698.0,1669.0,1679.0,0.419,342176,1
22/10/2021,1624.0,1680.0,1624.0,1672.0,0.481,710860,1
21/10/2021,1636.0,1671.0,1631.0,1664.0,-0.538,934840,1
20/10/2021,1685.0,1686.0,1670.0,1673.0,-0.771,511852,1
19/10/2021,1674.0,1692.0,1674.0,1686.0,0,506920,1
18/10/2021,1720.0,1720.0,1649.0,1686.0,0.357,928294,1
15/10/2021,1698.0,1698.0,1671.0,1680.0,-0.297,667660,1
14/10/2021,1661.0,1693.0,1652.0,1685.0,2.12,736416,1
13/10/2021,1623.0,1672.0,1623.0,1650.0,0.304,640404,1
12/10/2021,1626.0,1647.0,1619.0,1645.0,0.244,341590,1
11/10/2021,1607.0,1649.0,1607.0,1641.0,0,434218,1
08/10/2021,1657.0,1657.0,1635.0,1641.0,-0.182,323715,1
07/10/2021,1643.0,1648.0,1633.0,1644.0,1.17,456165,1
06/10/2021,1635.0,1644.0,1599.0,1625.0,-1.46,500016,1
05/10/2021,1638.0,1654.0,1630.0,1649.0,1.1,601506,1
04/10/2021,1640.0,1649.0,1625.0,1631.0,-0.911,476428,1
01/10/2021,1637.0,1657.0,1619.0,1646.0,-0.843,648701,1
30/09/2021,1669.0,1697.0,1660.0,1660.0,-0.36,659426,1
29/09/2021,1662.0,1697.0,1662.0,1666.0,0.12,618757,1
28/09/2021,1716.0,1716.0,1651.0,1664.0,-3.03,720639,1
27/09/2021,1838.0,1840.0,1716.0,1716.0,-5.71,867914,1
24/09/2021,1797.0,1824.0,1796.0,1820.0,0.497,767610,1
23/09/2021,1835.0,1835.0,1811.0,1811.0,-0.44,563330,1
22/09/2021,1755.0,1822.0,1755.0,1819.0,1.96,432453,1
21/09/2021,1783.0,1805.0,1780.0,1784.0,0.905,536829,1
20/09/2021,1774.0,1791.0,1762.0,1768.0,-1.89,573178,1
17/09/2021,1857.0,1857.0,1802.0,1802.0,-0.88,1105798,1
16/09/2021,1807.0,1833.0,1801.0,1818.0,1.17,407922,1
15/09/2021,1824.0,1824.0,1797.0,1797.0,-1.26,344753,1
14/09/2021,1859.0,1859.0,1813.0,1820.0,0.22,209697,1
13/09/2021,1811.0,1828.0,1811.0,1816.0,0.833,12683,1
10/09/2021,1792.0,1812.0,1792.0,1801.0,0.167,228068,1
09/09/2021,1772.0,1808.0,1767.0,1798.0,0.898,576980,1
08/09/2021,1781.0,1789.0,1763.0,1782.0,-1.05,383110,1
