Date,Open,High,Low,Close,Change%,Volume,Adjustment
24/06/2022,195.90,199.50,191.00,194.55,2.18,2128074,1
23/06/2022,207.00,207.00,189.65,190.40,-8.15,3503673,1
22/06/2022,206.50,211.40,201.10,207.30,-4.34,2736687,1
21/06/2022,205.00,218.90,201.70,216.70,1.03,3239084,1
20/06/2022,209.90,219.00,209.50,214.50,0.187,4944652,1
17/06/2022,202.10,218.70,202.10,214.10,4.03,3438470,1
16/06/2022,219.20,219.20,201.40,205.80,-3.33,2664750,1
15/06/2022,208.90,216.00,207.40,212.90,5.29,4786412,1
14/06/2022,217.40,218.50,202.20,202.20,-4.13,3490513,1
13/06/2022,224.90,227.40,209.60,210.90,-8.78,5329995,1
10/06/2022,234.00,243.70,228.90,231.20,-2.12,5139426,1
09/06/2022,278.80,278.80,236.10,236.20,-18.2,12176208,1
08/06/2022,290.10,292.20,283.20,288.80,0,1965610,1
07/06/2022,294.90,300.90,283.00,288.80,-4.31,1745646,1
06/06/2022,292.70,303.70,287.30,301.80,5.34,2218827,1
01/06/2022,292.00,297.30,284.50,286.50,-2.78,2441509,1
31/05/2022,312.60,313.10,293.50,294.70,-3.35,3102559,1
30/05/2022,315.00,320.00,302.90,304.90,-2.74,2113338,1
27/05/2022,308.00,314.60,299.80,313.50,3.98,2271321,1
26/05/2022,290.00,301.50,290.00,301.50,4.69,1885212,1
25/05/2022,316.00,316.00,288.00,288.00,-7.22,2805321,1
24/05/2022,314.00,319.60,304.30,310.40,-2.51,1347250,1
23/05/2022,303.90,321.85,303.70,318.40,4.53,1230885,1
20/05/2022,314.00,322.30,304.20,304.60,-2.15,3890445,1
19/05/2022,291.40,313.90,291.40,311.30,4.01,3005217,1
18/05/2022,296.90,309.10,294.50,299.30,2.08,2541958,1
17/05/2022,295.00,295.10,287.60,293.20,2.05,2004823,1
16/05/2022,287.40,294.30,283.70,287.30,0.244,2549308,1
13/05/2022,280.00,289.00,270.00,286.60,6.58,2201362,1
12/05/2022,270.00,273.90,253.30,268.90,-4.34,3191406,1
11/05/2022,270.00,288.50,269.50,281.10,4.54,2071713,1
10/05/2022,282.10,288.50,267.30,268.90,-2.92,4023229,1
09/05/2022,296.00,303.90,277.00,277.00,-8.25,4177261,1
06/05/2022,308.20,313.90,296.00,301.90,-3.39,4793183,1
05/05/2022,313.20,329.20,310.00,312.50,-0.192,3842945,1
04/05/2022,310.40,324.00,310.30,313.10,-1.54,1508970,1
03/05/2022,315.60,328.40,310.80,318.00,-4.04,3073998,1
29/04/2022,307.60,338.90,307.60,331.40,6.35,2301982,1
28/04/2022,328.00,331.80,304.50,311.60,-3.8,1713532,1
27/04/2022,314.80,325.20,309.90,323.90,1.89,1582420,1
26/04/2022,328.30,333.30,315.20,317.90,-2.27,1506016,1
25/04/2022,331.60,332.50,311.00,325.30,-0.611,3464807,1
22/04/2022,339.90,347.00,326.00,327.30,-3.93,3779835,1
21/04/2022,368.60,372.00,340.70,340.70,-7.74,3949668,1
20/04/2022,360.00,381.80,349.90,369.30,3.01,3034962,1
19/04/2022,361.40,361.40,343.20,358.50,0.816,2913637,1
14/04/2022,367.00,367.00,349.50,355.60,0.282,2015727,1
13/04/2022,360.70,360.80,345.80,354.60,2.1,2925288,1
12/04/2022,356.60,356.60,341.60,347.30,-1.53,2229337,1
11/04/2022,350.10,358.80,345.20,352.70,-1.07,1642315,1
08/04/2022,370.80,370.80,351.70,356.50,-0.613,3548163,1
07/04/2022,358.20,373.20,355.30,358.70,0.73,3322266,1
06/04/2022,377.50,380.00,355.30,356.10,-6.12,4204993,1
05/04/2022,380.00,404.00,369.00,379.30,2.54,7161855,1
04/04/2022,358.80,369.90,345.90,369.90,4.7,4303377,1
01/04/2022,359.40,364.40,350.70,353.30,-0.423,2265783,1
31/03/2022,353.40,357.40,342.20,354.80,-0.949,2797459,1
30/03/2022,340.40,361.40,340.20,358.20,4.61,2805134,1
29/03/2022,355.00,355.00,330.60,342.40,0.469,3685205,1
28/03/2022,341.20,352.60,336.20,340.80,-1.1,2700625,1
25/03/2022,363.80,374.00,344.60,344.60,-3.2,3535926,1
