Date,Open,High,Low,Close,Change%,Volume,Adjustment
24/06/2022,5574.0,5575.0,5574.0,5575.0,0.932,11,1
23/06/2022,5498.0,5547.0,5497.0,5523.5,-0.888,4365,1
22/06/2022,5517.0,5573.0,5512.0,5573.0,-2.2,1563,1
21/06/2022,5683.0,5716.0,5670.0,5698.5,1.26,31444,1
20/06/2022,5602.0,5629.0,5601.0,5627.5,-0.0622,59,1
17/06/2022,5615.0,5631.0,5610.0,5631.0,0.697,175,1
16/06/2022,5740.0,5740.0,5592.0,5592.0,-5.03,51483,1
15/06/2022,5915.0,5915.0,5888.0,5888.0,-0.322,156,1
14/06/2022,5855.0,5907.0,5855.0,5907.0,2.44,61,1
13/06/2022,5749.0,5766.5,5749.0,5766.5,-1.99,1353,1
10/06/2022,5883.5,5883.5,5883.5,5883.5,0,11,1
09/06/2022,5870.0,5895.0,5870.0,5883.5,-1.13,6,1
08/06/2022,5954.0,5958.0,5930.0,5950.5,1.32,595,1
07/06/2022,5896.0,5936.0,5871.0,5873.0,-1.67,6039,1
06/06/2022,5962.0,6006.0,5962.0,5973.0,-0.134,5154,1
01/06/2022,5980.0,6021.0,5959.0,5981.0,-0.441,12948,1
31/05/2022,6029.0,6038.0,5998.0,6007.5,0.772,6937,1
30/05/2022,5982.0,5990.0,5955.0,5961.5,1.78,6780,1
27/05/2022,5838.0,5857.0,5836.0,5857.0,2.06,948,1
26/05/2022,5687.0,5752.0,5669.0,5738.5,0.183,1379,1
25/05/2022,5707.0,5743.0,5707.0,5728.0,1.29,10886,1
24/05/2022,5634.0,5686.0,5627.0,5655.0,-1.53,54143,1
23/05/2022,5738.0,5756.5,5708.5,5743.0,0.666,473,1
20/05/2022,5766.0,5770.0,5696.0,5705.0,0.414,7919,1
19/05/2022,5671.0,5683.0,5671.0,5681.5,-0.967,12633,1
18/05/2022,5830.0,5830.0,5737.0,5737.0,-0.235,183,1
17/05/2022,5745.0,5750.5,5745.0,5750.5,0.192,179,1
16/05/2022,5746.0,5748.0,5730.0,5739.5,-0.468,47,1
13/05/2022,5716.0,5766.5,5716.0,5766.5,1.7,11081,1
12/05/2022,5665.0,5685.0,5656.0,5670.0,-1.47,2158,1
11/05/2022,5754.0,5754.5,5734.0,5754.5,0.087,830,1
10/05/2022,5752.0,5765.0,5740.0,5749.5,0.437,1032,1
09/05/2022,5788.0,5788.0,5722.0,5724.5,-2.89,9263,1
06/05/2022,5893.0,5895.0,5882.0,5895.0,-0.0763,141,1
05/05/2022,5961.0,5961.0,5899.5,5899.5,0.648,341,1
04/05/2022,5906.0,5906.0,5855.0,5861.5,-0.484,239,1
03/05/2022,5871.0,5895.0,5851.0,5890.0,-0.423,11390,1
29/04/2022,5955.0,5957.0,5898.0,5915.0,0.356,2181,1
28/04/2022,5876.0,5902.0,5876.0,5894.0,1.33,978,1
27/04/2022,5817.0,5829.0,5796.0,5816.5,-0.0773,1638,1
26/04/2022,5870.0,5870.0,5815.0,5821.0,-0.784,188,1
25/04/2022,5806.0,5867.0,5806.0,5867.0,-0.593,415,1
22/04/2022,5921.0,5929.0,5902.0,5902.0,0.178,61,1
21/04/2022,5884.0,5923.0,5883.0,5891.5,-0.288,6456,1
20/04/2022,5935.0,5935.0,5908.5,5908.5,0.562,69,1
19/04/2022,5834.0,5884.0,5834.0,5875.5,-1.5,1644,1
14/04/2022,5987.0,5987.0,5952.0,5965.0,-1.45,1584,1
13/04/2022,6068.0,6072.0,6051.0,6053.0,1.51,6366,1
12/04/2022,5931.0,5968.0,5931.0,5963.0,0.777,16227,1
11/04/2022,5975.0,5975.0,5917.0,5917.0,-2.46,888,1
08/04/2022,6077.0,6077.0,6049.0,6066.5,0.664,249,1
