Date,Open,High,Low,Close,Change%,Volume,Adjustment
17/12/2021,199.50,201.60,197.20,198.30,-0.85,16530144,1
16/12/2021,207.80,207.80,199.30,200.00,-1.96,15519159,1
15/12/2021,213.20,213.20,203.20,204.00,-3.32,29902520,1
14/12/2021,216.60,217.20,209.60,211.00,-2.04,6492684,1
13/12/2021,220.00,220.60,214.80,215.40,-2.09,2233060,1
10/12/2021,223.00,223.40,220.00,220.00,-2.22,3774230,1
09/12/2021,225.80,227.60,223.80,225.00,-0.177,5081563,1
08/12/2021,227.00,229.20,225.20,225.40,-0.617,5031527,1
07/12/2021,222.60,227.20,220.20,226.80,3.47,3626672,1
06/12/2021,217.60,220.20,216.40,219.20,1.2,9627992,1
03/12/2021,218.60,220.00,214.20,216.60,0.627,5137475,1
02/12/2021,222.40,222.70,214.05,215.25,-4.8,11033764,1
01/12/2021,221.30,229.60,221.30,226.10,1.44,9718171,1
30/11/2021,228.00,228.90,217.60,222.90,-2.37,13107204,1
29/11/2021,225.00,229.30,224.80,228.30,3.58,8714695,0.20000000298023224
26/11/2021,219.80,224.80,216.10,220.40,-2.95,3888230,0.20000000298023224
25/11/2021,228.00,228.00,224.40,227.10,-0.044,4098050,0.20000000298023224
24/11/2021,231.90,233.20,225.20,227.20,-1.86,5645310,0.20000000298023224
23/11/2021,228.70,235.60,227.60,231.50,0.0865,3734195,0.20000000298023224
22/11/2021,234.20,235.70,231.30,231.30,-0.9,4878010,0.20000000298023224
19/11/2021,234.70,235.10,230.60,233.40,-0.256,8345320,0.20000000298023224
18/11/2021,231.80,235.00,231.30,234.00,1.17,4196730,0.20000000298023224
17/11/2021,230.30,234.50,230.30,231.30,-0.559,7519495,0.20000000298023224
16/11/2021,230.60,233.50,230.20,232.60,0.519,10253985,0.20000000298023224
15/11/2021,231.80,232.40,229.30,231.40,-0.473,15011945,0.20000000298023224
12/11/2021,231.40,233.30,229.40,232.50,0.562,11338640,0.20000000298023224
11/11/2021,230.20,232.30,227.40,231.20,0.478,6966675,0.20000000298023224
10/11/2021,222.80,230.10,222.80,230.10,3.05,7310810,0.20000000298023224
09/11/2021,222.90,226.10,222.40,223.30,0.224,3618295,0.20000000298023224
08/11/2021,223.20,224.60,218.70,222.80,-0.624,7671800,0.20000000298023224
05/11/2021,223.10,228.40,223.00,224.20,-0.223,9402635,0.20000000298023224
04/11/2021,217.40,224.80,217.00,224.70,3.74,6422935,0.20000000298023224
03/11/2021,220.40,222.60,214.30,216.60,-1.95,8034500,0.20000000298023224
02/11/2021,220.00,223.30,219.50,220.90,0.455,8814890,0.20000000298023224
01/11/2021,216.20,221.60,216.20,219.90,1.06,4085645,0.20000000298023224
29/10/2021,215.10,219.00,215.10,217.60,0.046,5503410,0.20000000298023224
28/10/2021,216.50,219.80,215.70,217.50,-0.0919,4095245,0.20000000298023224
27/10/2021,217.50,219.60,216.50,217.70,-0.0459,17563156,0.20000000298023224
26/10/2021,213.70,218.80,212.90,217.80,2.3,4641515,0.20000000298023224
25/10/2021,212.50,217.50,212.40,212.90,0.519,12550070,0.20000000298023224
22/10/2021,213.40,216.10,211.00,211.80,1.88,14134300,0.20000000298023224
21/10/2021,206.20,208.50,204.60,207.90,0.0481,3485315,0.20000000298023224
20/10/2021,210.20,210.20,206.30,207.80,-1.42,5573730,0.20000000298023224
19/10/2021,208.00,210.80,205.50,210.80,1.88,8237475,0.20000000298023224
18/10/2021,207.90,208.10,205.90,206.90,-0.815,6457755,0.20000000298023224
15/10/2021,208.60,210.10,206.60,208.60,0.433,13368915,0.20000000298023224
14/10/2021,208.20,208.90,206.40,207.70,0.435,5612695,0.20000000298023224
13/10/2021,205.40,210.20,203.60,206.80,0.486,6823200,0.20000000298023224
12/10/2021,201.80,208.20,201.00,205.80,0.292,8275505,0.20000000298023224
11/10/2021,207.40,207.40,201.40,205.20,-1.49,5051345,0.20000000298023224
08/10/2021,208.70,209.90,206.00,208.30,-0.287,5892145,0.20000000298023224
07/10/2021,208.20,210.20,206.50,208.90,1.95,5661820,0.20000000298023224
06/10/2021,210.40,210.40,203.20,204.90,-4.16,7627735,0.20000000298023224
05/10/2021,207.50,215.10,207.50,213.80,3.33,8678215,0.20000000298023224
04/10/2021,207.80,211.50,205.60,206.90,-0.0483,10150355,0.20000000298023224
01/10/2021,205.80,208.20,198.20,207.00,-1.29,8993120,0.20000000298023224
30/09/2021,214.10,218.50,208.70,209.70,-1.18,8299100,0.20000000298023224
29/09/2021,210.60,214.90,210.60,212.20,1,12196230,0.20000000298023224
28/09/2021,215.80,215.80,206.60,210.10,-2.42,8410790,0.20000000298023224
27/09/2021,222.90,223.00,214.10,215.30,-2.23,14527560,0.20000000298023224
24/09/2021,223.40,223.50,218.10,220.20,-2.48,8882735,0.20000000298023224
23/09/2021,227.10,229.70,225.70,225.80,0.4,4886825,0.20000000298023224
22/09/2021,224.30,225.60,221.00,224.90,1.31,4442885,0.20000000298023224
21/09/2021,221.80,224.20,216.30,222.00,0.316,8804500,0.20000000298023224
20/09/2021,221.90,223.80,218.30,221.30,-2.12,10707805,0.20000000298023224
17/09/2021,231.00,231.10,222.80,226.10,-1.01,28114644,0.20000000298023224
16/09/2021,230.00,231.60,224.90,228.40,0.0438,8065935,0.20000000298023224
15/09/2021,232.20,232.30,225.80,228.30,-0.825,22748530,0.20000000298023224
14/09/2021,225.80,231.80,223.00,230.20,9.72,19069016,0.20000000298023224
13/09/2021,211.80,212.50,208.30,209.80,0,523570,0.20000000298023224
10/09/2021,207.80,210.60,206.10,209.80,1.5,4280465,0.20000000298023224
09/09/2021,204.50,206.70,202.60,206.70,0.0969,15331460,0.20000000298023224
08/09/2021,206.80,211.70,205.80,206.50,-0.864,8704600,0.20000000298023224
07/09/2021,209.60,210.80,208.30,208.30,-0.715,5431010,0.20000000298023224
06/09/2021,208.80,213.50,208.80,209.80,1.6,5256245,0.20000000298023224
03/09/2021,209.10,210.10,205.70,206.50,-0.0484,5155880,0.20000000298023224
02/09/2021,207.30,209.70,206.00,206.60,-0.673,9113690,0.20000000298023224
01/09/2021,204.20,208.60,203.80,208.00,3.02,5840685,0.20000000298023224
31/08/2021,203.90,203.90,199.12,201.90,-0.296,9638020,0.20000000298023224
27/08/2021,205.50,205.50,201.10,202.50,0,3067825,0.20000000298023224
26/08/2021,204.20,205.60,202.50,202.50,-1.07,3265695,0.20000000298023224
25/08/2021,200.00,205.10,199.56,204.70,1.84,3544805,0.20000000298023224
24/08/2021,197.28,201.50,197.28,201.00,0.964,11407860,0.20000000298023224
23/08/2021,202.20,203.40,199.08,199.08,-0.14,10902050,0.20000000298023224
20/08/2021,195.12,201.90,194.72,199.36,2.87,7062610,0.20000000298023224
