Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/09/2021,534.00,534.00,522.00,530.00,0.379,38366,1
28/09/2021,530.00,532.00,524.00,528.00,-1.12,45343,1
27/09/2021,540.00,540.00,534.00,534.00,-2.2,123578,1
24/09/2021,552.00,552.00,540.00,546.00,0,38194,1
23/09/2021,540.00,546.00,540.00,546.00,0,19586,1
22/09/2021,552.00,554.00,534.00,546.00,0.368,37083,1
21/09/2021,558.00,560.00,544.00,544.00,-2.16,73625,1
20/09/2021,554.00,556.00,548.00,556.00,0.361,63156,1
17/09/2021,540.00,558.00,540.00,554.00,2.59,62492,1
16/09/2021,536.00,548.00,534.00,540.00,0.372,25313,1
15/09/2021,538.00,542.00,534.00,538.00,-0.555,34067,1
14/09/2021,550.00,550.00,540.00,541.00,-0.916,70187,1
13/09/2021,552.49,552.49,546.00,546.00,-1.27,5695,1
10/09/2021,554.00,560.00,550.00,553.00,-0.54,90796,1
09/09/2021,556.00,556.00,556.00,556.00,0.361,13859,1
08/09/2021,560.00,560.00,554.00,554.00,-1.6,64743,1
07/09/2021,566.00,568.00,562.00,563.00,0.178,23710,1
06/09/2021,554.00,564.00,550.00,562.00,1.08,57605,1
03/09/2021,562.00,568.00,552.00,556.00,-1.77,34781,1
02/09/2021,568.00,570.00,566.00,566.00,-1.39,26680,1
01/09/2021,572.00,574.00,572.00,574.00,0,128195,1
31/08/2021,570.00,574.00,564.00,574.00,0.702,35000,1
27/08/2021,562.00,570.00,562.00,570.00,0.707,72153,1
26/08/2021,562.00,568.00,560.00,566.00,0,20104,1
25/08/2021,566.00,566.00,558.00,566.00,-0.702,22574,1
24/08/2021,568.00,570.00,564.00,570.00,0,41989,1
23/08/2021,564.00,570.00,564.00,570.00,1.42,65096,1
20/08/2021,564.00,564.00,554.00,562.00,-0.355,29582,1
19/08/2021,560.00,564.00,560.00,564.00,-0.704,28366,1
18/08/2021,558.00,568.00,552.00,568.00,1.43,27532,1
17/08/2021,562.00,562.00,560.00,560.00,0.719,12245,1
16/08/2021,566.00,566.00,556.00,556.00,1.09,72096,1
13/08/2021,572.00,574.00,550.00,550.00,-3,41998,1
