Date,Open,High,Low,Close,Change%,Volume,Adjustment
02/12/2021,79.000,79.000,78.500,78.500,0.384,258477,1
01/12/2021,79.500,80.000,78.200,78.200,-1.01,416228,1
30/11/2021,81.500,81.500,78.500,79.000,-3.07,245433,1
29/11/2021,81.500,82.000,81.300,81.500,0.246,308365,1
26/11/2021,82.000,82.000,81.300,81.300,-0.854,1611774,1
25/11/2021,82.500,82.500,82.000,82.000,0,112340,1
24/11/2021,82.500,82.500,82.000,82.000,-1.2,328100,1
23/11/2021,82.500,83.000,81.500,83.000,0,537777,1
22/11/2021,82.500,83.000,82.000,83.000,0,195571,1
19/11/2021,82.000,83.000,81.500,83.000,0,985072,1
18/11/2021,84.000,84.000,81.500,83.000,-1.19,266154,1
17/11/2021,84.000,84.000,84.000,84.000,0,134644,1
16/11/2021,84.000,84.000,84.000,84.000,1.2,141440,1
15/11/2021,85.500,85.500,83.000,83.000,-1.66,292174,1
12/11/2021,85.500,85.500,84.400,84.400,0.238,429308,1
11/11/2021,82.500,85.500,82.500,84.200,1.94,1038690,1
10/11/2021,82.500,82.600,82.500,82.600,0.243,1687946,1
09/11/2021,81.500,82.500,81.500,82.400,1.73,1410007,1
08/11/2021,82.500,82.500,81.000,81.000,-1.7,275700,1
05/11/2021,82.500,82.500,82.400,82.400,-0.242,55390,1
04/11/2021,83.000,83.000,81.500,82.600,-0.482,1237400,1
03/11/2021,83.500,83.500,83.000,83.000,-0.599,468931,1
02/11/2021,84.500,84.500,83.500,83.500,-1.18,211535,1
01/11/2021,84.500,84.500,84.500,84.500,0,117919,1
29/10/2021,84.500,85.000,84.500,84.500,-1.29,635342,1
28/10/2021,87.000,87.000,85.000,85.600,-1.61,204935,1
27/10/2021,87.000,87.000,86.500,87.000,0,979963,1
26/10/2021,87.500,87.500,87.000,87.000,0,90006,1
25/10/2021,88.500,88.500,87.000,87.000,-1.69,553080,1
22/10/2021,88.500,88.500,88.500,88.500,0,1557212,1
21/10/2021,89.000,89.000,88.500,88.500,-0.562,294638,1
20/10/2021,89.000,89.000,89.000,89.000,1.14,290287,1
19/10/2021,89.800,89.800,88.000,88.000,-2,262105,1
18/10/2021,91.500,91.500,89.000,89.800,-1.86,754182,1
15/10/2021,92.500,92.500,91.500,91.500,-1.08,404225,1
14/10/2021,93.000,93.000,92.500,92.500,-0.538,734904,1
13/10/2021,92.500,93.000,92.500,93.000,0.432,119880,1
12/10/2021,92.500,94.000,92.500,92.600,-0.43,1127219,1
11/10/2021,89.500,93.500,89.500,93.000,3.91,767665,1
08/10/2021,86.000,89.500,86.000,89.500,4.07,1348715,1
07/10/2021,86.000,86.000,86.000,86.000,0,261516,1
06/10/2021,90.500,90.500,86.000,86.000,-4.97,792883,1
05/10/2021,88.000,92.000,87.500,90.500,2.38,810537,1
04/10/2021,85.500,88.400,85.500,88.400,4,819712,1
01/10/2021,87.500,87.500,85.000,85.000,-2.86,202093,1
30/09/2021,87.500,87.500,87.500,87.500,0.575,248890,1
29/09/2021,87.500,87.500,87.000,87.000,-0.571,877852,1
28/09/2021,85.000,90.900,85.000,87.500,4.17,963912,1
27/09/2021,78.000,84.500,78.000,84.000,7.69,598005,1
24/09/2021,78.000,78.000,78.000,78.000,0,343198,1
23/09/2021,77.500,78.000,77.500,78.000,0.645,418260,1
22/09/2021,77.500,77.500,77.500,77.500,0,329052,1
21/09/2021,77.500,77.500,77.500,77.500,-0.641,1070879,1
20/09/2021,79.500,79.500,77.500,78.000,-1.89,352762,1
17/09/2021,76.500,79.500,76.500,79.500,3.92,234482,1
16/09/2021,76.000,76.500,76.000,76.500,0.658,83256,1
15/09/2021,76.000,76.000,76.000,76.000,0,130244,1
14/09/2021,76.000,76.000,76.000,76.000,0,95996,1
13/09/2021,75.000,76.000,74.500,76.000,0,165569,1
10/09/2021,77.000,77.000,76.000,76.000,-1.3,119467,1
09/09/2021,78.500,78.500,77.000,77.000,-1.28,385699,1
08/09/2021,79.500,79.500,78.000,78.000,-2.5,108762,1
07/09/2021,80.500,80.500,80.000,80.000,-0.621,51525,1
06/09/2021,80.500,80.500,80.500,80.500,-0.617,40653,1
03/09/2021,81.000,81.000,81.000,81.000,0,120303,1
02/09/2021,79.500,81.500,79.500,81.000,1.89,364131,1
01/09/2021,77.500,79.500,77.500,79.500,4.61,153740,1
31/08/2021,75.500,77.500,75.500,76.000,0.796,296831,1
27/08/2021,75.500,75.500,75.400,75.400,-0.132,84436,1
26/08/2021,75.500,75.500,75.500,75.500,-4.67,337700,1
25/08/2021,75.500,79.200,75.500,79.200,5.6,82981,1
24/08/2021,75.500,75.500,75.000,75.000,0,120484,1
23/08/2021,75.500,75.500,75.000,75.000,0,216530,1
20/08/2021,75.500,75.500,75.000,75.000,0,354933,1
19/08/2021,75.500,75.500,75.000,75.000,0,818060,1
18/08/2021,73.500,75.500,73.000,75.000,-1.96,388268,1
17/08/2021,76.500,76.500,76.500,76.500,0,112332,1
16/08/2021,76.500,76.500,76.500,76.500,0,659110,1
13/08/2021,76.500,76.500,76.500,76.500,0,16550,1
12/08/2021,76.500,76.500,76.500,76.500,0,203312,1
11/08/2021,76.500,76.500,76.500,76.500,0,68984,1
10/08/2021,76.500,76.500,76.500,76.500,0,47959,1
09/08/2021,77.000,77.000,76.500,76.500,-0.649,249318,1
06/08/2021,78.000,78.000,77.000,77.000,0,156183,1
05/08/2021,78.500,78.500,77.000,77.000,-1.91,80675,1
04/08/2021,78.500,78.500,78.500,78.500,0,26317,1
03/08/2021,78.500,78.500,78.500,78.500,0,24047,1
02/08/2021,78.500,78.500,78.500,78.500,0,60456,1
30/07/2021,78.500,78.500,78.500,78.500,0,33646,1
29/07/2021,78.500,78.500,78.500,78.500,0,219414,1
28/07/2021,78.500,78.500,78.500,78.500,0,89325,1
27/07/2021,79.500,79.500,78.500,78.500,-1.26,118949,1
26/07/2021,79.500,79.500,79.500,79.500,0,351721,1
23/07/2021,78.000,79.500,78.000,79.500,1.92,268435,1
22/07/2021,77.500,78.000,77.500,78.000,0.515,26762,1
21/07/2021,77.000,77.600,77.000,77.600,0.779,426223,1
20/07/2021,76.500,77.000,76.500,77.000,0.654,124149,1
19/07/2021,76.000,76.500,76.000,76.500,0.658,1712590,1
16/07/2021,75.500,77.000,75.500,76.000,0.662,520679,1
15/07/2021,75.500,75.500,75.500,75.500,0.667,209872,1
14/07/2021,75.500,75.500,75.000,75.000,-0.662,170464,1
13/07/2021,75.500,75.500,75.500,75.500,0,899802,1
12/07/2021,75.500,75.500,75.500,75.500,0,43887,1
09/07/2021,75.500,75.500,75.500,75.500,0,600843,1
08/07/2021,75.500,75.500,75.500,75.500,0,161853,1
07/07/2021,76.000,76.000,75.500,75.500,-0.658,2041459,1
06/07/2021,76.500,76.500,76.000,76.000,4.11,303643,1
05/07/2021,73.500,73.500,73.000,73.000,0,136487,1
02/07/2021,73.500,73.500,72.500,73.000,0,602679,1
01/07/2021,73.500,73.500,73.000,73.000,1.39,108591,1
30/06/2021,73.500,73.500,72.000,72.000,-1.37,124038,1
29/06/2021,73.000,73.000,73.000,73.000,0,1142216,1
28/06/2021,70.000,73.000,70.000,73.000,4.29,349270,1
25/06/2021,70.000,70.000,70.000,70.000,0.575,231557,1
24/06/2021,70.000,70.000,69.600,69.600,-0.571,294692,1
23/06/2021,69.900,70.000,69.900,70.000,0.143,909306,1
22/06/2021,67.500,70.400,67.500,69.900,3.56,818450,1
21/06/2021,67.500,67.500,67.500,67.500,0.746,3800581,1
18/06/2021,68.000,68.000,67.000,67.000,-1.47,1095422,1
17/06/2021,68.000,68.000,68.000,68.000,0,219005,1
16/06/2021,68.500,68.500,67.500,68.000,-1.45,1304154,1
15/06/2021,69.000,69.000,69.000,69.000,0,430025,1
14/06/2021,69.000,69.000,68.500,69.000,0,492390,1
11/06/2021,69.000,69.000,69.000,69.000,-0.289,517244,1
10/06/2021,69.000,69.200,69.000,69.200,0.29,130483,1
09/06/2021,69.500,69.500,69.000,69.000,-2.13,502570,1
08/06/2021,71.000,71.000,70.500,70.500,-0.704,1879579,1
07/06/2021,71.000,71.000,71.000,71.000,0,10866357,1
04/06/2021,71.000,71.000,71.000,71.000,0,95200,1
03/06/2021,71.000,71.000,71.000,71.000,0,11452199,1
02/06/2021,71.000,71.000,71.000,71.000,0,209995,1
01/06/2021,71.500,71.500,71.000,71.000,-0.699,264823,1
28/05/2021,71.500,71.500,71.500,71.500,0,481462,1
27/05/2021,72.500,72.500,71.500,71.500,-1.38,451796,1
26/05/2021,71.500,72.500,71.500,72.500,1.4,245163,1
25/05/2021,70.000,71.500,70.000,71.500,2.14,12209790,1
24/05/2021,70.000,70.000,70.000,70.000,0,133583,1
21/05/2021,70.000,70.000,70.000,70.000,0,90798,1
20/05/2021,71.000,71.000,70.000,70.000,0,220124,1
19/05/2021,70.000,71.000,70.000,70.000,0,451420,1
18/05/2021,70.000,70.000,70.000,70.000,0,995755,1
17/05/2021,70.000,70.000,70.000,70.000,0,67440,1
14/05/2021,70.000,70.000,70.000,70.000,0.287,268234,1
13/05/2021,70.500,70.500,69.800,69.800,-0.57,1856839,1
12/05/2021,70.500,70.500,70.200,70.200,0,13508874,1
11/05/2021,71.000,71.000,70.000,70.200,-1.13,629126,1
10/05/2021,70.000,71.000,70.000,71.000,1.43,109760,1
07/05/2021,70.000,70.000,70.000,70.000,0,509931,1
06/05/2021,71.000,71.000,69.000,70.000,-1.41,358332,1
05/05/2021,69.000,71.000,69.000,71.000,5.34,471455,1
04/05/2021,68.000,69.000,67.400,67.400,-0.882,497617,1
30/04/2021,60.500,68.000,60.500,68.000,15.3,10168772,1
29/04/2021,60.500,60.500,59.000,59.000,-2.48,433656,1
28/04/2021,59.500,60.500,59.500,60.500,1.68,666731,1
27/04/2021,59.500,59.500,59.500,59.500,0,86650,1
26/04/2021,59.500,59.500,59.500,59.500,0,135375,1
23/04/2021,59.000,59.500,59.000,59.500,-0.833,463393,1
22/04/2021,63.000,63.000,58.500,60.000,-5.36,664110,1
21/04/2021,67.000,67.000,61.000,63.400,-3.94,776456,1
20/04/2021,65.000,66.000,65.000,66.000,1.54,239476,1
19/04/2021,64.000,65.000,64.000,65.000,1.56,4278366,1
16/04/2021,62.500,64.000,62.500,64.000,2.4,178025,1
15/04/2021,63.000,63.000,62.500,62.500,-0.794,1547563,1
14/04/2021,63.000,63.000,63.000,63.000,0,99796,1
13/04/2021,59.000,63.000,59.000,63.000,6.78,661995,1
12/04/2021,59.000,59.000,59.000,59.000,0,445847,1
09/04/2021,59.000,59.000,59.000,59.000,0,118547,1
08/04/2021,59.000,59.000,59.000,59.000,0,107419,1
07/04/2021,59.500,59.500,59.000,59.000,-0.84,81507,1
06/04/2021,59.500,59.500,59.500,59.500,0,242794,1
01/04/2021,59.500,59.500,59.500,59.500,0,66131,1
31/03/2021,60.500,60.500,59.500,59.500,-0.833,498096,1
30/03/2021,59.500,60.500,59.500,60.000,0.334,419778,1
29/03/2021,60.000,60.000,59.500,59.800,-0.333,106744,1
26/03/2021,60.000,60.000,59.500,60.000,3.45,6479890,1
25/03/2021,61.000,61.000,58.000,58.000,-3.33,3001815,1
24/03/2021,64.000,64.000,60.000,60.000,-6.25,835328,1
23/03/2021,65.000,65.000,64.000,64.000,-0.775,247959,1
22/03/2021,65.500,65.500,64.500,64.500,-0.769,176555,1
19/03/2021,65.500,65.500,64.500,65.000,0.775,365341,1
18/03/2021,67.500,67.500,64.500,64.500,-3.73,1070510,1
17/03/2021,67.500,67.500,67.000,67.000,-0.741,229759,1
16/03/2021,68.000,68.000,67.500,67.500,-2.17,300655,1
15/03/2021,68.000,69.000,68.000,69.000,1.47,1108280,1
12/03/2021,68.000,68.000,68.000,68.000,0,8688476,1
11/03/2021,68.500,68.500,68.000,68.000,0,158822,1
10/03/2021,70.000,70.000,68.000,68.000,-2.16,336979,1
09/03/2021,70.000,70.000,69.500,69.500,-1.56,1557489,1
08/03/2021,69.000,70.600,68.500,70.600,3.07,758728,1
05/03/2021,69.000,69.000,68.500,68.500,0.735,941403,1
04/03/2021,68.000,69.000,68.000,68.000,0,556386,1
03/03/2021,72.000,72.000,66.500,68.000,-3.55,1081932,1
02/03/2021,74.000,74.000,70.500,70.500,-4.73,576601,1
01/03/2021,74.500,74.500,74.000,74.000,-0.671,125868,1
26/02/2021,80.000,80.000,74.500,74.500,-5.7,55129956,1
25/02/2021,77.000,79.500,77.000,79.000,2.6,18590776,1
24/02/2021,77.000,77.000,77.000,77.000,-1.28,298391,1
23/02/2021,74.500,78.000,74.500,78.000,4.7,557942,1
22/02/2021,73.500,74.500,73.500,74.500,1.36,9645832,1
19/02/2021,73.500,73.500,73.500,73.500,0,1087730,1
18/02/2021,73.500,73.500,73.500,73.500,0,626959,1
17/02/2021,74.000,74.000,73.500,73.500,-0.676,4221642,1
16/02/2021,74.000,74.000,74.000,74.000,0,3058887,1
15/02/2021,73.000,74.000,73.000,74.000,1.37,165206,1
12/02/2021,73.000,73.000,73.000,73.000,0,55367,1
11/02/2021,73.500,73.500,72.500,73.000,-0.68,4160078,1
10/02/2021,71.000,73.500,70.500,73.500,3.52,431902,1
09/02/2021,71.500,71.500,71.000,71.000,0,211351,1
08/02/2021,69.000,72.500,68.500,71.000,3.8,527326,1
05/02/2021,68.500,69.000,68.400,68.400,-0.146,718595,1
04/02/2021,68.500,68.500,68.500,68.500,-2.14,83540,1
