Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/10/2021,214.00,216.00,204.40,206.00,-4.28,834663,1
30/09/2021,211.00,218.00,211.00,215.20,0.655,758382,1
29/09/2021,210.00,218.80,210.00,213.80,1.71,866668,1
28/09/2021,225.40,225.40,209.20,210.20,-4.37,1926021,1
27/09/2021,226.60,227.80,217.60,219.80,-0.543,665575,1
24/09/2021,226.00,226.00,218.60,221.00,-2.04,672278,1
23/09/2021,222.60,229.20,222.60,225.60,1.71,1494455,1
22/09/2021,217.00,223.60,212.80,221.80,2.69,1085980,1
21/09/2021,215.00,218.40,206.80,216.00,-0.277,1943950,1
20/09/2021,225.00,225.80,213.20,216.60,-3.73,1172044,1
17/09/2021,226.80,228.80,222.60,225.00,-0.618,2099059,1
16/09/2021,221.00,227.80,221.00,226.40,0.622,487262,1
15/09/2021,229.80,230.80,225.00,225.00,-1.92,542856,1
14/09/2021,227.80,230.80,227.40,229.40,0.702,660736,1
13/09/2021,234.40,236.60,227.40,227.80,-3.39,45862,1
10/09/2021,227.40,238.20,227.20,235.80,3.97,1010114,1
09/09/2021,220.40,227.60,220.40,226.80,1.7,549330,1
08/09/2021,220.20,227.40,220.20,223.00,-1.33,361055,1
07/09/2021,222.20,230.40,221.80,226.00,-0.877,478998,1
06/09/2021,228.00,229.60,224.40,228.00,0,577044,1
03/09/2021,226.80,229.00,222.00,228.00,1.33,812474,1
02/09/2021,236.00,236.00,223.80,225.00,-1.23,1358581,1
01/09/2021,230.20,231.40,227.00,227.80,-0.437,1181418,1
31/08/2021,220.40,235.20,220.40,228.80,-0.781,2061085,1
27/08/2021,227.00,231.40,225.80,230.60,1.59,1104510,1
26/08/2021,224.00,227.60,219.20,227.00,2.25,1944223,1
25/08/2021,216.40,222.80,216.40,222.00,0.726,400621,1
24/08/2021,221.00,222.00,217.40,220.40,0.639,461659,1
23/08/2021,219.00,223.80,217.20,219.00,0,1272346,1
20/08/2021,214.40,221.40,213.80,219.00,1.96,1920380,1
19/08/2021,214.00,214.80,209.80,214.80,-0.093,895019,1
18/08/2021,220.00,220.00,211.20,215.00,1.9,946279,1
17/08/2021,211.20,214.80,209.20,211.00,-0.472,1134590,1
16/08/2021,209.40,214.80,207.00,212.00,0.569,932896,1
13/08/2021,215.60,215.80,210.80,210.80,-1.4,678643,1
12/08/2021,210.40,214.80,207.40,213.80,1.33,528186,1
11/08/2021,217.00,217.00,206.20,211.00,1.93,834077,1
10/08/2021,215.60,215.60,205.20,207.00,0.291,2056091,1
09/08/2021,208.80,209.40,204.40,206.40,-1.71,420843,1
06/08/2021,201.80,210.00,201.80,210.00,1.94,995354,1
05/08/2021,205.00,211.20,204.00,206.00,0,1117144,1
04/08/2021,213.00,213.00,205.60,206.00,-2.83,1917399,1
03/08/2021,219.00,219.00,207.80,212.00,1.53,3893874,1
02/08/2021,213.60,214.80,207.20,208.80,-2.7,1530600,1
30/07/2021,215.80,216.60,213.40,214.60,-1.56,1124123,1
29/07/2021,213.00,220.40,213.00,218.00,0.646,2585148,1
28/07/2021,205.60,219.00,205.60,216.60,1.4,771367,1
27/07/2021,206.20,218.20,206.20,213.60,-1.29,2607110,1
26/07/2021,209.00,218.40,209.00,216.40,2.46,1277423,1
23/07/2021,202.80,213.00,201.20,211.20,4.45,1351121,1
22/07/2021,193.50,202.20,193.50,202.20,4.98,1959738,1
21/07/2021,191.20,192.90,188.20,192.60,2.94,895873,1
20/07/2021,191.30,192.00,185.30,187.10,-0.213,1612261,1
19/07/2021,186.00,191.50,184.30,187.50,-0.794,2755423,1
16/07/2021,198.00,204.20,184.50,189.00,-4.55,10292628,1
15/07/2021,197.90,199.90,197.30,198.00,0,1066851,1
14/07/2021,197.00,199.50,194.50,198.00,-0.202,732022,1
13/07/2021,183.40,198.40,183.40,198.40,2.53,808859,1
12/07/2021,192.30,195.00,190.40,193.50,1.57,489838,1
09/07/2021,184.40,191.90,184.40,190.50,0.316,572398,1
08/07/2021,190.30,195.30,188.90,189.90,-2.42,871839,1
07/07/2021,190.10,195.10,189.60,194.60,2.1,609898,1
06/07/2021,187.00,190.60,185.80,190.60,1.65,2923715,1
05/07/2021,189.90,191.10,186.90,187.50,-1.32,383089,1
02/07/2021,182.90,191.70,182.90,190.00,1.12,1027000,1
01/07/2021,188.90,190.70,184.90,187.90,-0.106,880611,1
30/06/2021,195.00,197.20,188.00,188.10,-3.79,1147419,1
29/06/2021,191.70,195.50,189.80,195.50,2.62,923792,1
