Date,Open,High,Low,Close,Change%,Volume,Adjustment
22/06/2022,76.800,77.000,76.000,77.000,-1.03,72225,1
21/06/2022,77.600,78.600,76.800,77.800,1.3,94165,1
20/06/2022,77.000,78.800,76.000,76.800,-2.54,1267043,1
17/06/2022,75.600,79.200,75.400,78.800,3.96,262609,1
16/06/2022,80.000,80.000,75.800,75.800,-4.29,197683,1
15/06/2022,78.600,80.400,78.200,79.200,-1.74,128613,1
14/06/2022,81.800,81.800,79.000,80.600,-0.739,68690,1
13/06/2022,81.200,81.200,78.400,81.200,-0.734,399720,1
10/06/2022,83.000,83.000,81.000,81.800,-1.45,224828,1
09/06/2022,84.600,84.800,81.600,83.000,-1.89,394026,1
08/06/2022,81.800,84.800,81.200,84.600,4.44,549766,1
07/06/2022,76.600,81.000,75.200,81.000,14.7,2818000,1
06/06/2022,69.800,70.600,69.800,70.600,1.44,32102,1
01/06/2022,69.800,69.800,69.600,69.600,0,41179,1
31/05/2022,69.800,70.400,69.600,69.600,0.578,113187,1
30/05/2022,69.400,69.800,69.200,69.200,-0.288,52708,1
27/05/2022,69.400,70.200,69.400,69.400,0,60210,1
26/05/2022,69.400,69.400,69.400,69.400,-0.573,11908,1
25/05/2022,69.400,69.800,68.400,69.800,-0.711,74904,1
24/05/2022,70.600,70.600,70.300,70.300,1.01,36364,1
23/05/2022,69.700,70.200,68.600,69.600,-0.287,254765,1
20/05/2022,69.200,70.400,69.200,69.800,0.867,64251,1
19/05/2022,69.200,69.400,69.200,69.200,-1.14,97949,1
18/05/2022,69.200,70.000,68.600,70.000,0.865,121076,1
17/05/2022,65.800,69.400,65.400,69.400,5.15,222824,1
16/05/2022,66.200,66.800,65.600,66.000,-0.602,68444,1
13/05/2022,65.800,66.800,65.800,66.400,1.84,173588,1
12/05/2022,68.000,68.000,63.600,65.200,-4.12,518202,1
11/05/2022,68.400,69.200,68.000,68.000,-0.875,116263,1
10/05/2022,69.800,69.800,68.600,68.600,-1.44,103745,1
09/05/2022,69.600,69.600,68.400,69.600,0.288,196670,1
06/05/2022,70.000,70.200,69.400,69.400,-2.8,108140,1
05/05/2022,70.800,71.400,70.800,71.400,2,17083,1
04/05/2022,70.000,70.400,69.400,70.000,0.575,845425,1
