Date,Open,High,Low,Close,Change%,Volume,Adjustment
07/10/2021,745.00,754.00,738.00,740.00,2.07,66294,1
06/10/2021,734.00,746.00,725.00,725.00,-2.42,29847,1
05/10/2021,756.00,756.00,725.00,743.00,0.814,66745,1
04/10/2021,753.00,788.00,726.00,737.00,-3.28,85464,1
01/10/2021,755.00,784.00,751.00,762.00,-3.54,208297,1
30/09/2021,770.00,794.00,770.00,790.00,1.8,48785,1
29/09/2021,768.00,789.00,768.00,776.00,1.17,69190,1
28/09/2021,807.00,807.00,756.00,767.00,-2.54,113700,1
27/09/2021,819.00,819.00,787.00,787.00,-2.24,62738,1
24/09/2021,824.00,836.00,801.00,805.00,-2.07,73110,1
23/09/2021,827.00,836.00,820.00,822.00,0.489,88216,1
22/09/2021,811.00,832.00,811.00,818.00,1.49,99054,1
21/09/2021,820.00,833.00,797.00,806.00,-0.494,90262,1
20/09/2021,812.00,812.00,780.00,810.00,0,174796,1
17/09/2021,826.00,829.00,810.00,810.00,-2.88,54213,1
16/09/2021,841.00,850.00,825.00,834.00,-1.88,53779,1
15/09/2021,838.00,875.00,832.00,850.00,0,92390,1
14/09/2021,843.00,866.00,841.00,850.00,0,59078,1
13/09/2021,860.80,860.80,829.00,850.00,1.19,57034,1
10/09/2021,840.00,859.00,820.00,840.00,1.08,58944,1
09/09/2021,824.00,839.00,800.00,831.00,1.34,42984,1
08/09/2021,840.00,840.00,817.00,820.00,0,103033,1
07/09/2021,802.00,867.00,802.00,820.00,3.4,193001,1
06/09/2021,810.00,810.00,754.00,793.00,-0.999,111173,1
03/09/2021,790.00,808.00,786.00,801.00,3.35,80842,1
02/09/2021,758.00,800.00,758.00,775.00,0.129,48541,1
01/09/2021,751.00,790.00,751.00,774.00,0.913,112511,1
31/08/2021,763.00,770.00,753.00,767.00,0.131,49068,1
27/08/2021,757.00,766.00,755.00,766.00,1.06,43863,1
26/08/2021,761.00,771.00,758.00,758.00,0.798,66832,1
25/08/2021,758.00,772.00,751.00,752.00,-0.792,50229,1
24/08/2021,776.00,776.00,748.00,758.00,-1.04,55706,1
23/08/2021,759.00,774.00,753.00,766.00,1.19,51509,1
20/08/2021,767.00,767.00,721.00,757.00,-0.395,79888,1
19/08/2021,768.00,780.00,757.00,760.00,-3.55,102196,1
18/08/2021,790.00,799.00,770.00,788.00,-0.253,64082,1
17/08/2021,790.00,790.00,780.00,790.00,1.15,98188,1
16/08/2021,788.00,800.00,781.00,781.00,0,165602,1
13/08/2021,790.00,790.00,778.00,781.00,-0.383,47961,1
12/08/2021,786.00,786.00,778.00,784.00,0,31169,1
11/08/2021,774.00,784.00,771.00,784.00,1.29,27755,1
10/08/2021,770.00,780.00,751.00,774.00,0.781,77601,1
09/08/2021,781.00,790.00,750.00,768.00,-2.78,73007,1
06/08/2021,793.00,794.00,779.00,790.00,-0.629,58157,1
05/08/2021,776.00,795.00,762.00,795.00,2.98,176190,1
04/08/2021,762.00,772.00,762.00,772.00,0,73771,1
03/08/2021,770.00,772.00,753.00,772.00,1.05,38653,1
02/08/2021,750.00,775.00,750.00,764.00,2.41,120732,1
30/07/2021,744.00,755.00,744.00,746.00,-1.19,42540,1
29/07/2021,755.00,760.00,747.00,755.00,1.62,42673,1
28/07/2021,755.00,761.00,743.00,743.00,0.405,73436,1
27/07/2021,760.00,760.00,739.00,740.00,-2.63,324675,1
26/07/2021,740.00,760.00,739.00,760.00,4.11,74434,1
23/07/2021,728.00,737.00,728.00,730.00,1.39,40059,1
22/07/2021,740.00,740.00,720.00,720.00,-0.277,65099,1
21/07/2021,710.00,760.00,700.00,722.00,0.417,590185,1
20/07/2021,720.00,720.00,712.00,719.00,1.84,34754,1
19/07/2021,710.00,713.00,705.00,706.00,-0.423,78731,1
16/07/2021,713.00,730.00,703.00,709.00,-0.141,52505,1
15/07/2021,725.00,730.00,703.00,710.00,-1.25,206994,1
14/07/2021,689.00,750.00,689.00,719.00,4.96,556068,1
13/07/2021,701.00,702.00,684.00,685.00,-0.725,84348,1
12/07/2021,687.00,700.00,687.00,690.00,-1.43,49732,1
09/07/2021,700.00,701.00,683.00,700.00,2.49,64217,1
08/07/2021,688.00,706.00,683.00,683.00,-3.26,33537,1
07/07/2021,704.00,715.00,696.00,706.00,0.857,96527,1
06/07/2021,699.00,700.00,698.00,700.00,0.575,31878,1
05/07/2021,687.00,696.00,685.00,696.00,-0.287,49023,1
02/07/2021,676.00,698.00,675.00,698.00,1.45,69032,1
01/07/2021,673.00,699.00,673.00,688.00,1.93,70531,1
30/06/2021,691.00,694.00,675.00,675.00,-2.17,40894,1
29/06/2021,707.00,707.00,681.00,690.00,0,40809,1
28/06/2021,710.00,710.00,677.00,690.00,0.583,71970,1
25/06/2021,705.00,705.00,686.00,686.00,-0.435,86136,1
24/06/2021,696.00,700.00,689.00,689.00,0.437,53456,1
23/06/2021,665.00,694.00,661.00,686.00,4.1,99266,1
22/06/2021,651.00,663.00,650.00,659.00,-0.152,35146,1
21/06/2021,676.00,677.00,648.00,660.00,-2.94,131538,1
18/06/2021,687.00,700.00,673.00,680.00,0,120183,1
17/06/2021,689.00,690.00,665.00,680.00,-1.02,66714,1
16/06/2021,685.00,687.00,668.00,687.00,-0.435,40584,1
15/06/2021,660.00,690.00,660.00,690.00,4.55,34093,1
14/06/2021,656.00,660.00,655.00,660.00,3.13,37225,1
11/06/2021,657.00,659.00,640.00,640.00,-1.54,91241,1
10/06/2021,658.00,660.00,640.00,650.00,-1.22,69457,1
09/06/2021,660.00,660.00,632.00,658.00,0.458,54032,1
08/06/2021,659.00,660.00,652.00,655.00,1.24,31454,1
07/06/2021,654.00,660.00,645.00,647.00,0.936,44970,1
04/06/2021,646.00,649.00,637.00,641.00,-0.311,58627,1
03/06/2021,660.00,660.00,637.00,643.00,-0.464,59151,1
02/06/2021,651.00,657.00,646.00,646.00,0.623,68272,1
01/06/2021,645.00,651.00,630.00,642.00,0.943,104458,1
28/05/2021,638.00,648.00,620.00,636.00,-1.09,66101,1
27/05/2021,656.00,663.00,640.00,643.00,-0.155,71941,1
26/05/2021,648.00,654.00,644.00,644.00,0,36364,1
25/05/2021,654.00,664.00,643.00,644.00,-1.68,104483,1
24/05/2021,651.00,655.00,651.00,655.00,-2.24,148897,1
21/05/2021,663.00,670.00,652.00,670.00,0.149,79212,1
20/05/2021,653.00,670.00,640.00,669.00,4.53,57841,1
19/05/2021,646.00,663.00,640.00,640.00,-3.76,130674,1
