Date,Open,High,Low,Close,Change%,Volume,Adjustment
27/09/2021,135.98,148.40,135.74,147.48,11.3,145272224,1
24/09/2021,127.00,134.22,126.82,132.50,4.38,78220968,1
23/09/2021,123.30,127.30,122.68,126.94,3.9,64345828,1
22/09/2021,119.90,122.18,119.34,122.18,2.17,44820144,1
21/09/2021,116.14,120.44,115.74,119.58,3.35,64109816,1
20/09/2021,109.10,117.30,100.16,115.70,4.23,71596376,1
17/09/2021,109.92,112.94,109.48,111.00,1.78,172599856,1
16/09/2021,106.36,110.32,106.10,109.06,3.37,50087452,1
15/09/2021,109.00,109.30,104.94,105.50,-3.35,52601908,1
14/09/2021,111.06,111.10,109.08,109.16,-2.44,22788268,1
13/09/2021,110.30,112.10,109.24,111.89,2.48,1482979,1
10/09/2021,111.06,111.52,108.64,109.18,-1.66,19281200,1
09/09/2021,110.00,111.88,108.18,111.02,-0.216,23476580,1
08/09/2021,110.88,113.64,109.86,111.26,0.343,20066784,1
07/09/2021,112.54,113.46,109.20,110.88,-1.04,18397656,1
06/09/2021,112.58,113.96,112.04,112.04,0.304,13227179,1
03/09/2021,113.92,114.36,111.66,111.70,-2.22,20848876,1
02/09/2021,114.90,115.00,113.44,114.24,-0.609,26275422,1
01/09/2021,115.76,117.04,114.62,114.94,0.0697,31972440,1
31/08/2021,115.40,116.12,113.38,114.86,-1.61,45427816,1
27/08/2021,115.68,116.76,114.26,116.74,0.586,23153722,1
26/08/2021,115.68,117.94,114.52,116.06,-0.361,26115670,1
25/08/2021,118.54,120.56,113.82,116.48,-1.52,55529088,1
24/08/2021,114.30,118.28,114.10,118.28,3.99,46354380,1
23/08/2021,112.00,114.30,111.10,113.74,3.25,46712144,1
20/08/2021,111.20,111.50,109.60,110.16,-0.953,22923236,1
19/08/2021,110.00,112.90,108.84,111.22,-1.58,32093046,1
18/08/2021,111.36,113.00,110.78,113.00,1.38,28383512,1
17/08/2021,108.80,111.46,107.92,111.46,1.6,27753500,1
16/08/2021,109.44,110.46,108.52,109.70,-1.33,29794176,1
13/08/2021,109.80,112.42,109.38,111.18,1.48,33545238,1
12/08/2021,111.48,112.42,108.74,109.56,-1.83,25667092,1
11/08/2021,110.78,111.60,108.78,111.60,1.44,25157114,1
10/08/2021,108.60,110.14,106.78,110.02,0.862,32975976,1
09/08/2021,112.32,112.38,108.74,109.08,-2.97,35415632,1
06/08/2021,111.38,112.80,109.42,112.42,1.57,61814788,1
05/08/2021,105.50,110.68,104.00,110.68,5.87,97643488,1
04/08/2021,103.74,105.34,103.32,104.54,1.36,44352416,1
03/08/2021,103.12,104.12,101.90,103.14,-0.329,31802248,1
02/08/2021,101.00,104.30,101.00,103.48,3.78,40770580,1
30/07/2021,100.48,101.14,98.300,99.710,-2.42,34598636,1
29/07/2021,101.90,104.40,101.60,102.18,0.472,33575596,1
28/07/2021,98.000,103.24,97.720,101.70,3.49,45174880,1
27/07/2021,96.280,98.390,94.710,98.270,1.29,42938564,1
26/07/2021,95.000,98.040,94.920,97.020,1.45,24293336,1
23/07/2021,96.610,98.830,95.330,95.630,0.367,27430224,1
22/07/2021,97.460,99.150,95.160,95.280,-1.77,33227624,1
21/07/2021,90.790,97.280,90.790,97.000,7.75,55228184,1
20/07/2021,88.220,90.860,87.480,90.020,3.47,42861252,1
19/07/2021,92.700,92.980,86.690,87.000,-6.51,80560968,1
16/07/2021,91.610,94.970,91.100,93.060,2.11,48974188,1
15/07/2021,93.000,93.000,91.050,91.140,-1.75,36680356,1
14/07/2021,93.000,94.270,90.550,92.760,-0.908,51974688,1
13/07/2021,96.230,97.510,93.520,93.610,-2.22,59253632,1
12/07/2021,100.80,100.80,95.740,95.740,-5.21,56885664,1
09/07/2021,101.32,103.00,100.64,101.00,0.278,34263752,1
08/07/2021,100.20,101.40,98.160,100.72,-0.159,51353992,1
07/07/2021,103.88,104.72,100.34,100.88,-2.68,32911588,1
06/07/2021,105.00,106.26,102.26,103.66,-1.26,30657628,1
05/07/2021,102.50,105.44,101.48,104.98,2.34,29593378,1
02/07/2021,101.50,103.48,101.06,102.58,1.71,45208256,1
01/07/2021,99.700,101.90,99.160,100.86,1.96,61514984,1
30/06/2021,98.630,99.900,94.690,98.920,0.345,80524024,1
29/06/2021,100.10,103.10,98.040,98.580,-1.91,92294776,1
28/06/2021,106.42,107.00,100.50,100.50,-5.63,74198112,1
25/06/2021,108.42,109.34,105.42,106.50,-1.19,39517920,1
24/06/2021,109.90,110.68,107.70,107.78,-1.52,26468636,1
23/06/2021,108.76,110.66,107.90,109.44,1.15,26743336,1
22/06/2021,109.80,112.46,107.84,108.20,-0.97,34202400,1
21/06/2021,106.32,109.72,104.02,109.26,1.62,36844348,1
18/06/2021,112.04,112.20,106.70,107.52,-3.93,54500344,1
17/06/2021,109.12,113.42,109.12,111.92,1.75,32574488,1
16/06/2021,108.20,110.18,108.14,110.00,1.85,21291970,1
15/06/2021,107.84,110.00,107.16,108.00,0.596,32482064,1
14/06/2021,112.00,112.50,107.22,107.36,-4.09,96220104,1
11/06/2021,111.76,112.44,110.92,111.94,0.811,34108912,1
10/06/2021,112.44,113.44,110.94,111.04,-1.35,22080832,1
09/06/2021,111.40,113.14,110.32,112.56,1.04,31100496,1
08/06/2021,110.24,112.60,109.32,111.40,1.16,39237288,1
07/06/2021,108.10,110.74,105.92,110.12,2.61,75895888,1
04/06/2021,109.50,110.32,105.84,107.32,-2.15,39848240,1
03/06/2021,112.32,112.50,109.40,109.68,-2.33,35872512,1
02/06/2021,109.00,112.60,108.96,112.30,3.08,46285020,1
01/06/2021,106.54,109.48,106.24,108.94,1.79,44497168,1
28/05/2021,108.42,109.18,105.88,107.02,-0.0374,34976652,1
27/05/2021,103.08,109.32,102.32,107.06,3.9,79688016,1
26/05/2021,105.76,105.94,102.58,103.04,-2.26,28971548,1
25/05/2021,105.90,106.74,105.00,105.42,-0.284,23763826,1
24/05/2021,105.00,106.00,104.12,105.72,0.494,18948836,1
21/05/2021,103.18,105.26,102.18,105.20,1.88,56221556,1
20/05/2021,104.12,104.98,100.54,103.26,-0.0967,31088992,1
19/05/2021,101.40,103.66,99.980,103.36,0.408,43630480,1
18/05/2021,104.64,105.00,101.84,102.94,-0.0388,33419324,1
17/05/2021,107.70,108.68,102.54,102.98,-4.33,39596232,1
14/05/2021,105.16,107.68,102.46,107.64,3.2,35353296,1
13/05/2021,103.46,105.88,100.64,104.30,-0.534,34621304,1
12/05/2021,106.00,106.40,103.92,104.86,0.498,24789242,1
11/05/2021,108.00,108.30,102.12,104.34,-4.87,63816992,1
10/05/2021,107.00,110.42,105.16,109.68,2.75,45288224,1
07/05/2021,104.64,106.86,104.02,106.74,3.23,39761592,1
06/05/2021,102.62,104.32,102.00,103.40,1.61,37055372,1
05/05/2021,102.08,103.20,100.62,101.76,0.533,33696096,1
04/05/2021,105.00,106.62,100.54,101.22,-3.25,56543472,1
30/04/2021,102.40,105.44,101.46,104.62,2.55,35820684,1
29/04/2021,103.10,104.64,100.94,102.02,-0.72,33746220,1
28/04/2021,102.00,104.44,101.44,102.76,-0.175,39356264,1
27/04/2021,107.56,107.76,102.94,102.94,-4.53,51134920,1
26/04/2021,102.24,107.82,102.16,107.82,5.96,42402440,1
23/04/2021,101.40,102.40,99.330,101.76,-1.03,34408976,1
22/04/2021,101.74,102.84,100.14,102.82,2.95,41011120,1
21/04/2021,99.900,101.98,96.500,99.870,0.594,58919664,1
20/04/2021,104.32,105.64,99.280,99.280,-5.61,68603072,1
19/04/2021,106.06,106.82,104.58,105.18,0.593,30950376,1
16/04/2021,107.00,108.16,104.38,104.56,-2.28,53048136,1
15/04/2021,108.80,109.88,106.60,107.00,-0.687,38660500,1
14/04/2021,107.54,108.90,107.00,107.74,0.0371,24383120,1
13/04/2021,108.10,109.92,106.08,107.70,-0.481,27769988,1
12/04/2021,112.40,112.80,106.84,108.22,-3.27,36773548,1
09/04/2021,111.34,113.60,110.52,111.88,0.684,39746472,1
08/04/2021,112.10,113.20,108.58,111.12,-0.679,38189064,1
07/04/2021,112.60,113.92,111.56,111.88,0.107,44467000,1
06/04/2021,111.46,113.94,110.60,111.76,2.61,59606096,1
01/04/2021,105.32,109.84,105.30,108.92,3.44,42760060,1
31/03/2021,108.55,109.65,105.30,105.30,-2.99,45301200,1
30/03/2021,106.20,109.25,105.95,108.55,2.36,38498472,1
29/03/2021,106.25,106.90,104.80,106.05,-0.141,38109484,1
26/03/2021,106.05,109.95,105.15,106.20,0.141,47153072,1
25/03/2021,107.60,108.35,102.85,106.05,-1.81,39039848,1
24/03/2021,103.70,110.00,99.000,108.00,2.56,76788136,1
23/03/2021,110.50,113.15,104.85,105.30,-5.9,81043168,1
22/03/2021,115.85,115.85,108.75,111.90,-4.36,73655648,1
19/03/2021,123.00,123.15,117.00,117.00,-6.06,86618912,1
18/03/2021,128.30,128.60,123.15,124.55,-2.08,59445940,1
17/03/2021,128.55,128.55,125.10,127.20,3.54,74363712,1
16/03/2021,119.15,125.20,118.25,122.85,4.11,75769736,1
15/03/2021,114.60,119.00,114.50,118.00,2.74,64553484,1
12/03/2021,114.50,114.85,113.15,114.85,0.923,40282876,1
11/03/2021,117.55,117.65,112.40,113.80,0.708,50945720,1
10/03/2021,115.60,115.85,112.10,113.00,-0.747,61019940,1
09/03/2021,115.65,118.20,112.45,113.85,-2.27,45799456,1
08/03/2021,111.30,116.50,109.45,116.50,7.32,102980392,1
05/03/2021,113.50,114.70,108.15,108.55,-5.07,60860192,1
04/03/2021,113.10,115.80,112.00,114.35,-0.0874,42311956,1
03/03/2021,111.00,114.45,110.15,114.45,3.9,42463056,1
02/03/2021,110.80,112.20,109.20,110.15,-1.12,27420410,1
01/03/2021,110.50,113.40,107.95,111.40,3.44,48409648,1
26/02/2021,110.00,113.20,105.75,107.70,-3.88,71533592,1
25/02/2021,117.45,118.90,112.05,112.05,0.134,81938480,1
24/02/2021,109.00,112.25,106.25,111.90,4.92,58165272,1
23/02/2021,106.00,115.50,104.60,106.65,1.14,130456616,1
22/02/2021,97.480,105.55,96.300,105.45,6.88,82699712,1
19/02/2021,94.940,99.860,94.300,98.660,5.7,75707352,1
18/02/2021,102.00,102.20,93.280,93.340,-8.76,57722416,1
17/02/2021,102.50,102.80,100.20,102.30,2.36,56930120,1
16/02/2021,97.260,100.20,96.380,99.940,4.02,61688440,1
15/02/2021,93.900,97.600,92.260,96.080,3.47,51964728,1
12/02/2021,91.740,93.080,90.700,92.860,0.281,27054558,1
11/02/2021,92.840,93.260,90.700,92.600,-0.216,38191008,1
10/02/2021,93.100,95.220,91.200,92.800,1.33,96274616,1
09/02/2021,93.420,93.420,91.440,91.580,-1.53,39344592,1
08/02/2021,94.400,94.900,91.200,93.000,-0.958,40071772,1
05/02/2021,94.200,95.200,92.220,93.900,0,47764368,1
04/02/2021,92.520,95.120,91.980,93.900,2.2,43147168,1
03/02/2021,95.360,96.040,90.560,91.880,-3.04,58482796,1
02/02/2021,96.480,96.800,94.200,94.760,0.701,52354916,1
01/02/2021,93.320,95.500,92.080,94.100,2.62,48381136,1
29/01/2021,94.620,96.400,91.180,91.700,-5.41,111939872,1
28/01/2021,94.560,99.740,91.660,96.940,1.87,56342260,1
27/01/2021,94.620,99.440,92.080,95.160,-1.2,58815580,1
26/01/2021,96.500,98.200,86.700,96.320,-1.71,128922240,1
25/01/2021,103.60,103.85,95.600,98.000,-4.81,78202248,1
22/01/2021,103.10,103.80,100.35,102.95,-0.339,39661216,1
21/01/2021,108.30,108.35,103.30,103.30,-3.82,45447164,1
20/01/2021,105.30,108.65,104.35,107.40,2.63,41279032,1
19/01/2021,106.50,109.20,104.40,104.65,0.384,51765836,1
18/01/2021,105.50,105.65,103.65,104.25,-1.56,26624130,1
15/01/2021,106.10,106.70,104.00,105.90,-0.703,35871296,1
14/01/2021,106.95,109.20,104.70,106.65,0.994,29157152,1
13/01/2021,108.55,108.70,103.75,105.60,-2,40257712,1
12/01/2021,106.15,108.90,105.35,107.75,1.89,23311202,1
11/01/2021,107.95,108.15,104.25,105.75,-1.44,39750412,1
08/01/2021,112.50,112.50,106.85,107.30,-3.42,38354000,1
07/01/2021,113.05,113.40,108.15,111.10,0.045,49868928,1
06/01/2021,109.55,111.05,109.55,111.05,3.06,36904788,1
05/01/2021,102.65,108.20,101.15,107.75,4.41,96349872,1
04/01/2021,112.00,112.95,102.25,103.20,-7.24,79652536,1
31/12/2020,111.75,112.65,109.50,111.25,-0.714,15415469,1
30/12/2020,113.00,114.95,111.95,112.05,-0.709,21556312,1
29/12/2020,120.55,121.00,112.65,112.85,-2.51,49485692,1
24/12/2020,117.30,120.75,114.65,115.75,0.13,21508186,1
23/12/2020,112.45,116.35,111.45,115.60,2.62,36332636,1
22/12/2020,109.60,113.60,107.70,112.65,2.18,37373568,1
21/12/2020,104.55,111.30,95.200,110.25,-3.25,153227200,1
18/12/2020,111.85,114.60,109.20,113.95,1.33,90483432,1
17/12/2020,116.50,117.70,111.80,112.45,-2.05,43667316,1
16/12/2020,113.00,117.90,113.00,114.80,-0.434,71740256,1
15/12/2020,117.20,117.30,112.20,115.30,-2.91,55739540,1
14/12/2020,118.80,124.40,117.40,118.75,1.5,80854600,1
11/12/2020,125.50,125.85,114.10,117.00,-7.87,92092624,1
10/12/2020,129.55,130.35,125.30,127.00,-2.04,35231952,1
09/12/2020,128.00,132.00,128.00,129.65,2.69,77884104,1
08/12/2020,129.00,130.30,125.10,126.25,-3.52,43340720,1
07/12/2020,130.70,133.05,127.50,130.85,0.461,56197148,1
04/12/2020,133.85,134.45,127.40,130.25,-3.45,112258232,1
03/12/2020,120.00,134.90,119.30,134.90,15.5,171564320,1
02/12/2020,116.60,118.00,109.75,116.75,4.15,80221416,1
01/12/2020,105.00,112.40,103.05,112.10,6.05,41118608,1
30/11/2020,107.30,110.20,105.70,105.70,-1.81,54663828,1
27/11/2020,108.00,111.35,103.35,107.65,-0.6,75209232,1
26/11/2020,111.05,112.70,106.55,108.30,-2.34,39317848,1
25/11/2020,121.00,122.00,109.00,110.90,-4.19,78583944,1
24/11/2020,108.80,118.90,108.50,115.75,8.18,126871616,1
