Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,276.60,282.90,276.60,280.20,1.3,6719582,1
30/11/2021,288.20,288.60,276.60,276.60,-4.52,16193048,1
29/11/2021,293.50,293.70,288.80,289.70,-1.33,6374083,1
26/11/2021,292.90,297.30,291.10,293.60,-0.609,4738460,1
25/11/2021,296.00,296.50,292.70,295.40,0.136,3414870,1
24/11/2021,293.50,295.00,292.00,295.00,0.614,1890836,1
23/11/2021,295.20,298.30,293.20,293.20,-0.845,5565084,1
22/11/2021,295.90,296.40,293.40,295.70,1.06,5038180,1
19/11/2021,294.50,298.00,292.40,292.60,-0.273,5692331,1
18/11/2021,287.90,294.50,285.10,293.40,1.87,3209090,1
17/11/2021,289.90,291.50,286.40,288.00,-1.27,6758953,1
16/11/2021,294.20,295.60,289.90,291.70,-1.02,9633830,1
15/11/2021,293.70,298.20,290.60,294.70,-0.102,4828549,1
12/11/2021,294.60,297.00,292.30,295.00,0.272,4577414,1
11/11/2021,293.40,294.40,289.00,294.20,0.204,3464380,1
10/11/2021,289.00,295.00,289.00,293.60,1.35,6212064,1
09/11/2021,289.20,291.30,285.50,289.70,0.173,5926846,1
08/11/2021,285.70,289.60,284.30,289.20,1.72,5128985,1
05/11/2021,282.10,287.50,278.90,284.30,0.887,5784944,1
04/11/2021,281.50,286.90,273.20,281.80,-2.46,9608935,1
03/11/2021,293.20,293.30,284.00,288.90,-1.5,6678881,1
02/11/2021,295.30,298.30,293.30,293.30,-0.475,3208954,1
01/11/2021,300.40,300.70,290.50,294.70,-1.57,3850376,1
29/10/2021,299.80,301.70,294.30,299.40,-0.0668,4693878,1
28/10/2021,305.90,307.80,297.30,299.60,-2.25,5122893,1
27/10/2021,301.60,306.60,300.60,306.50,1.69,4012431,1
26/10/2021,296.10,301.50,294.90,301.40,1.86,5174426,1
25/10/2021,294.80,301.00,293.60,295.90,0.783,2791234,1
22/10/2021,295.00,296.00,292.70,293.60,-0.878,1618287,1
21/10/2021,296.20,298.20,293.20,296.20,-0.336,3391212,1
20/10/2021,296.30,298.10,294.50,297.20,0.135,2116627,1
19/10/2021,296.10,297.90,293.10,296.80,0.713,4227564,1
18/10/2021,296.60,297.80,293.90,294.70,-0.641,3558678,1
15/10/2021,296.30,297.80,294.50,296.60,0.304,2827926,1
14/10/2021,297.10,297.80,293.80,295.70,0.305,3014488,1
13/10/2021,294.80,296.00,291.40,294.80,0.0339,3268568,1
12/10/2021,290.30,294.70,286.10,294.70,0.34,4033308,1
11/10/2021,295.60,295.60,289.20,293.70,-0.643,4582587,1
08/10/2021,294.50,296.70,291.40,295.60,0.716,4168431,1
07/10/2021,292.30,297.70,288.50,293.50,0.963,4101741,1
06/10/2021,297.70,303.70,290.10,290.70,-2.91,7759332,1
05/10/2021,295.10,302.90,294.50,299.40,1.8,10404593,1
04/10/2021,286.50,301.40,285.90,294.10,3.37,8549153,1
01/10/2021,283.80,286.90,282.10,284.50,-0.315,4844859,1
30/09/2021,292.90,293.40,283.10,285.40,-1.76,7662311,1
29/09/2021,292.20,295.50,290.50,290.50,-0.582,6465286,1
28/09/2021,291.70,293.60,287.60,292.20,0.103,7082683,1
27/09/2021,296.80,297.00,291.10,291.90,-1.22,5098221,1
24/09/2021,295.00,296.50,293.50,295.50,-0.135,5599306,1
23/09/2021,297.60,299.60,294.10,295.90,0,6588902,1
22/09/2021,293.30,297.20,293.20,295.90,1.16,7286002,1
21/09/2021,287.70,294.70,286.70,292.50,1.95,6217602,1
20/09/2021,282.00,291.30,280.00,286.90,1.59,9974228,1
17/09/2021,283.30,287.00,282.40,282.40,0.142,18732324,1
16/09/2021,286.70,287.10,282.00,282.00,-1.3,10078055,1
15/09/2021,288.60,289.50,283.10,285.70,-1.24,6670944,1
14/09/2021,290.10,293.40,289.30,289.30,-0.475,5548056,1
13/09/2021,295.10,296.30,290.30,290.68,-1.2,485296,1
10/09/2021,298.30,298.30,292.80,294.20,-0.909,6357095,1
09/09/2021,298.10,299.10,293.60,296.90,-1.49,7599853,1
08/09/2021,298.00,301.40,296.60,301.40,0.0332,4454302,1
07/09/2021,302.90,303.50,298.40,301.30,-0.725,6721282,1
06/09/2021,303.60,306.40,303.00,303.50,-0.0987,4279453,1
