Date,Open,High,Low,Close,Change%,Volume,Adjustment
10/06/2022,1028.0,1032.0,1009.5,1013.5,-2.41,3732655,1
09/06/2022,1063.0,1063.0,1033.5,1038.5,-2.81,3843196,1
08/06/2022,1095.0,1095.5,1068.5,1068.5,-2.02,3136564,1
07/06/2022,1111.5,1116.5,1089.0,1090.5,-1.36,2933322,1
06/06/2022,1096.5,1106.5,1084.0,1105.5,1.98,2285685,1
01/06/2022,1117.5,1117.5,1082.0,1084.0,-2.17,2635109,1
31/05/2022,1123.5,1125.0,1093.5,1108.0,-1.86,7496422,1
30/05/2022,1128.0,1135.5,1123.5,1129.0,0.939,1504534,1
27/05/2022,1106.0,1124.5,1100.0,1118.5,0.539,1680637,1
26/05/2022,1103.5,1118.5,1103.0,1112.5,0.816,2398546,1
25/05/2022,1125.5,1130.0,1096.0,1103.5,-0.496,1993737,1
24/05/2022,1108.0,1128.0,1100.0,1109.0,0.362,3241309,1
23/05/2022,1128.8,1129.3,1097.8,1105.0,-1.03,3637743,1
20/05/2022,1094.5,1124.0,1094.0,1116.5,2.53,2877614,1
19/05/2022,1089.0,1094.5,1065.5,1089.0,-1.27,2728552,1
18/05/2022,1120.5,1126.5,1097.0,1103.0,-0.898,5416621,1
17/05/2022,1121.0,1126.5,1111.0,1113.0,-0.536,2534619,1
16/05/2022,1111.0,1122.5,1105.0,1119.0,0.584,2456461,1
13/05/2022,1076.0,1112.5,1070.5,1112.5,3.01,2654760,1
12/05/2022,1087.0,1096.5,1049.5,1080.0,-2.79,3745226,1
11/05/2022,1104.0,1119.0,1079.0,1111.0,1.46,4964172,1
10/05/2022,1075.5,1115.5,1061.5,1095.0,2.05,4604589,1
09/05/2022,1098.0,1105.0,1062.5,1073.0,-3.25,4104297,1
06/05/2022,1177.0,1188.5,1101.5,1109.0,-6.61,5083188,1
05/05/2022,1179.0,1208.5,1166.5,1187.5,2.15,4556854,1
04/05/2022,1199.5,1199.5,1147.0,1162.5,-3.45,6770025,1
03/05/2022,1319.0,1322.0,1194.5,1204.0,-10.3,7325302,1
29/04/2022,1357.5,1374.0,1342.5,1342.5,-1.36,4753108,1
28/04/2022,1362.0,1371.0,1355.0,1361.0,0.295,1737267,1
27/04/2022,1360.0,1368.0,1340.0,1357.0,-0.294,2855197,1
26/04/2022,1369.0,1387.0,1361.0,1361.0,-0.11,3814819,1
25/04/2022,1367.5,1369.5,1347.0,1362.5,-0.945,1677227,1
22/04/2022,1367.0,1387.5,1362.0,1375.5,-0.109,2266807,1
21/04/2022,1394.0,1400.5,1362.0,1377.0,0.842,2139290,1
20/04/2022,1355.5,1370.5,1349.5,1365.5,0.775,6920377,1
19/04/2022,1356.0,1365.5,1350.5,1355.0,-0.258,2251526,1
14/04/2022,1343.5,1359.5,1332.0,1358.5,1.38,3334219,1
13/04/2022,1335.0,1340.5,1323.0,1340.0,-0.149,1233384,1
12/04/2022,1362.0,1366.5,1338.0,1342.0,-1.83,2808561,1
11/04/2022,1369.0,1374.5,1355.0,1367.0,-0.618,1962791,1
08/04/2022,1399.5,1408.0,1362.0,1375.5,-0.972,2038258,1
07/04/2022,1382.0,1401.0,1366.5,1389.0,0.762,4734442,1
06/04/2022,1363.0,1381.0,1362.0,1378.5,0.145,3279917,1
05/04/2022,1341.0,1376.5,1335.0,1376.5,2.34,5223709,1
04/04/2022,1353.5,1364.0,1345.0,1345.0,-0.444,2227567,1
01/04/2022,1347.0,1362.5,1341.0,1351.0,0.409,1324284,1
31/03/2022,1368.5,1368.5,1345.5,1345.5,-1.1,2579952,1
30/03/2022,1362.5,1364.5,1343.0,1360.5,-0.293,1718879,1
29/03/2022,1344.0,1373.0,1342.0,1364.5,2.4,1993586,1
28/03/2022,1316.0,1336.5,1315.0,1332.5,1.14,3436435,1
25/03/2022,1288.5,1327.5,1286.5,1317.5,2.05,13052474,1
24/03/2022,1296.5,1305.0,1283.5,1291.0,-0.616,2799267,1
23/03/2022,1335.0,1337.5,1296.5,1299.0,-2.4,3156955,1
22/03/2022,1315.5,1333.5,1308.5,1331.0,1.56,3807286,1
21/03/2022,1331.0,1331.5,1310.5,1310.5,-2.6,10330232,1
18/03/2022,1329.0,1345.5,1306.5,1345.5,1.51,7047924,1
17/03/2022,1307.0,1325.5,1299.0,1325.5,1.03,6133991,1
16/03/2022,1316.5,1331.0,1305.0,1312.0,0.923,2607727,1
15/03/2022,1293.5,1307.0,1288.0,1300.0,-0.345,4019714,1
14/03/2022,1297.5,1315.5,1290.0,1304.5,1.05,1268916,1
11/03/2022,1276.5,1306.0,1269.5,1291.0,1.14,3318519,1
10/03/2022,1288.5,1298.5,1260.5,1276.5,-0.429,1867037,1
09/03/2022,1255.0,1282.0,1248.0,1282.0,4.14,1653515,1
