Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,71.000,71.000,71.000,71.000,0,8070,1
28/10/2021,71.000,71.000,71.000,71.000,0,15969,1
27/10/2021,72.500,72.500,71.000,71.000,-2.07,130640,1
26/10/2021,75.000,75.000,72.500,72.500,-3.33,85013,1
25/10/2021,75.000,75.000,75.000,75.000,0,2686,1
22/10/2021,76.000,76.000,75.000,75.000,-1.32,33208,1
21/10/2021,76.000,76.000,76.000,76.000,0,6175,1
20/10/2021,76.000,76.000,76.000,76.000,0,,1
19/10/2021,76.000,76.000,76.000,76.000,0,24253,1
18/10/2021,76.000,76.000,76.000,76.000,0,7013,1
15/10/2021,76.000,76.000,76.000,76.000,1.33,23034,1
14/10/2021,76.000,76.000,75.000,75.000,-1.32,36387,1
13/10/2021,75.500,76.000,75.500,76.000,0.662,361182,1
12/10/2021,76.000,76.000,75.500,75.500,0.667,39988,1
11/10/2021,76.000,76.000,75.000,75.000,-1.32,33492,1
08/10/2021,76.000,76.000,76.000,76.000,0,104179,1
07/10/2021,77.000,77.000,76.000,76.000,0,52164,1
06/10/2021,77.000,77.000,76.000,76.000,0,64867,1
05/10/2021,77.000,77.000,76.000,76.000,-1.3,140913,1
04/10/2021,77.000,77.000,77.000,77.000,0,17207,1
01/10/2021,77.500,77.500,77.000,77.000,-0.645,16592,1
30/09/2021,77.500,77.500,77.500,77.500,-1.9,521444,1
29/09/2021,79.000,79.000,77.500,79.000,1.28,153277,1
28/09/2021,76.000,78.000,76.000,78.000,2.63,54313,1
27/09/2021,76.000,76.000,76.000,76.000,0,186208,1
24/09/2021,76.000,76.000,76.000,76.000,0,167908,1
23/09/2021,76.000,76.000,76.000,76.000,0,79706,1
22/09/2021,76.000,76.000,76.000,76.000,0,45838,1
21/09/2021,76.000,76.000,76.000,76.000,0,36012,1
20/09/2021,78.500,78.500,76.000,76.000,-3.18,165484,1
17/09/2021,80.000,80.000,78.500,78.500,-0.633,42275,1
16/09/2021,79.000,79.000,79.000,79.000,0,55475,1
15/09/2021,81.000,81.000,79.000,79.000,1.94,233647,1
14/09/2021,76.000,77.500,76.000,77.500,1.97,50464,1
13/09/2021,74.600,76.000,74.600,76.000,2.01,192,1
10/09/2021,75.000,75.000,74.500,74.500,0,25584,1
09/09/2021,74.500,74.500,74.500,74.500,0,11534,1
08/09/2021,73.500,74.500,73.500,74.500,1.36,20567,1
07/09/2021,74.000,74.000,73.500,73.500,-0.676,11017,1
06/09/2021,74.500,74.500,74.000,74.000,-0.671,35248,1
03/09/2021,73.500,74.500,73.500,74.500,1.36,206713,1
02/09/2021,73.500,73.500,73.500,73.500,0,39061,1
01/09/2021,73.500,73.500,73.500,73.500,0,12031,1
31/08/2021,73.500,73.500,73.500,73.500,0,8952,1
27/08/2021,73.500,73.500,73.500,73.500,0,24237,1
26/08/2021,73.500,73.500,73.500,73.500,0,4714,1
25/08/2021,73.500,73.500,73.500,73.500,0,3889,1
24/08/2021,74.000,74.000,73.500,73.500,0.685,62688,1
23/08/2021,76.000,76.000,73.000,73.000,-3.95,41086,1
20/08/2021,76.000,76.000,76.000,76.000,0,25032,1
19/08/2021,76.000,76.000,76.000,76.000,0,33097,1
18/08/2021,76.500,76.500,76.000,76.000,-0.524,6934,1
17/08/2021,76.500,76.500,76.400,76.400,-0.131,39539,1
16/08/2021,77.000,77.000,76.500,76.500,-0.649,44190,1
13/08/2021,77.000,77.000,77.000,77.000,0,25235,1
12/08/2021,77.000,77.000,77.000,77.000,0,6765,1
11/08/2021,78.000,78.000,77.000,77.000,0,19175,1
10/08/2021,79.000,79.000,77.000,77.000,-2.53,51416,1
09/08/2021,79.000,79.000,79.000,79.000,-2.47,34459,1
06/08/2021,79.000,81.000,79.000,81.000,2.53,38672,1
05/08/2021,75.000,79.000,75.000,79.000,5.33,121255,1
04/08/2021,74.000,75.000,74.000,75.000,1.35,14934,1
03/08/2021,74.000,74.000,74.000,74.000,0,10952,1
02/08/2021,74.000,74.000,74.000,74.000,0.68,279109,1
30/07/2021,73.500,73.500,73.500,73.500,0,65346,1
29/07/2021,73.500,73.500,73.500,73.500,0,20665,1
28/07/2021,73.500,73.500,73.500,73.500,0,68684,1
27/07/2021,73.500,73.500,73.500,73.500,0,11354,1
26/07/2021,73.000,73.500,73.000,73.500,0.685,39123,1
23/07/2021,72.500,73.000,72.500,73.000,0.69,125353,1
22/07/2021,72.500,72.500,72.500,72.500,0,15630,1
21/07/2021,72.500,72.500,72.500,72.500,0,281759,1
20/07/2021,73.000,73.000,72.500,72.500,-0.685,128422,1
19/07/2021,74.000,74.000,73.000,73.000,-1.35,22452,1
16/07/2021,74.500,74.500,74.000,74.000,-0.671,110856,1
15/07/2021,75.000,75.000,74.500,74.500,-0.667,93431,1
14/07/2021,74.000,75.000,74.000,75.000,1.35,286994,1
13/07/2021,73.000,74.000,72.500,74.000,1.37,66938,1
12/07/2021,73.500,73.500,73.000,73.000,-0.68,9058,1
09/07/2021,74.000,74.000,73.500,73.500,0.685,5796,1
08/07/2021,75.000,75.000,73.000,73.000,-2.67,85477,1
07/07/2021,75.000,75.000,75.000,75.000,-1.32,33560,1
06/07/2021,78.500,78.500,75.000,76.000,-3.18,406908,1
05/07/2021,78.500,78.500,78.500,78.500,0.641,18802,1
02/07/2021,78.500,78.500,78.000,78.000,-0.637,43107,1
01/07/2021,78.500,78.500,78.500,78.500,0,1101,1
30/06/2021,78.500,78.500,78.500,78.500,0,168094,1
29/06/2021,79.000,79.000,78.500,78.500,-1.88,40649,1
28/06/2021,79.000,80.000,79.000,80.000,1.27,21527,1
25/06/2021,80.000,80.000,79.000,79.000,-1.25,99383,1
24/06/2021,81.000,81.000,80.000,80.000,-1.23,52490,1
23/06/2021,81.000,81.000,81.000,81.000,0,43226,1
22/06/2021,81.000,81.000,81.000,81.000,0,41092,1
21/06/2021,81.000,81.000,81.000,81.000,0,169663,1
18/06/2021,81.000,81.000,81.000,81.000,0,158510,1
17/06/2021,81.000,81.000,81.000,81.000,0,194615,1
16/06/2021,81.000,81.000,81.000,81.000,0,309249,1
15/06/2021,81.000,81.000,81.000,81.000,0,24175,1
14/06/2021,81.500,81.500,81.000,81.000,-0.613,121186,1
11/06/2021,81.500,81.500,81.500,81.500,0,19274,1
10/06/2021,83.000,83.000,81.500,81.500,-2.98,106499,1
09/06/2021,80.500,84.000,80.500,84.000,4.35,116797,1
08/06/2021,79.500,80.500,79.500,80.500,0.625,1349019,1
07/06/2021,79.000,80.000,79.000,80.000,1.27,475398,1
04/06/2021,79.000,79.000,79.000,79.000,0,20442,1
03/06/2021,79.000,79.000,79.000,79.000,0,21847,1
02/06/2021,79.000,79.000,79.000,79.000,-0.629,828587,1
01/06/2021,79.000,79.500,79.000,79.500,0.633,119777,1
28/05/2021,79.000,79.000,79.000,79.000,0,193947,1
27/05/2021,78.500,79.000,78.500,79.000,0.637,36286,1
26/05/2021,78.500,79.000,78.500,78.500,-1.88,256222,1
25/05/2021,76.500,80.000,76.500,80.000,4.58,217562,1
24/05/2021,75.000,76.500,75.000,76.500,2,1201767,1
21/05/2021,75.000,75.000,75.000,75.000,-2.6,65255,1
20/05/2021,74.500,77.000,74.500,77.000,1.32,147424,1
19/05/2021,73.000,76.000,73.000,76.000,4.11,990250,1
18/05/2021,71.500,73.500,71.500,73.000,2.1,1054963,1
17/05/2021,71.500,71.500,71.500,71.500,0,373499,1
14/05/2021,71.500,71.500,71.500,71.500,0,60309,1
13/05/2021,72.000,72.000,71.500,71.500,-0.694,111948,1
12/05/2021,72.000,72.000,72.000,72.000,0,20074,1
11/05/2021,72.000,72.000,72.000,72.000,-1.37,356334,1
10/05/2021,70.500,73.000,70.000,73.000,6.57,1031915,1
07/05/2021,67.500,68.500,67.500,68.500,1.48,50470,1
06/05/2021,67.500,67.500,67.500,67.500,0,55120,1
05/05/2021,67.000,67.500,67.000,67.500,0.746,7492,1
04/05/2021,66.500,67.000,66.500,67.000,0.752,195664,1
30/04/2021,65.500,66.500,64.500,66.500,-0.746,670616,1
29/04/2021,63.000,67.000,63.000,67.000,6.35,146555,1
28/04/2021,62.000,63.000,62.000,63.000,1.61,87653,1
27/04/2021,62.000,62.000,62.000,62.000,0,108045,1
26/04/2021,62.000,62.000,62.000,62.000,0,47431,1
23/04/2021,62.000,62.000,62.000,62.000,0,21958,1
22/04/2021,62.000,62.000,62.000,62.000,0,132808,1
21/04/2021,62.000,62.000,62.000,62.000,0,316191,1
20/04/2021,62.000,62.000,62.000,62.000,0,165090,1
19/04/2021,61.000,62.000,61.000,62.000,0,199565,1
16/04/2021,61.500,62.000,61.000,62.000,0.813,537999,1
15/04/2021,62.500,63.000,61.500,61.500,-2.38,108746,1
14/04/2021,61.000,63.000,61.000,63.000,3.28,921081,1
13/04/2021,61.000,61.000,61.000,61.000,0,770445,1
12/04/2021,61.000,61.000,61.000,61.000,1.67,89882,1
09/04/2021,61.000,61.000,60.000,60.000,-1.64,34099,1
08/04/2021,61.000,61.000,61.000,61.000,-0.651,10044,1
07/04/2021,61.000,61.400,61.000,61.400,0.656,53208,1
06/04/2021,61.500,61.500,61.000,61.000,-0.813,1015286,1
01/04/2021,61.500,61.500,61.500,61.500,0,14245,1
31/03/2021,62.500,62.500,60.500,61.500,0.82,171220,1
30/03/2021,61.000,62.500,61.000,61.000,-1.61,748527,1
29/03/2021,60.500,62.000,60.500,62.000,2.48,159629,1
26/03/2021,60.500,60.500,60.500,60.500,0,132471,1
25/03/2021,59.500,60.500,59.500,60.500,1.68,2138792,1
24/03/2021,58.500,59.500,58.500,59.500,1.71,1425594,1
23/03/2021,59.500,59.500,58.500,58.500,-4.1,93826,1
