Date,Open,High,Low,Close,Change%,Volume,Adjustment
22/06/2022,2882.0,2882.0,2791.0,2802.0,-2.3,721069,1
21/06/2022,2857.0,2911.0,2847.0,2868.0,0.385,535656,1
20/06/2022,2801.0,2857.0,2800.0,2857.0,1.64,236271,1
17/06/2022,2824.0,2841.0,2775.0,2811.0,0.143,1219814,1
16/06/2022,2904.0,2929.0,2801.0,2807.0,-4.2,807409,1
15/06/2022,2894.0,2959.0,2875.0,2930.0,4.31,1119355,1
14/06/2022,2900.0,2902.0,2777.0,2809.0,-2.06,699567,1
13/06/2022,2919.0,2931.0,2839.0,2868.0,-3.01,609875,1
10/06/2022,3033.0,3074.0,2955.0,2957.0,-3.27,372645,1
09/06/2022,3120.0,3130.0,3057.0,3057.0,-2.89,700100,1
08/06/2022,3242.0,3242.0,3125.0,3148.0,-1.99,334808,1
07/06/2022,3232.0,3252.0,3180.0,3212.0,-0.772,243369,1
06/06/2022,3218.0,3281.0,3215.0,3237.0,1.82,241841,1
01/06/2022,3222.0,3246.0,3161.0,3179.0,-1.12,848486,1
31/05/2022,3273.0,3281.0,3198.0,3215.0,-2.31,1357372,1
30/05/2022,3300.0,3317.0,3261.0,3291.0,1.26,217946,1
27/05/2022,3188.0,3271.0,3188.0,3250.0,1.72,383994,1
26/05/2022,3118.0,3199.0,3098.0,3195.0,2.4,449918,1
25/05/2022,3160.0,3160.0,3081.0,3120.0,0.938,610130,1
24/05/2022,3079.0,3149.0,3067.0,3091.0,-0.129,834881,1
23/05/2022,3143.5,3150.5,3019.5,3095.0,-0.0323,635968,1
20/05/2022,3058.0,3159.0,3058.0,3096.0,1.84,280682,1
19/05/2022,3087.0,3099.0,2958.0,3040.0,-2.41,446986,1
18/05/2022,3209.0,3231.0,3102.0,3115.0,-3.41,453401,1
17/05/2022,3173.0,3286.0,3162.0,3225.0,2.09,430901,1
16/05/2022,3188.0,3196.0,3106.0,3159.0,-1.4,441821,1
13/05/2022,3158.0,3215.0,3105.0,3204.0,2.53,377065,1
12/05/2022,3190.0,3202.0,3080.0,3125.0,-3.13,490807,1
11/05/2022,3285.0,3303.0,3172.0,3226.0,-1.89,642412,1
10/05/2022,3284.0,3339.0,3267.0,3288.0,2.02,741944,1
09/05/2022,3319.0,3349.0,3188.0,3223.0,-3.24,433713,1
06/05/2022,3388.0,3399.0,3324.0,3331.0,-2.03,917216,1
05/05/2022,3503.0,3529.0,3386.0,3400.0,-0.118,368843,1
04/05/2022,3428.0,3450.0,3379.0,3404.0,-0.468,384668,1
03/05/2022,3382.0,3475.0,3382.0,3420.0,0.205,1629260,1
29/04/2022,3368.0,3443.0,3350.0,3413.0,4.34,739793,1
28/04/2022,3310.0,3324.0,3250.0,3271.0,-0.366,445103,1
27/04/2022,3250.0,3292.0,3189.0,3283.0,1.74,424803,1
26/04/2022,3350.0,3365.0,3221.0,3227.0,-2.24,917374,1
25/04/2022,3282.0,3332.0,3261.0,3301.0,-0.602,477112,1
22/04/2022,3310.0,3379.0,3301.0,3321.0,-0.717,358793,1
21/04/2022,3284.0,3372.0,3263.0,3345.0,1.83,494624,1
20/04/2022,3213.0,3305.0,3194.0,3285.0,2.53,595148,1
19/04/2022,3141.0,3205.0,3091.0,3204.0,2.01,618109,1
14/04/2022,3127.0,3172.0,3073.0,3141.0,1.95,507909,1
13/04/2022,3052.0,3102.0,3051.0,3081.0,-0.324,354274,1
12/04/2022,3089.0,3130.0,3065.0,3091.0,-1.25,274240,1
11/04/2022,3054.0,3170.0,3054.0,3130.0,1.95,330968,1
08/04/2022,3070.0,3094.0,3041.0,3070.0,0.524,407076,1
07/04/2022,3072.0,3091.0,3005.0,3054.0,-2.43,721553,1
06/04/2022,3342.0,3347.0,3101.0,3130.0,-6.03,957131,1
05/04/2022,3346.0,3416.0,3306.0,3331.0,-1.83,691892,1
04/04/2022,3434.0,3434.0,3361.0,3393.0,-0.469,425527,1
01/04/2022,3427.0,3436.0,3379.0,3409.0,-0.117,396272,1
31/03/2022,3453.0,3506.0,3388.0,3413.0,-1.16,419538,1
30/03/2022,3563.0,3580.0,3422.0,3453.0,-3.22,431965,1
29/03/2022,3430.0,3569.0,3421.0,3568.0,5.28,795698,1
28/03/2022,3391.0,3429.0,3347.0,3389.0,0,379732,1
25/03/2022,3398.0,3414.0,3359.0,3389.0,0.415,564245,1
24/03/2022,3402.0,3441.0,3334.0,3375.0,-1.98,669814,1
23/03/2022,3573.0,3579.0,3423.0,3443.0,-2.46,616349,1
22/03/2022,3500.0,3544.0,3480.0,3530.0,0.886,787435,1
21/03/2022,3527.0,3569.0,3473.0,3499.0,-2.15,425158,1
18/03/2022,3562.0,3577.0,3430.0,3576.0,1.07,1353257,1
17/03/2022,3441.0,3548.0,3423.0,3538.0,3.88,951071,1
16/03/2022,3324.0,3413.0,3322.0,3406.0,4.57,781592,1
15/03/2022,3281.0,3322.0,3232.0,3257.0,-1.66,747612,1
14/03/2022,3178.0,3320.0,3160.0,3312.0,5.41,214949,1
11/03/2022,3161.0,3257.0,3099.0,3142.0,-0.538,568709,1
10/03/2022,3180.0,3198.0,3103.0,3159.0,-0.91,705951,1
09/03/2022,2988.0,3188.0,2971.0,3188.0,9.18,939068,1
08/03/2022,2823.0,2993.0,2774.0,2920.0,-1.12,817576,1
07/03/2022,2870.0,3055.0,2771.0,2953.0,-3.02,1027345,1
04/03/2022,3263.0,3267.0,2998.0,3045.0,-8.03,1062520,1
03/03/2022,3441.0,3442.0,3303.0,3311.0,-4.14,576379,1
02/03/2022,3480.0,3499.0,3381.0,3454.0,-1.26,1047870,1
01/03/2022,3684.0,3705.0,3498.0,3498.0,-5.61,575779,1
28/02/2022,3768.0,3790.0,3679.0,3706.0,-3.96,795873,1
25/02/2022,3735.0,3859.0,3676.0,3859.0,5.38,582453,1
24/02/2022,3825.0,3826.0,3644.0,3662.0,-7.06,970312,1
23/02/2022,3972.0,3993.0,3910.0,3940.0,0.203,300901,1
22/02/2022,3887.0,3994.0,3877.0,3932.0,-0.982,242355,1
21/02/2022,4100.0,4113.0,3949.0,3971.0,-2.38,168500,1
18/02/2022,4026.0,4077.0,4007.0,4068.0,1.07,440340,1
17/02/2022,4002.0,4064.0,3996.0,4025.0,0.0248,337396,1
16/02/2022,4016.0,4088.0,4012.0,4024.0,-0.396,252377,1
15/02/2022,3964.0,4044.0,3919.0,4040.0,2.75,313164,1
14/02/2022,3996.0,3996.0,3907.0,3932.0,-3.46,351813,1
11/02/2022,4114.0,4149.0,4073.0,4073.0,-1.86,372307,1
10/02/2022,4112.0,4150.0,4037.0,4150.0,2.93,499364,1
09/02/2022,4035.0,4080.0,4013.0,4032.0,1.95,571701,1
