Date,Open,High,Low,Close,Change%,Volume,Adjustment
04/10/2021,842.00,879.00,826.00,875.00,4.92,1047120,1
01/10/2021,828.00,848.00,820.00,834.00,-0.239,189442,1
30/09/2021,833.00,842.00,820.00,836.00,0.723,205736,1
29/09/2021,830.00,856.00,830.00,830.00,-2.01,247381,1
28/09/2021,879.00,879.00,845.00,847.00,-2.31,210090,1
27/09/2021,876.00,893.00,853.00,867.00,-2.69,180335,1
24/09/2021,893.00,896.00,877.00,891.00,-0.447,123036,1
23/09/2021,906.00,907.00,891.00,895.00,-1.1,72065,1
22/09/2021,900.00,926.00,900.00,905.00,-0.44,298350,1
21/09/2021,883.00,920.00,883.00,909.00,0.331,211599,1
20/09/2021,920.00,920.00,882.00,906.00,1.68,166177,1
17/09/2021,892.00,910.00,891.00,891.00,-1,259757,1
16/09/2021,878.00,902.00,878.00,900.00,0.111,183842,1
15/09/2021,884.00,914.00,875.00,899.00,1.7,291922,1
14/09/2021,930.00,945.00,861.00,884.00,-13.7,1760143,1
13/09/2021,1032.0,1032.0,1014.0,1024.0,-0.583,2800,1
10/09/2021,1030.0,1038.0,1002.0,1030.0,1.58,85236,1
09/09/2021,986.00,1020.0,982.00,1014.0,1.91,69909,1
08/09/2021,987.00,995.00,977.00,995.00,0.607,40780,1
07/09/2021,965.00,993.00,965.00,989.00,1.23,77418,1
06/09/2021,998.00,998.00,972.00,977.00,-0.408,61711,1
03/09/2021,973.00,989.00,973.00,981.00,0.926,100476,1
02/09/2021,985.00,987.00,960.00,972.00,0.103,77898,1
01/09/2021,969.00,980.00,961.00,971.00,0.622,77094,1
31/08/2021,970.00,970.00,942.00,965.00,1.37,191122,1
27/08/2021,952.00,970.00,947.00,952.00,-1.45,72911,1
26/08/2021,923.00,966.00,923.00,966.00,4.43,111994,1
25/08/2021,939.00,946.00,925.00,925.00,-1.18,251877,1
24/08/2021,950.00,956.00,932.00,936.00,-1.47,84367,1
23/08/2021,920.00,950.00,920.00,950.00,1.5,88239,1
20/08/2021,931.00,936.00,924.00,936.00,0.862,131169,1
19/08/2021,925.00,933.00,916.00,928.00,0.324,60952,1
18/08/2021,911.00,945.00,911.00,925.00,0.543,107138,1
17/08/2021,939.00,939.00,917.00,920.00,-1.6,65305,1
16/08/2021,926.00,940.00,910.00,935.00,1.96,53958,1
13/08/2021,945.00,945.00,917.00,917.00,-1.29,93698,1
12/08/2021,924.00,940.00,919.00,929.00,1.31,119551,1
11/08/2021,919.00,924.00,907.00,917.00,1.89,218717,1
10/08/2021,864.00,919.00,864.00,900.00,-0.222,96625,1
09/08/2021,920.00,920.00,889.00,902.00,0.222,138040,1
06/08/2021,915.00,915.00,892.00,900.00,-1.53,61063,1
05/08/2021,907.00,915.00,898.00,914.00,1.78,297365,1
04/08/2021,919.00,919.00,891.00,898.00,-0.222,69419,1
03/08/2021,868.00,907.00,868.00,900.00,-0.332,62476,1
02/08/2021,909.00,916.00,893.00,903.00,0,78145,1
30/07/2021,896.00,908.00,890.00,903.00,0.333,147235,1
29/07/2021,906.00,908.00,896.00,900.00,-0.442,204308,1
28/07/2021,891.00,915.00,890.00,904.00,1.57,543243,1
27/07/2021,873.00,900.00,868.00,890.00,1.95,382644,1
26/07/2021,870.00,878.00,859.00,873.00,0.808,177997,1
23/07/2021,869.00,870.00,849.00,866.00,0.932,93259,1
22/07/2021,835.00,861.00,834.00,858.00,-0.233,135171,1
21/07/2021,825.00,860.00,825.00,860.00,2.87,99021,1
20/07/2021,827.00,846.00,826.00,836.00,-0.119,73473,1
19/07/2021,841.00,863.00,830.00,837.00,-2.79,136959,1
16/07/2021,841.00,876.00,841.00,861.00,0.233,67637,1
15/07/2021,869.00,870.00,859.00,859.00,-2.05,62761,1
14/07/2021,844.00,882.00,844.00,877.00,-0.792,113612,1
13/07/2021,903.00,903.00,879.00,884.00,-0.113,213564,1
12/07/2021,901.00,902.00,865.00,885.00,0.568,332707,1
09/07/2021,899.00,900.00,863.00,880.00,0,103022,1
08/07/2021,899.00,899.00,874.00,880.00,0.342,106888,1
07/07/2021,890.00,890.00,856.00,877.00,0.114,160240,1
06/07/2021,871.00,890.00,862.00,876.00,0.574,88373,1
05/07/2021,865.00,879.00,864.00,871.00,0.346,84332,1
02/07/2021,878.00,878.00,860.00,868.00,0.696,38048,1
01/07/2021,870.00,874.00,854.00,862.00,-0.806,139234,1
30/06/2021,880.00,880.00,858.00,869.00,-0.686,91376,1
29/06/2021,861.00,881.00,861.00,875.00,-0.342,170720,1
28/06/2021,884.00,895.00,868.00,878.00,-0.114,86074,1
25/06/2021,890.00,890.00,855.00,879.00,0.572,208894,1
24/06/2021,870.00,885.00,866.00,874.00,1.04,70351,1
23/06/2021,856.00,888.00,856.00,865.00,-0.231,103288,1
22/06/2021,856.00,868.00,847.00,867.00,2,87766,1
21/06/2021,890.00,890.00,845.00,850.00,-1.62,88797,1
18/06/2021,899.00,900.00,864.00,864.00,-2.59,452490,1
17/06/2021,855.00,889.00,855.00,887.00,0.226,55454,1
16/06/2021,883.00,888.00,875.00,885.00,0.454,62314,1
15/06/2021,855.00,891.00,855.00,881.00,-0.9,93521,1
14/06/2021,862.00,894.00,862.00,889.00,1.6,54119,1
11/06/2021,856.00,883.00,856.00,875.00,0.459,55637,1
10/06/2021,855.00,892.00,855.00,871.00,-1.69,75418,1
09/06/2021,855.00,902.00,855.00,886.00,-1.66,123080,1
08/06/2021,864.00,904.00,864.00,901.00,-0.442,321415,1
07/06/2021,900.00,912.00,898.00,905.00,0.556,366217,1
04/06/2021,888.00,910.00,888.00,900.00,1.12,192932,1
03/06/2021,878.00,895.00,875.00,890.00,1.14,96336,1
02/06/2021,883.00,885.00,870.00,880.00,-0.34,274918,1
01/06/2021,865.00,892.00,842.00,883.00,2.79,187434,1
28/05/2021,835.00,865.00,835.00,859.00,2.51,105887,1
27/05/2021,843.00,847.00,826.00,838.00,-0.357,633140,1
26/05/2021,860.00,860.00,835.00,841.00,-0.708,113060,1
25/05/2021,872.00,872.00,842.00,847.00,0,67635,1
24/05/2021,850.00,862.00,833.00,847.00,0.118,107069,1
21/05/2021,841.00,856.00,837.00,846.00,0.356,102033,1
20/05/2021,835.00,844.00,818.00,843.00,2.18,149171,1
19/05/2021,826.00,833.00,811.00,825.00,0.733,973150,1
18/05/2021,807.00,821.00,806.00,819.00,0.862,468095,1
17/05/2021,803.00,819.00,803.00,812.00,1.25,106575,1
14/05/2021,813.00,819.00,796.00,802.00,0,403644,1
13/05/2021,810.00,810.00,789.00,802.00,0.375,58681,1
12/05/2021,803.00,809.00,791.00,799.00,-0.745,217016,1
11/05/2021,804.00,810.00,799.00,805.00,-1.11,122159,1
10/05/2021,840.00,840.00,793.00,814.00,-0.61,118526,1
07/05/2021,810.00,826.00,805.00,819.00,0.368,72674,1
06/05/2021,810.00,829.00,807.00,816.00,0.493,205161,1
05/05/2021,800.00,816.00,783.00,812.00,0.495,66012,1
04/05/2021,814.00,818.00,803.00,808.00,-0.493,61465,1
30/04/2021,829.00,829.00,810.00,812.00,-1.69,233109,1
29/04/2021,827.00,827.00,819.00,826.00,0.121,1387236,1
28/04/2021,800.00,834.00,800.00,825.00,-0.602,114336,1
27/04/2021,832.00,836.00,813.00,830.00,0.121,282963,1
26/04/2021,840.00,840.00,826.00,829.00,0,59165,1
23/04/2021,839.00,839.00,816.00,829.00,0,110123,1
22/04/2021,829.00,830.00,821.00,829.00,0.607,179327,1
21/04/2021,805.00,825.00,804.00,824.00,1.48,175225,1
20/04/2021,818.00,823.00,809.00,812.00,-1.46,448539,1
19/04/2021,815.00,835.00,815.00,824.00,-0.121,385383,1
16/04/2021,837.00,837.00,811.00,825.00,-0.602,121104,1
15/04/2021,840.00,840.00,826.00,830.00,0,75718,1
14/04/2021,840.00,840.00,820.00,830.00,-0.599,102302,1
13/04/2021,865.00,865.00,828.00,835.00,0.602,160427,1
12/04/2021,834.00,834.00,812.00,830.00,0,244822,1
09/04/2021,869.00,869.00,827.00,830.00,-1.54,226042,1
08/04/2021,851.00,857.00,834.00,843.00,-0.118,412964,1
07/04/2021,823.00,844.00,823.00,844.00,0.357,670134,1
06/04/2021,850.00,850.00,818.00,841.00,2.44,69029,1
01/04/2021,810.00,831.00,810.00,821.00,-1.08,66907,1
31/03/2021,824.00,844.00,805.00,830.00,2.09,202172,1
30/03/2021,825.00,825.00,796.00,813.00,1.25,74419,1
29/03/2021,799.00,818.00,797.00,803.00,-0.248,127810,1
26/03/2021,793.00,809.00,783.00,805.00,2.03,316487,1
