Date,Open,High,Low,Close,Change%,Volume,Adjustment
27/05/2022,623.00,629.20,620.80,627.00,0.513,8374184,1
26/05/2022,616.00,626.40,612.00,623.80,1,6085750,1
25/05/2022,619.20,622.20,609.40,617.60,0.325,8611243,1
24/05/2022,593.00,621.20,592.60,615.60,2.26,7875565,1
23/05/2022,594.80,602.00,588.40,602.00,2.63,5753674,1
20/05/2022,592.00,592.20,582.00,586.60,-0.677,10993534,1
19/05/2022,592.00,595.20,582.60,590.60,-0.973,12176818,1
18/05/2022,592.00,598.60,587.80,596.40,0.777,8100540,1
17/05/2022,590.60,599.60,586.80,591.80,0.715,9305411,1
16/05/2022,575.00,588.40,572.80,587.60,1.07,8634587,1
13/05/2022,571.40,585.20,571.20,581.40,2.9,11643829,1
12/05/2022,552.40,566.00,551.80,565.00,-1.12,18179704,1
11/05/2022,556.40,576.00,553.60,571.40,3.07,11662934,1
10/05/2022,559.00,567.40,554.40,554.40,1.35,10062276,1
09/05/2022,560.00,560.00,544.20,547.00,-2.32,7263425,1
06/05/2022,566.60,568.60,559.40,560.00,-0.885,13054150,1
05/05/2022,579.60,584.00,565.00,565.00,-0.668,15393285,1
04/05/2022,570.40,575.60,565.80,568.80,0.495,6010073,1
03/05/2022,548.60,566.00,548.00,566.00,2.57,9086409,1
29/04/2022,544.20,555.40,534.00,551.80,0.767,12340952,1
28/04/2022,527.00,561.60,523.60,547.60,14.2,17710398,1
27/04/2022,485.10,490.10,478.60,479.70,-0.56,9932663,1
26/04/2022,501.00,501.00,482.40,482.40,-3,11939446,1
25/04/2022,502.20,508.20,494.40,497.30,-3.51,11559461,1
22/04/2022,517.80,523.80,513.20,515.40,-1.68,12089337,1
21/04/2022,516.00,527.00,514.20,524.20,1.87,9739253,1
20/04/2022,509.80,520.20,506.60,514.60,1.22,8535831,1
19/04/2022,509.20,516.20,503.20,508.40,0,15558492,1
14/04/2022,499.90,511.20,499.10,508.40,1.19,7959929,1
13/04/2022,501.60,507.20,501.20,502.40,0.199,8114840,1
12/04/2022,509.00,513.80,499.60,501.40,-2.57,11426534,1
11/04/2022,509.00,517.40,507.00,514.60,1.06,7060627,1
08/04/2022,504.20,513.20,503.00,509.20,2.99,7020907,1
07/04/2022,499.40,507.60,494.40,494.40,-0.643,7940556,1
06/04/2022,510.60,510.60,493.80,497.60,-0.4,9026068,1
05/04/2022,500.80,503.40,496.60,499.60,-0.319,7615485,1
04/04/2022,509.60,510.60,496.70,501.20,-1.69,8910629,1
01/04/2022,512.80,517.00,509.80,509.80,-0.0784,5740350,1
31/03/2022,512.80,517.60,508.00,510.20,0.0392,8339148,1
30/03/2022,513.20,514.20,505.20,510.00,-0.624,6867206,1
29/03/2022,509.40,518.60,505.80,513.20,2.23,9858812,1
28/03/2022,508.80,515.80,502.00,502.00,-0.515,7017171,1
25/03/2022,503.00,508.60,496.70,504.60,0.398,3848575,1
24/03/2022,509.00,511.20,500.20,502.60,-1.84,5988607,1
23/03/2022,516.00,518.80,508.60,512.00,-1.39,9473762,1
22/03/2022,511.40,525.20,509.20,519.20,2.61,15132173,1
21/03/2022,503.60,510.80,501.60,506.00,-0.079,7129567,1
18/03/2022,500.00,506.40,492.50,506.40,1.08,14231860,1
17/03/2022,505.20,511.40,496.90,501.00,0.16,9573319,1
16/03/2022,483.00,504.00,480.30,500.20,6.09,9661315,1
15/03/2022,480.20,481.10,465.70,471.50,-3.99,11894678,1
14/03/2022,495.70,496.50,479.10,491.10,0.718,5730349,1
11/03/2022,490.40,501.60,483.40,487.60,-0.408,10223519,1
10/03/2022,493.40,497.10,479.50,489.60,-0.71,8572442,1
09/03/2022,481.40,493.10,471.60,493.10,6.34,10016148,1
08/03/2022,448.70,478.10,444.90,463.70,2.95,11938881,1
07/03/2022,459.60,460.00,431.30,450.40,-4.01,11614911,1
04/03/2022,492.70,495.60,465.60,469.20,-5.78,13834957,1
03/03/2022,523.20,525.40,497.70,498.00,-5.18,12408881,1
02/03/2022,501.00,529.20,500.20,525.20,3.35,14021772,1
01/03/2022,533.00,544.80,508.20,508.20,-4.62,10408572,1
28/02/2022,536.00,545.80,525.60,532.80,-4.79,16738293,1
25/02/2022,525.60,562.00,524.40,559.60,8.7,16112975,1
24/02/2022,540.60,550.40,514.80,514.80,-10.5,18429144,1
23/02/2022,583.00,587.00,573.40,575.00,-0.999,7668639,1
22/02/2022,556.00,584.00,555.20,580.80,1.54,9472167,1
21/02/2022,581.60,590.00,572.00,572.00,-1.24,9428273,1
18/02/2022,554.20,581.80,553.60,579.20,3.8,12668525,1
17/02/2022,528.60,558.00,520.80,558.00,1.71,13508271,1
16/02/2022,555.40,556.00,539.20,548.60,-0.616,7973546,1
15/02/2022,541.80,554.60,536.60,552.00,0.327,5814564,1
14/02/2022,544.40,550.20,531.60,550.20,-1.4,6534086,1
11/02/2022,558.80,562.80,554.80,558.00,-1.41,7615308,1
10/02/2022,560.20,568.80,558.80,566.00,0.533,6437154,1
09/02/2022,572.00,572.00,558.40,563.00,-1.47,9785002,1
08/02/2022,566.80,573.60,565.60,571.40,0.528,5170554,1
07/02/2022,558.40,568.40,553.60,568.40,2.41,10513946,1
04/02/2022,553.60,559.80,547.20,555.00,0.0361,6721285,1
03/02/2022,552.20,564.40,548.20,554.80,0.507,6409393,1
02/02/2022,548.80,553.40,540.20,552.00,1.21,5697286,1
01/02/2022,540.00,545.40,537.60,545.40,1.6,3992927,1
31/01/2022,541.40,542.60,532.00,536.80,0.487,5449989,1
28/01/2022,539.00,540.00,529.20,534.20,-2.2,10772242,1
27/01/2022,521.40,557.40,521.20,546.20,4.24,11640012,1
26/01/2022,519.00,529.80,519.00,524.00,2.3,5795958,1
25/01/2022,497.40,512.20,496.00,512.20,4.98,8332436,1
24/01/2022,509.80,513.60,485.60,487.90,-4.56,7338251,1
21/01/2022,503.80,518.00,503.40,511.20,-0.117,6802573,1
20/01/2022,512.40,519.60,507.20,511.80,-0.467,4903462,1
19/01/2022,513.40,517.60,508.00,514.20,-0.233,5577805,1
18/01/2022,523.80,529.40,514.80,515.40,-2.2,7029780,1
17/01/2022,530.40,535.40,526.20,527.00,0.726,6332125,1
14/01/2022,510.20,524.00,509.80,523.20,2.31,10880771,1
13/01/2022,497.60,511.60,497.30,511.40,2.16,6874087,1
12/01/2022,490.00,500.60,489.50,500.60,1.58,8033901,1
