Date,Open,High,Low,Close,Change%,Volume,Adjustment
04/02/2022,2881.0,2896.0,2824.0,2832.0,-1.39,488667,1
03/02/2022,2936.0,2947.0,2869.0,2872.0,-2.08,389067,1
02/02/2022,2917.0,2942.0,2884.0,2933.0,1.03,483787,1
01/02/2022,2882.0,2941.0,2880.0,2903.0,1.04,449849,1
31/01/2022,2907.0,2913.0,2861.0,2873.0,-0.691,826134,1
28/01/2022,2886.0,2917.0,2881.0,2893.0,-0.721,1273706,1
27/01/2022,2850.0,2914.0,2850.0,2914.0,1.5,448123,1
26/01/2022,2864.0,2885.0,2848.0,2871.0,0.455,370208,1
25/01/2022,2892.0,2894.0,2849.0,2858.0,-0.936,702570,1
24/01/2022,2892.0,2902.0,2864.0,2885.0,-0.38,511636,1
21/01/2022,2912.0,2927.0,2890.0,2896.0,-0.754,453019,1
20/01/2022,2930.0,2944.0,2903.0,2918.0,0.103,397637,1
19/01/2022,2890.0,2915.0,2871.0,2915.0,0.483,483965,1
18/01/2022,2899.0,2912.0,2879.0,2901.0,0.277,411000,1
17/01/2022,2891.0,2917.0,2875.0,2893.0,0.0692,542627,1
14/01/2022,2850.0,2893.0,2831.0,2891.0,1.4,808576,1
13/01/2022,2831.0,2852.0,2809.0,2851.0,0.706,834950,1
12/01/2022,2855.0,2860.0,2807.0,2831.0,-0.667,660445,1
11/01/2022,2868.0,2881.0,2850.0,2850.0,-0.419,472200,1
10/01/2022,2918.0,2918.0,2862.0,2862.0,-1.75,288651,1
07/01/2022,2921.0,2935.0,2898.0,2913.0,-0.308,751901,1
06/01/2022,2915.0,2934.0,2906.0,2922.0,-0.171,413791,1
05/01/2022,2935.0,2942.0,2910.0,2927.0,-0.408,486437,1
04/01/2022,2964.0,2974.0,2913.0,2939.0,-0.271,484830,1
31/12/2021,2960.0,2965.0,2941.0,2947.0,-0.439,186867,1
30/12/2021,2985.0,2996.0,2960.0,2960.0,-0.804,319680,1
29/12/2021,2985.0,3008.0,2972.0,2984.0,1.02,429572,1
24/12/2021,2971.0,2971.0,2935.0,2954.0,-0.135,148205,1
23/12/2021,2941.0,2966.0,2928.0,2958.0,0.578,267729,1
22/12/2021,2934.0,2941.0,2878.0,2941.0,0.41,821468,1
21/12/2021,2937.0,2953.0,2921.0,2929.0,0.274,405523,1
20/12/2021,2900.0,2932.0,2892.0,2921.0,-0.273,389485,1
17/12/2021,2871.0,2936.0,2871.0,2929.0,0.93,1651964,1
16/12/2021,2959.0,2959.0,2850.0,2902.0,-1.02,804492,1
15/12/2021,2913.0,2938.0,2894.0,2932.0,0.791,434327,1
14/12/2021,2943.0,2960.0,2909.0,2909.0,-0.852,432563,1
13/12/2021,2921.0,2948.0,2906.0,2934.0,0.308,343617,1
10/12/2021,2915.0,2929.0,2901.0,2925.0,0.171,235097,1
09/12/2021,2911.0,2939.0,2910.0,2920.0,0.482,413605,1
08/12/2021,2895.0,2946.0,2874.0,2906.0,0.938,455478,1
07/12/2021,2878.0,2888.0,2847.0,2879.0,0.524,339768,1
06/12/2021,2861.0,2875.0,2829.0,2864.0,0.632,405485,1
03/12/2021,2827.0,2877.0,2827.0,2846.0,0.85,423591,1
02/12/2021,2817.0,2844.0,2799.0,2822.0,-1.74,588539,1
01/12/2021,2877.0,2885.0,2802.0,2872.0,-0.485,880262,1
30/11/2021,2891.0,2922.0,2859.0,2886.0,-0.722,1214664,1
29/11/2021,2897.0,2912.0,2878.0,2907.0,0.276,616474,1
26/11/2021,2861.0,2914.0,2860.0,2899.0,0.207,960948,1
25/11/2021,2853.0,2895.0,2850.0,2893.0,1.58,336471,1
24/11/2021,2815.0,2848.0,2791.0,2848.0,1.17,343047,1
23/11/2021,2793.0,2834.0,2749.0,2815.0,0.644,316327,1
22/11/2021,2819.0,2829.0,2791.0,2797.0,-0.463,334875,1
19/11/2021,2813.0,2832.0,2791.0,2810.0,0.286,1533769,1
18/11/2021,2779.0,2807.0,2766.0,2802.0,0.9,413538,1
17/11/2021,2773.0,2785.0,2756.0,2777.0,0,436409,1
16/11/2021,2808.0,2831.0,2746.0,2777.0,-1.59,494377,1
15/11/2021,2816.0,2840.0,2811.0,2822.0,-0.283,407612,1
12/11/2021,2837.0,2837.0,2801.0,2830.0,0.569,478525,1
11/11/2021,2775.0,2814.0,2775.0,2814.0,1.19,437250,1
10/11/2021,2731.0,2792.0,2731.0,2781.0,2.06,389792,1
