Date,Open,High,Low,Close,Change%,Volume,Adjustment
07/10/2021,414.00,428.00,414.00,420.00,5.79,46060,1
06/10/2021,422.00,422.00,390.00,397.00,-8.74,57466,1
05/10/2021,430.00,435.00,422.00,435.00,0.23,11139,1
04/10/2021,440.00,448.00,432.00,434.00,-3.56,11372,1
01/10/2021,460.00,460.00,450.00,450.00,0.446,4766,1
30/09/2021,454.00,454.00,448.00,448.00,-1.75,8810,1
29/09/2021,450.01,456.00,450.01,456.00,0.22,855,1
28/09/2021,442.00,466.00,442.00,455.00,-0.219,13351,1
27/09/2021,460.00,460.00,456.00,456.00,1.33,15603,1
24/09/2021,460.00,460.00,450.00,450.00,0,2681,1
23/09/2021,458.00,458.00,450.00,450.00,0,5198,1
22/09/2021,460.00,460.00,450.00,450.00,-0.222,17215,1
21/09/2021,459.60,459.60,451.00,451.00,0.222,29728,1
20/09/2021,448.00,450.00,448.00,450.00,-2.39,13923,1
17/09/2021,460.00,461.00,460.00,461.00,-1.5,13989,1
16/09/2021,468.00,468.00,468.00,468.00,-1.27,9575,1
15/09/2021,470.00,480.00,470.00,474.00,-0.629,11106,1
14/09/2021,472.11,477.00,472.11,477.00,0,8310,1
13/09/2021,482.60,482.60,477.00,477.00,1.49,310,1
10/09/2021,484.00,484.00,470.00,470.00,-4.47,10709,1
09/09/2021,509.52,509.52,492.00,492.00,-1.2,18453,1
08/09/2021,500.00,500.00,486.00,498.00,1.01,10855,1
07/09/2021,499.79,499.79,493.00,493.00,0,8425,1
06/09/2021,499.00,499.00,493.00,493.00,0,9001,1
03/09/2021,485.60,493.00,485.60,493.00,0,19163,1
02/09/2021,500.00,500.00,493.00,493.00,-0.505,4480,1
01/09/2021,510.00,510.00,495.50,495.50,-4.71,19810,1
31/08/2021,478.00,520.00,478.00,520.00,10.9,33682,1
27/08/2021,474.00,478.00,469.00,469.00,-0.636,3171,1
26/08/2021,450.00,472.00,450.00,472.00,2.61,13279,1
25/08/2021,460.00,468.00,454.00,460.00,-1.5,7245,1
24/08/2021,475.50,475.50,467.00,467.00,-0.638,14085,1
23/08/2021,475.50,475.50,470.00,470.00,0,2301,1
20/08/2021,470.00,470.00,470.00,470.00,-0.424,15788,1
19/08/2021,473.50,473.50,472.00,472.00,-0.632,20719,1
18/08/2021,470.00,475.00,470.00,475.00,0,15051,1
17/08/2021,480.00,480.00,475.00,475.00,-1.25,11913,1
16/08/2021,486.00,486.00,481.00,481.00,0.208,14914,1
13/08/2021,478.00,480.00,478.00,480.00,2.56,33924,1
12/08/2021,464.00,468.00,464.00,468.00,2.41,8264,1
11/08/2021,450.00,460.00,450.00,457.00,6.28,11199,1
10/08/2021,418.00,430.00,418.00,430.00,0.703,3834,1
09/08/2021,438.64,438.64,427.00,427.00,0,4131,1
06/08/2021,438.64,438.64,427.00,427.00,0.235,4238,1
05/08/2021,437.04,437.04,426.00,426.00,-0.234,4637,1
04/08/2021,438.70,438.70,427.00,427.00,0.471,7255,1
03/08/2021,438.00,438.00,425.00,425.00,-0.468,8882,1
02/08/2021,438.00,438.00,427.00,427.00,0.235,17232,1
30/07/2021,437.49,437.49,426.00,426.00,0,14955,1
29/07/2021,432.00,432.00,426.00,426.00,0,17360,1
28/07/2021,425.50,426.00,425.50,426.00,0.472,14028,1
27/07/2021,425.00,425.00,424.00,424.00,0.713,8713,1
26/07/2021,436.06,436.06,421.00,421.00,-0.237,6541,1
23/07/2021,420.55,422.00,420.55,422.00,-0.939,21316,1
22/07/2021,435.00,435.00,426.00,426.00,0,3402,1
21/07/2021,427.75,427.75,426.00,426.00,0,5104,1
20/07/2021,427.92,427.92,426.00,426.00,0,7835,1
19/07/2021,417.00,426.00,417.00,426.00,0,13198,1
16/07/2021,418.89,426.00,418.89,426.00,-0.234,6959,1
15/07/2021,418.89,427.00,418.89,427.00,0,4965,1
14/07/2021,418.51,427.00,418.51,427.00,0,5583,1
13/07/2021,418.51,427.00,418.51,427.00,0.235,1420,1
