Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/10/2021,265.00,265.00,253.50,255.00,0,54046,1
28/10/2021,255.50,258.00,252.50,255.00,-0.971,68196,1
27/10/2021,259.00,259.00,255.00,257.50,-0.194,129841,1
26/10/2021,255.00,261.00,254.00,258.00,-0.578,71237,1
25/10/2021,257.00,260.50,257.00,259.50,0.777,58519,1
22/10/2021,257.50,260.50,256.50,257.50,-0.771,25595,1
21/10/2021,261.50,262.00,257.00,259.50,0.193,74250,1
20/10/2021,263.00,263.50,259.00,259.00,-1.52,37108,1
19/10/2021,267.00,267.00,260.50,263.00,-1.5,1476406,1
18/10/2021,258.50,267.00,258.00,267.00,3.89,113596,1
15/10/2021,263.50,263.50,254.50,257.00,0,68804,1
14/10/2021,262.00,262.00,256.50,257.00,-0.772,60972,1
13/10/2021,256.50,259.00,253.50,259.00,2.37,48705,1
12/10/2021,248.50,256.50,248.50,253.00,0,453528,1
11/10/2021,251.00,254.50,251.00,253.00,-0.197,855301,1
08/10/2021,256.00,258.50,251.00,253.50,-2.12,32918,1
07/10/2021,249.50,264.00,249.50,259.00,3.6,801986,1
06/10/2021,250.00,253.00,247.50,250.00,-0.398,475359,1
05/10/2021,250.00,254.00,248.50,251.00,0.2,340388,1
04/10/2021,253.50,253.50,249.00,250.50,-0.988,96669,1
01/10/2021,258.00,258.50,252.50,253.00,-2.5,78044,1
30/09/2021,257.50,263.00,257.50,259.50,2.57,236129,1
29/09/2021,256.00,264.00,252.50,253.00,-1.17,93706,1
28/09/2021,285.00,285.00,252.00,256.00,-7.91,163092,1
27/09/2021,279.50,280.00,276.50,278.00,0,1042802,1
24/09/2021,283.50,286.50,277.00,278.00,-1.77,466971,1
23/09/2021,280.00,284.50,280.00,283.00,0,72996,1
22/09/2021,283.00,286.00,282.50,283.00,0.177,40111,1
21/09/2021,279.50,285.00,279.50,282.50,2.54,26587,1
20/09/2021,283.00,283.00,264.00,275.50,-0.542,234457,1
17/09/2021,281.50,281.50,273.00,277.00,-0.18,64855,1
16/09/2021,277.50,279.00,274.00,277.50,0.726,52731,1
15/09/2021,282.00,282.00,275.00,275.50,-2.3,68085,1
14/09/2021,292.50,293.00,282.00,282.00,-2.76,1615114,1
13/09/2021,289.00,290.00,289.00,290.00,0.346,111215,1
10/09/2021,286.00,293.00,286.00,289.00,1.05,201851,1
09/09/2021,286.50,287.50,285.00,286.00,0,88811,1
08/09/2021,284.50,291.50,283.00,286.00,0.527,424511,1
07/09/2021,284.00,288.50,283.00,284.50,0,323983,1
06/09/2021,286.50,286.50,284.00,284.50,0.176,72248,1
03/09/2021,288.00,288.00,280.00,284.00,1.25,75973,1
02/09/2021,290.00,290.00,280.00,280.50,0.179,41368,1
01/09/2021,282.50,284.50,279.00,280.00,-1.06,102186,1
31/08/2021,287.50,288.00,280.50,283.00,-0.527,84390,1
27/08/2021,286.00,287.00,284.50,284.50,0.353,45542,1
26/08/2021,280.00,288.00,280.00,283.50,0.71,114967,1
25/08/2021,280.00,289.50,279.00,281.50,0.536,112905,1
24/08/2021,279.00,282.50,278.50,280.00,0.358,153425,1
23/08/2021,280.00,283.50,279.00,279.00,-0.535,95997,1
20/08/2021,285.00,285.00,280.00,280.50,0.179,134630,1
19/08/2021,292.00,292.00,276.00,280.00,-3.45,476510,1
18/08/2021,286.00,294.00,286.00,290.00,0.52,81078,1
17/08/2021,288.50,292.00,288.50,288.50,0.698,79003,1
16/08/2021,285.50,290.00,285.50,286.50,0.526,110447,1
13/08/2021,281.00,287.50,281.00,285.00,1.24,1001451,1
12/08/2021,281.00,285.00,279.50,281.50,0.716,107706,1
11/08/2021,284.50,293.00,279.50,279.50,-0.179,277709,1
10/08/2021,277.00,281.50,277.00,280.00,1.08,101828,1
09/08/2021,278.50,279.00,272.00,277.00,-0.717,191109,1
06/08/2021,289.50,289.50,279.00,279.00,-1.76,228762,1
05/08/2021,275.00,289.50,270.00,284.00,6.17,246607,1
04/08/2021,268.00,271.50,267.00,267.50,0.187,54443,1
03/08/2021,271.50,271.50,266.00,267.00,0.376,145382,1
02/08/2021,267.00,270.00,265.00,266.00,-0.188,165676,1
30/07/2021,267.50,273.50,264.00,266.50,0.377,94459,1
29/07/2021,266.50,266.50,264.00,265.50,1.34,296580,1
28/07/2021,263.00,266.00,261.00,262.00,1.95,168745,1
27/07/2021,257.00,261.50,256.50,257.00,-0.772,100164,1
26/07/2021,255.50,259.50,253.00,259.00,0.975,56736,1
23/07/2021,251.00,263.00,251.00,256.50,2.6,39712,1
22/07/2021,247.50,253.00,247.00,250.00,2.04,106075,1
21/07/2021,245.00,246.50,244.00,245.00,1.03,61541,1
