Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,245.00,250.50,243.50,249.50,2.25,821202,1
30/11/2021,238.50,247.00,238.50,244.00,-1.21,1035838,1
29/11/2021,242.00,248.00,242.00,247.00,0.816,261281,1
26/11/2021,243.50,247.50,238.50,245.00,-1.61,327888,1
25/11/2021,252.50,253.50,248.00,249.00,-0.4,183776,1
24/11/2021,249.00,253.50,245.00,250.00,1.63,607801,1
23/11/2021,242.50,247.50,241.00,246.00,0.82,313134,1
22/11/2021,248.50,248.50,241.50,244.00,0,337624,1
19/11/2021,244.50,245.50,242.00,244.00,0,238913,1
18/11/2021,241.00,248.00,241.00,244.00,1.67,725483,1
17/11/2021,235.00,241.00,231.50,240.00,2.13,551980,1
16/11/2021,238.50,239.50,235.00,235.00,-1.67,699044,1
15/11/2021,242.50,242.50,236.00,239.00,0.42,247567,1
12/11/2021,235.00,240.50,235.00,238.00,0,533304,1
11/11/2021,240.00,243.50,238.00,238.00,-0.626,168020,1
10/11/2021,242.50,249.00,239.50,239.50,-2.24,392521,1
09/11/2021,240.00,245.50,240.00,245.00,2.08,728092,1
08/11/2021,237.50,241.50,237.50,240.00,-0.826,137123,1
05/11/2021,242.50,247.00,240.00,242.00,-0.82,230052,1
04/11/2021,241.50,244.00,236.50,244.00,1.67,1004737,1
03/11/2021,242.50,242.50,239.50,240.00,-0.415,293413,1
02/11/2021,235.50,243.00,235.50,241.00,-0.413,633453,1
01/11/2021,241.00,242.00,237.50,242.00,0.207,324743,1
29/10/2021,239.50,243.50,238.50,241.50,0.835,509928,1
28/10/2021,238.00,241.00,235.50,239.50,0.209,214435,1
27/10/2021,229.00,242.00,229.00,239.00,1.27,473312,1
26/10/2021,232.50,238.00,230.50,236.00,0.64,560661,1
25/10/2021,240.00,240.00,229.50,234.50,1.96,410278,1
22/10/2021,230.50,233.00,230.00,230.00,-1.5,314911,1
21/10/2021,232.50,235.50,231.50,233.50,0.43,243080,1
20/10/2021,234.00,235.50,231.00,232.50,-1.27,492779,1
19/10/2021,239.00,239.50,233.00,235.50,0,518866,1
18/10/2021,231.00,237.00,231.00,235.50,0,417786,1
15/10/2021,230.00,239.00,230.00,235.50,1.51,299358,1
14/10/2021,234.50,236.50,232.00,232.00,-1.28,266811,1
13/10/2021,235.00,236.50,231.00,235.00,0.213,197869,1
12/10/2021,228.50,234.50,228.00,234.50,2.63,299304,1
11/10/2021,226.50,231.50,226.50,228.50,-0.652,231934,1
08/10/2021,231.50,234.00,228.50,230.00,-0.433,249873,1
07/10/2021,220.50,231.50,220.50,231.00,3.36,954458,1
06/10/2021,227.50,229.00,221.00,223.50,-2.83,571585,1
05/10/2021,224.00,230.00,223.50,230.00,1.32,675381,1
04/10/2021,227.50,229.00,224.50,227.00,0,297227,1
01/10/2021,224.50,228.00,223.00,227.00,0.442,276433,1
30/09/2021,224.00,232.50,224.00,226.00,-1.31,403859,1
29/09/2021,239.50,239.50,229.00,229.00,-2.35,502156,1
28/09/2021,239.00,240.00,233.00,234.50,-2.49,374072,1
27/09/2021,243.50,245.00,239.50,240.50,-0.825,269337,1
24/09/2021,243.50,243.50,238.00,242.50,0,396291,1
23/09/2021,246.00,249.00,242.50,242.50,-0.818,180791,1
22/09/2021,249.50,249.50,241.00,244.50,0.205,178397,1
21/09/2021,248.00,248.00,241.50,244.00,-0.408,2081891,1
20/09/2021,255.00,255.00,241.50,245.00,-2,429840,1
17/09/2021,245.00,250.00,243.50,250.00,2.46,615820,1
16/09/2021,249.50,252.00,242.00,244.00,-2.4,1049768,1
15/09/2021,248.00,250.50,241.50,250.00,0.806,295710,1
14/09/2021,250.00,250.00,243.00,248.00,-0.8,298004,1
13/09/2021,248.50,250.00,244.00,250.00,2.88,76658,1
10/09/2021,244.00,244.50,239.50,243.00,0,210078,1
09/09/2021,243.00,244.00,238.00,243.00,0.83,438522,1
08/09/2021,246.50,247.00,241.00,241.00,-2.43,493502,1
07/09/2021,248.50,249.50,244.50,247.00,-0.803,396589,1
06/09/2021,241.50,249.00,235.50,249.00,3.97,703736,1
03/09/2021,236.50,242.00,235.00,239.50,1.05,441545,1
02/09/2021,241.00,241.00,232.50,237.00,0,1135193,1
01/09/2021,237.50,240.00,235.00,237.00,-0.42,505534,1
31/08/2021,229.50,242.00,229.50,238.00,-1.24,477665,1
27/08/2021,236.00,241.00,232.50,241.00,2.12,132943,1
26/08/2021,244.50,244.50,232.00,236.00,1.29,399797,1
25/08/2021,235.50,239.00,229.50,233.00,-0.214,377945,1
24/08/2021,233.50,234.50,231.00,233.50,0.43,258577,1
23/08/2021,235.00,235.00,231.00,232.50,-0.215,205446,1
20/08/2021,238.50,242.50,232.00,233.00,-2.1,1375456,1
19/08/2021,238.50,241.00,237.00,238.00,-0.626,2012307,1
18/08/2021,248.00,248.00,238.50,239.50,-0.208,688876,1
17/08/2021,240.00,241.50,236.50,240.00,0.418,2178561,1
16/08/2021,237.00,241.00,236.00,239.00,-1.04,1125993,1
13/08/2021,242.00,242.50,238.00,241.50,0.416,285123,1
12/08/2021,239.50,244.00,239.00,240.50,0.418,1714624,1
11/08/2021,239.50,239.50,237.00,239.50,1.05,327296,1
10/08/2021,234.00,238.00,231.00,237.00,1.28,1033323,1
09/08/2021,234.50,236.50,232.50,234.00,-0.213,273055,1
06/08/2021,232.50,237.00,232.50,234.50,0.214,340044,1
05/08/2021,233.00,236.50,232.00,234.00,0,261730,1
04/08/2021,232.50,235.50,232.00,234.00,1.08,183860,1
03/08/2021,235.50,235.50,231.50,231.50,-1.91,835329,1
02/08/2021,234.50,238.50,230.00,236.00,1.29,739604,1
30/07/2021,232.00,234.50,227.50,233.00,0.431,1958971,1
29/07/2021,232.00,235.00,228.00,232.00,1.09,735646,1
28/07/2021,227.00,231.00,226.50,229.50,0.438,2329356,1
27/07/2021,230.50,230.50,226.00,228.50,-0.436,1809889,1
26/07/2021,237.50,237.50,226.50,229.50,0.658,274902,1
23/07/2021,234.00,235.00,228.00,228.00,-0.87,998146,1
22/07/2021,229.50,237.00,227.00,230.00,1.1,489554,1
21/07/2021,224.00,227.50,224.00,227.50,1.56,670600,1
20/07/2021,226.50,228.50,221.00,224.00,-0.885,313279,1
19/07/2021,223.00,226.50,220.00,226.00,0.222,544403,1
16/07/2021,233.00,233.00,223.00,225.50,0.222,445890,1
15/07/2021,227.50,227.50,225.00,225.00,-0.881,196571,1
14/07/2021,227.50,230.00,226.00,227.00,-1.3,638994,1
13/07/2021,230.00,231.00,226.00,230.00,0.437,664297,1
12/07/2021,224.00,229.00,221.50,229.00,2.92,2789553,1
09/07/2021,219.00,225.50,216.50,222.50,1.37,387640,1
08/07/2021,229.00,229.00,216.50,219.50,0,216326,1
07/07/2021,220.50,222.50,218.00,219.50,-0.227,264452,1
06/07/2021,226.00,226.00,219.50,220.00,-1.79,353255,1
05/07/2021,225.50,225.50,219.50,224.00,0.448,602282,1
02/07/2021,218.00,223.50,217.50,223.00,2.53,886999,1
01/07/2021,223.00,223.00,214.50,217.50,1.16,600776,1
30/06/2021,217.00,218.00,214.00,215.00,-1.6,590158,1
29/06/2021,215.50,219.50,214.00,218.50,1.86,692116,1
28/06/2021,220.00,220.50,212.50,214.50,-0.233,662581,1
25/06/2021,212.50,217.00,207.50,215.00,1.18,493162,1
24/06/2021,211.50,215.50,206.50,212.50,0,512253,1
23/06/2021,209.50,215.00,209.50,212.50,0.711,502433,1
22/06/2021,215.00,215.00,209.50,211.00,0.957,287922,1
21/06/2021,205.00,211.50,205.00,209.00,-2.56,1187253,1
18/06/2021,208.00,214.50,208.00,214.50,3.13,506437,1
17/06/2021,205.00,210.50,205.00,208.00,-0.952,667405,1
16/06/2021,205.00,212.00,205.00,210.00,-0.474,371059,1
15/06/2021,215.50,216.00,208.00,211.00,-1.63,623723,1
14/06/2021,213.00,215.00,211.00,214.50,1.66,549080,1
11/06/2021,205.00,212.50,205.00,211.00,0.476,422769,1
10/06/2021,210.50,214.50,209.00,210.00,-1.87,1017875,1
09/06/2021,212.50,214.00,212.00,214.00,0,423913,1
08/06/2021,218.50,218.50,214.00,214.00,-1.83,609579,1
07/06/2021,216.50,221.00,215.00,218.00,0.461,632067,1
04/06/2021,223.50,224.00,216.50,217.00,-3.34,793337,1
03/06/2021,229.00,229.00,221.50,224.50,1.13,641469,1
02/06/2021,220.50,230.00,219.00,222.00,-1.77,1126888,1
01/06/2021,221.00,230.00,221.00,226.00,0.444,1013550,1
28/05/2021,220.00,227.00,215.00,225.00,-5.66,32737332,1
27/05/2021,239.50,241.50,233.00,238.50,-0.832,408303,1
26/05/2021,234.00,243.50,233.50,240.50,1.48,169561,1
25/05/2021,240.00,240.50,234.00,237.00,0,428913,1
24/05/2021,234.00,242.50,233.50,237.00,0.637,468712,1
21/05/2021,234.00,237.50,231.00,235.50,0.857,232745,1
20/05/2021,235.00,236.00,232.50,233.50,0.43,1115289,1
19/05/2021,234.00,243.50,231.50,232.50,-3.93,467286,1
18/05/2021,244.50,248.00,234.50,242.00,-0.412,516524,1
17/05/2021,235.50,244.50,235.50,243.00,2.75,325890,1
14/05/2021,238.50,242.50,236.50,236.50,0,496176,1
13/05/2021,233.50,240.50,233.00,236.50,0.853,277792,1
12/05/2021,230.00,236.00,228.50,234.50,1.52,371192,1
11/05/2021,235.00,238.00,230.50,231.00,-2.94,130353,1
10/05/2021,235.00,244.50,235.00,238.00,-1.24,140353,1
07/05/2021,220.00,241.50,220.00,241.00,4.33,820563,1
06/05/2021,228.50,232.00,228.50,231.00,0,156514,1
05/05/2021,232.00,233.00,226.50,231.00,0,351148,1
04/05/2021,237.50,238.50,231.00,231.00,-2.53,176706,1
30/04/2021,236.50,245.00,236.50,237.00,-2.27,608067,1
29/04/2021,244.00,244.00,239.50,242.50,-0.615,147724,1
28/04/2021,244.00,244.00,238.50,244.00,1.88,298500,1
27/04/2021,236.00,239.50,232.50,239.50,1.91,201376,1
26/04/2021,242.00,242.00,233.50,235.00,-0.634,167634,1
23/04/2021,233.50,238.00,232.00,236.50,1.07,237695,1
22/04/2021,240.00,240.00,227.50,234.00,1.96,173616,1
21/04/2021,230.00,234.00,229.50,229.50,-1.5,113956,1
20/04/2021,235.50,239.50,231.50,233.00,-0.851,312745,1
19/04/2021,232.00,239.00,232.00,235.00,1.95,264054,1
16/04/2021,223.50,231.50,223.50,230.50,1.54,1483704,1
15/04/2021,231.00,231.00,225.00,227.00,-0.22,215503,1
14/04/2021,224.00,230.00,223.50,227.50,-0.655,821382,1
13/04/2021,235.00,235.00,225.50,229.00,0.439,1136808,1
12/04/2021,230.00,232.00,226.50,228.00,-0.87,345177,1
09/04/2021,230.00,237.00,227.50,230.00,-0.648,435030,1
08/04/2021,230.00,235.00,228.50,231.50,0.871,517781,1
07/04/2021,218.50,229.50,218.50,229.50,4.79,380633,1
06/04/2021,214.00,221.00,213.00,219.00,2.82,1009018,1
01/04/2021,214.00,217.00,212.00,213.00,0,599053,1
31/03/2021,214.50,215.50,212.50,213.00,-0.93,119612,1
30/03/2021,211.00,220.00,211.00,215.00,0.467,292808,1
29/03/2021,215.50,218.00,212.00,214.00,0,326255,1
26/03/2021,219.50,219.50,212.50,214.00,-0.465,530991,1
25/03/2021,214.50,219.00,214.00,215.00,0.233,224849,1
24/03/2021,224.00,224.00,210.50,214.50,-0.464,350635,1
23/03/2021,211.00,217.00,211.00,215.50,1.65,670319,1
22/03/2021,225.00,225.00,211.50,212.00,-1.4,676101,1
19/03/2021,213.50,217.50,212.00,215.00,0.703,210584,1
18/03/2021,217.00,223.50,211.00,213.50,-0.234,458844,1
17/03/2021,214.00,215.00,211.00,214.00,-1.15,155119,1
16/03/2021,219.50,229.50,216.50,216.50,-0.23,242927,1
15/03/2021,210.50,221.50,210.50,217.00,0.93,415272,1
12/03/2021,219.50,219.50,211.50,215.00,-1.38,403472,1
11/03/2021,215.00,225.00,215.00,218.00,-1.8,580897,1
10/03/2021,219.50,222.00,217.00,222.00,0.452,486228,1
09/03/2021,217.00,221.00,216.50,221.00,2.08,275795,1
08/03/2021,213.00,218.00,211.00,216.50,0.231,180618,1
05/03/2021,209.00,218.00,207.00,216.00,1.65,463284,1
04/03/2021,205.50,214.50,204.00,212.50,2.16,204416,1
03/03/2021,205.50,209.50,204.50,208.00,1.71,439719,1
02/03/2021,203.50,205.00,200.50,204.50,1.49,479436,1
01/03/2021,208.00,208.00,201.00,201.50,0.249,290649,1
26/02/2021,200.00,206.50,198.60,201.00,-1.71,370798,1
25/02/2021,199.80,208.00,198.40,204.50,3.7,599967,1
24/02/2021,194.80,198.60,194.00,197.20,2.18,409785,1
23/02/2021,196.00,198.60,192.80,193.00,-0.515,279774,1
22/02/2021,196.20,196.20,189.60,194.00,0,238517,1
19/02/2021,191.60,195.00,191.60,194.00,0.518,307236,1
18/02/2021,197.20,197.80,193.00,193.00,-1.53,173121,1
17/02/2021,199.80,201.00,195.20,196.00,-2.97,426314,1
16/02/2021,198.00,203.00,195.60,202.00,0.498,683456,1
15/02/2021,196.00,201.00,195.20,201.00,2.76,170516,1
