Date,Open,High,Low,Close,Change%,Volume,Adjustment
12/05/2022,2417.5,2421.0,2399.5,2412.0,-3.79,11620,1
11/05/2022,2494.0,2507.0,2486.5,2507.0,0.663,2167,1
10/05/2022,2513.0,2530.0,2490.5,2490.5,-0.777,13205,1
09/05/2022,2553.0,2553.0,2500.0,2510.0,-2.2,10314,1
06/05/2022,2600.0,2602.0,2546.0,2566.5,-1.23,20873,1
05/05/2022,2635.0,2650.0,2596.0,2598.5,0.991,8526,1
04/05/2022,2592.0,2592.0,2571.0,2573.0,-0.0777,15867,1
03/05/2022,2560.0,2575.0,2533.0,2575.0,-0.656,26947,1
29/04/2022,2588.0,2610.0,2581.0,2592.0,1.85,24398,1
28/04/2022,2561.0,2567.0,2536.0,2545.0,-0.0196,6025,1
27/04/2022,2514.0,2546.0,2511.0,2545.5,1.58,7494,1
26/04/2022,2524.0,2527.0,2504.0,2506.0,0.784,7780,1
25/04/2022,2525.0,2525.0,2482.0,2486.5,-2.07,14874,1
22/04/2022,2536.0,2563.0,2536.0,2539.0,-0.82,6336,1
21/04/2022,2568.0,2578.0,2560.0,2560.0,-0.234,11998,1
20/04/2022,2525.0,2569.0,2516.0,2566.0,2.66,16318,1
19/04/2022,2470.0,2499.5,2463.5,2499.5,1.15,25848,1
14/04/2022,2462.0,2473.0,2455.0,2471.0,0.406,9025,1
13/04/2022,2456.5,2461.0,2454.0,2461.0,0.367,8986,1
12/04/2022,2426.5,2452.0,2426.0,2452.0,0.698,10875,1
11/04/2022,2443.0,2455.0,2426.0,2435.0,-0.0411,8470,1
08/04/2022,2420.0,2438.5,2408.5,2436.0,2.08,3721,1
07/04/2022,2389.5,2404.5,2382.5,2386.3,-0.313,4557,1
06/04/2022,2430.5,2430.5,2389.0,2393.8,-1.75,5665,1
05/04/2022,2428.0,2447.5,2427.5,2436.5,0.288,11640,1
04/04/2022,2432.5,2440.0,2417.0,2429.5,0.103,32304,1
01/04/2022,2439.5,2448.5,2427.0,2427.0,-1.02,34231,1
31/03/2022,2471.5,2477.0,2452.0,2452.0,-0.668,21904,1
30/03/2022,2480.5,2483.5,2468.5,2468.5,-0.293,6766,1
29/03/2022,2458.0,2491.5,2458.0,2475.8,0.784,17294,1
28/03/2022,2453.0,2462.0,2447.5,2456.5,0.573,20049,1
25/03/2022,2455.0,2457.0,2431.5,2442.5,-0.306,11293,1
24/03/2022,2460.0,2464.5,2446.5,2450.0,0.102,14190,1
23/03/2022,2460.5,2460.5,2447.5,2447.5,-0.468,8855,1
22/03/2022,2481.0,2481.0,2459.0,2459.0,-1.07,9762,1
21/03/2022,2493.5,2516.0,2485.5,2485.5,-0.1,21550,1
18/03/2022,2484.0,2503.0,2478.0,2488.0,-0.191,1708,1
17/03/2022,2460.0,2492.8,2455.0,2492.8,0.778,6378,1
16/03/2022,2440.0,2479.0,2440.0,2473.5,2.49,20204,1
15/03/2022,2397.0,2421.5,2395.5,2413.5,-0.536,38037,1
14/03/2022,2435.0,2452.5,2424.5,2426.5,0.331,6889,1
11/03/2022,2394.0,2426.5,2391.0,2418.5,2.75,49511,1
10/03/2022,2325.0,2364.0,2317.0,2353.8,2.23,12694,1
09/03/2022,2279.0,2303.0,2279.0,2302.5,2.17,16280,1
08/03/2022,2279.0,2291.0,2249.5,2253.5,-2.27,7652,1
07/03/2022,2273.5,2328.0,2257.5,2305.8,0.996,34142,1
04/03/2022,2273.5,2287.0,2270.0,2283.0,-0.911,71814,1
03/03/2022,2331.5,2332.5,2302.0,2304.0,-1.34,23326,1
02/03/2022,2319.0,2340.0,2306.0,2335.3,0.527,45551,1
01/03/2022,2367.0,2367.0,2313.0,2323.0,-1.58,2874,1
28/02/2022,2339.5,2360.3,2331.5,2360.3,-0.474,4070,1
25/02/2022,2305.0,2371.5,2305.0,2371.5,3.96,4647,1
24/02/2022,2267.5,2293.5,2247.5,2281.3,-3,17118,1
23/02/2022,2383.5,2392.5,2351.8,2351.8,-1.36,24903,1
22/02/2022,2351.0,2402.5,2350.5,2384.3,0.294,23582,1
21/02/2022,2402.5,2402.5,2377.3,2377.3,-1.32,4810,1
18/02/2022,2408.0,2428.0,2401.5,2409.0,-0.114,20653,1
17/02/2022,2443.0,2443.0,2408.5,2411.8,-0.792,31950,1
16/02/2022,2444.5,2444.5,2428.0,2431.0,-0.185,16256,1
15/02/2022,2423.5,2439.5,2418.5,2435.5,1.42,23469,1
14/02/2022,2386.5,2416.5,2386.5,2401.5,-1.21,13184,1
11/02/2022,2416.0,2438.5,2412.0,2431.0,-0.877,70232,1
10/02/2022,2469.5,2479.0,2441.0,2452.5,-0.497,71558,1
09/02/2022,2446.0,2474.5,2446.0,2464.8,1.98,17014,1
08/02/2022,2383.5,2417.0,2383.5,2417.0,1.49,9432,1
07/02/2022,2375.0,2384.5,2370.0,2381.5,0.676,44308,1
04/02/2022,2393.0,2393.5,2365.5,2365.5,-1,9320,1
03/02/2022,2377.5,2395.0,2364.0,2389.5,0.157,79498,1
02/02/2022,2381.5,2393.5,2376.0,2385.8,0.516,7498,1
01/02/2022,2374.5,2387.5,2363.5,2373.5,0.775,27944,1
31/01/2022,2355.0,2356.0,2340.0,2355.3,1.78,3477,1
28/01/2022,2328.5,2331.5,2291.5,2314.0,-0.889,32231,1
27/01/2022,2299.0,2349.5,2299.0,2334.8,0.139,9447,1
26/01/2022,2336.0,2344.0,2324.5,2331.5,1.47,5366,1
25/01/2022,2313.0,2322.0,2289.5,2297.8,0.712,23899,1
24/01/2022,2307.5,2324.5,2257.5,2281.5,-2.5,5609,1
21/01/2022,2367.0,2378.0,2326.5,2340.0,-2.63,13049,1
20/01/2022,2411.5,2412.0,2399.5,2403.3,-0.0624,41395,1
19/01/2022,2388.5,2404.8,2388.5,2404.8,0.344,553,1
18/01/2022,2420.0,2420.0,2393.5,2396.5,-1.44,4063,1
17/01/2022,2430.5,2435.0,2428.0,2431.5,0.351,1141,1
14/01/2022,2454.0,2454.0,2423.0,2423.0,-1.56,19862,1
13/01/2022,2447.0,2467.5,2447.0,2461.5,1.07,7010,1
12/01/2022,2424.0,2440.5,2424.0,2435.5,1.89,6917,1
11/01/2022,2385.5,2394.0,2383.0,2390.3,0.642,6834,1
10/01/2022,2411.5,2411.5,2363.5,2375.0,-1.17,22594,1
07/01/2022,2409.5,2409.5,2398.0,2403.0,0.0625,2466,1
06/01/2022,2393.5,2406.0,2389.5,2401.5,-1.17,30054,1
05/01/2022,2401.5,2434.5,2401.5,2430.0,0.476,24635,1
04/01/2022,2412.0,2423.0,2407.0,2418.5,-0.0723,23719,1
31/12/2021,2420.5,2424.0,2416.0,2420.3,-0.216,2448,1
30/12/2021,2418.5,2432.5,2418.0,2425.5,0.633,68413,1
29/12/2021,2402.5,2410.3,2389.5,2410.3,2.48,3494,1
24/12/2021,2353.8,2353.8,2352.0,2352.0,-0.0743,,1
23/12/2021,2350.5,2353.8,2338.5,2353.8,0.857,14390,1
22/12/2021,2329.5,2333.8,2325.0,2333.8,0.355,28059,1
21/12/2021,2341.5,2344.5,2325.5,2325.5,0.519,14598,1
20/12/2021,2339.0,2355.0,2311.0,2313.5,-3.46,23003,1
17/12/2021,2391.0,2400.0,2373.0,2396.5,0.251,16329,1
16/12/2021,2384.0,2400.0,2378.0,2390.5,1.9,22825,1
15/12/2021,2361.5,2361.5,2345.5,2346.0,-0.824,5216,1
14/12/2021,2390.5,2398.5,2365.5,2365.5,-0.63,4580,1
13/12/2021,2394.8,2416.0,2380.5,2380.5,-0.595,6085,1
10/12/2021,2403.5,2405.0,2394.8,2394.8,-0.343,15514,1
09/12/2021,2408.0,2427.5,2392.0,2403.0,-0.156,48183,1
08/12/2021,2410.0,2420.5,2406.8,2406.8,-0.321,32439,1
07/12/2021,2390.5,2414.5,2390.0,2414.5,2.26,68479,1
