Date,Open,High,Low,Close,Change%,Volume,Adjustment
13/05/2022,932.50,967.00,925.00,949.00,3.55,314818,1
12/05/2022,897.50,931.00,876.00,916.50,-1.61,888651,1
11/05/2022,914.00,939.00,890.00,931.50,8.69,1918649,1
10/05/2022,820.00,879.50,820.00,857.00,3.88,1188024,1
09/05/2022,885.00,885.00,820.50,825.00,-5.77,810777,1
06/05/2022,883.00,896.50,827.50,875.50,-3.58,1151527,1
05/05/2022,976.00,978.50,904.00,908.00,-5.02,1148165,1
04/05/2022,1040.0,1040.0,952.50,956.00,-6,400262,1
03/05/2022,1019.0,1029.0,1007.0,1017.0,-0.392,1015015,1
29/04/2022,1017.0,1053.0,1017.0,1021.0,0.295,396218,1
28/04/2022,1055.0,1055.0,1009.0,1018.0,0.197,552200,1
27/04/2022,985.00,1035.0,985.00,1016.0,1.2,731608,1
26/04/2022,1052.0,1079.0,1004.0,1004.0,-5.1,904429,1
25/04/2022,1097.0,1102.0,1047.0,1058.0,-5.28,923752,1
22/04/2022,1121.0,1158.0,1117.0,1117.0,-3.62,758201,1
21/04/2022,1191.0,1191.0,1147.0,1159.0,-0.771,308073,1
20/04/2022,1100.0,1168.0,1100.0,1168.0,3.64,416670,1
19/04/2022,1110.0,1151.0,1098.0,1127.0,-1.66,380536,1
14/04/2022,1160.0,1160.0,1119.0,1146.0,2.23,430053,1
13/04/2022,1076.0,1121.0,1064.0,1121.0,4.57,1257053,1
12/04/2022,1061.0,1080.0,1059.0,1072.0,-2.1,876003,1
11/04/2022,1116.0,1116.0,1079.0,1095.0,-1.88,269730,1
08/04/2022,1146.0,1146.0,1080.0,1116.0,0.995,473465,1
07/04/2022,1122.0,1148.0,1103.0,1105.0,-1.16,300350,1
06/04/2022,1195.0,1196.0,1110.0,1118.0,-5.25,926323,1
05/04/2022,1117.0,1180.0,1117.0,1180.0,2.16,731070,1
04/04/2022,1165.0,1165.0,1139.0,1155.0,1.23,310124,1
01/04/2022,1153.0,1160.0,1132.0,1141.0,0.0877,301299,1
31/03/2022,1216.0,1216.0,1140.0,1140.0,-4.36,1065824,1
30/03/2022,1184.0,1224.0,1166.0,1192.0,1.02,1108542,1
29/03/2022,1174.0,1180.0,1142.0,1180.0,3.15,841903,1
28/03/2022,1148.0,1152.0,1112.0,1144.0,1.6,465386,1
25/03/2022,1108.0,1168.0,1108.0,1126.0,0,492929,1
24/03/2022,1160.0,1172.0,1112.0,1126.0,-3.76,375608,1
23/03/2022,1208.0,1208.0,1154.0,1170.0,1.92,368591,1
22/03/2022,1084.0,1170.0,1084.0,1148.0,0.702,406856,1
21/03/2022,1112.0,1162.0,1112.0,1140.0,-2.06,414320,1
18/03/2022,1110.0,1170.0,1102.0,1164.0,2.11,826778,1
17/03/2022,1140.0,1186.0,1130.0,1140.0,1.24,675277,1
16/03/2022,1038.0,1164.0,1038.0,1126.0,8.48,1066067,1
15/03/2022,1024.0,1040.0,1004.0,1038.0,0.193,462527,1
14/03/2022,1078.0,1078.0,1026.0,1036.0,-0.193,331152,1
11/03/2022,1032.0,1080.0,1032.0,1038.0,0.387,675947,1
10/03/2022,1110.0,1110.0,1030.0,1034.0,-3.54,897655,1
09/03/2022,1004.0,1090.0,987.00,1072.0,10.3,712794,1
08/03/2022,952.00,999.00,914.00,972.00,2.42,1071793,1
07/03/2022,954.00,1024.0,909.00,949.00,-3.85,1177524,1
04/03/2022,1160.0,1160.0,987.00,987.00,-10.9,626134,1
03/03/2022,1154.0,1190.0,1108.0,1108.0,-5.94,341106,1
02/03/2022,1184.0,1192.0,1140.0,1178.0,1.9,574516,1
01/03/2022,1194.0,1218.0,1136.0,1156.0,-4.62,780457,1
28/02/2022,1274.0,1274.0,1160.0,1212.0,-1.46,766029,1
25/02/2022,1150.0,1236.0,1150.0,1230.0,3.54,459973,1
24/02/2022,1214.0,1242.0,1184.0,1188.0,-6.9,705679,1
23/02/2022,1350.0,1350.0,1272.0,1276.0,-2.3,289013,1
22/02/2022,1252.0,1324.0,1242.0,1306.0,1.87,907164,1
21/02/2022,1294.0,1308.0,1266.0,1282.0,-0.466,467758,1
18/02/2022,1378.0,1378.0,1288.0,1288.0,-1.98,408177,1
17/02/2022,1380.0,1380.0,1312.0,1314.0,-0.755,318049,1
16/02/2022,1316.0,1354.0,1296.0,1324.0,0.761,416634,1
15/02/2022,1280.0,1336.0,1280.0,1314.0,1.7,337996,1
14/02/2022,1306.0,1306.0,1270.0,1292.0,-1.97,1059581,1
11/02/2022,1342.0,1342.0,1290.0,1318.0,0,663466,1
10/02/2022,1336.0,1360.0,1282.0,1318.0,2.65,843421,1
