Date,Open,High,Low,Close,Change%,Volume,Adjustment
10/06/2022,864.40,868.00,840.80,844.00,-3.19,3258351,1
09/06/2022,894.00,895.80,867.80,871.80,-4.49,4224513,1
08/06/2022,921.40,922.40,907.60,912.80,-0.566,3107422,1
07/06/2022,936.80,945.00,918.00,918.00,-2.32,5656274,1
06/06/2022,928.20,945.40,928.00,939.80,1.84,6303738,1
01/06/2022,931.40,939.40,922.40,922.80,0.239,3427002,1
31/05/2022,929.60,930.20,915.80,920.60,-1.39,5818696,1
30/05/2022,931.00,944.20,928.80,933.60,0.777,2221583,1
27/05/2022,919.20,927.40,915.00,926.40,0.783,2779328,1
26/05/2022,904.00,924.00,902.40,919.20,1.55,5003036,1
25/05/2022,885.20,911.80,876.00,905.20,3.38,6019253,1
24/05/2022,940.80,943.00,875.20,875.60,-9.3,7405348,1
23/05/2022,946.20,969.90,944.40,965.40,0.5,3528764,1
20/05/2022,956.60,976.00,952.20,960.60,1.31,3981628,1
19/05/2022,971.20,971.80,940.60,948.20,-2.05,5356462,1
18/05/2022,998.60,1002.0,968.00,968.00,-2.91,4059523,1
17/05/2022,992.00,1001.5,987.60,997.00,1.14,2770890,1
16/05/2022,978.40,989.40,971.40,985.80,0.122,2541623,1
13/05/2022,970.20,985.40,966.20,984.60,2.65,4134164,1
12/05/2022,944.60,963.80,939.40,959.20,-0.125,4662109,1
11/05/2022,958.60,970.40,946.60,960.40,1.05,3965905,1
10/05/2022,967.80,970.60,949.20,950.40,-0.189,2583964,1
09/05/2022,972.40,976.40,951.00,952.20,-1.92,2895982,1
06/05/2022,1005.5,1005.5,966.60,970.80,-3.83,6069554,1
05/05/2022,1033.0,1037.5,1007.5,1009.5,-0.296,2551528,1
04/05/2022,1017.5,1024.0,1010.5,1012.5,-0.197,4443553,1
03/05/2022,1004.0,1021.0,992.60,1014.5,0.945,5363278,1
29/04/2022,997.80,1015.0,993.40,1005.0,1.29,8328584,1
28/04/2022,986.20,992.20,978.80,992.20,1.62,6176728,1
27/04/2022,1025.0,1025.0,976.00,976.40,-1.37,6734515,1
26/04/2022,1012.5,1014.0,990.00,990.00,-1.05,5336127,1
25/04/2022,992.40,1015.0,990.60,1000.5,-1.09,4595713,1
22/04/2022,1021.5,1022.0,1009.5,1011.5,-1.37,4802674,1
21/04/2022,1005.0,1037.5,997.20,1025.5,2.14,8597496,1
20/04/2022,982.60,1005.5,974.00,1004.0,2.68,4379345,1
19/04/2022,979.00,981.80,963.40,977.80,-0.0205,4048096,1
14/04/2022,977.40,983.00,961.40,978.00,0.164,5147855,1
13/04/2022,962.80,985.40,962.80,976.40,0.473,5194865,1
12/04/2022,963.20,979.00,957.60,971.80,-0.144,3322470,1
11/04/2022,968.80,982.60,964.40,973.20,-1.62,4223548,1
08/04/2022,967.00,996.20,967.00,989.20,0.651,2684135,1
07/04/2022,997.20,1001.0,980.00,982.80,-0.446,4694031,1
06/04/2022,999.60,1001.5,978.80,987.20,-1.08,4795309,1
05/04/2022,1007.5,1010.0,989.60,998.00,-0.3,4994548,1
04/04/2022,1007.5,1014.0,987.20,1001.0,-0.497,5247875,1
01/04/2022,1007.5,1018.5,991.40,1006.0,0.299,3363992,1
31/03/2022,1064.5,1066.5,1003.0,1003.0,-4.75,4957140,1
30/03/2022,1069.5,1069.5,1044.5,1053.0,-1.91,3660930,1
29/03/2022,1056.5,1095.5,1048.5,1073.5,2.58,3980152,1
