Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,390.45,393.75,390.45,392.88,1.06,9445,1
30/11/2021,389.60,389.75,388.75,388.75,-0.664,2687,1
29/11/2021,391.35,391.35,391.35,391.35,0.611,2109,1
26/11/2021,391.15,391.15,388.98,388.98,-2.6,24935,1
25/11/2021,398.65,399.35,398.65,399.35,0.377,1378,1
24/11/2021,397.55,397.85,397.55,397.85,0.164,804,1
23/11/2021,394.80,398.05,394.80,397.20,-0.37,29643,1
22/11/2021,399.10,399.50,398.67,398.67,0.409,11712,1
19/11/2021,396.45,397.05,396.45,397.05,0.0315,9131,1
18/11/2021,397.40,397.40,396.92,396.92,-0.339,694,1
17/11/2021,399.20,399.60,398.27,398.27,-0.549,29443,1
16/11/2021,399.90,400.48,399.90,400.48,-0.682,35738,1
15/11/2021,402.95,403.85,402.55,403.23,-0.0124,21830,1
12/11/2021,403.95,403.95,403.28,403.28,-0.61,4,1
11/11/2021,405.20,405.75,405.20,405.75,0.732,10803,1
10/11/2021,400.99,402.80,400.99,402.80,0.895,9162,1
09/11/2021,399.69,399.69,399.23,399.23,-0.393,10916,1
08/11/2021,401.70,401.70,400.80,400.80,-0.0686,7184,1
05/11/2021,402.90,404.10,401.08,401.08,-0.162,5759,1
04/11/2021,399.40,402.40,399.40,401.73,0.835,64034,1
03/11/2021,398.40,398.40,398.40,398.40,-0.375,5789,1
02/11/2021,397.37,399.90,397.37,399.90,0.345,21290,1
01/11/2021,397.91,398.52,397.91,398.52,0.701,14139,1
29/10/2021,395.05,395.75,395.05,395.75,0.146,4354,1
28/10/2021,395.45,396.35,395.17,395.17,0.247,81555,1
27/10/2021,395.60,395.60,394.20,394.20,-0.152,8572,1
26/10/2021,393.00,395.05,393.00,394.80,0.985,27287,1
25/10/2021,393.05,393.05,390.95,390.95,-0.109,12083,1
22/10/2021,389.00,392.60,389.00,391.38,0.385,140741,1
21/10/2021,389.05,389.88,389.05,389.88,0.0321,5421,1
20/10/2021,390.20,390.25,389.40,389.75,-0.218,43427,1
19/10/2021,389.05,390.60,389.05,390.60,0.45,7063,1
18/10/2021,388.16,388.85,388.16,388.85,-0.365,3850,1
15/10/2021,388.50,390.95,388.50,390.27,0.173,11044,1
14/10/2021,388.15,389.60,388.15,389.60,0.717,7656,1
13/10/2021,385.93,386.83,385.93,386.83,0.253,1868,1
12/10/2021,384.20,385.85,384.20,385.85,0.0843,12055,1
11/10/2021,382.85,385.52,382.85,385.52,0.195,88646,1
08/10/2021,385.00,385.30,384.30,384.77,-0.104,25325,1
07/10/2021,384.00,385.17,384.00,385.17,1.06,16239,1
06/10/2021,380.00,382.90,380.00,381.13,-1.36,33030,1
05/10/2021,385.75,386.38,384.55,386.38,0.776,101322,1
04/10/2021,382.90,383.40,382.90,383.40,-0.441,562,1
01/10/2021,385.80,385.80,385.10,385.10,-1.23,1791,1
30/09/2021,390.30,390.30,389.10,389.90,-0.0641,22648,1
29/09/2021,389.05,390.15,389.00,390.15,1.27,78638,1
28/09/2021,385.95,386.20,385.25,385.25,-1.01,21074,1
27/09/2021,394.30,396.20,389.17,389.17,-0.828,5816,1
24/09/2021,393.70,393.70,392.42,392.42,-0.501,669,1
23/09/2021,395.30,397.15,394.40,394.40,-0.133,8182,1
22/09/2021,393.52,394.92,393.52,394.92,1.1,650,1
21/09/2021,389.25,391.95,389.25,390.63,0.69,11334,1
20/09/2021,385.90,388.35,384.85,387.95,-0.615,9521,1
17/09/2021,395.00,395.00,389.05,390.35,-0.579,3531,1
16/09/2021,392.19,392.63,392.19,392.63,0.319,5344,1
15/09/2021,391.95,391.95,391.38,391.38,-0.356,2660,1
14/09/2021,393.80,393.80,392.77,392.77,-0.33,1401,1
13/09/2021,393.98,394.10,393.98,394.08,0.318,3805,1
10/09/2021,393.70,393.70,392.80,392.83,-0.248,20265,1
09/09/2021,391.40,394.50,391.40,393.80,-0.918,76976,1
08/09/2021,399.50,399.50,396.30,397.45,-0.861,29645,1
07/09/2021,401.25,402.30,400.90,400.90,-0.57,38604,1
06/09/2021,402.15,403.20,402.15,403.20,0.819,57402,1
03/09/2021,400.95,401.65,398.90,399.92,-0.318,96981,1
