Date,Open,High,Low,Close,Change%,Volume,Adjustment
24/06/2022,3820.0,3845.0,3820.0,3845.0,0.972,5783,1
23/06/2022,3811.7,3811.7,3808.0,3808.0,-0.898,207,1
22/06/2022,3844.0,3844.0,3842.5,3842.5,-2.24,5,1
21/06/2022,3909.9,3930.5,3909.9,3930.5,1.22,1,1
20/06/2022,3874.0,3883.0,3874.0,3883.0,-0.0901,582,1
17/06/2022,3870.0,3886.5,3870.0,3886.5,0.556,1351,1
16/06/2022,4057.5,4057.5,3865.0,3865.0,-4.74,,1
15/06/2022,4044.6,4057.5,4044.6,4057.5,-0.0616,5,1
14/06/2022,4015.0,4060.0,4015.0,4060.0,2.27,348,1
13/06/2022,4000.8,4000.8,3970.0,3970.0,-1.89,12,1
10/06/2022,4048.0,4053.0,4038.0,4046.5,-0.0988,8614,1
09/06/2022,4057.6,4057.6,4050.5,4050.5,-0.954,50,1
08/06/2022,4085.0,4089.5,4085.0,4089.5,1.21,1107,1
07/06/2022,4047.0,4047.0,4032.0,4040.5,-1.66,24,1
06/06/2022,4107.0,4108.5,4107.0,4108.5,0.0365,,1
01/06/2022,4130.0,4130.0,4107.0,4107.0,-0.653,4346,1
31/05/2022,4142.0,4142.0,4120.0,4134.0,0.965,1075,1
30/05/2022,4118.3,4118.3,4094.5,4094.5,1.85,2,1
27/05/2022,4023.3,4023.3,4020.0,4020.0,1.9,49,1
26/05/2022,3938.5,3945.0,3938.5,3945.0,0.165,,1
25/05/2022,3928.0,3938.5,3928.0,3938.5,1.21,1342,1
24/05/2022,3881.0,3891.5,3880.0,3891.5,-1.68,2268,1
23/05/2022,3951.5,3959.0,3930.5,3958.0,0.7,1971,1
20/05/2022,3941.0,3941.0,3930.5,3930.5,0.666,233,1
19/05/2022,3906.0,3906.0,3904.5,3904.5,-1.26,2901,1
18/05/2022,4012.5,4012.5,3954.5,3954.5,0.0253,16,1
17/05/2022,3959.0,3959.0,3953.5,3953.5,0,1152,1
16/05/2022,3955.0,3955.0,3953.5,3953.5,-0.466,1092,1
13/05/2022,3954.0,3972.0,3954.0,3972.0,1.66,4662,1
12/05/2022,3954.0,3954.0,3907.0,3907.0,-1.19,,1
11/05/2022,3969.0,3980.0,3954.0,3954.0,0.101,4322,1
10/05/2022,3985.5,3985.5,3950.0,3950.0,0.254,16,1
09/05/2022,3979.4,3979.4,3940.0,3940.0,-3.02,218,1
06/05/2022,4054.0,4062.5,4035.0,4062.5,-0.0492,175,1
05/05/2022,4122.0,4122.0,4064.5,4064.5,0.408,647,1
04/05/2022,4076.3,4076.3,4048.0,4048.0,-0.283,522,1
03/05/2022,4061.0,4061.0,4059.5,4059.5,-0.27,98,1
29/04/2022,4093.8,4093.8,4070.5,4070.5,0.333,230,1
28/04/2022,4049.0,4057.0,4049.0,4057.0,1.41,716,1
27/04/2022,4013.0,4013.0,4000.5,4000.5,-0.0625,1158,1
26/04/2022,4003.0,4003.0,4003.0,4003.0,-0.719,2522,1
25/04/2022,4002.0,4054.0,4002.0,4032.0,-0.812,3166,1
22/04/2022,4050.0,4065.0,4050.0,4065.0,0.0615,51,1
21/04/2022,4072.5,4072.5,4062.5,4062.5,-0.172,1,1
20/04/2022,4057.0,4069.5,4057.0,4069.5,0.606,1150,1
19/04/2022,4034.0,4045.0,4034.0,4045.0,-1.41,2128,1
14/04/2022,4120.0,4120.0,4103.0,4103.0,-1.62,2723,1
13/04/2022,4175.0,4175.0,4170.5,4170.5,1.73,47,1
12/04/2022,4102.0,4102.0,4099.5,4099.5,0.589,457,1
11/04/2022,4122.5,4122.5,4075.5,4075.5,-2.45,260,1
08/04/2022,4196.0,4196.0,4167.0,4178.0,0.638,1631,1
07/04/2022,4146.0,4179.0,4146.0,4151.5,-1.42,396,1
06/04/2022,4233.0,4233.0,4211.5,4211.5,-0.766,299,1
05/04/2022,4296.0,4296.0,4244.0,4244.0,-1.85,1129,1
04/04/2022,4324.0,4324.0,4324.0,4324.0,1.65,844,1
01/04/2022,4281.0,4281.0,4246.0,4254.0,-0.164,1304,1
31/03/2022,4291.7,4291.7,4261.0,4261.0,-0.895,394,1
30/03/2022,4299.0,4299.5,4295.0,4299.5,0.656,1361,1
29/03/2022,4294.0,4295.0,4271.5,4271.5,0.921,54,1
28/03/2022,4236.8,4236.8,4232.5,4232.5,-0.54,213,1
25/03/2022,4263.0,4263.0,4255.5,4255.5,-0.561,37,1
24/03/2022,4278.0,4279.5,4277.0,4279.5,0.281,52,1
23/03/2022,4256.0,4267.5,4250.0,4267.5,0.294,1736,1
22/03/2022,4253.0,4255.0,4253.0,4255.0,-0.0235,237,1
21/03/2022,4262.0,4262.0,4256.0,4256.0,-0.503,3014,1
18/03/2022,4293.0,4293.0,4277.5,4277.5,-0.361,,1
17/03/2022,4288.0,4293.0,4276.0,4293.0,1.95,1095,1
16/03/2022,4193.0,4211.0,4193.0,4211.0,1.31,1076,1
15/03/2022,4154.0,4156.5,4138.0,4156.5,-1.15,913,1
14/03/2022,4209.1,4209.1,4205.0,4205.0,-0.697,184,1
11/03/2022,4252.0,4285.0,4234.5,4234.5,0.32,16769,1
10/03/2022,4254.3,4254.3,4221.0,4221.0,0.728,119,1
09/03/2022,4196.9,4196.9,4190.5,4190.5,2.12,447,1
08/03/2022,4122.0,4122.0,4090.0,4103.5,-1.92,6022,1
07/03/2022,4184.0,4223.0,4165.0,4184.0,-2.69,6532,1
04/03/2022,4288.0,4299.5,4288.0,4299.5,-0.956,725,1
03/03/2022,4334.3,4341.0,4334.3,4341.0,-0.8,276,1
02/03/2022,4341.0,4376.0,4341.0,4376.0,0.103,1105,1
01/03/2022,4331.0,4385.0,4331.0,4371.5,1.3,338,1
28/02/2022,4290.0,4315.5,4290.0,4315.5,-0.185,1230,1
25/02/2022,4280.0,4323.5,4280.0,4323.5,2.3,3198,1
24/02/2022,4231.0,4231.0,4217.0,4226.5,-3.05,5158,1
23/02/2022,4371.0,4371.0,4359.5,4359.5,0.276,1048,1
22/02/2022,4360.0,4360.0,4340.0,4347.5,-0.787,798,1
21/02/2022,4397.0,4397.0,4382.0,4382.0,0.0114,415,1
18/02/2022,4381.0,4381.5,4381.0,4381.5,-0.454,990,1
17/02/2022,4426.4,4426.4,4401.5,4401.5,-0.306,279,1
16/02/2022,4433.6,4433.6,4415.0,4415.0,0.0453,179,1
15/02/2022,4426.0,4426.0,4413.0,4413.0,1.06,561,1
14/02/2022,4355.0,4366.5,4355.0,4366.5,-1.94,1108,1
11/02/2022,4449.0,4453.0,4449.0,4453.0,0.0562,1,1
10/02/2022,4492.8,4492.8,4450.5,4450.5,0.338,74,1
09/02/2022,4422.0,4435.5,4422.0,4435.5,1.08,899,1
08/02/2022,4390.0,4390.0,4388.0,4388.0,0.332,1078,1
07/02/2022,4353.1,4373.5,4353.1,4373.5,1.02,2623,1
04/02/2022,4333.5,4333.5,4329.5,4329.5,-0.0923,,1
03/02/2022,4342.0,4348.0,4333.5,4333.5,-1.17,1471,1
02/02/2022,4425.0,4425.0,4385.0,4385.0,0.148,354,1
01/02/2022,4378.0,4378.5,4378.0,4378.5,0.644,857,1
31/01/2022,4304.0,4367.0,4304.0,4350.5,2.3,75,1
28/01/2022,4256.0,4256.0,4233.0,4252.5,-1.9,334,1
27/01/2022,4358.7,4358.7,4335.0,4335.0,-0.778,24,1
26/01/2022,4377.0,4378.0,4369.0,4369.0,0.0114,615,1
25/01/2022,4371.0,4371.0,4368.5,4368.5,-0.535,390,1
24/01/2022,4412.0,4412.0,4392.0,4392.0,-0.543,1624,1
21/01/2022,4410.0,4416.0,4410.0,4416.0,-1.59,774,1
20/01/2022,4501.0,4501.0,4487.5,4487.5,0.436,13208,1
19/01/2022,4482.0,4482.0,4468.0,4468.0,-1.11,2927,1
18/01/2022,4497.0,4518.0,4497.0,4518.0,-1.22,686,1
17/01/2022,4580.1,4580.1,4574.0,4574.0,0.838,171,1
14/01/2022,4536.0,4536.0,4536.0,4536.0,-0.57,2069,1
13/01/2022,4543.0,4576.0,4542.0,4562.0,1.43,8437,1
12/01/2022,4513.1,4513.1,4497.5,4497.5,0.201,60,1
11/01/2022,4496.1,4496.1,4488.5,4488.5,0.831,15,1
10/01/2022,4465.4,4465.4,4451.5,4451.5,0.508,102,1
07/01/2022,4465.0,4465.0,4414.0,4429.0,-2.24,3287,1
06/01/2022,4540.0,4540.0,4520.0,4530.5,-0.516,1686,1
05/01/2022,4582.0,4582.0,4554.0,4554.0,-0.546,4456,1
04/01/2022,4495.0,4579.0,4495.0,4579.0,1.87,,1
31/12/2021,4480.0,4495.0,4480.0,4495.0,0.0111,1046,1
30/12/2021,4501.0,4501.0,4494.5,4494.5,-0.41,601,1
29/12/2021,4502.0,4513.0,4500.0,4513.0,1.62,632,1
24/12/2021,4457.4,4457.4,4441.0,4441.0,-0.303,111,1
23/12/2021,4452.1,4454.5,4452.1,4454.5,0.0562,11,1
22/12/2021,4452.0,4452.0,4452.0,4452.0,0.293,3144,1
21/12/2021,4378.5,4439.0,4378.5,4439.0,1.38,,1
20/12/2021,4378.0,4378.5,4378.0,4378.5,-1.12,397,1
17/12/2021,4410.0,4428.0,4410.0,4428.0,0.408,,1
16/12/2021,4414.0,4414.0,4410.0,4410.0,0.731,797,1
15/12/2021,4390.0,4392.0,4378.0,4378.0,0.494,1696,1
14/12/2021,4363.0,4363.0,4356.5,4356.5,-0.887,15032,1
13/12/2021,4408.4,4408.4,4395.5,4395.5,-1.39,226,1
10/12/2021,4467.3,4467.3,4457.5,4457.5,-0.513,253,1
09/12/2021,4479.0,4480.5,4479.0,4480.5,0.156,231,1
08/12/2021,4468.2,4473.5,4468.2,4473.5,-0.245,530,1
07/12/2021,4431.0,4486.0,4431.0,4484.5,1.54,2121,1
06/12/2021,4413.0,4416.5,4413.0,4416.5,0.181,30,1
03/12/2021,4429.8,4429.8,4408.5,4408.5,-0.294,26034,1
02/12/2021,4394.0,4421.5,4392.0,4421.5,0.193,27390,1
01/12/2021,4394.0,4422.0,4394.0,4413.0,2.4,9821,1
30/11/2021,4314.0,4314.0,4309.5,4309.5,0.0348,2532,1
29/11/2021,4301.0,4308.0,4301.0,4308.0,1.78,602,1
26/11/2021,4260.0,4260.0,4232.5,4232.5,-3.04,1122,1
25/11/2021,4368.8,4368.8,4365.0,4365.0,-0.0344,776,1
24/11/2021,4366.0,4366.5,4365.0,4366.5,0.126,445,1
23/11/2021,4351.0,4361.0,4351.0,4361.0,-0.943,667,1
22/11/2021,4394.8,4402.5,4394.8,4402.5,0.525,116,1
19/11/2021,4365.0,4379.5,4365.0,4379.5,-0.125,560,1
18/11/2021,4380.0,4385.0,4380.0,4385.0,0.816,12007,1
17/11/2021,4352.0,4356.0,4349.5,4349.5,0.207,9680,1
16/11/2021,4329.0,4348.0,4326.0,4340.5,0.0692,2404,1
15/11/2021,4331.0,4378.0,4331.0,4337.5,0.347,14434,1
12/11/2021,4309.0,4322.5,4306.0,4322.5,0.255,873,1
11/11/2021,4286.0,4311.5,4285.0,4311.5,0.712,1358,1
10/11/2021,4275.0,4295.0,4275.0,4281.0,-0.07,2691,1
09/11/2021,4307.0,4307.0,4283.0,4284.0,0.788,1396,1
08/11/2021,4264.0,4264.0,4250.5,4250.5,0.771,894,1
05/11/2021,4241.0,4246.0,4212.0,4218.0,1.68,2705,1
04/11/2021,4136.0,4157.0,4136.0,4148.5,0.814,925,1
03/11/2021,4120.0,4139.0,4115.0,4115.0,-0.279,329,1
02/11/2021,4100.0,4139.0,4100.0,4126.5,0.524,1040,1
01/11/2021,4102.0,4105.0,4102.0,4105.0,0.687,310,1
29/10/2021,4037.0,4077.0,4034.0,4077.0,-0.464,642,1
28/10/2021,4100.0,4103.0,4086.0,4096.0,-0.158,562,1
27/10/2021,4115.0,4115.0,4102.0,4102.5,0.171,274,1
26/10/2021,4098.0,4102.0,4091.0,4095.5,1.1,448,1
25/10/2021,4037.0,4060.0,4037.0,4051.0,0.409,1202,1
22/10/2021,4031.0,4034.5,4030.0,4034.5,0.373,271,1
21/10/2021,4032.0,4032.0,4011.0,4019.5,-0.544,227,1
20/10/2021,4045.0,4046.0,4041.5,4041.5,-0.321,993,1
19/10/2021,4039.0,4054.5,4039.0,4054.5,0.896,14,1
18/10/2021,4000.0,4018.5,3989.0,4018.5,0,379,1
15/10/2021,4020.0,4029.0,3999.0,4018.5,1.55,326,1
14/10/2021,3922.0,3957.0,3922.0,3957.0,0.815,2989,1
13/10/2021,3917.0,3935.0,3917.0,3925.0,-0.896,151,1
12/10/2021,3954.0,3961.0,3954.0,3960.5,-1.5,785,1
11/10/2021,4015.0,4021.0,3996.0,4021.0,0.941,2620,1
08/10/2021,3981.0,4009.0,3978.0,3983.5,-1.33,1963,1
07/10/2021,4043.0,4043.0,4037.0,4037.0,2.24,464,1
06/10/2021,3935.0,3948.5,3921.0,3948.5,-0.629,523,1
05/10/2021,3966.0,3985.0,3956.0,3973.5,1.03,918,1
04/10/2021,4002.0,4023.0,3933.0,3933.0,-2.74,416,1
01/10/2021,4059.0,4059.0,4025.0,4044.0,-2,1713,1
30/09/2021,4146.0,4146.0,4126.5,4126.5,-0.0605,235,1
29/09/2021,4139.0,4139.0,4127.0,4129.0,-0.47,289,1
28/09/2021,4161.0,4169.0,4148.5,4148.5,-0.801,3055,1
27/09/2021,4201.0,4201.0,4182.0,4182.0,0.132,2471,1
24/09/2021,4179.0,4180.0,4169.0,4176.5,0.517,560,1
23/09/2021,4170.0,4172.0,4146.0,4155.0,0.569,490,1
22/09/2021,4125.0,4131.5,4122.0,4131.5,0.928,180,1
21/09/2021,4116.0,4116.0,4089.0,4093.5,0.257,640,1
20/09/2021,4074.0,4086.0,4060.0,4083.0,-2.04,2687,1
17/09/2021,4184.0,4184.0,4160.0,4168.0,-0.168,221,1
16/09/2021,4185.0,4185.0,4158.0,4175.0,-0.12,425,1
15/09/2021,4219.0,4219.0,4180.0,4180.0,-0.689,380,1
14/09/2021,4212.0,4212.0,4188.0,4209.0,-0.166,1166,1
13/09/2021,4218.0,4218.0,4216.0,4216.0,-0.0474,,1
10/09/2021,4233.0,4234.0,4209.0,4218.0,0.704,650,1
09/09/2021,4197.0,4201.0,4178.0,4188.5,0.48,1843,1
08/09/2021,4195.0,4198.0,4168.5,4168.5,-1.23,663,1
07/09/2021,4237.0,4239.0,4213.0,4220.5,-0.857,265,1
06/09/2021,4268.0,4268.0,4238.0,4257.0,0.853,2191,1
03/09/2021,4202.0,4233.0,4202.0,4221.0,0.404,3647,1
02/09/2021,4218.0,4218.0,4204.0,4204.0,-0.332,206,1
01/09/2021,4220.0,4228.0,4206.0,4218.0,0.238,2001,1
31/08/2021,4221.0,4225.0,4208.0,4208.0,1.62,311,1
27/08/2021,4143.0,4144.0,4141.0,4141.0,1.77,322,1
26/08/2021,4080.0,4080.0,4061.0,4069.0,-0.889,788,1
25/08/2021,4088.0,4105.5,4068.0,4105.5,1.97,348,1
24/08/2021,4009.0,4028.0,4009.0,4026.0,0.237,168,1
23/08/2021,4000.0,4020.0,4000.0,4016.5,1.84,3773,1
20/08/2021,3933.0,3944.0,3902.0,3944.0,0.599,73,1
19/08/2021,3885.0,3920.5,3877.0,3920.5,-2.15,1339,1
18/08/2021,3997.0,4022.0,3997.0,4006.5,1.62,738,1
17/08/2021,3939.0,3962.0,3932.0,3942.5,-1.18,1162,1
16/08/2021,3985.0,3990.0,3983.0,3989.5,-0.845,875,1
13/08/2021,4037.0,4045.0,4011.0,4023.5,-1.31,2075,1
12/08/2021,4092.0,4092.0,4070.0,4077.0,-0.0123,472,1
11/08/2021,4097.0,4097.0,4077.5,4077.5,-0.391,1300,1
10/08/2021,4119.0,4125.0,4093.5,4093.5,-1.23,195,1
09/08/2021,4117.0,4147.0,4117.0,4144.5,0.169,1106,1
06/08/2021,4129.0,4145.0,4129.0,4137.5,-0.337,577,1
05/08/2021,4168.0,4168.0,4151.5,4151.5,-0.24,201,1
04/08/2021,4145.0,4167.0,4145.0,4161.5,1.46,37328,1
03/08/2021,4107.0,4114.0,4093.0,4101.5,-0.0487,3095,1
02/08/2021,4082.0,4112.0,4082.0,4103.5,1.15,1075,1
30/07/2021,4005.0,4061.0,4005.0,4057.0,-0.209,1580,1
29/07/2021,4057.0,4065.5,4045.0,4065.5,1.22,357,1
28/07/2021,3985.0,4016.5,3985.0,4016.5,0.879,504,1
27/07/2021,4013.0,4039.0,3981.5,3981.5,-1.8,2341,1
26/07/2021,4039.0,4058.0,4039.0,4054.5,-1.31,2082,1
23/07/2021,4102.0,4120.0,4091.0,4108.5,-0.0365,755,1
22/07/2021,4115.0,4115.0,4110.0,4110.0,-0.206,1862,1
21/07/2021,4108.0,4119.0,4108.0,4118.5,-0.663,701,1
20/07/2021,4116.0,4152.0,4116.0,4146.0,0.729,1459,1
19/07/2021,4142.0,4144.0,4102.0,4116.0,-1.22,821,1
16/07/2021,4178.0,4178.0,4164.0,4167.0,0.265,668,1
15/07/2021,4163.0,4172.0,4156.0,4156.0,0.0361,439,1
14/07/2021,4163.0,4163.0,4151.0,4154.5,-0.348,637,1
13/07/2021,4165.0,4169.0,4153.0,4169.0,0.993,309,1
12/07/2021,4129.0,4129.0,4120.0,4128.0,-0.0726,2436,1
09/07/2021,4130.0,4131.0,4105.0,4131.0,0.474,454,1
08/07/2021,4101.0,4111.5,4101.0,4111.5,-1.11,255,1
07/07/2021,4157.0,4161.0,4141.0,4157.5,0.386,1593,1
06/07/2021,4127.0,4145.0,4127.0,4141.5,-0.612,2548,1
05/07/2021,4159.0,4178.0,4159.0,4167.0,0.896,1241,1
02/07/2021,4107.0,4130.0,4107.0,4130.0,0.536,2258,1
01/07/2021,4105.0,4120.0,4105.0,4108.0,-0.194,148,1
30/06/2021,4099.0,4116.0,4099.0,4116.0,0.932,1204,1
29/06/2021,4083.0,4092.0,4078.0,4078.0,-0.049,399,1
28/06/2021,4052.0,4080.0,4052.0,4080.0,0.878,1450,1
25/06/2021,4053.0,4053.0,4044.5,4044.5,0.235,5509,1
24/06/2021,4000.0,4035.0,3998.0,4035.0,1.1,695,1
23/06/2021,3981.0,3991.0,3976.0,3991.0,1.35,667,1
22/06/2021,3959.0,3959.0,3938.0,3938.0,-0.993,231,1
21/06/2021,3996.0,3996.0,3977.5,3977.5,-1.39,2913,1
18/06/2021,4027.0,4033.5,4019.0,4033.5,-0.567,1414,1
17/06/2021,4043.0,4056.5,4041.0,4056.5,0.783,3329,1
16/06/2021,4022.0,4025.0,4022.0,4025.0,-0.0124,496,1
15/06/2021,4032.0,4046.0,4025.5,4025.5,0.412,276,1
14/06/2021,3997.0,4009.0,3997.0,4009.0,0.376,1381,1
