Date,Open,High,Low,Close,Change%,Volume,Adjustment
29/09/2021,1530.0,1540.0,1485.0,1515.0,-2.88,23957,1
28/09/2021,1505.0,1570.0,1505.0,1560.0,1.63,14966,1
27/09/2021,1550.0,1570.0,1515.0,1535.0,-0.968,15776,1
24/09/2021,1520.0,1560.0,1510.0,1550.0,1.97,28953,1
23/09/2021,1560.0,1565.0,1520.0,1520.0,-2.25,22803,1
22/09/2021,1555.0,1590.0,1500.0,1555.0,2.98,24039,1
21/09/2021,1520.0,1560.0,1510.0,1510.0,-2.58,16724,1
20/09/2021,1580.0,1580.0,1505.0,1550.0,-3.13,23260,1
17/09/2021,1560.0,1600.0,1555.0,1600.0,4.58,12346,1
16/09/2021,1530.0,1545.0,1500.0,1530.0,0.328,14434,1
15/09/2021,1540.0,1590.0,1525.0,1525.0,-1.61,8186,1
14/09/2021,1590.0,1595.0,1540.0,1550.0,-2.52,47397,1
13/09/2021,1600.0,1615.0,1590.0,1590.0,0,748,1
10/09/2021,1590.0,1590.0,1590.0,1590.0,-1.85,2860,1
09/09/2021,1630.0,1630.0,1600.0,1620.0,0,16032,1
08/09/2021,1590.0,1620.0,1590.0,1620.0,1.57,13718,1
07/09/2021,1590.0,1625.0,1585.0,1595.0,0.314,8713,1
06/09/2021,1615.0,1615.0,1575.0,1590.0,-1.85,13749,1
03/09/2021,1600.0,1630.0,1600.0,1620.0,-0.613,7005,1
02/09/2021,1605.0,1640.0,1585.0,1630.0,1.24,23558,1
01/09/2021,1610.0,1635.0,1585.0,1610.0,0.312,16341,1
31/08/2021,1570.0,1620.0,1570.0,1605.0,-0.619,27900,1
27/08/2021,1620.0,1625.0,1570.0,1615.0,0.623,9733,1
26/08/2021,1595.0,1620.0,1595.0,1605.0,-0.926,15602,1
25/08/2021,1575.0,1640.0,1565.0,1620.0,2.21,26210,1
24/08/2021,1555.0,1585.0,1555.0,1585.0,2.26,12173,1
23/08/2021,1565.0,1595.0,1550.0,1550.0,-1.27,13529,1
20/08/2021,1605.0,1605.0,1555.0,1570.0,-1.26,8874,1
19/08/2021,1590.0,1610.0,1590.0,1590.0,-0.935,22615,1
18/08/2021,1600.0,1615.0,1580.0,1605.0,0.943,13713,1
17/08/2021,1565.0,1600.0,1565.0,1590.0,0.952,9692,1
16/08/2021,1570.0,1585.0,1560.0,1575.0,-1.56,8785,1
13/08/2021,1575.0,1620.0,1550.0,1600.0,0.313,12019,1
12/08/2021,1590.0,1600.0,1565.0,1595.0,0,10264,1
11/08/2021,1595.0,1595.0,1585.0,1595.0,-0.623,12503,1
10/08/2021,1580.0,1605.0,1580.0,1605.0,1.58,10842,1
09/08/2021,1605.0,1610.0,1580.0,1580.0,-1.86,79461,1
06/08/2021,1580.0,1610.0,1560.0,1610.0,0,10219,1
05/08/2021,1580.0,1615.0,1580.0,1610.0,1.9,15704,1
04/08/2021,1580.0,1600.0,1560.0,1580.0,-1.56,10364,1
03/08/2021,1590.0,1620.0,1570.0,1605.0,0.943,13292,1
02/08/2021,1620.0,1620.0,1585.0,1590.0,-1.85,17639,1
30/07/2021,1605.0,1620.0,1595.0,1620.0,0,20438,1
29/07/2021,1545.0,1620.0,1545.0,1620.0,3.18,7671,1
28/07/2021,1595.0,1610.0,1570.0,1570.0,-1.88,5512,1
27/07/2021,1605.0,1610.0,1545.0,1600.0,-0.621,11041,1
26/07/2021,1605.0,1610.0,1585.0,1610.0,0.312,12656,1
23/07/2021,1585.0,1605.0,1580.0,1605.0,0.943,20898,1
22/07/2021,1600.0,1610.0,1580.0,1590.0,0.952,7393,1
21/07/2021,1580.0,1605.0,1550.0,1575.0,2.27,12123,1
20/07/2021,1520.0,1560.0,1520.0,1540.0,0.654,9304,1
19/07/2021,1540.0,1555.0,1510.0,1530.0,-2.55,37954,1
16/07/2021,1565.0,1585.0,1545.0,1570.0,0,11588,1
15/07/2021,1575.0,1605.0,1525.0,1570.0,1.29,46928,1
14/07/2021,1580.0,1620.0,1550.0,1550.0,-3.13,18678,1
13/07/2021,1620.0,1620.0,1580.0,1600.0,-1.84,40072,1
12/07/2021,1625.0,1635.0,1610.0,1630.0,0.929,8973,1
09/07/2021,1645.0,1645.0,1605.0,1615.0,-1.52,5700,1
08/07/2021,1625.0,1640.0,1605.0,1640.0,0.306,21426,1
07/07/2021,1660.0,1660.0,1610.0,1635.0,-0.909,17383,1
06/07/2021,1600.0,1660.0,1600.0,1650.0,0.61,6697,1
05/07/2021,1660.0,1660.0,1640.0,1640.0,0,14691,1
02/07/2021,1650.0,1650.0,1635.0,1640.0,0,13297,1
01/07/2021,1660.0,1660.0,1625.0,1640.0,0.614,29487,1
30/06/2021,1630.0,1630.0,1615.0,1630.0,0.617,70575,1
29/06/2021,1655.0,1655.0,1620.0,1620.0,-1.22,102355,1
28/06/2021,1645.0,1645.0,1635.0,1640.0,0.306,95211,1
25/06/2021,1625.0,1640.0,1600.0,1635.0,0.307,127800,1
24/06/2021,1600.0,1630.0,1600.0,1630.0,1.24,28014,1
23/06/2021,1575.0,1610.0,1575.0,1610.0,1.26,43855,1
22/06/2021,1580.0,1590.0,1580.0,1590.0,-0.625,16306,1
21/06/2021,1590.0,1600.0,1585.0,1600.0,-0.621,38116,1
18/06/2021,1610.0,1610.0,1595.0,1610.0,0,34039,1
17/06/2021,1580.0,1620.0,1580.0,1610.0,1.26,31700,1
16/06/2021,1600.0,1600.0,1580.0,1590.0,-0.625,23320,1
15/06/2021,1590.0,1600.0,1585.0,1600.0,1.27,9086,1
14/06/2021,1600.0,1605.0,1580.0,1580.0,-0.629,16226,1
11/06/2021,1600.0,1610.0,1590.0,1590.0,-0.313,7707,1
10/06/2021,1600.0,1610.0,1590.0,1595.0,-0.623,12104,1
09/06/2021,1610.0,1610.0,1595.0,1605.0,0.312,106136,1
08/06/2021,1590.0,1600.0,1580.0,1600.0,1.27,27219,1
07/06/2021,1600.0,1600.0,1575.0,1580.0,-0.629,7421,1
04/06/2021,1600.0,1600.0,1575.0,1590.0,0,26596,1
03/06/2021,1630.0,1630.0,1570.0,1590.0,0,10006,1
02/06/2021,1600.0,1600.0,1575.0,1590.0,-0.625,43839,1
01/06/2021,1570.0,1630.0,1570.0,1600.0,-0.621,25356,1
28/05/2021,1575.0,1620.0,1575.0,1610.0,-1.23,32229,1
27/05/2021,1575.0,1630.0,1575.0,1630.0,0.617,645440,1
26/05/2021,1615.0,1625.0,1580.0,1620.0,0.621,35223,1
25/05/2021,1655.0,1655.0,1590.0,1610.0,-3.88,244436,1
24/05/2021,1600.0,1685.0,1600.0,1675.0,5.68,116862,1
21/05/2021,1585.0,1590.0,1570.0,1585.0,0.635,40103,1
20/05/2021,1545.0,1575.0,1545.0,1575.0,2.27,59831,1
19/05/2021,1495.0,1540.0,1495.0,1540.0,0.654,28238,1
18/05/2021,1480.0,1540.0,1480.0,1530.0,0.658,39571,1
17/05/2021,1485.0,1525.0,1485.0,1520.0,1.67,70043,1
14/05/2021,1410.0,1505.0,1410.0,1495.0,1.36,57171,1
13/05/2021,1430.0,1480.0,1400.0,1475.0,4.24,61864,1
12/05/2021,1410.0,1450.0,1385.0,1415.0,3.28,89883,1
11/05/2021,1380.0,1395.0,1370.0,1370.0,-0.364,14129,1
10/05/2021,1430.0,1430.0,1375.0,1375.0,-0.362,11295,1
07/05/2021,1390.0,1390.0,1380.0,1380.0,-1.43,10833,1
06/05/2021,1400.0,1420.0,1375.0,1400.0,1.45,25026,1
05/05/2021,1380.0,1380.0,1370.0,1380.0,-1.78,32251,1
04/05/2021,1415.0,1415.0,1390.0,1405.0,1.44,7348,1
30/04/2021,1390.0,1415.0,1385.0,1385.0,-1.07,45436,1
29/04/2021,1450.0,1450.0,1385.0,1400.0,0,81423,1
28/04/2021,1400.0,1430.0,1400.0,1400.0,-0.709,13125,1
27/04/2021,1400.0,1455.0,1400.0,1410.0,-3.09,7208,1
26/04/2021,1425.0,1455.0,1405.0,1455.0,0.345,8535,1
23/04/2021,1465.0,1465.0,1420.0,1450.0,2.11,10657,1
22/04/2021,1430.0,1430.0,1400.0,1420.0,0,20272,1
21/04/2021,1440.0,1440.0,1420.0,1420.0,-4.05,25635,1
20/04/2021,1445.0,1480.0,1440.0,1480.0,2.07,15003,1
19/04/2021,1475.0,1475.0,1450.0,1450.0,-0.685,21996,1
16/04/2021,1470.0,1470.0,1460.0,1460.0,-2.01,111687,1
15/04/2021,1445.0,1515.0,1445.0,1490.0,3.47,131301,1
14/04/2021,1490.0,1490.0,1440.0,1440.0,-3.03,25205,1
13/04/2021,1480.0,1490.0,1480.0,1485.0,-0.336,10813,1
12/04/2021,1450.0,1500.0,1450.0,1490.0,-0.667,13962,1
09/04/2021,1485.0,1520.0,1455.0,1500.0,-0.99,77276,1
08/04/2021,1470.0,1515.0,1445.0,1515.0,4.48,11203,1
07/04/2021,1440.0,1505.0,1440.0,1450.0,-3.33,35106,1
06/04/2021,1475.0,1500.0,1440.0,1500.0,5.63,17614,1
01/04/2021,1485.0,1495.0,1415.0,1420.0,-2.41,11013,1
31/03/2021,1480.0,1480.0,1430.0,1455.0,0.345,61445,1
30/03/2021,1485.0,1485.0,1415.0,1450.0,-1.69,16876,1
29/03/2021,1480.0,1495.0,1420.0,1475.0,1.03,52336,1
26/03/2021,1450.0,1490.0,1450.0,1460.0,-2.01,14458,1
25/03/2021,1495.0,1495.0,1435.0,1490.0,1.36,38775,1
24/03/2021,1495.0,1495.0,1450.0,1470.0,2.8,42241,1
23/03/2021,1420.0,1430.0,1415.0,1430.0,-2.05,17418,1
22/03/2021,1455.0,1460.0,1450.0,1460.0,1.74,8819,1
19/03/2021,1415.0,1440.0,1415.0,1435.0,0.702,25558,1
18/03/2021,1425.0,1485.0,1405.0,1425.0,-1.72,19440,1
17/03/2021,1460.0,1465.0,1450.0,1450.0,-2.68,36997,1
16/03/2021,1460.0,1490.0,1460.0,1490.0,2.76,6985,1
15/03/2021,1450.0,1475.0,1435.0,1450.0,-1.02,24141,1
12/03/2021,1480.0,1480.0,1450.0,1465.0,-2.33,18665,1
11/03/2021,1455.0,1500.0,1455.0,1500.0,0,21862,1
10/03/2021,1425.0,1500.0,1425.0,1500.0,0,181818,1
09/03/2021,1480.0,1510.0,1480.0,1500.0,0.671,60153,1
08/03/2021,1450.0,1495.0,1450.0,1490.0,1.71,20326,1
05/03/2021,1485.0,1500.0,1465.0,1465.0,-1.68,29371,1
04/03/2021,1465.0,1490.0,1460.0,1490.0,2.05,17856,1
03/03/2021,1460.0,1465.0,1460.0,1460.0,2.1,15902,1
02/03/2021,1490.0,1490.0,1430.0,1430.0,-1.72,30380,1
01/03/2021,1475.0,1480.0,1450.0,1455.0,0,14033,1
26/02/2021,1435.0,1475.0,1435.0,1455.0,1.04,91740,1
25/02/2021,1475.0,1475.0,1440.0,1440.0,-0.69,31240,1
24/02/2021,1445.0,1495.0,1440.0,1450.0,1.75,65342,1
23/02/2021,1435.0,1445.0,1420.0,1425.0,1.42,50525,1
22/02/2021,1445.0,1445.0,1360.0,1405.0,1.44,25866,1
19/02/2021,1410.0,1410.0,1385.0,1385.0,-1.77,13268,1
18/02/2021,1445.0,1445.0,1410.0,1410.0,-0.704,27593,1
17/02/2021,1415.0,1440.0,1415.0,1420.0,-0.699,52293,1
16/02/2021,1405.0,1445.0,1405.0,1430.0,-0.348,61874,1
15/02/2021,1380.0,1445.0,1380.0,1435.0,3.99,39339,1
12/02/2021,1405.0,1405.0,1380.0,1380.0,0,21488,1
11/02/2021,1395.0,1420.0,1360.0,1380.0,-0.719,37237,1
10/02/2021,1385.0,1400.0,1345.0,1390.0,2.58,21976,1
09/02/2021,1350.0,1390.0,1350.0,1355.0,0,39336,1
08/02/2021,1380.0,1380.0,1340.0,1355.0,-1.09,23787,1
05/02/2021,1320.0,1385.0,1270.0,1370.0,3.4,52927,1
04/02/2021,1260.0,1325.0,1260.0,1325.0,6,22253,1
03/02/2021,1240.0,1250.0,1240.0,1250.0,2.04,4923,1
02/02/2021,1245.0,1245.0,1225.0,1225.0,0.41,22398,1
01/02/2021,1240.0,1240.0,1205.0,1220.0,-1.61,11828,1
29/01/2021,1245.0,1245.0,1205.0,1240.0,1.22,14588,1
28/01/2021,1205.0,1240.0,1200.0,1225.0,1.66,14014,1
27/01/2021,1250.0,1250.0,1205.0,1205.0,-0.413,20458,1
26/01/2021,1250.0,1250.0,1200.0,1210.0,0.415,18083,1
25/01/2021,1235.0,1245.0,1205.0,1205.0,-0.413,11492,1
22/01/2021,1260.0,1275.0,1195.0,1210.0,-6.2,81036,1
21/01/2021,1295.0,1320.0,1285.0,1290.0,0.389,25709,1
20/01/2021,1285.0,1300.0,1275.0,1285.0,3.63,11169,1
19/01/2021,1265.0,1280.0,1240.0,1240.0,-2.36,16677,1
18/01/2021,1225.0,1275.0,1225.0,1270.0,7.63,13695,1
15/01/2021,1225.0,1240.0,1180.0,1180.0,-1.67,17969,1
14/01/2021,1235.0,1235.0,1170.0,1200.0,2.13,62319,1
13/01/2021,1230.0,1240.0,1175.0,1175.0,-0.424,9359,1
12/01/2021,1195.0,1230.0,1175.0,1180.0,0,6171,1
11/01/2021,1160.0,1180.0,1155.0,1180.0,-1.05,12705,1
08/01/2021,1180.0,1200.0,1175.0,1192.5,1.49,24190,1
07/01/2021,1165.0,1175.0,1165.0,1175.0,-1.67,15631,1
06/01/2021,1175.0,1195.0,1175.0,1195.0,-2.85,28188,1
05/01/2021,1245.0,1245.0,1190.0,1230.0,0.408,13222,1
04/01/2021,1230.0,1310.0,1225.0,1225.0,-5.77,34114,1
31/12/2020,1300.0,1300.0,1255.0,1300.0,2.77,12861,1
30/12/2020,1300.0,1300.0,1215.0,1265.0,-0.784,26966,1
29/12/2020,1210.0,1295.0,1190.0,1275.0,9.21,28776,1
24/12/2020,1210.0,1210.0,1130.0,1167.5,1.52,4976,1
23/12/2020,1125.0,1165.0,1125.0,1150.0,-4.56,17795,1
22/12/2020,1110.0,1205.0,1100.0,1205.0,8.56,31969,1
21/12/2020,1120.0,1150.0,1105.0,1110.0,-1.33,26643,1
18/12/2020,1140.0,1180.0,1125.0,1125.0,0.897,11457,1
17/12/2020,1130.0,1180.0,1115.0,1115.0,-3.46,5939,1
16/12/2020,1130.0,1175.0,1125.0,1155.0,-1.28,27213,1
15/12/2020,1105.0,1170.0,1100.0,1170.0,0.862,18472,1
14/12/2020,1080.0,1165.0,1080.0,1160.0,3.11,42967,1
11/12/2020,1135.0,1135.0,1090.0,1125.0,-4.66,26440,1
10/12/2020,1205.0,1220.0,1175.0,1180.0,-3.28,27529,1
09/12/2020,1215.0,1220.0,1200.0,1220.0,0.826,11908,1
08/12/2020,1250.0,1290.0,1210.0,1210.0,-3.2,37360,1
07/12/2020,1240.0,1325.0,1235.0,1250.0,3.73,26314,1
04/12/2020,1170.0,1220.0,1170.0,1205.0,0.417,42146,1
03/12/2020,1185.0,1225.0,1185.0,1200.0,0,19457,1
02/12/2020,1215.0,1220.0,1190.0,1200.0,1.69,20274,1
01/12/2020,1135.0,1195.0,1130.0,1180.0,2.61,16930,1
30/11/2020,1165.0,1165.0,1150.0,1150.0,-3.36,25741,1
27/11/2020,1205.0,1205.0,1185.0,1190.0,0.422,22973,1
26/11/2020,1200.0,1215.0,1185.0,1185.0,-1.66,127580,1
25/11/2020,1210.0,1230.0,1205.0,1205.0,-0.823,154849,1
24/11/2020,1200.0,1215.0,1190.0,1215.0,1.25,24563,1
23/11/2020,1185.0,1240.0,1160.0,1200.0,4.8,70315,1
20/11/2020,1150.0,1180.0,1145.0,1145.0,2.69,134178,1
19/11/2020,1110.0,1120.0,1100.0,1115.0,0.45,16556,1
18/11/2020,1110.0,1125.0,1110.0,1110.0,0.909,24781,1
17/11/2020,1055.0,1100.0,1055.0,1100.0,4.27,23818,1
16/11/2020,1070.0,1100.0,1030.0,1055.0,4.46,59427,1
13/11/2020,992.00,1040.0,992.00,1010.0,-1.94,44963,1
12/11/2020,1070.0,1070.0,990.00,1030.0,-0.962,65279,1
11/11/2020,1000.0,1070.0,960.00,1040.0,5.05,81199,1
10/11/2020,970.00,1025.0,970.00,990.00,3.12,76390,1
09/11/2020,810.00,990.00,810.00,960.00,23.4,228732,1
06/11/2020,800.00,800.00,770.00,778.00,-0.512,70391,1
05/11/2020,788.00,788.00,782.00,782.00,-3.22,22486,1
04/11/2020,800.00,808.00,790.00,808.00,-1.46,12057,1
03/11/2020,790.00,820.00,790.00,820.00,1.74,12340,1
02/11/2020,800.00,808.00,770.00,806.00,-0.739,21203,1
30/10/2020,818.00,818.00,812.00,812.00,-5.14,9176,1
29/10/2020,822.00,856.00,812.00,856.00,-0.233,23482,1
28/10/2020,822.00,868.00,820.00,858.00,1.54,6600,1
27/10/2020,868.00,868.00,845.00,845.00,-1.29,13052,1
26/10/2020,870.00,870.00,856.00,856.00,0.706,20514,1
23/10/2020,822.00,850.00,822.00,850.00,3.41,17676,1
22/10/2020,812.00,822.00,810.00,822.00,-0.243,15315,1
21/10/2020,818.00,824.00,818.00,824.00,0.488,8253,1
20/10/2020,830.00,830.00,820.00,820.00,0,12255,1
19/10/2020,828.00,828.00,810.00,820.00,1.49,7883,1
16/10/2020,812.00,812.00,792.00,808.00,-4.94,51412,1
15/10/2020,840.00,850.00,816.00,850.00,2.41,45901,1
14/10/2020,812.00,830.00,812.00,830.00,-1.19,21513,1
13/10/2020,822.00,840.00,812.00,840.00,1.45,16410,1
12/10/2020,812.00,828.00,810.00,828.00,-0.241,20031,1
09/10/2020,840.00,840.00,802.00,830.00,1.97,23275,1
08/10/2020,812.00,814.00,810.00,814.00,-0.489,35441,1
07/10/2020,822.00,826.00,812.00,818.00,-0.728,34556,1
06/10/2020,848.00,848.00,824.00,824.00,-1.9,42698,1
05/10/2020,880.00,880.00,840.00,840.00,-1.64,13211,1
02/10/2020,880.00,880.00,854.00,854.00,0.471,9674,1
01/10/2020,880.00,880.00,850.00,850.00,0,17134,1
30/09/2020,888.00,888.00,850.00,850.00,-1.16,18984,1
29/09/2020,848.00,860.00,848.00,860.00,-2.27,15296,1
28/09/2020,852.00,880.00,852.00,880.00,1.15,28352,1
25/09/2020,872.00,872.00,870.00,870.00,3.08,12234,1
24/09/2020,830.00,850.00,800.00,844.00,-1.86,37811,1
23/09/2020,882.00,882.00,820.00,860.00,-3.15,75782,1
22/09/2020,920.00,950.00,888.00,888.00,-3.27,19249,1
21/09/2020,948.00,948.00,912.00,918.00,-5.75,23955,1
18/09/2020,964.00,996.00,962.00,974.00,-2.6,16775,1
17/09/2020,1000.0,1005.0,940.00,1000.0,-1.48,23616,1
16/09/2020,1005.0,1015.0,1000.0,1015.0,0.495,15838,1
15/09/2020,992.00,1020.0,990.00,1010.0,-0.98,25286,1
14/09/2020,1010.0,1020.0,990.00,1020.0,2,8031,1
11/09/2020,1020.0,1045.0,1000.0,1000.0,-5.21,9648,1
10/09/2020,1025.0,1070.0,1025.0,1055.0,3.43,11660,1
09/09/2020,1040.0,1040.0,1020.0,1020.0,-1.92,22052,1
08/09/2020,1070.0,1070.0,1040.0,1040.0,-1.42,11924,1
07/09/2020,1045.0,1055.0,1045.0,1055.0,1.93,7473,1
04/09/2020,1035.0,1075.0,1035.0,1035.0,-0.957,15695,1
03/09/2020,1025.0,1045.0,1020.0,1045.0,-1.88,11778,1
02/09/2020,1025.0,1080.0,1025.0,1065.0,3.9,6645,1
01/09/2020,1055.0,1055.0,1020.0,1025.0,-2.84,10873,1
28/08/2020,1060.0,1090.0,1055.0,1055.0,-0.939,11165,1
27/08/2020,1075.0,1090.0,1065.0,1065.0,-2.74,30370,1
26/08/2020,1095.0,1095.0,1095.0,1095.0,0,66965,1
25/08/2020,1070.0,1095.0,1070.0,1095.0,2.34,9507,1
24/08/2020,1070.0,1070.0,1070.0,1070.0,-2.28,13064,1
21/08/2020,1090.0,1095.0,1070.0,1095.0,1.39,9965,1
20/08/2020,1095.0,1095.0,1060.0,1080.0,2.86,133152,1
19/08/2020,1040.0,1080.0,1040.0,1050.0,0,27109,1
18/08/2020,1050.0,1070.0,1050.0,1050.0,0,6574,1
17/08/2020,1055.0,1060.0,1040.0,1050.0,0,32026,1
14/08/2020,1040.0,1055.0,1040.0,1050.0,-0.943,19741,1
13/08/2020,1040.0,1060.0,1040.0,1060.0,0.952,38056,1
12/08/2020,1050.0,1060.0,1010.0,1050.0,1.2,107737,1
11/08/2020,1015.0,1050.0,1000.0,1037.5,5.44,101866,1
10/08/2020,1000.0,1005.0,982.00,984.00,-1.4,22454,1
07/08/2020,990.00,998.00,980.00,998.00,1.84,16541,1
06/08/2020,980.00,988.00,932.00,980.00,0,23921,1
05/08/2020,910.00,990.00,910.00,980.00,7.69,25375,1
04/08/2020,906.00,918.00,888.00,910.00,4.6,83866,1
03/08/2020,918.00,940.00,870.00,870.00,-5.33,25962,1
31/07/2020,918.00,930.00,914.00,919.00,-1.18,14714,1
30/07/2020,918.00,950.00,918.00,930.00,0.432,30966,1
29/07/2020,926.00,956.00,920.00,926.00,0,16513,1
28/07/2020,930.00,940.00,924.00,926.00,-0.43,11784,1
27/07/2020,950.00,990.00,930.00,930.00,-1.69,18231,1
24/07/2020,930.00,950.00,928.00,946.00,-0.211,246449,1
23/07/2020,980.00,980.00,930.00,948.00,-1.25,15366,1
22/07/2020,940.00,980.00,940.00,960.00,2.13,763105,1
21/07/2020,946.00,960.00,940.00,940.00,-0.634,130349,1
20/07/2020,950.00,952.00,940.00,946.00,-0.63,34705,1
17/07/2020,950.00,986.00,950.00,952.00,-0.833,53367,1
16/07/2020,962.00,964.00,950.00,960.00,-0.621,42629,1
15/07/2020,972.00,978.00,964.00,966.00,0.416,47228,1
14/07/2020,960.00,984.00,960.00,962.00,-0.62,41971,1
13/07/2020,998.00,998.00,968.00,968.00,-0.616,42982,1
10/07/2020,962.00,998.00,962.00,974.00,0.412,70289,1
09/07/2020,1005.0,1005.0,970.00,970.00,-2.02,78573,1
08/07/2020,992.00,1000.0,990.00,990.00,-0.402,85963,1
07/07/2020,1030.0,1030.0,994.00,994.00,-0.401,32683,1
06/07/2020,1000.0,1035.0,996.00,998.00,0.808,102402,1
03/07/2020,1025.0,1025.0,990.00,990.00,0.406,28788,1
02/07/2020,1050.0,1050.0,974.00,986.00,-1.89,104585,1
01/07/2020,1025.0,1070.0,1005.0,1005.0,-0.495,80467,1
30/06/2020,1085.0,1085.0,1010.0,1010.0,-2.42,57127,1
29/06/2020,1055.0,1110.0,1025.0,1035.0,-3.72,81376,1
26/06/2020,1060.0,1105.0,1050.0,1075.0,2.38,197819,1
25/06/2020,1150.0,1150.0,1040.0,1050.0,-18.6,710413,1
24/06/2020,1340.0,1340.0,1290.0,1290.0,0,12144,1
23/06/2020,1320.0,1345.0,1245.0,1290.0,0,18666,1
22/06/2020,1305.0,1320.0,1290.0,1290.0,2.79,13137,1
19/06/2020,1250.0,1285.0,1240.0,1255.0,-1.18,12470,1
18/06/2020,1295.0,1295.0,1255.0,1270.0,-0.392,22592,1
17/06/2020,1290.0,1295.0,1235.0,1275.0,3.66,25928,1
16/06/2020,1225.0,1295.0,1225.0,1230.0,-1.2,30099,1
15/06/2020,1205.0,1265.0,1205.0,1245.0,1.01,13903,1
12/06/2020,1220.0,1260.0,1190.0,1232.5,1.02,16348,1
11/06/2020,1270.0,1270.0,1220.0,1220.0,-2.2,14434,1
10/06/2020,1225.0,1280.0,1220.0,1247.5,-0.598,20912,1
09/06/2020,1175.0,1325.0,1170.0,1255.0,7.73,38770,1
08/06/2020,1150.0,1170.0,1110.0,1165.0,2.19,72256,1
05/06/2020,1145.0,1145.0,1100.0,1140.0,0,43829,1
04/06/2020,1145.0,1145.0,1095.0,1140.0,-0.87,31477,1
03/06/2020,1145.0,1150.0,1110.0,1150.0,0.656,15777,1
02/06/2020,1185.0,1185.0,1135.0,1142.5,-2.77,14674,1
01/06/2020,1180.0,1180.0,1175.0,1175.0,2.4,25659,1
29/05/2020,1175.0,1175.0,1110.0,1147.5,-1.92,19119,1
28/05/2020,1185.0,1185.0,1125.0,1170.0,0,32183,1
27/05/2020,1170.0,1170.0,1105.0,1170.0,2.63,52767,1
26/05/2020,1170.0,1170.0,1120.0,1140.0,-1.51,18646,1
22/05/2020,1150.0,1157.5,1150.0,1157.5,-1.49,8563,1
21/05/2020,1175.0,1175.0,1120.0,1175.0,1.95,11268,1
20/05/2020,1150.0,1152.5,1120.0,1152.5,-2.33,12786,1
19/05/2020,1180.0,1180.0,1180.0,1180.0,1.51,19800,1
18/05/2020,1185.0,1185.0,1162.5,1162.5,-1.48,9493,1
15/05/2020,1180.0,1180.0,1180.0,1180.0,0.426,8638,1
14/05/2020,1180.0,1180.0,1140.0,1175.0,1.08,45350,1
13/05/2020,1190.0,1190.0,1162.5,1162.5,5.68,14073,1
12/05/2020,1125.0,1155.0,1100.0,1100.0,-6.38,9879,1
11/05/2020,1175.0,1180.0,1175.0,1175.0,5.38,14967,1
07/05/2020,1115.0,1170.0,1115.0,1115.0,-5.91,7181,1
06/05/2020,1185.0,1185.0,1185.0,1185.0,4.87,11339,1
05/05/2020,1155.0,1155.0,1130.0,1130.0,-4.64,6602,1
04/05/2020,1195.0,1195.0,1150.0,1185.0,0.851,10418,1
01/05/2020,1182.0,1182.0,1175.0,1175.0,1.08,17399,1
30/04/2020,1100.0,1170.0,1100.0,1162.5,0.868,29108,1
29/04/2020,1155.0,1155.0,1100.0,1152.5,-3.15,11988,1
28/04/2020,1205.0,1205.0,1155.0,1190.0,-2.46,15264,1
27/04/2020,1250.0,1250.0,1220.0,1220.0,-2.4,9382,1
24/04/2020,1250.0,1250.0,1250.0,1250.0,2.46,840372,1
23/04/2020,1270.0,1270.0,1220.0,1220.0,-3.94,14749,1
22/04/2020,1270.0,1270.0,1270.0,1270.0,2.42,23251,1
21/04/2020,1190.0,1245.0,1190.0,1240.0,-3.13,24265,1
20/04/2020,1275.0,1280.0,1275.0,1280.0,0,29930,1
17/04/2020,1250.0,1280.0,1215.0,1280.0,1.19,22940,1
16/04/2020,1255.0,1270.0,1255.0,1265.0,-0.394,7540,1
15/04/2020,1295.0,1295.0,1215.0,1270.0,-1.93,41221,1
14/04/2020,1250.0,1300.0,1250.0,1295.0,7.02,11748,1
