Date,Open,High,Low,Close,Change%,Volume,Adjustment
07/10/2021,1145.0,1195.0,1145.0,1195.0,3.91,87198,1
06/10/2021,1165.0,1165.0,1135.0,1150.0,0,82393,1
05/10/2021,1235.0,1245.0,1150.0,1150.0,-6.5,129990,1
04/10/2021,1247.5,1247.5,1230.0,1230.0,-1.4,58237,1
01/10/2021,1260.0,1260.0,1247.5,1247.5,-0.992,17423,1
30/09/2021,1260.0,1260.0,1260.0,1260.0,0.8,264394,1
29/09/2021,1260.0,1260.0,1250.0,1250.0,-0.794,73897,1
28/09/2021,1325.0,1325.0,1260.0,1260.0,-4.91,482256,1
27/09/2021,1322.5,1335.0,1322.5,1325.0,0.189,25750,1
24/09/2021,1305.0,1322.5,1305.0,1322.5,2.92,198116,1
23/09/2021,1282.5,1285.0,1282.5,1285.0,0.784,3057301,1
22/09/2021,1287.5,1287.5,1275.0,1275.0,-0.971,304261,1
21/09/2021,1320.0,1320.0,1287.5,1287.5,-1.34,36073,1
20/09/2021,1340.0,1340.0,1305.0,1305.0,-6.79,38196,1
17/09/2021,1340.0,1400.0,1340.0,1400.0,2.56,34554,1
16/09/2021,1350.0,1365.0,1340.0,1365.0,3.41,1025756,1
15/09/2021,1370.0,1370.0,1320.0,1320.0,-1.86,72370,1
14/09/2021,1397.5,1397.5,1345.0,1345.0,-3.41,33174,1
13/09/2021,1387.0,1392.5,1387.0,1392.5,2.39,6115,1
10/09/2021,1400.0,1400.0,1360.0,1360.0,-2.86,95359,1
09/09/2021,1415.0,1415.0,1400.0,1400.0,-1.06,254375,1
08/09/2021,1415.0,1415.0,1415.0,1415.0,1.07,1688206,1
07/09/2021,1420.0,1420.0,1400.0,1400.0,-0.709,53868,1
06/09/2021,1440.0,1440.0,1410.0,1410.0,-1.74,20499,1
03/09/2021,1440.0,1440.0,1435.0,1435.0,-0.692,426084,1
02/09/2021,1440.0,1450.0,1440.0,1445.0,0.347,677017,1
01/09/2021,1440.0,1440.0,1440.0,1440.0,0,324309,1
31/08/2021,1452.5,1452.5,1440.0,1440.0,0.348,259358,1
27/08/2021,1440.0,1455.0,1435.0,1435.0,-0.347,131603,1
26/08/2021,1392.5,1440.0,1392.5,1440.0,3.41,366615,1
25/08/2021,1360.0,1392.5,1355.0,1392.5,2.39,29335,1
24/08/2021,1320.0,1372.5,1320.0,1360.0,2.26,43588,1
23/08/2021,1280.0,1330.0,1277.5,1330.0,9.02,38800,1
20/08/2021,1285.0,1285.0,1220.0,1220.0,-6.15,52841,1
19/08/2021,1282.5,1300.0,1280.0,1300.0,0.775,114908,1
18/08/2021,1290.0,1290.0,1285.0,1290.0,-0.386,530842,1
17/08/2021,1252.5,1295.0,1252.5,1295.0,3.39,246814,1
16/08/2021,1235.0,1252.5,1225.0,1252.5,2.66,51301,1
13/08/2021,1230.0,1230.0,1220.0,1220.0,-0.813,17651,1
12/08/2021,1250.0,1250.0,1230.0,1230.0,-1.6,151172,1
11/08/2021,1250.0,1250.0,1250.0,1250.0,0,13030,1
10/08/2021,1250.0,1250.0,1250.0,1250.0,0.806,8902,1
09/08/2021,1250.0,1250.0,1240.0,1240.0,-0.8,18748,1
06/08/2021,1255.0,1255.0,1250.0,1250.0,0.806,4207,1
05/08/2021,1262.5,1262.5,1240.0,1240.0,-1.59,752610,1
04/08/2021,1262.5,1262.5,1260.0,1260.0,-0.198,47782,1
03/08/2021,1267.5,1267.5,1262.5,1262.5,-0.394,22955,1
02/08/2021,1267.5,1267.5,1267.5,1267.5,0,195139,1
30/07/2021,1280.0,1280.0,1250.0,1267.5,-2.12,64109,1
29/07/2021,1295.0,1295.0,1295.0,1295.0,0,17709,1
28/07/2021,1285.0,1297.5,1285.0,1295.0,0.778,48313,1
27/07/2021,1260.0,1285.0,1260.0,1285.0,1.98,41705,1
