Date,Open,High,Low,Close,Change%,Volume,Adjustment
<<<<<<< HEAD
10/11/2021,15000,15013,14785,14792,-1.92,65187092,1
09/11/2021,15015,15143,15007,15081,0.246,56787928,1
08/11/2021,15149,15153,15016,15044,-0.555,55020868,1
05/11/2021,15189,15219,15006,15128,0.212,65463884,1
04/11/2021,15156,15243,15064,15096,-0.35,60394616,1
03/11/2021,15042,15197,14983,15149,0.98,54511720,1
02/11/2021,14868,15157,14868,15002,0.712,69121984,1
01/11/2021,14886,14970,14780,14896,-0.567,74588256,1
=======
>>>>>>> f71a377812f6cb11f683ba65f2dc625b540191b9
29/10/2021,14705,14994,14641,14981,-1.81,124953168,1
28/10/2021,14972,15316,14972,15257,2.5,100077888,1
27/10/2021,14932,14973,14849,14885,-0.315,56094928,1
26/10/2021,14933,15084,14901,14932,0.457,60893396,1
25/10/2021,14870,14937,14762,14864,-0.0336,50720560,1
22/10/2021,14975,15018,14864,14869,-0.528,58883444,1
21/10/2021,14880,14964,14787,14948,0.147,61420992,1
20/10/2021,14874,14975,14812,14926,0.336,58418788,1
19/10/2021,14700,14917,14655,14876,1.51,76378896,1
18/10/2021,14345,14684,14316,14655,1.18,85590032,1
15/10/2021,14413,14490,14352,14484,0.751,67940392,1
14/10/2021,14208,14388,14151,14376,2.02,69907104,1
13/10/2021,14121,14140,13920,14091,-0.424,78762720,1
12/10/2021,14325,14325,14104,14151,-0.91,73035864,1
11/10/2021,14218,14481,14181,14281,-0.063,64452220,1
08/10/2021,14402,14417,14256,14290,-0.272,58773156,1
07/10/2021,14300,14422,14273,14329,0.908,61732656,1
06/10/2021,13942,14215,13837,14200,0.631,83221120,1
05/10/2021,13950,14224,13936,14111,1.42,80861064,1
04/10/2021,14176,14221,13827,13914,-2.46,98322008,1
01/10/2021,14180,14292,13911,14265,0.813,94639584,1
30/09/2021,14368,14438,14130,14150,-0.931,89057152,1
29/09/2021,14246,14445,14203,14283,0.648,74602048,1
28/09/2021,14313,14475,14170,14191,-2.38,108972336,1
27/09/2021,14539,14595,14382,14537,-1.05,74150728,1
24/09/2021,14564,14747,14557,14692,0.0613,53477868,1
23/09/2021,14654,14708,14564,14683,0.672,64838168,1
22/09/2021,14437,14643,14370,14585,1.69,76404344,1
21/09/2021,14393,14460,14278,14343,0.343,75833960,1
20/09/2021,14386,14484,14128,14294,-2.14,123478864,1
17/09/2021,14869,14879,14576,14606,-1.83,129868824,1
16/09/2021,14842,14897,14722,14879,-0.161,68034152,1
15/09/2021,14853,14944,14637,14903,0.614,83281312,1
14/09/2021,15035,15107,14691,14812,-0.956,109296296,1
13/09/2021,15055,15141,14875,14955,0.389,102404328,1
10/09/2021,15500,15548,14870,14897,-3.31,140893232,1
09/09/2021,15553,15611,15395,15407,-0.67,57305728,1
08/09/2021,15699,15704,15398,15511,-1.01,74420208,1
07/09/2021,15493,15726,15439,15669,1.55,82278264,1
03/09/2021,15388,15463,15310,15430,0.423,57866064,1
02/09/2021,15393,15472,15240,15365,0.747,71171320,1
01/09/2021,15282,15498,15234,15251,0.448,80313712,1
31/08/2021,15269,15280,15129,15183,-0.842,86453120,1
30/08/2021,14898,15349,14861,15312,3.04,90956720,1
27/08/2021,14731,14875,14683,14860,0.718,55802388,1
26/08/2021,14835,14912,14751,14754,-0.553,48597196,1
25/08/2021,14971,15032,14780,14836,-0.842,58991296,1
24/08/2021,14950,15086,14915,14962,-0.0601,48606428,1
23/08/2021,14820,15019,14789,14971,1.03,60131808,1
20/08/2021,14753,14850,14678,14819,1.02,60549632,1
19/08/2021,14500,14800,14456,14670,0.232,86960312,1
18/08/2021,14982,15071,14615,14636,-2.55,86325992,1
17/08/2021,15021,15168,14909,15019,-0.615,92229736,1
16/08/2021,14860,15113,14647,15112,1.35,103558784,1
13/08/2021,14900,14944,14827,14910,0.141,59375008,1
12/08/2021,14621,14905,14584,14889,2.08,73779112,1
11/08/2021,14601,14672,14553,14586,0.179,48493464,1
10/08/2021,14652,14771,14530,14560,-0.335,69023080,1
09/08/2021,14627,14670,14552,14609,-0.0342,48908688,1
