Date,Open,High,Low,Close,Change%,Volume,Adjustment
30/11/2021,14755,14934,14440,14516,-1.93,2049803,1
29/11/2021,14810,15069,14582,14801,1.43,933174,1
26/11/2021,14539,14801,14501,14593,-1.74,678955,1
24/11/2021,14768,14859,14667,14852,0.0404,459971,1
23/11/2021,14634,14989,14589,14846,1.34,848515,1
22/11/2021,15319,15319,14600,14650,-3.88,1470826,1
19/11/2021,15661,15661,15212,15241,-2.15,1184881,1
18/11/2021,15717,15776,15348,15576,-0.897,933374,1
17/11/2021,15843,15886,15541,15717,-1.21,907587,1
16/11/2021,15684,16110,15661,15910,1.64,1085189,1
15/11/2021,15650,15847,15527,15653,0.565,832351,1
12/11/2021,15323,15645,15293,15565,2.27,853592,1
11/11/2021,15273,15316,15167,15219,0.151,700184,1
10/11/2021,15394,15463,15178,15196,-1.58,613714,1
09/11/2021,15417,15597,15364,15440,0.149,724103,1
08/11/2021,15476,15564,15227,15417,0.162,883909,1
05/11/2021,15689,15811,15367,15392,-0.895,640996,1
04/11/2021,15620,15737,15498,15531,-0.276,558776,1
03/11/2021,15373,15591,14952,15574,1.11,808145,1
02/11/2021,15446,15516,15287,15403,-0.349,646429,1
01/11/2021,15587,15618,15346,15457,-0.464,665751,1
29/10/2021,15224,15546,15192,15529,1.62,892600,1
28/10/2021,15162,15303,15083,15281,0.805,712024,1
27/10/2021,15302,15308,15044,15159,-1.06,933188,1
26/10/2021,15367,15490,15312,15322,-0.0391,518511,1
25/10/2021,15251,15419,15189,15328,0.663,406330,1
22/10/2021,15250,15336,15137,15227,0.283,509564,1
21/10/2021,14969,15196,14872,15184,1.58,534301,1
20/10/2021,14836,14963,14802,14948,0.911,450632,1
19/10/2021,14872,14896,14681,14813,0.305,505580,1
18/10/2021,14433,14786,14379,14768,1.86,678812,1
15/10/2021,14561,14623,14445,14499,0.145,715611,1
14/10/2021,14131,14500,14086,14478,3.55,751732,1
13/10/2021,13963,14015,13798,13982,0.946,576132,1
12/10/2021,13942,13996,13801,13851,-0.18,480187,1
11/10/2021,14013,14103,13872,13876,-1.17,535126,1
08/10/2021,14096,14169,14013,14040,-0.341,480805,1
07/10/2021,13899,14256,13800,14088,2.34,720494,1
06/10/2021,13713,13780,13485,13766,-0.671,1039623,1
05/10/2021,13649,13962,13645,13859,1.48,813357,1
04/10/2021,13948,14022,13575,13657,-2.4,1054408,1
01/10/2021,13951,14111,13692,13993,0.872,938843,1
30/09/2021,14251,14261,13865,13872,-1.91,1362602,1
29/09/2021,14185,14272,14116,14142,0.198,1081127,1
28/09/2021,14543,14563,14083,14114,-3.8,885731,1
27/09/2021,14703,14815,14568,14671,-0.744,850573,1
24/09/2021,14480,14804,14480,14781,1.34,774501,1
23/09/2021,14430,14728,14428,14585,1.04,738780,1
22/09/2021,14199,14505,14179,14435,2.35,894079,1
21/09/2021,14201,14306,14072,14103,-0.085,847982,1
20/09/2021,14161,14210,13927,14115,-1.95,1238698,1
17/09/2021,15134,15198,14291,14395,-5.46,2698428,1
16/09/2021,14953,15274,14917,15227,2.24,1557384,1
15/09/2021,14465,14935,14418,14894,3.01,2154615,1
14/09/2021,14365,14481,14310,14459,1.23,882673,1
13/09/2021,14478,14519,14237,14284,-0.272,619406,1
10/09/2021,14316,14501,14214,14323,0.802,1328380,1
09/09/2021,14049,14344,13731,14209,-1.78,1614141,1
08/09/2021,14298,14479,14213,14467,1.17,805645,1
07/09/2021,14522,14591,14295,14300,-1.81,932131,1
03/09/2021,14470,14609,14408,14563,0.393,661017,1
02/09/2021,14582,14582,14402,14506,0.0828,666453,1
01/09/2021,14460,14515,14304,14494,0.43,933505,1
31/08/2021,14500,14536,14337,14432,-0.09,1116561,1
30/08/2021,14438,14644,14370,14445,0.00692,1117764,1
27/08/2021,14323,14512,14281,14444,1.03,626485,1
26/08/2021,14400,14440,14270,14297,-0.667,734465,1
25/08/2021,14108,14429,14076,14393,1.79,1292801,1
24/08/2021,13979,14182,13943,14140,1.29,685721,1
23/08/2021,13985,14069,13883,13960,-0.271,783017,1
20/08/2021,13820,14065,13719,13998,1.74,1379905,1
19/08/2021,13717,13791,13624,13759,-0.131,1052832,1
18/08/2021,13868,14029,13768,13777,-0.906,970892,1
17/08/2021,14030,14046,13816,13903,-1.25,1039046,1
16/08/2021,14104,14104,13942,14079,-0.502,819396,1
13/08/2021,14136,14191,13969,14150,0.099,790508,1
12/08/2021,14288,14302,14088,14136,-1.42,849225,1
11/08/2021,14359,14444,14214,14339,0.0419,698499,1
10/08/2021,14585,14622,14311,14333,-1.85,1018927,1
09/08/2021,14576,14636,14508,14603,0.0274,540447,1
06/08/2021,14829,14829,14566,14599,-1.5,932064,1
05/08/2021,14834,14866,14677,14821,-0.0809,684712,1
04/08/2021,14754,14907,14716,14833,0.0945,816048,1
03/08/2021,14669,14884,14628,14819,1.47,748699,1
02/08/2021,14746,14831,14555,14604,-0.653,923476,1
30/07/2021,14625,14720,14513,14700,0.204,867562,1
29/07/2021,14610,14793,14563,14670,0.755,583582,1
28/07/2021,14606,14650,14466,14560,-0.315,696610,1
27/07/2021,14601,14674,14393,14606,0.0754,790279,1
26/07/2021,14621,14664,14483,14595,-0.471,864784,1
23/07/2021,14600,14755,14556,14664,0.77,661696,1
22/07/2021,14465,14586,14359,14552,0.776,685670,1
21/07/2021,14329,14451,14301,14440,0.662,738798,1
20/07/2021,14026,14444,13990,14345,2.67,1319792,1
19/07/2021,13924,14053,13865,13972,-0.3,1085533,1
16/07/2021,13975,14129,13922,14014,0.466,766627,1
15/07/2021,13906,14004,13769,13949,-0.0287,931992,1
14/07/2021,13899,14050,13899,13953,0.889,653659,1
13/07/2021,13907,13940,13760,13830,-0.611,560494,1
12/07/2021,13857,14066,13855,13915,0.477,924357,1
09/07/2021,13691,13866,13616,13849,1.2,706888,1
08/07/2021,13740,13911,13628,13685,-1.36,1325072,1
07/07/2021,13715,13895,13685,13874,1.57,1397054,1
06/07/2021,13567,13664,13407,13659,0.998,1182606,1
02/07/2021,13475,13597,13432,13524,0.61,765041,1
01/07/2021,13204,13505,13204,13442,1.96,744307,1
30/06/2021,13337,13363,13165,13183,-1.11,683698,1
29/06/2021,13343,13469,13273,13331,-0.225,1441904,1
28/06/2021,13400,13400,13256,13361,0.248,953168,1
25/06/2021,13193,13347,13142,13328,1.44,1308152,1
24/06/2021,13221,13274,13115,13139,-0.22,705836,1
23/06/2021,13168,13260,13081,13168,0.114,726263,1
22/06/2021,13202,13217,13079,13153,-0.144,933434,1
21/06/2021,12860,13233,12860,13172,2.79,1449787,1
18/06/2021,12617,12885,12557,12814,0.0546,1695636,1
17/06/2021,12550,12836,12545,12807,1.89,945282,1
16/06/2021,12553,12607,12426,12570,0.104,730992,1
15/06/2021,12593,12600,12478,12557,-0.0875,591850,1
14/06/2021,12496,12573,12369,12568,0.673,653896,1
11/06/2021,12408,12565,12388,12484,0.734,503634,1
10/06/2021,12271,12405,12156,12393,1.14,846240,1
09/06/2021,12468,12468,12248,12253,-1.48,581854,1
08/06/2021,12448,12493,12355,12437,0.0241,607045,1
07/06/2021,12491,12517,12307,12434,-0.552,922058,1
04/06/2021,12408,12522,12346,12503,1.14,697182,1
03/06/2021,12331,12406,12163,12362,-0.659,810716,1
02/06/2021,12581,12631,12422,12444,-1.08,898481,1
01/06/2021,12944,12964,12548,12580,-2.49,929245,1
28/05/2021,12831,12933,12801,12901,0.405,993787,1
27/05/2021,12797,13007,12705,12849,0.453,1786093,1
26/05/2021,12794,12821,12685,12791,0.0626,625453,1
25/05/2021,12836,12893,12740,12783,-0.242,1046955,1
24/05/2021,12830,12857,12682,12814,0.882,1220775,1
21/05/2021,12467,12756,12467,12702,2.36,1444156,1
20/05/2021,12601,12750,12275,12409,2.56,1813038,1
19/05/2021,11921,12111,11803,12099,-0.149,1227195,1
18/05/2021,12303,12321,12113,12117,-1.45,920096,1
17/05/2021,12296,12421,12204,12295,-0.951,667273,1
14/05/2021,12096,12464,12077,12413,3.02,741003,1
13/05/2021,11928,12111,11900,12049,2.02,916490,1
12/05/2021,11976,12013,11760,11810,-2.43,1187713,1
11/05/2021,12326,12360,12061,12104,-1.68,851405,1
10/05/2021,12459,12523,12305,12311,-1.16,726475,1
07/05/2021,12279,12507,12249,12456,1.65,845269,1
06/05/2021,12305,12305,12073,12254,-0.0571,676412,1
05/05/2021,12396,12451,12244,12261,-0.729,996884,1
04/05/2021,12399,12403,12167,12351,-0.795,812492,1
03/05/2021,12537,12557,12430,12450,-0.00803,619263,1
30/04/2021,12465,12530,12416,12451,-0.923,1054735,1
29/04/2021,12399,12618,12348,12567,1.94,619432,1
28/04/2021,12360,12381,12270,12328,-0.557,700882,1
27/04/2021,12325,12451,12292,12397,0.421,712186,1
26/04/2021,12494,12494,12235,12345,-0.987,847289,1
23/04/2021,12363,12543,12363,12468,1.46,936239,1
22/04/2021,12260,12465,12223,12289,0.277,984265,1
21/04/2021,12125,12315,12083,12255,1.04,636819,1
20/04/2021,12200,12297,12077,12129,-0.386,737622,1
19/04/2021,12282,12301,12154,12176,-1.39,1262055,1
16/04/2021,12238,12392,12155,12348,1.48,1468213,1
15/04/2021,11977,12253,11952,12168,2.28,1684409,1
14/04/2021,11763,11998,11741,11897,1.23,1378257,1
13/04/2021,11790,11924,11704,11753,-0.659,1053430,1
12/04/2021,11760,11860,11739,11831,0.237,790009,1
09/04/2021,11509,11831,11482,11803,2.69,1479745,1
08/04/2021,11413,11526,11400,11494,1.34,912831,1
07/04/2021,11261,11375,11134,11342,0.505,1097418,1
06/04/2021,11355,11440,11261,11285,-0.791,1196139,1
05/04/2021,11337,11385,11232,11375,1.01,924899,1
01/04/2021,10972,11281,10896,11261,3.68,1368993,1
31/03/2021,10665,10977,10590,10861,2.22,1504702,1
30/03/2021,10574,10654,10479,10625,0.123,990741,1
29/03/2021,10749,10799,10536,10612,-1.22,911877,1
26/03/2021,10475,10757,10475,10743,1.82,1229046,1
25/03/2021,10607,10617,10409,10551,-0.368,1089211,1
24/03/2021,10821,10832,10588,10590,-1.39,1390538,1
23/03/2021,10896,11050,10715,10739,-2.19,1348219,1
22/03/2021,10640,11015,10634,10979,3,1188523,1
19/03/2021,10900,10930,10587,10660,-2.22,2615525,1
18/03/2021,10907,11160,10871,10901,-1.38,1421095,1
17/03/2021,10873,11103,10751,11053,1.38,1244212,1
16/03/2021,11122,11205,10865,10903,-1.63,730377,1
15/03/2021,10987,11087,10952,11084,0.809,585805,1
12/03/2021,10978,11066,10848,10995,-0.335,597251,1
11/03/2021,10905,11065,10905,11032,1.52,827853,1
10/03/2021,10766,10929,10729,10867,2.22,1219888,1
09/03/2021,10589,10736,10519,10631,2.23,990308,1
08/03/2021,10530,10731,10390,10399,-2.26,1242949,1
05/03/2021,10498,10662,10192,10639,2.19,1079426,1
04/03/2021,10665,10835,10389,10411,-2.71,1681958,1
03/03/2021,10880,10947,10679,10701,-2.34,1245579,1
02/03/2021,11013,11078,10840,10957,-0.228,977004,1
01/03/2021,11009,11075,10875,10982,0.605,2149620,1
26/02/2021,10747,11013,10693,10916,2.1,1636873,1
25/02/2021,10976,11109,10628,10692,-3.29,1259203,1
24/02/2021,10996,11238,10886,11056,-0.584,1487251,1
23/02/2021,11216,11310,10914,11121,-1.17,1517364,1
22/02/2021,11622,11623,11188,11253,-3.88,1892557,1
19/02/2021,11639,11896,11610,11707,-1.43,2252329,1
18/02/2021,11763,11904,11692,11877,0.661,1111783,1
17/02/2021,11789,11817,11506,11799,-0.127,785918,1
16/02/2021,11948,11980,11708,11814,-1.08,957084,1
12/02/2021,11774,11991,11662,11943,2.98,907246,1
11/02/2021,11886,11921,11539,11597,-1.76,881241,1
10/02/2021,12161,12197,11773,11805,-2.5,847619,1
09/02/2021,12083,12146,12041,12108,0.248,894329,1
08/02/2021,11950,12151,11900,12078,1.16,1043877,1
05/02/2021,11688,12013,11596,11939,4.43,1761862,1
04/02/2021,11244,11475,11199,11433,1.99,781261,1
03/02/2021,11336,11400,11180,11210,-1.63,935162,1
02/02/2021,11181,11434,11147,11396,2.8,1140968,1
01/02/2021,11011,11171,10977,11086,1.01,1013857,1
29/01/2021,10900,11039,10784,10975,-0.155,1468866,1
28/01/2021,10907,11143,10860,10992,1.54,1685517,1
27/01/2021,10878,11032,10668,10825,-1.83,2188834,1
26/01/2021,11277,11285,11009,11027,-2.33,1057290,1
25/01/2021,11393,11420,11137,11290,-1.47,1588329,1
22/01/2021,11538,11587,11413,11459,-0.959,1621170,1
21/01/2021,11644,11762,11528,11570,-0.593,990869,1
20/01/2021,11610,11656,11495,11639,0.258,972635,1
19/01/2021,11602,11717,11539,11609,0.268,903353,1
15/01/2021,11649,11652,11360,11578,-1.26,1377084,1
14/01/2021,11910,11922,11700,11726,-1.54,781838,1
13/01/2021,12174,12177,11904,11910,-2.24,808326,1
12/01/2021,12046,12269,12012,12183,0.794,775619,1
11/01/2021,12207,12217,11981,12087,-1.07,668827,1
08/01/2021,12067,12400,12047,12218,1.08,843522,1
07/01/2021,11780,12113,11780,12087,2.61,1370414,1
06/01/2021,11822,12039,11729,11780,-1.94,1689515,1
05/01/2021,12032,12156,11845,12013,-0.431,1472728,1
04/01/2021,12785,12828,12016,12065,-5.19,1685306,1
31/12/2020,12647,12755,12585,12725,0.561,867459,1
30/12/2020,12601,12809,12598,12654,0.492,886250,1
29/12/2020,12717,12754,12502,12592,-0.631,940426,1
28/12/2020,12515,12758,12426,12672,2.43,1010414,1
24/12/2020,12356,12404,12271,12371,0.292,291371,1
23/12/2020,12325,12411,12309,12335,0.252,751706,1
22/12/2020,12217,12306,12106,12304,0.704,806478,1
21/12/2020,12057,12233,11840,12218,-0.147,1883070,1
18/12/2020,12256,12256,12074,12236,0.559,2452796,1
17/12/2020,12142,12209,12089,12168,0.629,892393,1
16/12/2020,12160,12311,12008,12092,-0.363,953426,1
15/12/2020,11919,12224,11902,12136,2.6,1839604,1
14/12/2020,11750,11990,11714,11829,1.12,1874682,1
11/12/2020,11419,11705,11370,11698,1.94,1296397,1
10/12/2020,11376,11492,11288,11475,0.587,986560,1
09/12/2020,11558,11636,11365,11408,-1.28,945959,1
08/12/2020,11403,11618,11350,11556,0.829,1108003,1
07/12/2020,11262,11504,11221,11461,2.25,1145023,1
04/12/2020,11500,11532,11197,11209,-2.53,1363664,1
03/12/2020,11247,11557,11195,11500,1.5,1507006,1
02/12/2020,11506,11516,11313,11330,-1.69,1065804,1
01/12/2020,11600,11719,11494,11525,-0.173,1414529,1
30/11/2020,11521,11565,11378,11545,0.208,2910965,1
27/11/2020,11429,11540,11402,11521,0.392,484586,1
25/11/2020,11378,11504,11303,11476,1.38,983610,1
24/11/2020,11382,11426,11273,11320,0.0442,1497514,1
23/11/2020,11416,11453,11187,11315,-1.15,1393723,1
20/11/2020,11345,11537,11257,11447,0.562,1451069,1
19/11/2020,11665,11725,11205,11383,-1.85,2010346,1
18/11/2020,11679,11802,11529,11597,-0.189,1849695,1
17/11/2020,11581,11674,11419,11619,0.121,1271778,1
16/11/2020,11765,11876,11582,11605,-1.41,1966912,1
13/11/2020,11750,11890,11713,11771,0.324,1630856,1
12/11/2020,11881,11939,11698,11733,-0.399,903048,1
11/11/2020,11762,11870,11673,11780,0.692,1075766,1
10/11/2020,12019,12090,11651,11699,-3.58,1856302,1
09/11/2020,12943,13096,12130,12133,-1.93,1815275,1
06/11/2020,12425,12425,12264,12372,-0.186,719553,1
05/11/2020,12260,12473,12177,12395,2.15,1080347,1
04/11/2020,11939,12293,11761,12134,4.26,1105513,1
03/11/2020,11483,11877,11433,11638,2.63,1395608,1
