Date,Open,High,Low,Close,Change%,Volume,Adjustment
30/11/2021,57170,58035,56063,56259,-1.47,1440405,1
29/11/2021,59195,59805,56894,57101,-3.54,1315094,1
26/11/2021,59693,61046,58945,59196,-1.11,366103,1
24/11/2021,58999,60064,58029,59858,1.45,729101,1
23/11/2021,61226,61806,58500,59000,-4.54,1041219,1
22/11/2021,63865,64238,61800,61806,-3.61,838378,1
19/11/2021,65358,65402,63422,64118,-1.12,566978,1
18/11/2021,65703,65945,64672,64841,-0.438,504478,1
17/11/2021,64729,65436,63501,65126,0.498,939864,1
16/11/2021,64397,65545,64046,64803,0.947,443153,1
15/11/2021,64900,65369,63565,64195,-0.713,286327,1
12/11/2021,63996,64861,63445,64656,1.44,409079,1
11/11/2021,62246,63905,62116,63739,2.74,492575,1
10/11/2021,63192,63784,61913,62042,-2.61,504955,1
09/11/2021,63412,64799,63200,63705,-0.00628,397310,1
08/11/2021,63741,64293,62947,63709,0.257,388569,1
05/11/2021,63306,64233,62793,63546,0.896,444969,1
04/11/2021,61832,63292,61619,62982,1.63,568131,1
03/11/2021,64705,64934,61525,61974,-3.11,760557,1
02/11/2021,63065,64129,62044,63964,1.97,878643,1
01/11/2021,62727,63450,61256,62727,0.606,730081,1
29/10/2021,58000,62796,55239,62349,9.32,1303781,1
28/10/2021,56170,57121,55647,57032,2.11,506489,1
27/10/2021,56373,56753,55373,55854,-1.26,359025,1
26/10/2021,56776,57080,56124,56564,-0.475,422886,1
25/10/2021,56700,57365,56093,56834,0.312,291644,1
22/10/2021,57000,57000,56149,56657,-0.269,334100,1
21/10/2021,55378,56906,55005,56810,2.08,345471,1
20/10/2021,55460,56025,54975,55654,1.18,305615,1
19/10/2021,54504,55278,54303,55005,1.62,671296,1
18/10/2021,53686,54201,53198,54128,-0.586,706126,1
15/10/2021,55568,55568,54312,54447,-1.81,465208,1
14/10/2021,55235,56116,55109,55451,1.18,477492,1
13/10/2021,54554,55153,54178,54805,1.78,534995,1
12/10/2021,53863,54575,53273,53846,1.83,398103,1
11/10/2021,52441,53717,52108,52878,-0.0605,313764,1
08/10/2021,54000,54449,52855,52910,-1.87,322259,1
07/10/2021,54500,55016,53674,53919,-0.487,493258,1
06/10/2021,53723,54552,53252,54183,0.266,483096,1
05/10/2021,52822,54522,52822,54039,2.65,592567,1
04/10/2021,54500,54551,52101,52643,-4.27,551893,1
01/10/2021,55158,55235,53694,54992,0.56,443072,1
30/09/2021,54501,55226,54350,54686,0.235,571122,1
29/09/2021,53998,55400,53914,54558,1.61,560985,1
28/09/2021,53862,54224,52300,53694,-2.21,557838,1
27/09/2021,55715,55844,54104,54907,-2.08,684913,1
24/09/2021,57091,57192,55800,56074,-2.09,438343,1
23/09/2021,57328,57856,56801,57273,0.405,467479,1
22/09/2021,55484,57712,55200,57042,3,522439,1
21/09/2021,56157,56332,55334,55379,-0.712,441656,1
20/09/2021,56045,56618,54724,55776,-0.955,783003,1
17/09/2021,56000,56480,55581,56314,-0.352,841383,1
16/09/2021,55600,56781,55580,56513,2.44,548591,1
15/09/2021,54169,55359,53646,55167,1.74,359561,1
14/09/2021,54257,54972,54036,54223,0.333,376664,1
13/09/2021,54147,54283,52717,54043,-1.63,685426,1
10/09/2021,55833,55975,54908,54938,-0.593,377093,1
09/09/2021,54136,55843,53826,55266,0.383,586536,1
08/09/2021,54587,55832,54500,55055,-0.201,409319,1
07/09/2021,54541,55496,54275,55166,1.7,459576,1
03/09/2021,53612,54438,53226,54243,0.504,393319,1
02/09/2021,54581,55472,53785,53971,-0.956,535875,1
01/09/2021,53190,54753,52694,54492,2.93,837548,1
31/08/2021,52355,53044,51803,52942,1.51,580219,1
30/08/2021,52159,52695,51770,52154,0.159,528678,1
27/08/2021,51861,52479,51443,52071,0.706,387189,1
26/08/2021,51724,52830,51441,51706,-0.0966,562973,1
25/08/2021,51440,51919,51170,51756,0.439,240494,1
24/08/2021,50800,52246,50800,51530,0.503,390953,1
23/08/2021,51796,51796,50915,51272,-1.21,470868,1
20/08/2021,50510,52274,50303,51899,2.66,486667,1
19/08/2021,50615,51245,50409,50555,-0.783,560369,1
18/08/2021,50880,51415,50852,50954,-0.137,539445,1
17/08/2021,50436,51156,50197,51024,0.802,338007,1
16/08/2021,49217,50727,48885,50618,3.01,468195,1
13/08/2021,49126,49540,48700,49141,-0.292,336883,1
12/08/2021,49226,49933,49026,49285,0.528,446810,1
11/08/2021,50202,50402,48854,49026,-1.94,1018672,1
10/08/2021,51698,51826,49917,49994,-3.41,766347,1
09/08/2021,51784,52385,51272,51758,0.182,1000548,1
06/08/2021,51925,52211,50600,51664,-1.39,550522,1
05/08/2021,51341,52537,50826,52393,1.83,449034,1
04/08/2021,52080,52710,51315,51453,-1.28,1157361,1
03/08/2021,51236,52281,51131,52122,1.93,536081,1
02/08/2021,51719,51722,49800,51135,-0.807,713472,1
30/07/2021,47670,52431,47324,51551,13,2418406,1
29/07/2021,45964,46612,45545,45605,-0.841,748123,1
28/07/2021,44856,46100,44760,45992,2.53,440548,1
27/07/2021,45229,45458,44527,44858,-0.884,479214,1
26/07/2021,45879,45879,45074,45258,-1.77,386768,1
23/07/2021,45265,46320,45037,46072,2.18,609466,1
22/07/2021,44876,45276,44614,45089,0.875,345121,1
21/07/2021,44949,44980,43714,44698,-0.161,430964,1
20/07/2021,43488,45133,43115,44770,2.91,788627,1
19/07/2021,44412,45147,43199,43505,-3.04,786372,1
16/07/2021,44255,45129,44097,44869,1.65,682790,1
15/07/2021,43894,44207,43391,44142,0.211,545247,1
14/07/2021,44849,44974,43884,44049,-1.32,520578,1
13/07/2021,44538,44982,44203,44639,0.139,492832,1
12/07/2021,44542,44867,44153,44577,1.14,375504,1
09/07/2021,44512,44549,43629,44073,-1.4,510224,1
08/07/2021,44063,44733,43622,44697,-0.123,631169,1
07/07/2021,44448,44911,43713,44752,1.56,940730,1
06/07/2021,43205,44255,42813,44065,2.1,546898,1
02/07/2021,42846,43296,42620,43159,1.11,367052,1
01/07/2021,42499,42802,42074,42684,-0.0375,548927,1
30/06/2021,42723,42789,42249,42700,0.0469,704780,1
29/06/2021,42575,42737,41885,42680,-0.0843,687228,1
28/06/2021,43149,43158,42245,42716,-0.744,1182893,1
25/06/2021,42560,43048,41963,43036,1.26,3361624,1
24/06/2021,43320,43924,42467,42500,-1.56,1190857,1
23/06/2021,42785,43310,42326,43172,0.985,595660,1
22/06/2021,42088,42759,41807,42751,1.06,589266,1
21/06/2021,41829,42428,40762,42303,1.13,641459,1
18/06/2021,41191,41919,41112,41829,1.42,1004083,1
17/06/2021,40282,41742,40008,41245,2.15,756171,1
16/06/2021,40580,40872,39799,40375,-0.333,767428,1
15/06/2021,41000,41544,40400,40510,-0.975,620937,1
14/06/2021,39919,40972,39919,40909,2.22,786031,1
11/06/2021,40109,40191,39652,40019,0.303,610413,1
10/06/2021,39040,39968,38703,39898,2.29,1010129,1
09/06/2021,39500,39815,38957,39003,0.0205,428246,1
08/06/2021,38829,39331,38462,38995,0.767,804083,1
07/06/2021,38401,39200,38076,38698,1.06,467233,1
04/06/2021,37952,38795,37835,38291,1.64,603659,1
03/06/2021,36699,37879,36699,37674,1.55,702092,1
02/06/2021,36531,37241,36304,37099,1.45,671796,1
01/06/2021,37120,37433,36158,36567,-1.01,661566,1
28/05/2021,37500,37844,36811,36939,2.07,868319,1
27/05/2021,35362,36300,34828,36191,2.04,842636,1
26/05/2021,34959,35798,34892,35469,0.408,931176,1
25/05/2021,35479,35922,35283,35325,-0.602,614754,1
24/05/2021,34674,36301,34374,35539,3.89,1385476,1
21/05/2021,34459,35150,34156,34209,-0.642,630531,1
20/05/2021,33608,34576,33370,34430,3.61,516958,1
19/05/2021,32347,33290,32300,33229,0.66,550281,1
18/05/2021,32940,33748,32887,33011,1.45,835036,1
17/05/2021,33120,33368,32193,32540,-2.36,812993,1
