Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,62487,62550,59400,60213,-2.33,4829282,1
02/12/2021,61710,62536,61288,61647,-0.21,3331131,1
01/12/2021,64948,65452,61707,61777,-3.76,3897019,1
30/11/2021,67000,67538,64001,64190,-3.31,5608919,1
29/11/2021,66458,66797,65829,66384,-0.27,2529364,1
26/11/2021,67600,67641,66085,66564,1.12,2872513,1
24/11/2021,65801,66144,65110,65829,0.647,1867282,1
23/11/2021,65725,66643,64617,65406,-0.78,2320917,1
22/11/2021,67602,67948,65648,65920,-2.89,2765318,1
19/11/2021,69326,69415,67504,67880,-0.472,2614852,1
18/11/2021,69161,69174,67974,68202,-1.4,2014992,1
17/11/2021,69000,70099,68609,69169,0.624,2732831,1
16/11/2021,67827,68831,67700,68740,1.19,2077387,1
15/11/2021,68081,68514,67149,67933,-0.481,2872186,1
12/11/2021,66016,68330,65382,68261,3.81,4198410,1
11/11/2021,65024,66582,64971,65758,1.65,2868311,1
10/11/2021,65374,66033,64211,64691,-1.38,2405785,1
09/11/2021,65370,66050,65068,65599,0.697,2415630,1
08/11/2021,65029,65588,64380,65145,0.887,2887523,1
05/11/2021,66304,66564,64515,64572,-3.39,5283488,1
04/11/2021,68556,68556,66550,66840,-2.89,4865023,1
03/11/2021,67727,68939,67727,68829,1.56,2334852,1
02/11/2021,68311,68768,67382,67772,-0.506,3888597,1
01/11/2021,68906,68997,67654,68117,-1.32,3110911,1
29/10/2021,67306,69097,67142,69031,2.41,3825279,1
28/10/2021,67214,67680,66803,67405,1.68,2859409,1
27/10/2021,66900,67141,66186,66292,-0.838,2276914,1
26/10/2021,67376,67649,66277,66852,-0.467,2904840,1
25/10/2021,66300,67588,65707,67166,1.03,3833526,1
22/10/2021,65250,66544,65200,66478,1.78,6186016,1
21/10/2021,62923,65400,62865,65316,4.48,8437070,1
20/10/2021,62514,63730,61715,62514,-2.17,10621997,1
19/10/2021,63715,64099,63230,63900,0.161,7633147,1
18/10/2021,63210,63841,62059,63797,1.54,4669071,1
15/10/2021,63900,63942,62516,62829,-0.869,4116874,1
14/10/2021,63234,63688,62680,63380,0.642,2672535,1
13/10/2021,63010,63200,62219,62976,0.771,2424638,1
12/10/2021,63302,63766,62199,62494,-0.335,3227349,1
11/10/2021,63400,63938,62678,62704,-0.888,2862470,1
08/10/2021,63449,64378,63086,63266,0.128,3272093,1
07/10/2021,64261,64684,63045,63185,-1.13,3556886,1
06/10/2021,62779,63987,62642,63910,0.676,4580434,1
05/10/2021,60689,64039,60689,63481,5.21,9534293,1
04/10/2021,61400,62613,59479,60335,-1.6,4995932,1
01/10/2021,60472,61498,59752,61315,0.472,4090847,1
30/09/2021,60805,61900,60805,61027,1.87,6616040,1
29/09/2021,58853,60988,58801,59906,2.61,6221026,1
28/09/2021,58946,59954,58016,58385,-1.48,4431051,1
27/09/2021,58661,59354,57693,59264,0.0422,2504738,1
