Date,Open,High,Low,Close,Change%,Volume,Adjustment
30/11/2021,12379,12398,11829,11920,-3.66,3420367,1
29/11/2021,12371,12444,12292,12373,1.05,1824589,1
26/11/2021,12432,12518,12220,12245,-2.1,886339,1
24/11/2021,12495,12565,12456,12508,-0.311,1421702,1
23/11/2021,12407,12560,12373,12547,0.876,1511009,1
22/11/2021,12486,12682,12402,12438,-0.488,1424342,1
19/11/2021,12613,12620,12486,12499,-0.414,1145463,1
18/11/2021,12582,12594,12472,12551,-0.27,773788,1
17/11/2021,12484,12596,12434,12585,0.64,777962,1
16/11/2021,12443,12591,12443,12505,0.458,1124432,1
15/11/2021,12471,12494,12335,12448,-0.0963,953013,1
12/11/2021,12371,12511,12341,12460,0.972,729908,1
11/11/2021,12321,12377,12274,12340,0.236,671720,1
10/11/2021,12300,12401,12260,12311,0.114,923093,1
09/11/2021,12289,12319,12173,12297,-0.179,1164644,1
08/11/2021,12491,12530,12242,12319,-1.16,1039064,1
05/11/2021,12471,12581,12429,12463,0.719,1149889,1
04/11/2021,12329,12425,12278,12374,0.235,952241,1
03/11/2021,12359,12386,12164,12345,0.0162,945948,1
02/11/2021,12218,12345,12184,12343,1.5,1424875,1
01/11/2021,12328,12328,12093,12160,-1.36,1196621,1
29/10/2021,12263,12383,12263,12328,-0.0649,1280279,1
28/10/2021,12246,12359,12215,12336,0.718,1256912,1
27/10/2021,12339,12396,12172,12248,-0.85,1231593,1
26/10/2021,12345,12398,12282,12353,0.284,998833,1
25/10/2021,12396,12406,12302,12318,-0.477,910603,1
22/10/2021,12250,12421,12250,12377,1.14,1197823,1
21/10/2021,12195,12251,12125,12238,0.402,1067893,1
20/10/2021,12200,12224,12130,12189,0.0657,901208,1
19/10/2021,12035,12184,12005,12181,1.42,1401338,1
18/10/2021,11881,12021,11818,12011,0.806,1305904,1
15/10/2021,11893,11948,11856,11915,0.337,1778929,1
14/10/2021,11864,11904,11814,11875,1.1,1307745,1
13/10/2021,11780,11807,11611,11746,0.111,1146000,1
12/10/2021,11779,11846,11705,11733,-0.00852,1010582,1
11/10/2021,11856,11856,11732,11734,-1.12,1059455,1
08/10/2021,11900,11923,11807,11867,0.0253,1099753,1
07/10/2021,11850,11899,11790,11864,0.508,1397289,1
06/10/2021,11634,11816,11605,11804,1.04,1516820,1
05/10/2021,11350,11731,11338,11683,1.58,1848400,1
04/10/2021,11488,11628,11421,11501,-0.13,2270324,1
01/10/2021,11334,11555,11135,11516,2.41,2182252,1
30/09/2021,11399,11461,11111,11245,4.27,4219622,1
29/09/2021,10675,10868,10661,10785,1.05,1714967,1
28/09/2021,10777,10817,10655,10673,-1.88,1442972,1
27/09/2021,10956,10984,10864,10877,-1.1,1273357,1
24/09/2021,10984,11035,10938,10998,-0.299,1055546,1
23/09/2021,10951,11074,10941,11031,0.859,1072282,1
22/09/2021,10850,10975,10806,10937,0.802,1610620,1
21/09/2021,10890,10890,10773,10850,0.111,1420288,1
20/09/2021,10760,10871,10735,10838,-0.368,1947198,1
17/09/2021,10953,10953,10792,10878,-0.539,3614539,1
16/09/2021,10965,10999,10912,10937,-0.31,1134147,1
15/09/2021,10966,11041,10926,10971,0.0456,1285044,1
14/09/2021,11008,11068,10949,10966,0.192,1518254,1
13/09/2021,11100,11169,10889,10945,-0.771,1442639,1
10/09/2021,11139,11171,11019,11030,-0.916,1257564,1
09/09/2021,11240,11279,11126,11132,-0.687,853714,1
08/09/2021,11116,11212,11105,11209,0.719,1214982,1
07/09/2021,11338,11338,11111,11129,-2.03,963355,1
03/09/2021,11331,11396,11302,11360,-0.106,740460,1
02/09/2021,11389,11416,11329,11372,0.088,1089097,1
01/09/2021,11469,11472,11258,11362,-0.743,1554690,1
31/08/2021,11490,11491,11381,11447,-0.0437,1440660,1
30/08/2021,11450,11510,11437,11452,0.131,734195,1
27/08/2021,11352,11469,11343,11437,0.864,1264878,1
26/08/2021,11436,11466,11305,11339,-0.735,1754104,1
25/08/2021,11435,11496,11396,11423,-0.0525,993075,1
24/08/2021,11548,11569,11418,11429,-1.02,1168294,1
23/08/2021,11572,11613,11511,11547,0.0433,1531905,1
20/08/2021,11532,11564,11475,11542,0.139,1567819,1
19/08/2021,11424,11556,11403,11526,0.479,1338036,1
18/08/2021,11674,11732,11455,11471,-1.99,1072032,1
17/08/2021,11766,11785,11645,11704,-0.973,1023894,1
16/08/2021,11698,11822,11645,11819,0.871,950554,1
13/08/2021,11649,11738,11631,11717,0.566,822894,1
12/08/2021,11677,11687,11624,11651,-0.214,797787,1
11/08/2021,11611,11711,11580,11676,0.768,992146,1
10/08/2021,11517,11594,11473,11587,0.599,972545,1
09/08/2021,11555,11595,11442,11518,-0.199,953211,1
06/08/2021,11500,11565,11466,11541,0.0954,1036525,1
05/08/2021,11475,11545,11414,11530,0.91,1036382,1
04/08/2021,11459,11478,11364,11426,-0.47,1081383,1
03/08/2021,11337,11496,11230,11480,1.38,1131009,1
02/08/2021,11414,11488,11315,11324,-0.51,1140125,1
30/07/2021,11268,11401,11268,11382,0.167,1289995,1
29/07/2021,11325,11415,11300,11363,0.763,922169,1
28/07/2021,11284,11316,11213,11277,-0.397,1130178,1
27/07/2021,11262,11391,11215,11322,0.479,1231919,1
26/07/2021,11224,11272,11169,11268,0.383,1328907,1
23/07/2021,11112,11250,11109,11225,1.18,1271770,1
22/07/2021,11146,11176,11009,11094,-0.404,1020508,1
21/07/2021,11066,11145,10976,11139,0.842,1947797,1
20/07/2021,10980,11139,10953,11046,0.96,2460406,1
19/07/2021,11080,11165,10873,10941,-2.18,2167859,1
16/07/2021,11299,11311,11176,11185,-0.728,4006137,1
15/07/2021,11238,11295,11209,11267,0.303,1982271,1
14/07/2021,11193,11257,11159,11233,0.627,1092010,1
13/07/2021,11167,11238,11122,11163,-0.0358,1292150,1
12/07/2021,11164,11226,11105,11167,-0.206,1452018,1
09/07/2021,10960,11213,10960,11190,1.52,1562650,1
08/07/2021,11091,11149,10889,11022,0.373,2370331,1
07/07/2021,10889,10998,10874,10981,1.14,1879254,1
06/07/2021,10878,10878,10743,10857,-0.147,1509829,1
02/07/2021,10918,10929,10765,10873,0.24,1660536,1
01/07/2021,10698,10863,10698,10847,1.09,1387745,1
30/06/2021,10766,10808,10683,10730,-0.223,2102277,1
29/06/2021,10691,10823,10671,10754,0.589,1481852,1
28/06/2021,10602,10728,10555,10691,1.23,2161829,1
25/06/2021,10527,10621,10401,10561,1.28,3146081,1
24/06/2021,10418,10455,10334,10428,0.802,1465891,1
23/06/2021,10366,10374,10258,10345,-0.174,1484402,1
22/06/2021,10343,10407,10288,10363,-0.0289,1810883,1
21/06/2021,10260,10389,10205,10366,1.61,988671,1
18/06/2021,10299,10360,10174,10202,-2.13,2246760,1
17/06/2021,10371,10482,10348,10424,0.405,881247,1
16/06/2021,10461,10475,10307,10382,-0.498,1007253,1
15/06/2021,10466,10466,10376,10434,-0.144,1378945,1
14/06/2021,10483,10492,10303,10449,-0.486,1037241,1
11/06/2021,10482,10517,10443,10500,0.2,901086,1
10/06/2021,10370,10512,10349,10479,1.17,2655211,1
09/06/2021,10349,10423,10323,10358,0.534,811534,1
08/06/2021,10200,10332,10193,10303,1.26,933335,1
07/06/2021,10262,10299,10138,10175,-0.79,1205779,1
04/06/2021,10266,10284,10199,10256,0.687,1068990,1
03/06/2021,10106,10217,10069,10186,-0.0196,925126,1
02/06/2021,10126,10239,10063,10188,0.881,1262839,1
01/06/2021,10149,10211,10048,10099,-0.148,924365,1
28/05/2021,10086,10170,10086,10114,0.258,1041160,1
27/05/2021,10073,10135,10030,10088,0.288,1223156,1
26/05/2021,10074,10125,10017,10059,-0.495,1433414,1
25/05/2021,10207,10207,10089,10109,-0.785,1134213,1
