Date,Open,High,Low,Close,Change%,Volume,Adjustment
01/12/2021,39855,40049,38664,38712,-1.7,39625848,1
30/11/2021,39876,40119,39175,39382,-1.47,81336984,1
29/11/2021,39593,40073,39514,39969,2.17,54447104,1
26/11/2021,39612,39754,38980,39120,-1.9,51533312,1
24/11/2021,39493,39905,39254,39876,0.322,46954384,1
23/11/2021,39808,40022,39292,39748,-0.456,70098736,1
22/11/2021,40573,40870,39919,39930,-1.16,61715368,1
19/11/2021,40350,40530,40258,40399,0.558,45191720,1
18/11/2021,39981,40227,39746,40175,1.04,45721616,1
17/11/2021,39779,39972,39665,39763,0.0528,28704424,1
16/11/2021,39406,39793,39367,39742,0.712,27872940,1
15/11/2021,39590,39624,39210,39461,-0.0228,33717240,1
12/11/2021,39177,39525,39013,39470,1.05,34730764,1
11/11/2021,39249,39275,39024,39059,0.277,32242984,1
10/11/2021,39232,39536,38755,38951,-1.47,54937488,1
09/11/2021,39928,39957,39392,39532,-0.691,50491420,1
08/11/2021,39868,39962,39740,39807,-0.133,29256524,1
05/11/2021,40000,40099,39716,39860,0.0954,43383824,1
04/11/2021,39447,39920,39392,39822,1.28,40267012,1
03/11/2021,38957,39361,38849,39318,1.06,33748900,1
02/11/2021,38684,38954,38675,38905,0.418,25135292,1
01/11/2021,38658,38755,38443,38743,0.342,30765404,1
29/10/2021,38081,38628,38072,38611,0.492,37310184,1
28/10/2021,38194,38448,38116,38422,1.11,38007096,1
27/10/2021,37967,38315,37932,37999,0.229,45761732,1
26/10/2021,38015,38271,37791,37912,0.315,47191280,1
25/10/2021,37559,37887,37356,37793,1.02,32601954,1
22/10/2021,37596,37697,37239,37410,-0.84,36276760,1
21/10/2021,37417,37747,37386,37727,0.611,25470076,1
20/10/2021,37595,37656,37346,37498,-0.131,31390376,1
19/10/2021,37391,37552,37306,37547,0.757,29090964,1
18/10/2021,36769,37286,36699,37265,1.01,34515064,1
15/10/2021,36812,36905,36682,36894,0.63,40419500,1
14/10/2021,36371,36685,36301,36663,1.84,43434168,1
13/10/2021,35949,36069,35743,36000,0.801,40118488,1
12/10/2021,35986,36032,35649,35714,-0.349,43904600,1
11/10/2021,35956,36320,35830,35839,-0.767,34847184,1
08/10/2021,36425,36432,36061,36116,-0.499,41822308,1
07/10/2021,36284,36568,36225,36297,0.918,39413072,1
06/10/2021,35397,35995,35315,35967,0.641,56806640,1
05/10/2021,35368,35969,35348,35738,1.35,47232904,1
04/10/2021,35842,35886,35033,35262,-2,76766480,1
01/10/2021,35854,36125,35438,35980,0.514,56375888,1
30/09/2021,36093,36268,35710,35796,-0.367,61384624,1
29/09/2021,36116,36337,35864,35928,-0.164,58076620,1
28/09/2021,36536,36635,35935,35987,-2.83,97701632,1
27/09/2021,37004,37125,36774,37035,-0.798,43338080,1
