Date,Open,High,Low,Close,Change%,Volume,Adjustment
12/05/2022,38940,39580,38516,39237,-0.0789,125090752,1
11/05/2022,39812,40403,39196,39268,-1.6,142360992,1
10/05/2022,40469,40608,39482,39908,0.208,132497200,1
09/05/2022,40509,40641,39650,39825,-3.19,155586064,1
06/05/2022,41122,41480,40573,41136,-0.599,151770816,1
05/05/2022,42453,42462,40944,41384,-3.52,172929104,1
04/05/2022,41705,42966,41371,42895,3.04,144247888,1
03/05/2022,41470,41893,41337,41628,0.4,100028192,1
02/05/2022,41202,41592,40502,41462,0.512,158312528,1
29/04/2022,42359,42587,41121,41251,-3.56,145491088,1
28/04/2022,42220,42964,41760,42775,2.53,105449088,1
27/04/2022,41725,42292,41501,41720,0.146,122029992,1
26/04/2022,42571,42603,41607,41659,-2.78,103996312,1
25/04/2022,42360,42869,41884,42850,0.596,119647744,1
22/04/2022,43687,43722,42544,42596,-2.78,132471776,1
21/04/2022,44865,45001,43711,43813,-1.49,85417328,1
20/04/2022,44684,44757,44348,44476,-0.0697,65224448,1
19/04/2022,43797,44580,43768,44507,1.62,77821016,1
18/04/2022,43705,43975,43561,43797,0.032,66002496,1
14/04/2022,44364,44473,43768,43783,-1.23,97869448,1
13/04/2022,43802,44411,43784,44330,1.18,74070392,1
12/04/2022,44307,44574,43667,43812,-0.454,84363632,1
11/04/2022,44409,44500,43939,44012,-1.71,89770536,1
08/04/2022,44810,45063,44595,44777,-0.227,79272712,1
07/04/2022,44563,45068,44354,44879,0.499,78097216,1
06/04/2022,44679,44893,44347,44656,-1.02,106897968,1
05/04/2022,45509,45783,44983,45115,-1.26,74214504,1
04/04/2022,45309,45691,45226,45691,0.892,59601000,1
01/04/2022,45322,45346,44914,45287,0.168,89048776,1
31/03/2022,45803,45876,45151,45211,-1.46,121699952,1
30/03/2022,46055,46120,45647,45881,-0.589,79666944,1
29/03/2022,46007,46207,45718,46153,1.25,86581544,1
28/03/2022,45205,45589,45006,45584,0.707,68529768,1
25/03/2022,45110,45298,44843,45264,0.479,77101328,1
24/03/2022,44586,45050,44476,45048,1.53,64736892,1
23/03/2022,44686,44849,44371,44371,-1.3,79426096,1
22/03/2022,44599,45057,44588,44954,1.18,74650392,1
21/03/2022,44434,44646,44068,44430,-0.00225,88349760,1
18/03/2022,43820,44485,43722,44431,0.773,106345544,1
17/03/2022,43370,44106,43319,44090,1.23,102676872,1
16/03/2022,42994,43568,42480,43555,2.24,144954800,1
15/03/2022,41990,42684,41842,42600,2.16,106219120,1
14/03/2022,42098,42455,41579,41698,-0.759,95729184,1
11/03/2022,42818,42877,41953,42017,-1.22,95636280,1
10/03/2022,42273,42642,42045,42538,-0.456,93972656,1
09/03/2022,42514,42951,42282,42733,2.64,116990768,1
08/03/2022,41973,42720,41512,41632,-0.777,164772736,1
07/03/2022,43144,43183,41936,41958,-2.9,137896560,1
04/03/2022,43203,43337,42788,43210,-0.842,114083256,1
03/03/2022,44039,44111,43380,43577,-0.475,105501712,1
02/03/2022,43242,43962,43158,43785,1.78,117726528,1
01/03/2022,43510,43716,42716,43021,-1.48,137785904,1
28/02/2022,43209,43820,43070,43667,-0.201,145615024,1
25/02/2022,42955,43784,42786,43755,2.23,121804456,1
24/02/2022,41101,42876,41064,42799,1.4,213942944,1
23/02/2022,43262,43326,42135,42207,-1.79,132578008,1
22/02/2022,43199,43550,42586,42975,-1.05,124391832,1
18/02/2022,43738,43866,43182,43431,-0.634,132642896,1
17/02/2022,44342,44378,43643,43708,-2.13,102259104,1
16/02/2022,44397,44805,44194,44660,0.146,84863584,1
15/02/2022,44380,44628,44318,44595,1.61,88659504,1
14/02/2022,43992,44160,43534,43890,-0.336,123006264,1
11/02/2022,44934,45160,43894,44038,-2,153214592,1
10/02/2022,45140,45771,44720,44936,-1.74,140103712,1
09/02/2022,45528,45788,45501,45733,1.44,92589928,1
08/02/2022,44680,45192,44523,45082,0.8,81012032,1
07/02/2022,44972,45099,44585,44724,-0.296,84472856,1
04/02/2022,44649,45278,44383,44857,0.414,118454352,1
03/02/2022,45091,45297,44571,44672,-2.31,118024440,1
02/02/2022,45551,45812,45305,45726,0.952,117360952,1
01/02/2022,45070,45363,44694,45295,0.703,123155384,1
31/01/2022,44106,45028,43982,44979,1.79,152251424,1
28/01/2022,43273,44200,42782,44188,2.43,164457376,1
27/01/2022,43824,44159,42945,43138,-0.381,149878304,1
26/01/2022,44085,44404,42886,43303,-0.359,186391088,1
25/01/2022,43311,43972,42716,43459,-1.17,167997328,1
24/01/2022,43147,44038,42076,43972,0.326,252496720,1
21/01/2022,44565,44805,43796,43829,-1.9,202271248,1
20/01/2022,45376,45874,44520,44678,-1.12,122379696,1
19/01/2022,45804,45961,45146,45182,-1.03,109357568,1
18/01/2022,45974,45994,45531,45651,-1.77,109872376,1
14/01/2022,46109,46508,45990,46475,-0.0215,95890976,1
13/01/2022,47238,47288,46347,46485,-1.35,91173168,1
12/01/2022,47177,47320,46894,47120,0.313,67605440,1
11/01/2022,46541,46985,46205,46973,0.898,74303064,1
10/01/2022,46266,46574,45660,46555,-0.103,119361992,1
07/01/2022,46811,46920,46466,46603,-0.391,85112824,1
06/01/2022,46789,47081,46545,46786,-0.162,86860400,1
05/01/2022,47739,47798,46828,46862,-1.88,104539568,1
04/01/2022,47926,47998,47559,47759,-0.0272,71178144,1
03/01/2022,47628,47784,47386,47772,0.547,72667816,1
31/12/2021,47565,47686,47467,47512,-0.233,65237432,1
30/12/2021,47799,47900,47568,47623,-0.262,55327680,1
29/12/2021,47708,47856,47593,47748,0.111,54503264,1
28/12/2021,47765,47881,47606,47695,-0.0587,47274484,1
27/12/2021,47213,47731,47202,47723,1.42,56807248,1
23/12/2021,46883,47219,46864,47055,0.609,56442360,1
22/12/2021,46281,46781,46262,46770,1.05,58889432,1
21/12/2021,45870,46321,45631,46286,1.73,69806760,1
20/12/2021,45429,45540,45114,45498,-1.11,107130144,1
17/12/2021,46166,46474,45806,46008,-1.41,135631968,1
