Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,15219,15300,14772,14927,-1.1,1412565,1
02/12/2021,14800,15244,14773,15093,1.84,1514140,1
01/12/2021,15119,15285,14809,14821,-1.78,1800900,1
30/11/2021,15342,15571,14970,15089,-1.62,3900525,1
29/11/2021,15292,15536,15158,15337,0.603,1734578,1
26/11/2021,15397,15909,15157,15245,-0.373,1632227,1
24/11/2021,15363,15467,15109,15302,-1.07,2291441,1
23/11/2021,15573,15929,15185,15468,-5.01,3141511,1
22/11/2021,16501,16568,16278,16284,-0.819,2112504,1
19/11/2021,16296,16507,16277,16418,1.25,1647657,1
18/11/2021,16232,16276,16040,16216,0.465,1476011,1
17/11/2021,16169,16190,15990,16141,0.0248,872431,1
16/11/2021,15771,16300,15753,16137,2.28,1276264,1
15/11/2021,16169,16232,15750,15777,-1.95,1121448,1
12/11/2021,15973,16106,15771,16091,1.32,1444785,1
11/11/2021,16047,16101,15796,15882,-0.289,935490,1
10/11/2021,15924,15998,15606,15928,-0.3,1093196,1
09/11/2021,16134,16223,15952,15976,-0.727,1020954,1
08/11/2021,15705,16115,15663,16093,2.96,1466981,1
05/11/2021,15652,15674,15247,15631,-0.844,1775553,1
04/11/2021,15912,15912,15641,15764,-0.398,1015752,1
03/11/2021,15796,15827,15457,15827,0.266,1256624,1
02/11/2021,15796,15796,15545,15785,0.509,1714220,1
01/11/2021,15805,15805,15586,15705,-0.292,1329077,1
29/10/2021,15526,15757,15444,15751,1.1,1999808,1
28/10/2021,15633,15779,15419,15579,0.387,1752595,1
27/10/2021,15832,15832,15483,15519,-1.93,1472593,1
26/10/2021,15891,15942,15706,15824,-0.0126,1016357,1
25/10/2021,15744,15852,15675,15826,0.241,1088178,1
22/10/2021,15705,15871,15690,15788,0.554,772154,1
21/10/2021,15751,15761,15453,15701,-0.438,1405098,1
20/10/2021,15682,15812,15664,15770,1.29,1053067,1
19/10/2021,15605,15746,15555,15569,0.627,1025510,1
18/10/2021,15346,15540,15249,15472,0.847,1183723,1
15/10/2021,15298,15389,15271,15342,0.531,1397821,1
14/10/2021,15212,15348,15163,15261,1.57,1434114,1
13/10/2021,14922,15088,14891,15025,1.66,1509180,1
12/10/2021,15014,15083,14630,14780,-1.47,1809987,1
11/10/2021,15144,15236,14988,15000,-1.68,1106340,1
08/10/2021,15623,15691,15235,15256,-1.82,904116,1
07/10/2021,15500,15744,15500,15539,1.07,1002863,1
06/10/2021,15244,15424,15162,15375,0.346,1794778,1
05/10/2021,15369,15577,15234,15322,0.578,1494305,1
04/10/2021,15504,15630,15127,15234,-2.31,1758404,1
01/10/2021,15718,15750,15317,15594,-1.04,1881934,1
30/09/2021,16145,16247,15746,15758,-1.62,1542804,1
29/09/2021,16136,16180,15983,16018,0.138,1268214,1
28/09/2021,16400,16424,15879,15996,-3.97,2541015,1
27/09/2021,17107,17107,16428,16657,-3.34,1419754,1
24/09/2021,17181,17308,17138,17232,-0.168,1041912,1
23/09/2021,17372,17428,17249,17261,0.168,1654791,1
22/09/2021,17164,17332,17091,17232,0.584,981018,1
21/09/2021,17232,17360,17121,17132,0.111,1059767,1
20/09/2021,17033,17258,16914,17113,-1.47,1599479,1
17/09/2021,17375,17736,17282,17369,0.219,2405719,1
16/09/2021,17351,17381,17117,17331,-0.219,1141995,1
15/09/2021,17205,17513,17139,17369,0.76,1535318,1
14/09/2021,17261,17397,17182,17238,0.244,1337413,1
13/09/2021,17759,17791,17022,17196,-2.95,2274484,1
10/09/2021,17789,17931,17717,17718,-0.0902,1086308,1
09/09/2021,17892,17936,17705,17734,-0.75,1010046,1
08/09/2021,17753,17918,17657,17868,0.568,1174601,1
07/09/2021,17906,17906,17679,17767,-0.909,1252069,1
03/09/2021,17731,17957,17703,17930,0.589,971760,1
02/09/2021,17655,17834,17573,17825,1.56,1194001,1
01/09/2021,17502,17574,17438,17551,0.057,1428976,1
31/08/2021,17688,17688,17483,17541,-0.702,1733269,1
30/08/2021,17429,17712,17429,17665,1.73,1221481,1
27/08/2021,17400,17510,17299,17365,0.0519,1185870,1
26/08/2021,17358,17446,17210,17356,0.173,1273360,1
25/08/2021,17028,17351,17028,17326,1.48,1411986,1
24/08/2021,17049,17121,16930,17073,0.477,1238618,1
23/08/2021,16939,17057,16813,16992,1.09,2061439,1
20/08/2021,16800,17072,16707,16808,0.179,2023469,1
19/08/2021,16162,16906,16162,16778,2.87,2179741,1
18/08/2021,16437,16522,16209,16310,1.37,2860938,1
17/08/2021,16156,16184,15930,16089,-0.844,2614179,1
16/08/2021,15921,16252,15850,16226,1.95,2154532,1
13/08/2021,15845,15927,15745,15915,0.55,1733181,1
12/08/2021,15655,15852,15613,15828,1.08,1376083,1
11/08/2021,15698,15699,15585,15659,0.134,1402559,1
10/08/2021,15677,15761,15590,15638,-0.0703,1575880,1
09/08/2021,15597,15678,15507,15649,0.578,982915,1
06/08/2021,15515,15589,15447,15559,0.381,1209255,1
05/08/2021,15463,15516,15336,15500,0.532,1667633,1
04/08/2021,15397,15471,15349,15418,0.254,1786735,1
03/08/2021,15352,15397,15276,15379,0.503,1859655,1
02/08/2021,15394,15430,15252,15302,-0.0914,1438321,1
30/07/2021,15293,15360,15203,15316,0.367,2310071,1
29/07/2021,15194,15346,15142,15260,0.706,1527271,1
28/07/2021,15001,15197,14950,15153,1.1,2179785,1
27/07/2021,14929,14997,14887,14988,-0.213,2085729,1
26/07/2021,15187,15217,14977,15020,-1.33,1767670,1
23/07/2021,15053,15240,15043,15223,1.3,2132038,1
22/07/2021,14972,15048,14867,15028,0.94,1972884,1
21/07/2021,14955,14955,14761,14888,-0.248,2255711,1
20/07/2021,14837,14985,14783,14925,1.13,2245988,1
19/07/2021,14764,14794,14695,14758,-0.966,1835098,1
16/07/2021,14944,14979,14833,14902,0.0806,2169757,1
15/07/2021,14827,14931,14784,14890,0.161,1733572,1
14/07/2021,14982,14986,14846,14866,-0.469,1218451,1
13/07/2021,14914,14953,14819,14936,-0.16,1456502,1
12/07/2021,15052,15100,14917,14960,-0.313,1480456,1
09/07/2021,14925,15017,14892,15007,0.894,1596790,1
08/07/2021,14769,14896,14728,14874,-0.502,1891736,1
07/07/2021,14945,14961,14810,14949,0.268,2286351,1
06/07/2021,14901,14919,14848,14909,0.262,1973342,1
02/07/2021,14828,14889,14778,14870,0.67,1400683,1
01/07/2021,14776,14836,14702,14771,-0.0879,1426535,1
30/06/2021,14851,14851,14666,14784,-0.719,1259303,1
29/06/2021,14769,14891,14752,14891,0.751,816711,1
28/06/2021,14773,14804,14644,14780,0.524,1645037,1
25/06/2021,14736,14776,14623,14703,0.259,8445127,1
24/06/2021,14760,14833,14657,14665,-0.333,1426785,1
23/06/2021,14694,14806,14643,14714,0.389,1455656,1
22/06/2021,14612,14768,14583,14657,0.15,1366205,1
21/06/2021,14566,14669,14373,14635,0.98,1266066,1
18/06/2021,14591,14683,14493,14493,-1.33,3220680,1
17/06/2021,14368,14768,14368,14689,2.24,2822452,1
16/06/2021,14456,14506,14299,14367,-0.602,1680754,1
15/06/2021,14425,14516,14404,14454,0.18,1035800,1
14/06/2021,14333,14442,14276,14428,0.488,934184,1
11/06/2021,14313,14359,14193,14358,0.448,995129,1
10/06/2021,14053,14335,14005,14294,1.98,1462432,1
09/06/2021,13917,14037,13904,14016,1.02,961367,1
08/06/2021,13853,13892,13762,13875,0.88,1143859,1
07/06/2021,13837,13858,13740,13754,-0.232,935962,1
04/06/2021,13758,13841,13738,13786,1.07,1069659,1
03/06/2021,13661,13691,13574,13640,-0.00734,1228739,1
02/06/2021,13768,13822,13591,13641,-0.634,1395730,1
01/06/2021,13929,14032,13558,13728,-0.738,2015768,1
28/05/2021,13849,13917,13800,13830,0.523,1264413,1
27/05/2021,13353,13813,13336,13758,3.15,3699620,1
26/05/2021,13631,13800,13325,13338,0.0675,2498437,1
25/05/2021,13334,13480,13301,13329,-0.157,1890576,1
24/05/2021,13274,13441,13258,13350,0.831,1312632,1
21/05/2021,13263,13413,13222,13240,0.22,1445930,1
20/05/2021,13096,13279,13086,13211,1.51,1035108,1
19/05/2021,12737,13028,12723,13015,1.13,1119359,1
18/05/2021,12999,12999,12868,12869,-1.11,1777626,1
17/05/2021,13085,13105,12991,13014,-0.883,886752,1
14/05/2021,13045,13169,13045,13130,1.03,775091,1
13/05/2021,12954,13076,12926,12996,0.995,805888,1
12/05/2021,13089,13112,12847,12868,-2,1256451,1
11/05/2021,13000,13184,12930,13130,-0.402,1336638,1
