Date,Open,High,Low,Close,Change%,Volume,Adjustment
03/12/2021,26141,26175,25170,25840,-1.2,8944026,1
02/12/2021,25331,26258,25214,26154,3.5,12200786,1
01/12/2021,27192,27694,25149,25270,-11.4,30744432,1
30/11/2021,29657,29927,28340,28525,-3.9,13597638,1
29/11/2021,28972,29836,28473,29682,4.3,8215565,1
26/11/2021,28526,28755,28306,28459,-1.53,4195279,1
24/11/2021,28671,28945,28332,28902,-0.888,5091437,1
23/11/2021,29291,29634,28831,29161,-1.82,6432469,1
22/11/2021,30220,30541,29672,29701,-1.42,4476157,1
19/11/2021,30489,30600,30110,30129,-0.587,4758869,1
18/11/2021,30637,30699,29958,30307,-1.6,4444339,1
17/11/2021,30793,30990,30725,30799,0.28,3864656,1
16/11/2021,30478,30758,30272,30713,0.478,2989383,1
15/11/2021,30731,30760,30324,30567,-0.31,3595625,1
12/11/2021,30474,30722,30163,30662,1.16,3803734,1
11/11/2021,30153,30575,30153,30310,1.12,2681892,1
10/11/2021,30650,30859,29789,29974,-3.24,4350924,1
09/11/2021,31003,31174,30722,30978,-0.029,3126523,1
08/11/2021,30718,31137,30590,30987,0.82,3893014,1
05/11/2021,30845,31138,30335,30735,-0.295,4681990,1
04/11/2021,30327,30840,30241,30826,1.79,3833787,1
03/11/2021,30409,30409,29819,30285,-0.0033,3260169,1
02/11/2021,30216,30343,29951,30286,0.0694,4177512,1
01/11/2021,30130,30486,29972,30265,1.02,3825097,1
29/10/2021,29797,30072,29627,29960,0.355,4251850,1
28/10/2021,29550,29881,29353,29854,1.17,3450407,1
27/10/2021,29684,29919,29508,29508,-0.0271,3742741,1
26/10/2021,29589,29835,29362,29516,0.395,3601447,1
25/10/2021,29333,29513,29178,29400,0.54,2993500,1
22/10/2021,28908,29300,28818,29242,0.97,2927049,1
21/10/2021,28929,29157,28827,28961,-0.207,2828499,1
20/10/2021,29324,29541,28798,29021,-0.708,4487918,1
19/10/2021,29219,29553,29145,29228,0.285,3631164,1
18/10/2021,29055,29324,28871,29145,-0.12,5163348,1
15/10/2021,29244,29287,28932,29180,0.548,5119311,1
14/10/2021,28634,29064,28485,29021,1.96,5435676,1
13/10/2021,27991,28510,27860,28464,2.06,6575213,1
12/10/2021,27654,28073,27602,27890,1.85,5970095,1
11/10/2021,27176,27627,27151,27383,0.536,2693021,1
08/10/2021,27588,27692,27227,27237,-0.794,2683286,1
07/10/2021,27686,27950,27409,27455,-0.218,5374204,1
06/10/2021,26975,27549,26750,27515,1.28,4745485,1
05/10/2021,27210,27353,27114,27167,0.199,4050404,1
04/10/2021,27519,27530,26614,27113,-1.49,6393840,1
01/10/2021,27149,27633,26877,27522,1.46,4756004,1
30/09/2021,27066,27424,27044,27125,0.274,5226998,1
29/09/2021,27370,27468,26936,27051,-0.603,4361850,1
28/09/2021,27506,27670,27010,27215,-2.67,7127081,1
27/09/2021,28245,28376,27905,27961,-2.09,5941145,1
24/09/2021,27869,28636,27847,28557,2.85,13368305,1
23/09/2021,26966,27939,26644,27765,7.07,15617209,1
22/09/2021,25924,26033,25634,25932,0.586,4355561,1
21/09/2021,25876,26253,25778,25781,-0.186,6040565,1
20/09/2021,25637,25922,25494,25829,-0.772,5985544,1
17/09/2021,25961,26170,25869,26030,-0.0115,7053537,1
16/09/2021,25562,26122,25500,26033,1.56,5122575,1
15/09/2021,25458,25675,25295,25633,0.735,4764574,1
14/09/2021,25448,25506,25300,25446,0.134,4097542,1
13/09/2021,25711,25761,25219,25412,-1.22,5258184,1
10/09/2021,26113,26148,25650,25726,-1.39,5280883,1
09/09/2021,26196,26371,26047,26089,-0.655,4126467,1
08/09/2021,26382,26429,26160,26261,-0.924,3851513,1
07/09/2021,26708,26790,26407,26506,-0.734,4673779,1
03/09/2021,26390,26741,26180,26702,1.03,7357515,1
02/09/2021,26910,26919,26392,26431,-1.51,4499608,1
01/09/2021,26663,27326,26563,26836,1.14,7189035,1
31/08/2021,26473,26676,26271,26534,0.113,5901518,1
30/08/2021,26602,26758,26475,26504,-0.518,5729953,1
27/08/2021,26800,27087,26543,26642,-0.497,7992509,1
26/08/2021,26966,27522,26736,26775,2.5,18986966,1
25/08/2021,26113,26190,25875,26122,0.686,9700952,1
24/08/2021,26130,26250,25906,25944,-0.403,6685164,1
23/08/2021,25720,26186,25657,26049,1.76,7603867,1
20/08/2021,25379,25787,25301,25598,1.34,5510730,1
19/08/2021,24901,25544,24901,25260,0.573,6600793,1
18/08/2021,24801,25680,24772,25116,1.68,8306650,1
17/08/2021,24808,24920,24596,24700,-0.923,3472597,1
16/08/2021,25054,25100,24447,24930,-0.843,4048733,1
13/08/2021,25149,25377,24889,25142,1.2,5986436,1
12/08/2021,24262,24844,24193,24844,2.51,4468390,1
11/08/2021,24482,24615,24012,24235,-0.468,3999205,1
10/08/2021,25048,25124,24305,24349,-2.31,4430617,1
09/08/2021,25173,25242,24789,24924,-0.519,3312170,1
06/08/2021,24935,25207,24926,25054,-0.0359,4045384,1
05/08/2021,24497,25090,24354,25063,2.59,5235193,1
04/08/2021,24133,24465,23967,24430,1.35,4121614,1
03/08/2021,24156,24305,23907,24105,0.129,3077919,1
02/08/2021,24226,24237,23889,24074,-0.442,3525726,1
30/07/2021,24287,24424,24164,24181,-0.881,3748445,1
29/07/2021,24373,24616,24356,24396,-0.0819,3271103,1
28/07/2021,24462,24608,24300,24416,0.32,4100237,1
27/07/2021,24708,24812,24119,24338,-1.76,6352540,1
26/07/2021,24791,24848,24582,24775,-0.189,3960897,1
23/07/2021,24981,25056,24668,24822,0,5877259,1
22/07/2021,24328,24869,24328,24822,2.45,7868703,1
21/07/2021,24032,24298,23827,24229,0.866,15323125,1
20/07/2021,23875,24317,23631,24021,1.06,8486974,1
19/07/2021,23651,23850,23431,23769,-0.315,8842963,1
16/07/2021,23827,24088,23777,23844,0.358,7288104,1
15/07/2021,24145,24203,23585,23759,-1.95,7912574,1
14/07/2021,24459,24615,23987,24232,-0.786,6375745,1
13/07/2021,24231,24715,24170,24424,0.539,6699829,1
12/07/2021,24630,24726,24185,24293,-0.893,5604490,1
09/07/2021,24560,24734,24412,24512,-0.281,4213545,1
08/07/2021,24447,24657,24174,24581,-0.975,5159623,1
07/07/2021,25300,25347,24786,24823,-0.835,5101415,1
06/07/2021,24899,25292,24838,25032,0.789,5590223,1
02/07/2021,24677,24896,24589,24836,1.42,4056827,1
01/07/2021,24474,24659,24262,24488,0.242,3899605,1
30/06/2021,24507,24663,24352,24429,-0.679,4168762,1
29/06/2021,24454,24678,24243,24596,0.614,3871917,1
28/06/2021,24428,24759,24386,24446,0.601,4274889,1
25/06/2021,24415,24420,24099,24300,-0.254,15409267,1
24/06/2021,24301,24767,24280,24362,0.728,4987330,1
23/06/2021,24338,24450,24086,24186,-0.453,4482408,1
22/06/2021,24400,24472,24089,24296,-0.581,4457165,1
21/06/2021,24345,24472,23891,24438,0.613,5895120,1
18/06/2021,24222,24601,24201,24289,-0.658,7822172,1
17/06/2021,24164,24718,24123,24450,0.791,5170176,1
16/06/2021,24200,24500,23950,24258,0.0536,5099349,1
15/06/2021,24495,24533,24202,24245,-1.67,5135289,1
14/06/2021,24125,24664,24053,24657,2.66,6764691,1
11/06/2021,23991,24037,23841,24017,-0.0499,4624184,1
10/06/2021,23592,24029,23522,24029,1.67,4659511,1
09/06/2021,23880,23886,23551,23634,0.072,3350916,1
08/06/2021,23855,24179,23567,23617,-0.777,5827260,1
07/06/2021,23613,23947,23594,23802,0.265,3510776,1
04/06/2021,23160,23787,23152,23739,2.89,6177588,1
03/06/2021,23282,23318,22943,23073,-1.6,5109029,1
02/06/2021,23487,23829,23390,23449,-0.825,5543876,1
01/06/2021,23798,23810,23246,23644,-0.768,8103888,1
28/05/2021,23922,24346,23783,23827,5.59,17814520,1
27/05/2021,22975,22975,22540,22566,-1.78,15344063,1
26/05/2021,22839,23024,22829,22975,0.865,5807104,1
25/05/2021,22800,22972,22628,22778,0.352,6256329,1
24/05/2021,22500,22760,22421,22698,2,5288324,1
21/05/2021,22557,22578,22245,22252,-0.661,4913623,1
20/05/2021,22281,22682,22236,22400,1.23,6705464,1
19/05/2021,21581,22160,21451,22128,3.15,8092067,1
18/05/2021,21549,21735,21403,21453,-0.223,3540556,1
17/05/2021,21650,21772,21282,21501,-1.18,3816066,1
14/05/2021,21428,21826,21415,21758,2.76,4429018,1
13/05/2021,21304,21564,21050,21174,0.603,5337992,1
12/05/2021,21307,21334,20960,21047,-2.4,5482463,1
11/05/2021,20907,21656,20891,21564,0.771,6097853,1
10/05/2021,21637,21637,21323,21399,-1.1,5263698,1
07/05/2021,22090,22125,21509,21636,-0.72,5774748,1
06/05/2021,21515,21828,21361,21793,1.19,5200021,1
05/05/2021,21887,21957,21484,21537,-0.957,4205831,1
04/05/2021,22146,22200,21437,21745,-2.87,6727513,1
03/05/2021,23083,23142,22308,22387,-2.78,5835707,1
30/04/2021,23285,23449,22952,23028,-1.8,5024797,1
29/04/2021,23764,23767,23217,23450,-0.967,4140903,1
